Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-07-30,30.28,31.15,29.75,30.78,21.27,11547700,0.0,0
2014-07-31,30.51,31.25,30.01,30.35,20.97,766300,0.0,0
2014-08-01,30.34,30.35,28.81,29.25,20.21,404600,0.0,0
2014-08-04,29.3,29.45,28.69,29.0,20.04,406400,0.0,0
2014-08-05,29.09,29.17,28.79,28.83,19.92,235200,0.0,0
2014-08-06,28.85,29.5,28.57,29.08,20.1,108000,0.0,0
2014-08-07,29.25,30.0,29.18,29.6,20.45,73400,0.0,0
2014-08-08,29.95,30.0,29.27,29.58,20.44,34100,0.0,0
2014-08-11,29.4,29.73,29.39,29.51,20.39,58500,0.0,0
2014-08-12,29.3,29.7,29.26,29.49,20.38,71800,0.0,0
2014-08-13,29.5,29.62,28.8,28.8,19.9,164700,0.0,0
2014-08-14,28.8,29.25,28.8,29.1,20.11,32500,0.0,0
2014-08-15,29.5,29.74,28.99,29.16,20.15,63500,0.0,0
2014-08-18,29.45,29.5,28.75,29.5,20.39,152300,0.0,0
2014-08-19,29.45,29.54,29.2,29.5,20.39,107000,0.0,0
2014-08-20,29.6,29.7,29.34,29.49,20.38,36400,0.0,0
2014-08-21,29.55,29.65,29.35,29.49,20.38,40500,0.0,0
2014-08-22,29.65,30.35,29.49,30.21,20.88,59000,0.0,0
2014-08-25,30.19,30.19,29.82,29.96,20.7,62800,0.0,0
2014-08-26,30.1,30.23,29.99,30.06,20.77,44200,0.0,0
2014-08-27,30.01,30.24,29.79,30.22,20.88,77500,0.0,0
2014-08-28,30.07,30.48,30.0,30.45,21.04,119100,0.0,0
2014-08-29,30.35,30.5,30.25,30.37,20.99,83500,0.0,0
2014-09-02,30.5,31.85,30.38,31.29,21.62,90900,0.0,0
2014-09-03,31.5,32.67,31.41,32.08,22.17,282600,0.0,0
2014-09-04,32.25,34.31,32.03,33.64,23.25,111900,0.0,0
2014-09-05,33.89,34.25,33.19,33.36,23.05,117300,0.0,0
2014-09-08,33.19,33.57,32.33,32.49,22.45,121100,0.0,0
2014-09-09,32.5,32.59,32.17,32.4,22.39,41700,0.0,0
2014-09-10,32.52,33.02,32.13,32.25,22.29,53600,0.0,0
2014-09-11,32.25,32.6,32.25,32.3,22.32,49500,0.0,0
2014-09-12,32.34,32.58,31.9,31.9,22.04,66000,0.0,0
2014-09-15,31.93,32.06,31.53,31.54,21.8,33500,0.0,0
2014-09-16,31.58,31.65,31.15,31.25,21.59,34300,0.0,0
2014-09-17,31.35,31.49,30.43,30.52,21.09,30900,0.0,0
2014-09-18,30.4,31.14,30.4,30.85,21.32,30900,0.0,0
2014-09-19,30.95,30.95,30.52,30.74,21.24,67500,0.0,0
2014-09-22,30.76,30.76,29.94,29.98,20.72,18000,0.0,0
2014-09-23,30.14,30.28,28.71,29.05,20.07,216400,0.0,0
2014-09-24,29.01,29.46,28.6,29.34,20.27,89200,0.0,0
2014-09-25,29.14,29.86,28.6,29.0,20.04,276600,0.0,0
2014-09-26,29.0,30.05,29.0,29.45,20.35,69900,0.0,0
2014-09-29,29.24,29.7,28.95,29.2,20.18,56200,0.0,0
2014-09-30,29.08,29.48,29.0,29.0,20.04,32400,0.0,0
2014-10-01,28.95,29.54,28.95,28.95,20.01,35700,0.0,0
2014-10-02,28.87,29.0,27.21,28.79,19.89,326400,0.0,0
2014-10-03,29.05,29.75,28.62,28.67,19.81,51800,0.0,0
2014-10-06,28.88,28.88,28.43,28.7,19.83,45800,0.0,0
2014-10-07,28.51,28.55,28.4,28.53,19.72,48800,0.0,0
2014-10-08,28.39,28.46,27.48,28.4,19.63,73000,0.0,0
2014-10-09,28.4,28.54,27.5,27.81,19.22,107700,0.0,0
2014-10-10,27.74,28.0,25.54,27.41,18.94,245600,0.0,0
2014-10-13,27.23,27.56,27.03,27.22,18.81,52700,0.0,0
2014-10-14,27.15,27.15,25.67,26.04,17.99,209700,0.0,0
2014-10-15,26.04,26.71,25.64,25.85,17.86,269900,0.0,0
2014-10-16,25.59,27.38,25.55,26.8,18.52,130200,0.0,0
2014-10-17,26.91,29.67,26.91,29.15,20.14,123300,0.0,0
2014-10-20,29.05,29.09,28.15,28.2,19.49,55400,0.0,0
2014-10-21,28.32,29.48,28.32,28.57,19.74,122900,0.0,0
2014-10-22,28.65,29.23,28.21,28.3,19.56,31800,0.0,0
2014-10-23,28.58,29.25,28.53,29.0,20.04,52000,0.0,0
2014-10-24,29.0,29.1,28.59,28.7,19.83,16700,0.0,0
2014-10-27,28.87,29.08,28.23,28.44,19.65,58300,0.0,0
2014-10-28,28.43,29.35,28.4,29.18,20.16,115100,0.0,0
2014-10-29,29.09,29.4,28.88,29.25,20.21,98200,0.0,0
2014-10-30,29.24,30.09,29.01,29.55,20.42,56200,0.0,0
2014-10-31,29.64,30.26,29.64,30.15,20.83,83200,0.0,0
2014-11-03,30.33,30.43,29.74,30.08,20.79,72300,0.0,0
2014-11-04,29.46,30.0,28.43,28.75,19.87,185700,0.0,0
2014-11-05,28.7,28.83,28.15,28.35,19.59,150200,0.0,0
2014-11-06,28.21,29.11,28.0,28.9,20.09,99000,0.1704,0
2014-11-07,28.87,28.9,28.43,28.75,19.99,14000,0.0,0
