Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,15.59,15.74,15.52,15.6,10.6,159800,0.0,0
2010-01-05,15.58,16.09,15.47,15.93,10.82,354600,0.0,0
2010-01-06,15.87,16.21,15.87,16.05,10.9,236600,0.0,0
2010-01-07,16.11,16.3,15.95,16.28,11.06,234500,0.0,0
2010-01-08,16.27,16.35,16.2,16.3,11.07,150900,0.0,0
2010-01-11,16.38,16.43,15.96,15.98,10.85,224700,0.0,0
2010-01-12,15.91,16.13,15.88,15.97,10.85,135900,0.0,0
2010-01-13,16.0,16.16,15.91,16.08,10.92,123200,0.0,0
2010-01-14,16.15,16.16,16.0,16.03,10.89,95100,0.0,0
2010-01-15,16.04,16.12,15.78,15.99,10.86,170000,0.0,0
2010-01-19,16.09,16.27,15.99,16.1,10.94,159400,0.0,0
2010-01-20,16.06,16.29,15.8,16.25,11.04,160400,0.0,0
2010-01-21,16.23,16.25,15.75,15.84,10.76,200000,0.0,0
2010-01-22,15.87,15.92,15.61,15.71,10.67,186200,0.0,0
2010-01-25,15.95,16.19,15.93,16.1,10.94,202700,0.0,0
2010-01-26,16.06,16.45,16.0,16.34,11.1,291800,0.0,0
2010-01-27,16.34,16.48,16.26,16.36,11.11,127300,0.0,0
2010-01-28,16.38,16.44,16.01,16.21,11.01,115300,0.0,0
2010-01-29,16.31,16.39,16.0,16.0,10.87,160900,0.0,0
2010-02-01,16.17,16.3,16.03,16.2,11.0,185300,0.0,0
2010-02-02,16.3,16.39,16.14,16.31,11.08,138400,0.0,0
2010-02-03,16.29,16.4,16.2,16.33,11.09,217500,0.0,0
2010-02-04,16.26,16.3,15.88,15.94,10.83,161800,0.0,0
2010-02-05,16.09,16.16,15.8,16.1,10.94,260000,0.0,0
2010-02-08,16.16,16.26,15.98,16.0,10.87,149700,0.0,0
2010-02-09,16.13,16.22,15.96,16.05,10.9,141800,0.0,0
2010-02-10,16.09,16.3,15.97,16.26,11.04,127400,0.0,0
2010-02-11,16.11,16.26,15.91,16.07,10.91,288000,0.0,0
2010-02-12,15.96,16.18,15.95,16.08,10.92,241100,0.0,0
2010-02-16,16.18,16.25,15.99,16.1,10.94,156700,0.0,0
2010-02-17,16.11,16.23,16.1,16.16,10.98,274100,0.0,0
2010-02-18,16.11,16.4,16.09,16.34,11.1,154700,0.0,0
2010-02-19,16.35,16.48,16.29,16.44,11.17,114600,0.0,0
2010-02-22,16.5,16.51,16.26,16.28,11.06,183100,0.0,0
2010-02-23,16.28,16.44,16.21,16.27,11.05,317500,0.0,0
2010-02-24,16.34,16.43,16.28,16.43,11.16,124500,0.0,0
2010-02-25,16.35,17.01,16.3,17.01,11.55,289600,0.0,0
2010-02-26,17.04,17.17,16.89,17.05,11.58,362200,0.0,0
2010-03-01,17.13,17.52,17.08,17.44,11.85,464200,0.0,0
2010-03-02,17.52,17.75,17.44,17.75,12.06,293600,0.0,0
2010-03-03,17.83,17.91,17.55,17.68,12.01,167200,0.0,0
2010-03-04,17.78,17.8,17.39,17.52,11.9,187900,0.0,0
2010-03-05,17.56,17.98,17.56,17.95,12.19,256900,0.0,0
2010-03-08,17.97,18.0,17.74,17.84,12.12,250300,0.0,0
2010-03-09,17.84,18.0,17.76,17.86,12.13,307800,0.0,0
2010-03-10,17.95,18.11,17.7,18.04,12.25,344800,0.0,0
2010-03-11,17.87,17.87,17.61,17.78,12.32,431000,0.36,0
2010-03-12,17.79,17.87,17.21,17.27,11.97,367300,0.0,0
2010-03-15,17.14,17.53,17.14,17.35,12.02,257800,0.0,0
2010-03-16,17.45,17.45,17.17,17.24,11.95,209100,0.0,0
2010-03-17,17.31,17.31,17.11,17.12,11.86,121000,0.0,0
2010-03-18,17.15,17.2,17.04,17.11,11.86,138600,0.0,0
2010-03-19,17.19,17.24,17.0,17.19,11.91,399300,0.0,0
2010-03-22,17.08,17.32,17.0,17.22,11.93,189600,0.0,0
2010-03-23,17.25,17.34,17.15,17.24,11.95,279800,0.0,0
2010-03-24,17.21,17.5,17.21,17.39,12.05,242700,0.0,0
2010-03-25,17.45,17.85,17.45,17.56,12.17,278000,0.0,0
2010-03-26,17.72,17.79,17.56,17.6,12.2,234900,0.0,0
2010-03-29,17.78,17.78,17.28,17.36,12.03,151900,0.0,0
2010-03-30,17.42,17.54,17.28,17.42,12.07,141800,0.0,0
2010-03-31,17.36,17.54,17.25,17.3,11.99,202900,0.0,0
2010-04-01,17.31,17.45,17.0,17.02,11.8,307000,0.0,0
2010-04-05,17.12,17.46,17.1,17.43,12.08,147700,0.0,0
2010-04-06,17.34,17.45,17.21,17.25,11.95,172000,0.0,0
2010-04-07,17.25,17.25,17.03,17.18,11.91,238100,0.0,0
2010-04-08,17.2,17.21,17.11,17.11,11.86,133300,0.0,0
2010-04-09,17.12,17.24,17.11,17.2,11.92,163900,0.0,0
2010-04-12,17.27,17.27,17.12,17.22,11.93,136500,0.0,0
2010-04-13,17.18,17.5,17.18,17.48,12.11,139100,0.0,0
2010-04-14,17.52,17.61,17.38,17.56,12.17,173300,0.0,0
2010-04-15,17.55,17.75,17.55,17.66,12.24,111400,0.0,0
2010-04-16,17.65,17.8,17.5,17.58,12.18,149600,0.0,0
2010-04-19,17.64,17.64,17.41,17.56,12.17,121600,0.0,0
2010-04-20,17.58,18.25,17.58,18.25,12.65,342700,0.0,0
2010-04-21,18.34,18.5,18.22,18.5,12.82,224100,0.0,0
2010-04-22,18.4,18.71,18.31,18.64,12.92,270900,0.0,0
2010-04-23,18.71,18.75,18.45,18.67,12.94,330000,0.0,0
2010-04-26,18.61,18.95,18.61,18.88,13.08,272800,0.0,0
2010-04-27,18.8,18.9,18.55,18.77,13.01,170800,0.0,0
2010-04-28,18.75,18.91,18.54,18.73,12.98,208700,0.0,0
2010-04-29,18.84,18.91,18.5,18.5,12.82,165600,0.0,0
2010-04-30,18.5,18.68,18.21,18.25,12.65,176600,0.0,0
2010-05-03,18.34,18.47,18.12,18.4,12.75,170500,0.0,0
2010-05-04,18.22,18.28,17.76,18.22,12.63,180300,0.0,0
2010-05-05,18.07,18.2,17.67,17.7,12.27,167700,0.0,0
2010-05-06,17.65,18.0,12.86,16.21,11.23,904000,0.0,0
2010-05-07,16.34,16.77,15.99,16.41,11.37,505400,0.0,0
2010-05-10,16.96,17.56,16.78,16.97,11.76,476800,0.0,0
2010-05-11,17.02,17.49,16.38,17.29,11.98,239200,0.0,0
2010-05-12,16.8,16.89,16.42,16.42,11.38,812000,0.0,0
2010-05-13,16.53,17.13,16.45,16.9,11.71,284700,0.0,0
2010-05-14,16.82,17.0,16.66,16.78,11.63,199600,0.0,0
2010-05-17,16.81,17.32,16.71,17.27,11.97,263400,0.0,0
2010-05-18,17.42,17.57,16.82,16.98,11.77,173100,0.0,0
2010-05-19,16.52,16.73,16.08,16.41,11.37,336800,0.0,0
2010-05-20,16.3,16.31,15.7,15.87,11.0,375600,0.0,0
2010-05-21,15.64,16.4,15.33,16.35,11.33,346800,0.0,0
2010-05-24,16.36,16.61,16.11,16.13,11.18,176300,0.0,0
2010-05-25,15.98,16.05,15.68,16.01,11.1,357500,0.0,0
2010-05-26,16.1,16.6,16.1,16.28,11.28,210700,0.0,0
2010-05-27,16.55,16.89,16.55,16.89,11.71,177100,0.0,0
2010-05-28,16.89,16.96,16.51,16.57,11.48,139500,0.0,0
2010-06-01,16.37,17.0,16.37,16.65,11.54,316400,0.0,0
2010-06-02,16.72,16.78,16.51,16.76,11.62,213400,0.0,0
2010-06-03,16.74,17.21,16.68,16.75,11.61,246100,0.0,0
2010-06-04,16.56,16.59,16.24,16.29,11.29,286400,0.0,0
2010-06-07,16.52,16.55,16.07,16.09,11.15,198900,0.0,0
2010-06-08,16.18,16.31,15.92,16.04,11.12,192900,0.0,0
2010-06-09,16.22,16.53,16.01,16.19,11.22,268100,0.0,0
2010-06-10,16.47,16.72,16.44,16.71,11.58,216000,0.0,0
2010-06-11,16.14,16.53,16.05,16.49,11.68,141900,0.36,0
2010-06-14,16.68,16.68,16.1,16.29,11.54,483300,0.0,0
2010-06-15,16.31,16.56,16.22,16.24,11.5,220300,0.0,0
2010-06-16,16.22,16.41,16.07,16.38,11.6,254500,0.0,0
2010-06-17,16.43,16.44,16.18,16.29,11.54,127500,0.0,0
2010-06-18,16.25,16.52,16.25,16.49,11.68,169600,0.0,0
2010-06-21,16.49,16.55,16.11,16.21,11.48,201600,0.0,0
2010-06-22,16.25,16.5,16.22,16.23,11.5,135700,0.0,0
2010-06-23,16.22,16.35,16.13,16.2,11.47,149200,0.0,0
2010-06-24,16.1,16.34,16.04,16.05,11.37,119600,0.0,0
2010-06-25,16.1,16.46,16.04,16.26,11.52,472400,0.0,0
2010-06-28,16.32,16.41,16.0,16.08,11.39,161800,0.0,0
2010-06-29,16.02,16.11,15.42,15.58,11.04,301000,0.0,0
2010-06-30,15.53,15.94,15.52,15.56,11.02,120400,0.0,0
