Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,13.28,13.4,13.22,13.34,48200,0.0,0
2010-01-05,13.51,13.68,13.51,13.55,61400,0.0,0
2010-01-06,13.69,13.79,13.67,13.69,85600,0.0,0
2010-01-07,13.49,13.61,13.49,13.61,29500,0.0,0
2010-01-08,13.44,13.61,13.44,13.59,30800,0.0,0
2010-01-11,13.78,13.78,13.64,13.7,17000,0.0,0
2010-01-12,13.69,13.73,13.49,13.56,40500,0.0,0
2010-01-13,13.54,13.66,13.48,13.63,23300,0.0,0
2010-01-14,14.94,15.1,14.77,15.05,185400,0.0,0
2010-01-15,15.29,15.29,14.94,15.05,61000,0.0,0
2010-01-19,15.18,15.38,15.16,15.37,29300,0.0,0
2010-01-20,14.83,14.86,14.51,14.6,87200,0.0,0
2010-01-21,15.14,15.21,14.72,14.78,113500,0.0,0
2010-01-22,14.83,14.88,14.31,14.44,103800,0.0,0
2010-01-25,14.33,14.33,14.1,14.14,31000,0.0,0
2010-01-26,13.7,13.85,13.61,13.74,64900,0.0,0
2010-01-27,13.32,13.63,13.21,13.55,27600,0.0,0
2010-01-28,13.84,13.89,13.55,13.58,29100,0.0,0
2010-01-29,13.75,13.9,13.54,13.56,56000,0.0,0
2010-02-01,14.45,14.74,14.45,14.72,51900,0.0,0
2010-02-02,14.65,14.95,14.65,14.93,30100,0.0,0
2010-02-03,14.94,14.94,14.67,14.76,12000,0.0,0
2010-02-04,14.4,14.4,13.65,13.65,56600,0.0,0
2010-02-05,13.83,14.11,13.76,14.02,43300,0.0,0
2010-02-08,14.08,14.25,13.99,14.06,22700,0.0,0
2010-02-09,13.96,14.07,13.81,13.99,42700,0.0,0
2010-02-10,14.2,14.39,14.15,14.26,20900,0.0,0
2010-02-11,14.31,14.59,14.27,14.54,36700,0.0,0
2010-02-12,14.62,14.62,14.31,14.46,19800,0.0,0
2010-02-16,14.64,14.75,14.56,14.75,35500,0.0,0
2010-02-17,15.0,15.0,14.76,14.89,50400,0.0,0
2010-02-18,15.0,15.17,15.0,15.14,61900,0.0,0
2010-02-19,14.8,14.86,14.66,14.82,31400,0.0,0
2010-02-22,14.82,14.82,14.82,14.82,0,0.0,0
2010-02-23,14.82,14.82,14.82,14.82,0,0.0,0
2010-02-24,14.82,14.82,14.82,14.82,0,0.0,0
2010-02-25,14.82,14.82,14.82,14.82,0,0.0,0
2010-02-26,14.82,14.82,14.82,14.82,0,0.0,0
2010-03-01,14.82,14.82,14.82,14.82,0,0.0,0
2010-03-02,14.82,14.82,14.82,14.82,0,0.0,0
2010-03-03,14.82,14.82,14.82,14.82,0,0.0,0
2010-03-04,14.82,14.82,14.82,14.82,0,0.0,0
2010-03-05,14.82,14.82,14.82,14.82,0,0.0,0
2010-03-08,14.82,14.82,14.82,14.82,0,0.0,0
2010-03-09,15.76,17.35,15.76,17.28,133300,0.0,0
2010-03-10,18.41,18.86,18.41,18.73,187800,0.0,0
2010-03-11,18.59,18.61,18.34,18.51,79400,0.0,0
2010-03-12,18.12,18.27,17.92,18.03,65000,0.0,0
2010-03-15,17.75,17.78,17.35,17.68,43400,0.0,0
2010-03-16,17.56,17.68,17.48,17.66,22500,0.0,0
2010-03-17,17.41,17.45,17.25,17.37,37300,0.0,0
2010-03-18,18.28,18.36,18.18,18.27,33000,0.0,0
2010-03-19,18.61,19.57,18.61,18.61,129700,0.0,0
2010-03-22,18.57,18.86,18.53,18.84,51200,0.0,0
2010-03-23,17.86,17.86,17.55,17.79,43200,0.0,0
2010-03-24,17.09,17.17,16.92,16.92,42200,0.0,0
2010-03-25,17.22,17.32,17.02,17.04,18500,0.0,0
2010-03-26,17.79,17.9,17.65,17.83,41600,0.0,0
2010-03-29,17.95,18.07,17.88,18.07,29600,0.0,0
2010-03-30,18.54,18.79,18.53,18.79,62500,0.0,0
2010-03-31,18.6,18.79,18.48,18.65,21400,0.0,0
2010-04-01,18.79,18.85,18.67,18.84,27300,0.0,0
2010-04-05,18.88,18.97,18.65,18.97,32900,0.0,0
2010-04-06,18.89,18.96,18.78,18.86,20900,0.0,0
2010-04-07,19.59,19.6,19.34,19.41,50000,0.0,0
2010-04-08,19.79,20.26,19.79,20.26,51500,0.0,0
2010-04-09,20.43,20.74,20.4,20.52,31100,0.0,0
