Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,16.66,16.95,16.65,16.9,169300,0.0,0,04,2010,1
2010-01-05,16.89,16.96,16.6,16.77,184100,0.135,0,05,2010,1
2010-01-06,16.72,16.99,16.71,16.77,152100,0.0,0,06,2010,1
2010-01-07,16.71,16.99,16.51,16.99,107100,0.0,0,07,2010,1
2010-01-08,16.89,17.0,16.8,16.97,138000,0.0,0,08,2010,1
2010-01-11,17.0,17.04,16.91,16.93,96900,0.0,0,11,2010,1
2010-01-12,16.78,16.92,16.64,16.75,86700,0.0,0,12,2010,1
2010-01-13,16.36,16.81,16.32,16.76,80800,0.0,0,13,2010,1
2010-01-14,16.65,16.79,16.6,16.69,241300,0.0,0,14,2010,1
2010-01-15,16.76,16.76,16.1,16.39,166800,0.0,0,15,2010,1
2010-01-19,16.35,16.56,16.24,16.56,148300,0.0,0,19,2010,1
2010-01-20,16.37,16.37,16.0,16.16,135800,0.0,0,20,2010,1
2010-01-21,16.23,16.27,15.67,15.68,230800,0.0,0,21,2010,1
2010-01-22,15.63,15.91,15.56,15.6,125600,0.0,0,22,2010,1
2010-01-25,15.68,15.72,15.53,15.61,112500,0.0,0,25,2010,1
2010-01-26,15.52,15.74,15.5,15.52,128100,0.0,0,26,2010,1
2010-01-27,15.38,15.76,15.38,15.72,127700,0.0,0,27,2010,1
2010-01-28,15.7,15.71,15.44,15.6,138900,0.0,0,28,2010,1
2010-01-29,15.64,15.92,15.53,15.53,135500,0.0,0,29,2010,1
2010-02-01,15.6,15.8,15.53,15.68,93500,0.0,0,01,2010,2
2010-02-02,15.64,15.76,15.55,15.6,132200,0.0,0,02,2010,2
2010-02-03,15.52,15.83,15.5,15.64,89200,0.0,0,03,2010,2
2010-02-04,15.58,15.64,15.3,15.49,182000,0.0,0,04,2010,2
2010-02-05,15.48,15.73,15.4,15.72,167300,0.0,0,05,2010,2
2010-02-08,15.75,15.75,15.38,15.4,94700,0.0,0,08,2010,2
2010-02-09,15.55,15.68,15.4,15.48,956900,0.0,0,09,2010,2
2010-02-10,15.39,15.52,15.16,15.47,116700,0.0,0,10,2010,2
2010-02-11,15.4,15.7,15.18,15.68,132700,0.0,0,11,2010,2
