Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,8.67,8.67,8.03,8.37,8900,0.0,0,04,2010,1
2010-01-05,8.38,8.5,8.37,8.37,1600,0.0,0,05,2010,1
2010-01-06,8.37,8.57,8.37,8.57,800,0.0,0,06,2010,1
2010-01-07,7.93,8.37,7.93,8.04,1200,0.0,0,07,2010,1
2010-01-08,8.4,8.47,8.4,8.47,400,0.0,0,08,2010,1
2010-01-11,8.57,8.57,8.57,8.57,200,0.0,0,11,2010,1
2010-01-12,8.37,8.37,8.37,8.37,200,0.0,0,12,2010,1
2010-01-13,8.37,8.37,8.37,8.37,0,0.0,0,13,2010,1
2010-01-14,8.65,8.65,8.65,8.65,400,0.0,0,14,2010,1
2010-01-15,8.4,8.54,8.4,8.54,1700,0.0,0,15,2010,1
2010-01-19,8.54,8.54,8.54,8.54,0,0.0,0,19,2010,1
2010-01-20,8.38,8.38,8.38,8.38,200,0.0,0,20,2010,1
2010-01-21,8.54,8.54,8.37,8.37,19200,0.0,0,21,2010,1
2010-01-22,8.3,8.3,8.3,8.3,200,0.0,0,22,2010,1
2010-01-25,8.3,8.3,8.3,8.3,1200,0.0,0,25,2010,1
2010-01-26,8.3,8.37,8.3,8.3,4300,0.0,0,26,2010,1
2010-01-27,8.3,8.37,8.3,8.3,6700,0.0,0,27,2010,1
2010-01-28,8.3,8.3,8.3,8.3,0,0.0,0,28,2010,1
2010-01-29,8.3,8.3,8.3,8.3,0,0.0,0,29,2010,1
2010-02-01,8.3,8.33,8.3,8.33,2600,0.0,0,01,2010,2
2010-02-02,8.33,8.33,8.33,8.33,0,0.0,0,02,2010,2
2010-02-03,8.33,8.33,8.33,8.33,0,0.0,0,03,2010,2
2010-02-04,8.33,8.33,8.3,8.3,61200,0.0,0,04,2010,2
2010-02-05,8.3,8.3,8.3,8.3,0,0.0,0,05,2010,2
2010-02-08,8.4,8.4,8.33,8.33,800,0.0,0,08,2010,2
2010-02-09,8.33,8.33,8.33,8.33,0,0.0,0,09,2010,2
2010-02-10,8.33,8.33,8.3,8.3,19000,0.0,0,10,2010,2
2010-02-11,8.3,8.3,8.3,8.3,0,0.0,0,11,2010,2
2010-02-12,8.34,8.34,8.3,8.3,3300,0.0,0,12,2010,2
2010-02-16,8.67,8.67,8.38,8.4,2300,0.0,0,16,2010,2
2010-02-17,8.67,8.67,8.67,8.67,600,0.0,0,17,2010,2
2010-02-18,8.67,8.67,8.67,8.67,800,0.0,0,18,2010,2
2010-02-19,8.67,8.67,8.4,8.4,1200,0.0,0,19,2010,2
2010-02-22,8.4,8.4,8.4,8.4,0,0.0,0,22,2010,2
2010-02-23,8.44,8.44,8.33,8.33,1400,0.0,0,23,2010,2
2010-02-24,8.33,8.67,8.33,8.67,3400,0.0,0,24,2010,2
2010-02-25,8.8,8.8,8.8,8.8,0,0.19,0,25,2010,2
2010-02-26,8.8,8.8,8.8,8.8,0,0.0,0,26,2010,2
2010-03-01,8.43,8.43,8.43,8.43,1800,0.0,0,01,2010,3
2010-03-02,8.43,8.43,8.43,8.43,0,0.0,0,02,2010,3
2010-03-03,8.43,8.43,8.43,8.43,0,0.0,0,03,2010,3
2010-03-04,8.43,8.43,8.43,8.43,0,0.0,0,04,2010,3
2010-03-05,8.76,8.76,8.76,8.76,300,0.0,0,05,2010,3
2010-03-08,8.79,8.8,8.79,8.8,1200,0.0,0,08,2010,3
2010-03-09,8.87,8.97,8.83,8.86,5700,0.0,0,09,2010,3
2010-03-10,9.04,9.04,8.87,8.9,4300,0.0,0,10,2010,3
2010-03-11,8.9,8.9,8.9,8.9,0,0.0,0,11,2010,3
2010-03-12,8.87,8.97,8.87,8.97,2100,0.0,0,12,2010,3
2010-03-15,8.97,8.97,8.87,8.9,1200,0.0,0,15,2010,3
2010-03-16,8.97,8.97,8.8,8.8,102300,0.0,0,16,2010,3
2010-03-17,8.9,8.97,8.9,8.97,3500,0.0,0,17,2010,3
2010-03-18,8.9,8.9,8.9,8.9,2300,0.0,0,18,2010,3
2010-03-19,8.9,8.9,8.83,8.9,1100,0.0,0,19,2010,3
2010-03-22,8.9,8.9,8.9,8.9,0,0.0,0,22,2010,3
2010-03-23,8.97,8.97,8.9,8.97,1400,0.0,0,23,2010,3
2010-03-24,8.97,8.97,8.83,8.83,5000,0.0,0,24,2010,3
2010-03-25,8.83,8.83,8.83,8.83,0,0.0,0,25,2010,3
2010-03-26,8.84,9.0,8.84,9.0,1900,0.0,0,26,2010,3
2010-03-29,8.84,8.84,8.83,8.83,400,0.0,0,29,2010,3
2010-03-30,8.83,9.0,8.8,9.0,3900,0.0,0,30,2010,3
2010-03-31,8.8,9.0,8.8,8.97,4000,0.0,0,31,2010,3
2010-04-01,9.0,9.0,9.0,9.0,300,0.0,0,01,2010,4
2010-04-05,9.0,9.0,8.7,8.7,2100,0.0,0,05,2010,4
2010-04-06,9.0,9.0,9.0,9.0,400,0.0,0,06,2010,4
2010-04-07,8.97,8.97,8.97,8.97,1000,0.0,0,07,2010,4
2010-04-08,9.0,9.0,8.83,8.83,4000,0.0,0,08,2010,4
2010-04-09,8.83,8.98,8.73,8.73,2100,0.0,0,09,2010,4
2010-04-12,8.73,8.73,8.73,8.73,0,0.0,0,12,2010,4
2010-04-13,9.0,9.01,8.93,9.01,6900,0.0,0,13,2010,4
2010-04-14,9.04,9.04,8.87,8.87,2000,0.0,0,14,2010,4
2010-04-15,9.1,9.17,9.02,9.02,2000,0.0,0,15,2010,4
2010-04-16,9.17,9.17,8.87,8.87,900,0.0,0,16,2010,4
2010-04-19,8.87,8.87,8.87,8.87,200,0.0,0,19,2010,4
2010-04-20,9.0,9.07,9.0,9.07,3800,0.0,0,20,2010,4
2010-04-21,9.07,9.17,9.07,9.07,2700,0.0,0,21,2010,4
2010-04-22,9.07,9.07,9.07,9.07,300,0.0,0,22,2010,4
2010-04-23,9.14,9.14,9.14,9.14,500,0.0,0,23,2010,4
2010-04-26,9.14,9.17,9.13,9.14,6700,0.0,0,26,2010,4
2010-04-27,9.19,9.51,9.19,9.51,2000,0.0,0,27,2010,4
2010-04-28,9.51,9.51,9.51,9.51,500,0.0,0,28,2010,4
2010-04-29,9.51,9.51,9.51,9.51,200,0.0,0,29,2010,4
2010-04-30,9.51,9.51,9.51,9.51,0,0.0,0,30,2010,4
2010-05-03,9.51,9.51,9.51,9.51,0,0.0,0,03,2010,5
2010-05-04,9.51,9.85,9.51,9.85,2300,0.0,0,04,2010,5
2010-05-05,9.51,9.51,9.51,9.51,1200,0.0,0,05,2010,5
2010-05-06,9.51,9.51,9.21,9.21,1400,0.0,0,06,2010,5
2010-05-07,9.21,9.21,9.21,9.21,600,0.0,0,07,2010,5
2010-05-10,9.51,9.51,9.24,9.24,1300,0.0,0,10,2010,5
2010-05-11,9.44,9.85,9.44,9.61,3400,0.0,0,11,2010,5
2010-05-12,9.61,9.61,9.51,9.51,3400,0.0,0,12,2010,5
2010-05-13,9.51,9.51,9.51,9.51,0,0.0,0,13,2010,5
2010-05-14,9.51,9.51,9.51,9.51,1400,0.0,0,14,2010,5
2010-05-17,9.51,9.51,9.51,9.51,1200,0.0,0,17,2010,5
2010-05-18,9.51,9.51,9.51,9.51,0,0.0,0,18,2010,5
2010-05-19,9.51,9.51,9.51,9.51,0,0.0,0,19,2010,5
2010-05-20,9.51,9.51,9.51,9.51,500,0.0,0,20,2010,5
2010-05-21,9.51,9.51,9.51,9.51,0,0.0,0,21,2010,5
2010-05-24,9.51,9.51,9.51,9.51,2800,0.0,0,24,2010,5
2010-05-25,9.68,9.68,9.52,9.52,1400,0.0,0,25,2010,5
2010-05-26,9.85,9.85,9.85,9.85,100,0.0,0,26,2010,5
2010-05-27,9.64,9.64,9.64,9.64,1100,0.19,0,27,2010,5
2010-05-28,9.64,9.64,9.64,9.64,2400,0.0,0,28,2010,5
2010-06-01,9.91,9.91,9.91,9.91,700,0.0,0,01,2010,6
2010-06-02,9.47,9.65,9.47,9.51,2200,0.0,0,02,2010,6
2010-06-03,9.67,9.67,9.64,9.64,700,0.0,0,03,2010,6
2010-06-04,9.51,9.51,9.5,9.5,2900,0.0,0,04,2010,6
2010-06-07,9.47,9.64,9.47,9.64,5400,0.0,0,07,2010,6
2010-06-08,9.64,9.64,9.64,9.64,2500,0.0,0,08,2010,6
2010-06-09,9.64,9.64,9.64,9.64,1300,0.0,0,09,2010,6
2010-06-10,9.98,9.98,9.64,9.64,1500,0.0,0,10,2010,6
2010-06-11,9.64,9.64,9.64,9.64,2500,0.0,0,11,2010,6
