Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2018-03-08,90.69,91.16,90.19,90.89,1097100,0.0,0,08,2018,3
2018-03-09,90.8,92.62,90.57,92.04,116000,0.0,0,09,2018,3
2018-03-12,92.16,92.16,90.8,92.11,95100,0.0,0,12,2018,3
2018-03-13,91.48,92.61,91.48,91.53,7400,0.0,0,13,2018,3
2018-03-14,91.25,91.75,91.25,91.75,22300,0.0,0,14,2018,3
2018-03-15,92.02,92.16,90.35,91.87,17000,0.0,0,15,2018,3
2018-03-16,91.25,93.04,91.25,93.03,42800,0.0,0,16,2018,3
2018-03-19,92.62,92.99,92.01,92.99,145500,0.0,0,19,2018,3
2018-03-20,92.55,93.69,92.55,93.28,89600,0.0,0,20,2018,3
2018-03-21,91.88,94.08,91.88,93.45,239500,0.0,0,21,2018,3
2018-03-22,91.73,93.51,91.71,92.21,44900,0.0,0,22,2018,3
2018-03-23,92.61,94.57,90.84,90.86,165100,0.0,0,23,2018,3
2018-03-26,91.63,92.93,90.89,92.93,215100,0.0,0,26,2018,3
2018-03-27,92.73,93.31,92.35,92.51,4500,0.0,0,27,2018,3
2018-03-28,93.19,94.87,93.19,93.55,5100,0.0,0,28,2018,3
2018-03-29,93.28,94.17,93.28,94.1,4800,0.0,0,29,2018,3
2018-04-02,93.47,94.32,91.51,93.06,15500,0.0,0,02,2018,4
2018-04-03,93.58,93.58,92.04,93.23,15500,0.0,0,03,2018,4
2018-04-04,92.82,94.19,92.5,94.13,17800,0.0,0,04,2018,4
2018-04-05,94.32,96.99,93.19,95.94,49900,0.0,0,05,2018,4
2018-04-06,95.56,95.56,92.37,92.97,46600,0.0,0,06,2018,4
2018-04-09,93.45,95.77,93.12,93.13,77900,0.0,0,09,2018,4
2018-04-10,93.86,95.23,93.33,93.92,64200,0.0,0,10,2018,4
2018-04-11,93.35,94.37,93.12,93.86,123200,0.0,0,11,2018,4
2018-04-12,94.14,95.0,94.1,94.69,122900,0.0,0,12,2018,4
2018-04-13,94.66,95.07,94.07,94.6,62600,0.0,0,13,2018,4
2018-04-16,94.85,95.49,94.85,95.33,112500,0.0,0,16,2018,4
2018-04-17,95.33,96.2,95.12,95.37,105900,0.0,0,17,2018,4
2018-04-18,95.62,97.32,94.9,95.25,12400,0.0,0,18,2018,4
2018-04-19,95.65,95.65,94.77,95.06,47100,0.0,0,19,2018,4
2018-04-20,95.4,96.42,95.27,96.22,401300,0.0,0,20,2018,4
2018-04-23,96.21,96.21,95.23,95.53,46500,0.0,0,23,2018,4
2018-04-24,95.82,96.22,95.63,95.64,51800,0.0,0,24,2018,4
2018-04-25,95.63,96.15,95.63,95.77,29200,0.0,0,25,2018,4
2018-04-26,95.89,99.08,95.71,95.72,31600,0.0,0,26,2018,4
2018-04-27,95.85,96.88,95.85,96.19,28100,0.0,0,27,2018,4
2018-04-30,96.31,96.46,95.19,95.19,17900,0.0,0,30,2018,4
2018-05-01,94.54,95.97,94.28,95.97,7400,0.0,0,01,2018,5
2018-05-02,95.24,95.24,93.02,93.22,15200,0.0,0,02,2018,5
2018-05-03,92.36,93.05,90.21,93.05,89200,0.0,0,03,2018,5
2018-05-04,92.02,92.07,90.62,91.58,59800,0.0,0,04,2018,5
2018-05-07,90.8,91.5,90.8,91.5,2500,0.0,0,07,2018,5
2018-05-08,91.6,91.6,90.65,91.04,26800,0.0,0,08,2018,5
2018-05-09,90.73,91.07,90.35,91.06,20400,0.0,0,09,2018,5
2018-05-10,90.76,91.83,90.62,91.83,5100,0.0,0,10,2018,5
2018-05-11,91.92,93.05,91.24,93.05,29200,0.0,0,11,2018,5
2018-05-14,91.85,91.85,91.44,91.81,29800,0.0,0,14,2018,5
2018-05-15,92.17,93.0,92.01,93.0,20500,0.0,0,15,2018,5
2018-05-16,95.09,95.97,95.09,95.95,277700,0.0,0,16,2018,5
2018-05-17,96.46,96.46,95.91,95.97,1000,0.0,0,17,2018,5
2018-05-18,96.94,98.11,96.67,97.61,1500,0.0,0,18,2018,5
2018-05-21,97.97,98.87,97.97,98.87,1800,0.0,0,21,2018,5
2018-05-22,98.7,99.25,98.27,98.27,12200,0.0,0,22,2018,5
2018-05-23,97.26,97.58,97.26,97.58,17700,0.0,0,23,2018,5
2018-05-24,97.35,98.1,97.35,98.1,27700,0.0,0,24,2018,5
2018-05-25,97.74,98.71,97.68,98.17,14600,0.0,0,25,2018,5
2018-05-29,97.25,97.26,96.69,96.69,3200,0.0,0,29,2018,5
2018-05-30,96.73,97.83,96.73,97.44,250400,0.0,0,30,2018,5
2018-05-31,98.17,98.17,95.99,96.19,4800,1.6792,0,31,2018,5
2018-06-01,96.7,96.7,96.63,96.63,25800,0.0,0,01,2018,6
2018-06-04,96.42,96.73,96.23,96.44,26300,0.0,0,04,2018,6
2018-06-05,96.37,96.74,96.37,96.74,1400,0.0,0,05,2018,6
2018-06-06,96.99,97.28,96.99,97.28,53300,0.0,0,06,2018,6
2018-06-07,97.51,98.2,97.51,98.2,1500,0.0,0,07,2018,6
2018-06-08,98.2,99.32,98.19,99.31,2700,0.0,0,08,2018,6
2018-06-11,99.93,99.93,96.95,96.95,2000,0.0,0,11,2018,6
2018-06-12,97.28,97.84,96.94,97.56,4900,0.0,0,12,2018,6
2018-06-13,98.51,98.69,98.48,98.48,25900,0.0,0,13,2018,6
2018-06-14,98.48,98.48,97.55,97.55,800,0.0,0,14,2018,6
2018-06-15,96.5,96.5,96.5,96.5,7500,0.0,0,15,2018,6
2018-06-18,97.28,97.29,97.06,97.06,32500,0.0,0,18,2018,6
2018-06-19,97.0,100.27,97.0,100.27,26200,0.0,0,19,2018,6
2018-06-20,100.4,101.68,100.31,101.49,54300,0.0,0,20,2018,6
2018-06-21,102.2,102.24,101.66,102.24,101500,0.0,0,21,2018,6
2018-06-22,102.85,103.0,101.74,102.41,34700,0.0,0,22,2018,6
2018-06-25,102.62,102.63,101.82,102.63,21300,0.0,0,25,2018,6
2018-06-26,100.78,101.31,100.6,101.06,16600,0.0,0,26,2018,6
2018-06-27,102.69,102.69,101.73,102.4,14400,0.0,0,27,2018,6
2018-06-28,101.87,104.48,101.87,103.94,26700,0.0,0,28,2018,6
2018-06-29,103.74,103.98,102.82,102.82,8000,0.0,0,29,2018,6
2018-07-02,102.77,103.38,102.77,103.21,46600,0.0,0,02,2018,7
2018-07-03,104.06,104.89,103.73,104.45,2200,0.0,0,03,2018,7
2018-07-05,104.79,104.79,102.93,104.35,12400,0.0,0,05,2018,7
2018-07-06,104.18,104.88,104.0,104.28,2700,0.0,0,06,2018,7
2018-07-09,104.31,105.24,104.27,105.09,54100,0.0,0,09,2018,7
2018-07-10,105.54,106.31,105.39,105.86,4500,0.0,0,10,2018,7
2018-07-11,106.08,106.79,105.36,106.49,88200,0.0,0,11,2018,7
