Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,2.2230000000000003,2.2304,2.1637,2.2082,14900,0.0,0,04,2010,1
2010-01-05,2.2156,2.26,2.2156,2.26,19700,0.0,0,05,2010,1
2010-01-06,2.3193,2.3341,2.1489,2.2007,23100,0.0,0,06,2010,1
2010-01-07,2.2748,2.2748,2.06,2.1489,24000,0.0,0,07,2010,1
2010-01-08,2.1044,2.2082,2.1044,2.1785,18400,0.0,0,08,2010,1
2010-01-11,2.1859,2.1859,2.0451,2.1415,35200,0.0,0,11,2010,1
2010-01-12,2.1266,2.1859,2.1118,2.1785,11300,0.0,0,12,2010,1
2010-01-13,2.1785,2.1785,2.1118,2.1192,5400,0.0,0,13,2010,1
2010-01-14,2.1415,2.1859,2.1192,2.1637,114600,0.0,0,14,2010,1
2010-01-15,2.1711,2.2230000000000003,2.1637,2.2156,31400,0.0,0,15,2010,1
2010-01-19,2.2082,2.26,2.1266,2.2378,18500,0.0,0,19,2010,1
2010-01-20,2.2230000000000003,2.2452,2.1192,2.2452,6200,0.0,0,20,2010,1
2010-01-21,2.2304,2.26,2.1489,2.2230000000000003,6100,0.0,0,21,2010,1
2010-01-22,2.1859,2.2230000000000003,2.1563,2.2230000000000003,4000,0.0,0,22,2010,1
2010-01-25,2.1637,2.2007,2.0748,2.2007,4900,0.0,0,25,2010,1
2010-01-26,2.1563,2.2007,2.1563,2.2007,900,0.0,0,26,2010,1
2010-01-27,2.1489,2.2156,2.1489,2.2156,5000,0.0,0,27,2010,1
2010-01-28,2.2156,2.2156,2.1933,2.2156,3300,0.0,0,28,2010,1
2010-01-29,2.1933,2.2230000000000003,2.1785,2.2230000000000003,2500,0.0,0,29,2010,1
2010-02-01,2.1637,2.2156,2.1563,2.2156,3400,0.0,0,01,2010,2
2010-02-02,2.2082,2.2230000000000003,2.1711,2.2230000000000003,12400,0.0,0,02,2010,2
2010-02-03,2.2082,2.2230000000000003,2.1933,2.2230000000000003,3500,0.0,0,03,2010,2
