Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2014-11-05,23.1301,23.3348,21.0977,21.2569,30912700,0.0,0,05,2014,11
2014-11-06,21.5299,21.9925,21.3479,21.4238,1619200,0.0,0,06,2014,11
2014-11-07,21.4238,21.8712,21.0522,21.2873,566900,0.0,0,07,2014,11
2014-11-10,21.6058,21.7954,21.4238,21.4617,989600,0.0,0,10,2014,11
2014-11-11,21.4389,21.583000000000002,21.0673,21.5148,449400,0.0,0,11,2014,11
2014-11-12,21.8333,21.9925,21.3555,21.9925,255100,0.0,0,12,2014,11
2014-11-13,22.3641,22.3641,21.674,21.7271,380300,0.0,0,13,2014,11
2014-11-14,21.9774,21.985,21.5216,21.8864,292000,0.0,0,14,2014,11
2014-11-17,21.7954,22.1063,21.3934,21.3934,482600,0.0,0,17,2014,11
2014-11-18,21.31,21.6209,21.0977,21.4238,246500,0.0,0,18,2014,11
2014-11-19,21.3252,21.6058,21.1401,21.4313,286000,0.0,0,19,2014,11
2014-11-20,21.2342,21.4996,21.2342,21.3479,321500,0.0,0,20,2014,11
2014-11-21,21.5982,21.5982,20.9005,21.2418,273400,0.0,0,21,2014,11
2014-11-24,21.2114,21.3138,21.0901,21.2569,239800,0.0,0,24,2014,11
2014-11-25,21.219,21.31,20.9232,21.2114,234900,0.0,0,25,2014,11
2014-11-26,21.1508,21.3479,20.9612,21.2114,134900,0.0,0,26,2014,11
2014-11-28,21.037,21.1963,19.8236,20.9991,162200,0.0,0,28,2014,11
2014-12-01,20.7792,21.1963,19.9905,20.3469,399900,0.0,0,01,2014,12
2014-12-02,20.2407,21.3934,20.2407,21.2266,189200,0.0,0,02,2014,12
2014-12-03,21.401,22.1973,21.0825,21.7347,319300,0.0,0,03,2014,12
2014-12-04,21.5906,21.7499,21.1735,21.1963,141200,0.0,0,04,2014,12
2014-12-05,21.2342,21.3479,20.9498,21.0446,101500,0.0,0,05,2014,12
2014-12-08,20.8019,20.9612,19.5051,19.6871,543400,0.0,0,08,2014,12
2014-12-09,18.997,19.6113,18.9212,19.4217,408800,0.0,0,09,2014,12
2014-12-10,19.2473,19.6568,17.905,18.5268,1000600,0.0,0,10,2014,12
2014-12-11,18.4055,19.1942,18.4055,18.9591,308700,0.0,0,11,2014,12
2014-12-12,18.7922,19.1638,17.5258,19.0349,481600,0.0,0,12,2014,12
2014-12-15,19.1866,19.3003,18.2159,18.2538,110000,0.0,0,15,2014,12
2014-12-16,18.1628,18.9591,17.5561,18.2462,658500,0.0,0,16,2014,12
2014-12-17,18.5799,19.0728,17.6395,18.1249,866300,0.0,0,17,2014,12
2014-12-18,18.36,18.6102,17.7685,18.4737,1591500,0.0,0,18,2014,12
2014-12-19,18.5041,18.6254,18.1097,18.4434,482800,0.0,0,19,2014,12
2014-12-22,18.3903,18.5116,17.5637,17.6926,374000,0.0,0,22,2014,12
2014-12-23,17.6168,18.049,17.4348,17.5637,1065900,0.0,0,23,2014,12
2014-12-24,17.4879,17.9732,17.2907,17.9277,99000,0.0,0,24,2014,12
2014-12-26,17.9732,18.7392,17.9505,18.269000000000002,81600,0.0,0,26,2014,12
2014-12-29,18.1552,19.8009,18.1552,19.6947,352300,0.0,0,29,2014,12
2014-12-30,19.6795,20.8171,19.5961,20.4834,238300,0.0,0,30,2014,12
2014-12-31,20.4227,21.9774,20.3863,20.855,319500,0.0,0,31,2014,12
2015-01-02,20.2407,21.0446,20.2028,20.7867,537700,0.0,0,02,2015,1
