Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,2.924,3.0824,2.924,3.0692,1544000,0.0,0.0,04,2010,1
2010-01-05,3.1616,3.1616,3.1022,3.1484,870400,0.0,0.0,05,2010,1
2010-01-06,3.1616,3.1682,3.122,3.122,567600,0.0,0.0,06,2010,1
2010-01-07,3.2804,3.452,3.2606,3.3464,4271200,0.0,0.0,07,2010,1
2010-01-08,3.32,3.32,3.287,3.287,2570000,0.0,0.0,08,2010,1
2010-01-11,3.3266,3.3266,3.221,3.2342,925300,0.0,0.0,11,2010,1
2010-01-12,3.2078,3.2342,3.1418,3.1814,607100,0.0,0.0,12,2010,1
2010-01-13,3.188,3.1946,3.1286,3.188,501000,0.0,0.0,13,2010,1
2010-01-14,3.2012,3.2342,3.1286,3.2012,506500,0.0,0.0,14,2010,1
2010-01-15,3.2276,3.2276,3.0692,3.1022,3068300,0.0,0.0,15,2010,1
2010-01-19,3.0758,3.1088,3.0692,3.0956,1627000,0.0,0.0,19,2010,1
2010-01-20,3.023,3.023,2.957,2.9702,1046200,0.0,0.0,20,2010,1
2010-01-21,2.957,2.9834,2.8844,2.924,761700,0.0,0.0,21,2010,1
2010-01-22,2.8514,2.8712,2.7391,2.7655,891800,0.0,0.0,22,2010,1
2010-01-25,2.8184,2.8382,2.7919,2.8316,585300,0.0,0.0,25,2010,1
2010-01-26,2.7721,2.7787,2.7061,2.7127,780400,0.0,0.0,26,2010,1
2010-01-27,2.6467,2.7127,2.6269,2.7061,1280300,0.0,0.0,27,2010,1
2010-01-28,2.7457,2.7655,2.6599,2.6797,784000,0.0,0.0,28,2010,1
2010-01-29,2.6863,2.6863,2.5675,2.5741,797600,0.0,0.0,29,2010,1
2010-02-01,2.5675,2.5807,2.5279,2.5345,1364100,0.0,0.0,01,2010,2
2010-02-02,2.5279,2.5873,2.5015,2.5609,3529700,0.0,0.0,02,2010,2
2010-02-03,2.6863,2.7259,2.6533,2.6665,1245300,0.0,0.0,03,2010,2
2010-02-04,2.7655,2.7655,2.5807,2.5939,1192600,0.0,0.0,04,2010,2
2010-02-05,2.5675,2.6731,2.5345,2.6599,810400,0.0,0.0,05,2010,2
2010-02-08,2.6731,2.7523,2.6731,2.6731,735400,0.0,0.0,08,2010,2
2010-02-09,2.7193,2.7655,2.7061,2.7589,679400,0.0,0.0,09,2010,2
2010-02-10,2.8051,2.8051,2.7589,2.7655,767800,0.0,0.0,10,2010,2
2010-02-11,2.7655,2.8646,2.7523,2.8514,818000,0.0,0.0,11,2010,2
2010-02-12,2.7985,2.9108,2.7787,2.9108,2108700,0.0,0.0,12,2010,2
2010-02-16,2.924,2.924,2.8646,2.8976,1330300,0.0,0.0,16,2010,2
2010-02-17,2.8514,2.9504,2.8514,2.9504,901200,0.0,0.0,17,2010,2
2010-02-18,2.8778,2.9042,2.7589,2.8712,605700,0.0,0.0,18,2010,2
2010-02-19,2.8646,2.9108,2.8316,2.8778,652600,0.0,0.0,19,2010,2
