Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,1.95,2.2,1.91,2.17,745400,0,0,04,2010,1
2010-01-05,2.15,2.3,2.1,2.18,819600,0,0,05,2010,1
2010-01-06,2.18,2.25,2.12,2.14,500100,0,0,06,2010,1
2010-01-07,2.15,2.34,2.1,2.27,818900,0,0,07,2010,1
2010-01-08,2.3,2.32,2.2,2.27,299500,0,0,08,2010,1
2010-01-11,2.35,2.49,2.33,2.49,860600,0,0,11,2010,1
2010-01-12,2.42,2.43,2.3,2.36,550200,0,0,12,2010,1
2010-01-13,2.34,2.4,2.3,2.4,309400,0,0,13,2010,1
2010-01-14,2.45,2.5,2.41,2.47,438000,0,0,14,2010,1
2010-01-15,2.45,2.45,2.13,2.29,759400,0,0,15,2010,1
2010-01-19,2.25,2.25,2.07,2.19,612000,0,0,19,2010,1
2010-01-20,2.19,2.23,2.15,2.18,167100,0,0,20,2010,1
2010-01-21,2.22,2.26,2.08,2.09,269700,0,0,21,2010,1
2010-01-22,2.09,2.1,1.88,2.0,441000,0,0,22,2010,1
2010-01-25,2.01,2.06,1.95,1.97,326700,0,0,25,2010,1
2010-01-26,1.98,1.98,1.89,1.96,377700,0,0,26,2010,1
2010-01-27,1.93,1.97,1.89,1.9,198900,0,0,27,2010,1
2010-01-28,1.96,2.06,1.88,2.06,535800,0,0,28,2010,1
2010-01-29,2.06,2.08,1.91,1.96,289900,0,0,29,2010,1
2010-02-01,1.96,2.05,1.88,1.99,156100,0,0,01,2010,2
2010-02-02,2.1,2.14,2.0,2.06,253100,0,0,02,2010,2
2010-02-03,2.09,2.12,1.98,2.01,164400,0,0,03,2010,2
2010-02-04,2.0,2.01,1.89,1.89,256100,0,0,04,2010,2
2010-02-05,1.87,1.91,1.78,1.83,429300,0,0,05,2010,2
2010-02-08,1.81,1.92,1.8,1.92,124900,0,0,08,2010,2
2010-02-09,1.92,1.97,1.88,1.89,121300,0,0,09,2010,2
