Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,3.99,3.99,3.62,3.68,278400,0,0,04,2010,1
2010-01-05,3.66,3.68,3.6,3.63,99800,0,0,05,2010,1
2010-01-06,3.65,3.82,3.62,3.79,157500,0,0,06,2010,1
2010-01-07,3.82,3.84,3.73,3.82,153900,0,0,07,2010,1
2010-01-08,3.71,3.85,3.71,3.78,110700,0,0,08,2010,1
2010-01-11,3.84,3.88,3.73,3.76,147200,0,0,11,2010,1
2010-01-12,3.74,3.78,3.61,3.7,147600,0,0,12,2010,1
2010-01-13,3.7,3.8,3.7,3.77,209500,0,0,13,2010,1
2010-01-14,3.76,3.81,3.74,3.79,125700,0,0,14,2010,1
2010-01-15,3.67,3.81,3.67,3.7,94300,0,0,15,2010,1
2010-01-19,3.75,3.79,3.71,3.78,138900,0,0,19,2010,1
2010-01-20,3.67,3.67,3.34,3.35,917200,0,0,20,2010,1
2010-01-21,3.35,3.42,3.21,3.22,193500,0,0,21,2010,1
2010-01-22,3.2,3.3,3.06,3.07,638200,0,0,22,2010,1
2010-01-25,3.1,3.14,3.07,3.12,169100,0,0,25,2010,1
2010-01-26,3.06,3.09,3.01,3.03,335300,0,0,26,2010,1
2010-01-27,3.02,3.04,2.95,2.97,189300,0,0,27,2010,1
2010-01-28,3.02,3.03,2.96,3.0,144000,0,0,28,2010,1
2010-01-29,3.01,3.04,2.97,2.99,109000,0,0,29,2010,1
2010-02-01,2.93,3.16,2.93,3.16,137600,0,0,01,2010,2
2010-02-02,3.2,3.3,3.08,3.09,156300,0,0,02,2010,2
2010-02-03,3.11,3.2,3.08,3.2,130700,0,0,03,2010,2
2010-02-04,3.09,3.1,2.96,2.98,169000,0,0,04,2010,2
2010-02-05,2.88,3.06,2.88,3.03,233900,0,0,05,2010,2
2010-02-08,3.23,3.23,3.02,3.08,218900,0,0,08,2010,2
2010-02-09,3.25,3.25,3.05,3.12,169600,0,0,09,2010,2
2010-02-10,3.09,3.14,3.04,3.07,189000,0,0,10,2010,2
2010-02-11,3.1,3.21,3.07,3.15,144700,0,0,11,2010,2
2010-02-12,3.1,3.25,3.09,3.2,85300,0,0,12,2010,2
2010-02-16,3.25,3.35,3.25,3.27,188400,0,0,16,2010,2
2010-02-17,3.28,3.31,3.2,3.22,93800,0,0,17,2010,2
2010-02-18,3.21,3.22,3.15,3.2,81300,0,0,18,2010,2
2010-02-19,3.18,3.21,3.18,3.2,84500,0,0,19,2010,2
2010-02-22,3.2,3.2,3.06,3.1,129100,0,0,22,2010,2
2010-02-23,3.06,3.07,3.0,3.04,111700,0,0,23,2010,2
2010-02-24,3.03,3.18,3.03,3.1,74900,0,0,24,2010,2
2010-02-25,3.05,3.12,3.0,3.1,170900,0,0,25,2010,2
2010-02-26,3.13,3.24,3.1,3.17,142100,0,0,26,2010,2
