Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2019-03-07,28.64,28.64,27.57,27.93,278657,0,0,07,2019,3
2019-03-08,28.31,28.57,27.9,28.39,175945,0,0,08,2019,3
2019-03-11,28.61,28.77,28.54,28.7,165164,0,0,11,2019,3
2019-03-12,28.77,28.89,28.35,28.52,212754,0,0,12,2019,3
2019-03-13,28.45,28.93,28.27,28.92,185840,0,0,13,2019,3
2019-03-14,27.98,29.11,27.98,28.66,280174,0,0,14,2019,3
2019-03-15,28.75,29.0,28.66,28.72,280655,0,0,15,2019,3
2019-03-18,28.66,29.02,28.59,28.86,127637,0,0,18,2019,3
2019-03-19,29.09,29.11,28.37,28.48,255534,0,0,19,2019,3
2019-03-20,28.31,28.87,27.95,28.33,206890,0,0,20,2019,3
2019-03-21,28.27,28.27,26.84,27.6,490229,0,0,21,2019,3
2019-03-22,26.9,27.01,26.23,26.66,542599,0,0,22,2019,3
2019-03-25,26.43,26.84,26.41,26.53,255785,0,0,25,2019,3
2019-03-26,26.7,26.79,26.34,26.63,173482,0,0,26,2019,3
2019-03-27,25.79,26.06,25.42,25.43,582708,0,0,27,2019,3
2019-03-28,25.33,26.67,25.16,26.39,363177,0,0,28,2019,3
2019-03-29,26.42,26.73,25.71,25.82,432500,0,0,29,2019,3
2019-04-01,26.72,27.06,26.58,26.74,303485,0,0,01,2019,4
2019-04-02,26.63,26.66,25.75,25.86,428386,0,0,02,2019,4
2019-04-03,25.61,25.83,24.96,25.14,490325,0,0,03,2019,4
2019-04-04,25.13,25.53,24.85,25.46,318122,0,0,04,2019,4
2019-04-05,25.68,25.68,24.91,25.09,414651,0,0,05,2019,4
2019-04-08,25.32,25.4,24.95,25.13,574588,0,0,08,2019,4
2019-04-09,25.09,25.09,24.49,24.71,595457,0,0,09,2019,4
2019-04-10,24.93,25.21,24.85,24.91,498497,0,0,10,2019,4
2019-04-11,25.18,25.96,25.12,25.55,1065549,0,0,11,2019,4
2019-04-12,25.38,25.59,24.78,25.27,753937,0,0,12,2019,4
2019-04-15,25.32,25.36,24.86,25.12,348931,0,0,15,2019,4
2019-04-16,24.49,25.01,24.45,24.81,519987,0,0,16,2019,4
2019-04-17,24.53,25.22,24.26,24.82,530588,0,0,17,2019,4
2019-04-18,24.83,24.9,24.4,24.68,522565,0,0,18,2019,4
2019-04-22,24.83,25.29,24.61,24.83,377358,0,0,22,2019,4
2019-04-23,24.71,24.83,24.46,24.75,407239,0,0,23,2019,4
2019-04-24,24.52,24.52,23.72,24.03,571446,0,0,24,2019,4
2019-04-25,23.82,24.08,23.55,24.01,423656,0,0,25,2019,4
2019-04-26,23.59,24.15,23.4,23.71,765378,0,0,26,2019,4
2019-04-29,23.74,24.36,23.56,24.3,384331,0,0,29,2019,4
2019-04-30,24.43,24.67,23.85,24.45,919310,0,0,30,2019,4
2019-05-01,24.52,24.52,23.9,23.9,272785,0,0,01,2019,5
2019-05-02,23.89,23.89,23.2,23.3,286787,0,0,02,2019,5
2019-05-03,23.38,23.57,23.34,23.48,236296,0,0,03,2019,5
2019-05-06,22.88,22.98,22.76,22.88,645487,0,0,06,2019,5
2019-05-07,22.29,22.37,21.86,22.19,403900,0,0,07,2019,5
2019-05-08,22.58,22.58,22.05,22.13,576551,0,0,08,2019,5
2019-05-09,21.41,22.88,20.4,20.56,1284571,0,0,09,2019,5
2019-05-10,20.48,20.51,20.14,20.29,492050,0,0,10,2019,5
2019-05-13,19.77,19.77,19.57,19.71,53841,0,0,13,2019,5
2019-05-14,19.16,19.45,18.12,18.89,711469,0,0,14,2019,5
2019-05-15,18.36,19.71,18.36,19.03,1222630,0,0,15,2019,5
2019-05-16,19.08,19.15,18.54,18.61,447487,0,0,16,2019,5
2019-05-17,18.43,18.6,17.88,17.88,403743,0,0,17,2019,5
2019-05-20,18.27,19.89,18.07,19.85,210859,0,0,20,2019,5
2019-05-21,20.16,21.44,20.08,21.44,1151714,0,0,21,2019,5
2019-05-22,20.82,21.17,20.59,20.8,274023,0,0,22,2019,5
2019-05-23,20.85,21.14,20.64,21.1,365541,0,0,23,2019,5
2019-05-24,20.46,20.64,20.19,20.5,234989,0,0,24,2019,5
2019-05-28,21.0,21.07,20.58,20.85,113010,0,0,28,2019,5
2019-05-29,21.0,21.7,20.95,21.35,66947,0,0,29,2019,5
2019-05-30,21.02,21.24,20.67,20.75,100437,0,0,30,2019,5
2019-05-31,20.68,21.9,20.5,21.62,456671,0,0,31,2019,5
2019-06-03,21.75,21.78,20.79,21.28,202054,0,0,03,2019,6
2019-06-04,17.27,18.07,17.21,17.63,2484185,0,0,04,2019,6
2019-06-05,18.61,18.68,17.39,17.42,1397222,0,0,05,2019,6
2019-06-06,17.88,17.88,16.9,17.03,1278415,0,0,06,2019,6
2019-06-07,17.13,17.18,16.81,16.81,626065,0,0,07,2019,6
2019-06-10,16.99,17.14,16.68,16.71,372194,0,0,10,2019,6
2019-06-11,17.02,17.88,16.92,17.7,292199,0,0,11,2019,6
2019-06-12,17.91,18.09,17.59,17.72,187759,0,0,12,2019,6
2019-06-13,18.25,18.46,18.06,18.24,190919,0,0,13,2019,6
2019-06-14,17.84,17.87,17.6,17.68,123732,0,0,14,2019,6
2019-06-17,17.66,17.66,17.29,17.29,55604,0,0,17,2019,6
2019-06-18,17.32,18.45,17.31,18.34,118123,0,0,18,2019,6
2019-06-19,18.19,18.54,18.04,18.04,64614,0,0,19,2019,6
2019-06-20,18.03,18.75,18.03,18.68,44858,0,0,20,2019,6
2019-06-21,18.91,18.98,18.51,18.51,44489,0,0,21,2019,6
2019-06-24,18.56,18.9,18.54,18.81,197584,0,0,24,2019,6
2019-06-25,18.84,18.89,18.33,18.48,223289,0,0,25,2019,6
2019-06-26,18.64,18.65,18.35,18.39,108473,0,0,26,2019,6
