Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,68.16,68.23,65.64,65.93,20035800,0,0,04,2010,1
2010-01-05,66.96,67.17,64.93,65.8,22082200,0,0,05,2010,1
2010-01-06,65.73,65.81,64.4,65.4,16697900,0,0,06,2010,1
2010-01-07,65.39,66.26,64.94,65.3,11302000,0,0,07,2010,1
2010-01-08,65.06,65.85,64.86,65.46,10639100,0,0,08,2010,1
2010-01-11,65.86,65.87,64.34,64.52,12128800,0,0,11,2010,1
2010-01-12,64.14,64.37,63.04,63.22,12829000,0,0,12,2010,1
2010-01-13,63.56,65.74,63.33,65.54,19986200,0,0,13,2010,1
2010-01-14,65.54,67.16,65.51,66.52,19158900,0,0,14,2010,1
2010-01-15,67.02,67.13,65.63,66.23,15591400,0,0,15,2010,1
2010-01-19,65.98,66.08,64.76,65.3,11995800,0,0,19,2010,1
2010-01-20,64.55,64.93,63.43,63.89,11539100,0,0,20,2010,1
2010-01-21,64.38,65.57,63.5,63.59,15576800,0,0,21,2010,1
2010-01-22,63.39,64.31,61.38,61.68,13491700,0,0,22,2010,1
2010-01-25,62.0,62.66,61.17,61.41,10218300,0,0,25,2010,1
2010-01-26,60.95,62.71,60.4,61.62,14280200,0,0,26,2010,1
2010-01-27,61.36,64.22,61.25,63.71,14504600,0,0,27,2010,1
2010-01-28,63.68,65.1,62.9,64.6,17818400,0,0,28,2010,1
2010-01-29,65.0,65.5,62.35,62.91,15821200,0,0,29,2010,1
2010-02-01,63.9,64.34,63.16,64.06,9487200,0,0,01,2010,2
2010-02-02,64.43,65.94,64.06,65.63,11778800,0,0,02,2010,2
2010-02-03,65.41,68.07,65.18,67.86,17647000,0,0,03,2010,2
2010-02-04,67.81,68.8,65.83,66.17,18318800,0,0,04,2010,2
2010-02-05,66.62,67.84,65.34,67.75,15476100,0,0,05,2010,2
2010-02-08,67.78,68.45,66.41,66.67,14730400,0,0,08,2010,2
2010-02-09,67.45,67.62,65.75,66.15,13981400,0,0,09,2010,2
2010-02-10,65.92,67.45,65.75,67.18,12017800,0,0,10,2010,2
2010-02-11,67.16,69.43,66.83,69.17,13976800,0,0,11,2010,2
2010-02-12,69.81,72.0,69.51,71.33,26337000,0,0,12,2010,2
2010-02-16,70.86,71.03,69.32,70.25,16996700,0,0,16,2010,2
2010-02-17,69.9,70.49,69.22,70.4,12926500,0,0,17,2010,2
2010-02-18,70.34,71.77,70.31,71.32,12367000,0,0,18,2010,2
2010-02-19,71.4,71.85,70.76,71.03,9812800,0,0,19,2010,2
2010-02-22,71.29,71.34,69.07,69.68,12858000,0,0,22,2010,2
2010-02-23,69.89,69.94,67.89,68.42,10516400,0,0,23,2010,2
2010-02-24,68.94,70.57,68.78,70.21,10712000,0,0,24,2010,2
2010-02-25,69.5,70.14,68.64,69.85,10435400,0,0,25,2010,2
2010-02-26,70.2,71.14,69.32,70.88,9726600,0,0,26,2010,2
2010-03-01,71.7,71.79,70.41,70.55,12503400,0,0,01,2010,3
2010-03-02,70.69,71.69,70.16,70.77,10796300,0,0,02,2010,3
2010-03-03,71.15,71.46,70.53,70.83,8079000,0,0,03,2010,3
2010-03-04,70.95,70.95,69.77,69.98,9789400,0,0,04,2010,3
2010-03-05,70.04,70.44,69.4,69.5,11406400,0,0,05,2010,3
2010-03-08,70.83,73.87,70.56,73.39,27732800,0,0,08,2010,3
2010-03-09,73.64,74.65,72.95,73.55,17357200,0,0,09,2010,3
2010-03-10,74.01,75.5,73.85,75.04,13796700,0,0,10,2010,3
2010-03-11,75.23,76.74,74.75,75.94,15015700,0,0,11,2010,3
2010-03-12,75.92,76.07,74.75,75.34,9967300,0,0,12,2010,3
2010-03-15,75.83,76.95,74.85,75.54,11617800,0,0,15,2010,3
2010-03-16,75.84,75.97,74.64,75.15,11073800,0,0,16,2010,3
2010-03-17,75.34,75.54,74.33,74.49,8784500,0,0,17,2010,3
