Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,6.2,6.21,6.17,6.19,53500.0,0.0,0.0,04,2010,1
2010-01-05,6.22,6.22,6.09,6.13,36300.0,0.0,0.0,05,2010,1
2010-01-06,6.15,6.18,6.14,6.17,11300.0,0.0,0.0,06,2010,1
2010-01-07,6.2,6.2,6.14,6.15,18000.0,0.0,0.0,07,2010,1
2010-01-08,6.14,6.14,6.04,6.12,36100.0,0.0,0.0,08,2010,1
2010-01-11,6.11,6.2,6.07,6.11,100300.0,0.0,0.0,11,2010,1
2010-01-12,6.1,6.15,6.1,6.15,28300.0,0.0,0.0,12,2010,1
2010-01-13,6.17,6.3,6.17,6.3,20000.0,0.0,0.0,13,2010,1
2010-01-14,6.27,6.27,6.21,6.25,19000.0,0.0,0.0,14,2010,1
2010-01-15,6.2,6.23,6.03,6.13,47100.0,0.0,0.0,15,2010,1
2010-01-19,6.13,6.15,6.08,6.14,17000.0,0.0,0.0,19,2010,1
2010-01-20,6.1,6.1,5.99,6.07,28300.0,0.0,0.0,20,2010,1
2010-01-21,6.1,6.12,5.97,6.01,14300.0,0.0,0.0,21,2010,1
2010-01-22,5.97,6.0,5.92,5.92,7200.0,0.0,0.0,22,2010,1
2010-01-25,5.93,5.93,5.89,5.89,7000.0,0.0,0.0,25,2010,1
2010-01-26,5.9,5.9,5.83,5.89,13000.0,0.0,0.0,26,2010,1
2010-01-27,5.82,5.85,5.79,5.85,46500.0,0.0,0.0,27,2010,1
2010-01-28,5.87,5.91,5.82,5.87,25000.0,0.0,0.0,28,2010,1
2010-01-29,5.86,5.88,5.82,5.83,25000.0,0.0,0.0,29,2010,1
2010-02-01,6.0,6.0,5.85,5.87,8000.0,0.0,0.0,01,2010,2
2010-02-02,5.88,5.9,5.85,5.9,8200.0,0.0,0.0,02,2010,2
2010-02-03,5.89,5.9,5.87,5.88,14300.0,0.0,0.0,03,2010,2
2010-02-04,5.84,5.84,5.71,5.71,50500.0,0.0,0.0,04,2010,2
2010-02-05,5.69,5.69,5.63,5.66,22000.0,0.0,0.0,05,2010,2
2010-02-08,5.71,5.75,5.7,5.7,7200.0,0.0,0.0,08,2010,2
2010-02-09,5.8,5.89,5.79,5.84,13000.0,0.0,0.0,09,2010,2
2010-02-10,5.81,5.85,5.77,5.85,8200.0,0.0,0.0,10,2010,2
2010-02-11,5.84,5.84,5.72,5.8,15000.0,0.0,0.0,11,2010,2
2010-02-12,5.77,5.83,5.77,5.82,9200.0,0.0,0.0,12,2010,2
2010-02-16,5.88,5.88,5.82,5.84,6000.0,0.0,0.0,16,2010,2
2010-02-17,5.87,5.93,5.87,5.93,29000.0,0.0,0.0,17,2010,2
2010-02-18,6.01,6.08,5.98,6.01,26000.0,0.0,0.0,18,2010,2
2010-02-19,6.0,6.07,6.0,6.06,20300.0,0.0,0.0,19,2010,2
2010-02-22,6.07,6.07,6.03,6.06,7200.0,0.0,0.0,22,2010,2
2010-02-23,6.01,6.01,5.96,6.01,10300.0,0.0,0.0,23,2010,2
2010-02-24,6.06,6.1,6.01,6.1,6200.0,0.0,0.0,24,2010,2
2010-02-25,6.08,6.09,5.97,6.09,30300.0,0.0,0.0,25,2010,2
2010-02-26,6.02,6.02,6.01,6.01,6000.0,0.0,0.0,26,2010,2
2010-03-01,6.12,6.18,6.07,6.13,13300.0,0.0,0.0,01,2010,3
2010-03-02,6.12,6.18,6.12,6.16,29300.0,0.0,0.0,02,2010,3
2010-03-03,6.17,6.34,6.11,6.21,166000.0,0.0,0.0,03,2010,3
2010-03-04,6.36,6.49,6.36,6.45,14300.0,0.3,0.0,04,2010,3
2010-03-05,6.52,6.54,6.51,6.53,7000.0,0.0,0.0,05,2010,3
2010-03-08,6.52,6.56,6.51,6.55,14300.0,0.0,0.0,08,2010,3
2010-03-09,6.56,6.56,6.51,6.54,34100.0,0.0,0.0,09,2010,3
2010-03-10,6.5,6.5,6.37,6.42,10300.0,0.0,0.0,10,2010,3
2010-03-11,6.4,6.46,6.4,6.44,8200.0,0.0,0.0,11,2010,3
2010-03-12,6.48,6.53,6.48,6.53,22300.0,0.0,0.0,12,2010,3
2010-03-15,6.53,6.53,6.44,6.44,9000.0,0.0,0.0,15,2010,3
2010-03-16,6.45,6.54,6.45,6.52,13300.0,0.0,0.0,16,2010,3
2010-03-17,6.54,6.66,6.54,6.66,20300.0,0.0,0.0,17,2010,3
2010-03-18,6.65,6.8,6.65,6.74,24000.0,0.0,0.0,18,2010,3
2010-03-19,6.71,6.76,6.71,6.71,6200.0,0.0,0.0,19,2010,3
2010-03-22,6.78,6.83,6.7,6.81,49100.0,0.0,0.0,22,2010,3
2010-03-23,6.8,6.8,6.76,6.78,11000.0,0.0,0.0,23,2010,3
2010-03-24,6.78,6.79,6.76,6.79,5000.0,0.0,0.0,24,2010,3
2010-03-25,6.74,6.79,6.74,6.78,6000.0,0.0,0.0,25,2010,3
2010-03-26,6.79,6.79,6.74,6.74,3200.0,0.0,0.0,26,2010,3
2010-03-29,6.76,6.86,6.76,6.86,10000.0,0.0,0.0,29,2010,3
2010-03-30,6.95,6.99,6.95,6.97,10300.0,0.0,0.0,30,2010,3
2010-03-31,6.92,7.05,6.91,7.05,32300.0,0.0,0.0,31,2010,3
2010-04-01,7.03,7.08,6.99,7.08,43500.0,0.0,0.0,01,2010,4
2010-04-05,7.12,7.14,7.07,7.11,22300.0,0.0,0.0,05,2010,4
2010-04-06,7.11,7.11,6.95,7.01,40500.0,0.0,0.0,06,2010,4
2010-04-07,7.0,7.0,6.95,6.95,8000.0,0.0,0.0,07,2010,4
2010-04-08,6.95,6.96,6.95,6.96,14300.0,0.0,0.0,08,2010,4
2010-04-09,6.99,7.0,6.96,6.96,64200.0,0.0,0.0,09,2010,4
2010-04-12,6.99,7.03,6.96,6.99,36100.0,0.0,0.0,12,2010,4
2010-04-13,6.97,7.0,6.95,6.96,58100.0,0.0,0.0,13,2010,4
2010-04-14,6.95,6.95,6.86,6.89,17300.0,0.0,0.0,14,2010,4
2010-04-15,6.85,6.87,6.78,6.87,41500.0,0.0,0.0,15,2010,4
