Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,8.05,8.08,7.98,8.01,9300,0.0,0,04,2010,1
2010-01-05,7.98,8.07,7.97,8.07,11200,0.0,0,05,2010,1
2010-01-06,8.05,8.13,7.97,8.08,9300,0.0,0,06,2010,1
2010-01-07,8.05,8.05,8.0,8.0,5800,0.0,0,07,2010,1
2010-01-08,8.0,8.02,7.94,7.94,4800,0.0,0,08,2010,1
2010-01-11,7.95,8.03,7.91,8.03,9800,0.0,0,11,2010,1
2010-01-12,7.99,8.0,7.94,7.95,7400,0.0,0,12,2010,1
2010-01-13,7.94,8.02,7.94,8.02,8600,0.08,0,13,2010,1
2010-01-14,8.0,8.06,8.0,8.06,4400,0.0,0,14,2010,1
2010-01-15,8.07,8.19,8.03,8.08,11000,0.0,0,15,2010,1
2010-01-19,8.11,8.29,8.08,8.29,8200,0.0,0,19,2010,1
2010-01-20,8.3,8.3,8.19,8.24,3800,0.0,0,20,2010,1
2010-01-21,8.17,8.24,8.17,8.19,2300,0.0,0,21,2010,1
2010-01-22,8.21,8.21,8.11,8.17,5200,0.0,0,22,2010,1
2010-01-25,8.17,8.17,8.11,8.12,2200,0.0,0,25,2010,1
2010-01-26,8.13,8.17,8.11,8.15,4900,0.0,0,26,2010,1
2010-01-27,8.19,8.24,8.19,8.2,17400,0.0,0,27,2010,1
2010-01-28,8.24,8.27,8.21,8.22,6400,0.0,0,28,2010,1
2010-01-29,8.21,8.32,8.21,8.24,9500,0.0,0,29,2010,1
2010-02-01,8.27,8.3,8.21,8.3,3600,0.0,0,01,2010,2
2010-02-02,8.33,8.33,8.21,8.27,4400,0.0,0,02,2010,2
2010-02-03,8.27,8.27,8.21,8.24,3800,0.0,0,03,2010,2
2010-02-04,8.27,8.3,8.24,8.28,2100,0.0,0,04,2010,2
2010-02-05,8.24,8.33,8.18,8.24,13000,0.0,0,05,2010,2
2010-02-08,8.27,8.29,8.27,8.29,4300,0.0,0,08,2010,2
2010-02-09,8.25,8.3,8.21,8.29,9600,0.0,0,09,2010,2
2010-02-10,8.23,8.28,8.21,8.26,8100,0.08,0,10,2010,2
2010-02-11,8.26,8.26,8.21,8.22,2000,0.0,0,11,2010,2
2010-02-12,8.24,8.24,8.2,8.2,3800,0.0,0,12,2010,2
2010-02-16,8.2,8.27,8.16,8.27,5500,0.0,0,16,2010,2
2010-02-17,8.27,8.41,8.17,8.37,18800,0.0,0,17,2010,2
2010-02-18,8.36,8.43,8.29,8.43,7100,0.0,0,18,2010,2
2010-02-19,8.35,8.37,8.24,8.32,16200,0.0,0,19,2010,2
2010-02-22,8.32,8.32,8.29,8.32,5200,0.0,0,22,2010,2
2010-02-23,8.36,8.37,8.32,8.37,8700,0.0,0,23,2010,2
2010-02-24,8.4,8.43,8.37,8.39,7900,0.0,0,24,2010,2
2010-02-25,8.43,8.43,8.23,8.24,9400,0.0,0,25,2010,2
2010-02-26,8.23,8.35,8.23,8.23,10200,0.0,0,26,2010,2
2010-03-01,8.29,8.29,8.26,8.26,4500,0.0,0,01,2010,3
2010-03-02,8.29,8.4,8.27,8.33,13000,0.0,0,02,2010,3
