Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,6.88,6.97,6.86,6.89,22000,0.0,0,04,2010,1
2010-01-05,6.92,6.92,6.81,6.81,37800,0.0,0,05,2010,1
2010-01-06,6.87,7.02,6.87,6.97,17600,0.0,0,06,2010,1
2010-01-07,6.87,6.97,6.87,6.95,24300,0.0,0,07,2010,1
2010-01-08,6.96,7.16,6.94,7.12,12700,0.0,0,08,2010,1
2010-01-11,7.13,7.19,7.13,7.17,26200,0.0,0,11,2010,1
2010-01-12,7.14,7.14,6.97,7.02,17200,0.0,0,12,2010,1
2010-01-13,7.03,7.1,6.96,7.1,18200,0.0,0,13,2010,1
2010-01-14,7.04,7.3,7.04,7.16,16600,0.0,0,14,2010,1
2010-01-15,7.16,7.24,7.11,7.16,26600,0.0,0,15,2010,1
2010-01-19,7.12,7.23,7.04,7.22,115400,0.0,0,19,2010,1
2010-01-20,7.06,7.07,6.93,6.98,39700,0.0,0,20,2010,1
2010-01-21,6.98,7.11,6.93,6.96,25300,0.0,0,21,2010,1
2010-01-22,6.93,6.99,6.79,6.86,21400,0.0,0,22,2010,1
2010-01-25,6.83,6.87,6.77,6.77,18700,0.0,0,25,2010,1
2010-01-26,6.7,6.84,6.7,6.81,26400,0.0,0,26,2010,1
2010-01-27,6.74,6.77,6.59,6.69,30100,0.0,0,27,2010,1
2010-01-28,6.7,6.7,6.57,6.6,20700,0.0,0,28,2010,1
2010-01-29,6.63,6.71,6.56,6.58,27000,0.0,0,29,2010,1
2010-02-01,6.66,6.76,6.63,6.68,47500,0.0,0,01,2010,2
2010-02-02,6.75,6.96,6.73,6.95,34600,0.0,0,02,2010,2
2010-02-03,6.89,6.92,6.74,6.77,42700,0.0,0,03,2010,2
2010-02-04,6.78,6.89,6.7,6.71,82700,0.0,0,04,2010,2
2010-02-05,6.79,6.79,6.65,6.77,38200,0.0,0,05,2010,2
2010-02-08,6.72,6.74,6.68,6.7,23100,0.0,0,08,2010,2
2010-02-09,6.88,6.88,6.65,6.77,51100,0.0,0,09,2010,2
2010-02-10,6.67,6.71,6.57,6.69,52900,0.0,0,10,2010,2
2010-02-11,6.71,6.97,6.69,6.91,33100,0.0,0,11,2010,2
2010-02-12,6.93,7.21,6.9,7.16,40200,0.0,0,12,2010,2
2010-02-16,7.17,7.25,7.14,7.16,31100,0.0,0,16,2010,2
