Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,14.5,14.5,13.35,13.5,456600,0,0.0,04,2010,1
2010-01-05,13.6,15.5,13.45,14.25,1179500,0,0.0,05,2010,1
2010-01-06,14.9,15.25,14.25,14.4,633500,0,0.0,06,2010,1
2010-01-07,14.5,15.45,13.9,14.5,784600,0,0.0,07,2010,1
2010-01-08,14.5,15.7,14.35,15.2,797800,0,0.0,08,2010,1
2010-01-11,15.55,15.85,15.15,15.3,510100,0,0.0,11,2010,1
2010-01-12,15.4,15.4,14.5,14.6,383800,0,0.0,12,2010,1
2010-01-13,14.6,15.1,14.55,14.7,276000,0,0.0,13,2010,1
2010-01-14,15.2,15.2,14.5,14.6,186800,0,0.0,14,2010,1
2010-01-15,14.65,14.75,14.05,14.25,226100,0,0.0,15,2010,1
2010-01-19,14.25,14.45,14.05,14.35,177700,0,0.0,19,2010,1
2010-01-20,14.25,14.25,13.65,13.9,244900,0,0.0,20,2010,1
2010-01-21,13.65,15.4,13.6,14.0,975400,0,0.0,21,2010,1
2010-01-22,14.25,14.25,13.45,13.5,285800,0,0.0,22,2010,1
2010-01-25,13.75,14.0,13.0,13.05,204700,0,0.0,25,2010,1
2010-01-26,12.95,13.05,12.45,12.5,251300,0,0.0,26,2010,1
2010-01-27,12.5,12.7,11.9,12.5,232300,0,0.0,27,2010,1
2010-01-28,12.15,13.0,11.8,12.25,313900,0,0.0,28,2010,1
2010-01-29,12.3,12.5,11.25,11.35,262200,0,0.0,29,2010,1
2010-02-01,11.45,12.3,11.45,12.3,341200,0,0.0,01,2010,2
2010-02-02,13.0,13.2,12.2,12.4,241400,0,0.0,02,2010,2
2010-02-03,12.7,12.95,12.4,12.4,176200,0,0.0,03,2010,2
2010-02-04,12.3,12.35,11.5,11.55,209800,0,0.0,04,2010,2
2010-02-05,11.5,11.9,10.9,11.55,219600,0,0.0,05,2010,2
2010-02-08,11.55,11.7,11.25,11.35,70500,0,0.0,08,2010,2
2010-02-09,11.15,12.8,11.15,11.65,583500,0,0.0,09,2010,2
2010-02-10,11.6,11.9,11.25,11.8,133300,0,0.0,10,2010,2
2010-02-11,11.75,12.0,11.5,11.9,90000,0,0.0,11,2010,2
2010-02-12,11.6,11.8,11.5,11.65,75100,0,0.0,12,2010,2
2010-02-16,11.7,12.3,11.55,12.25,144300,0,0.0,16,2010,2
2010-02-17,12.25,12.25,11.6,12.05,136000,0,0.0,17,2010,2
2010-02-18,12.05,12.25,11.7,12.15,131800,0,0.0,18,2010,2
2010-02-19,12.15,12.15,11.85,11.9,92600,0,0.0,19,2010,2
2010-02-22,12.05,12.2,11.7,12.0,168000,0,0.0,22,2010,2
2010-02-23,12.1,12.15,11.6,11.75,142600,0,0.0,23,2010,2
2010-02-24,11.85,11.95,11.55,11.65,75700,0,0.0,24,2010,2
2010-02-25,11.65,11.7,11.35,11.65,106900,0,0.0,25,2010,2
2010-02-26,11.7,11.7,11.3,11.35,126800,0,0.0,26,2010,2
2010-03-01,11.35,11.65,11.35,11.55,123800,0,0.0,01,2010,3
2010-03-02,11.5,12.0,11.45,11.75,136000,0,0.0,02,2010,3
2010-03-03,12.0,13.15,11.8,12.65,548200,0,0.0,03,2010,3
2010-03-04,12.65,12.9,12.05,12.3,174200,0,0.0,04,2010,3
2010-03-05,12.3,12.8,12.25,12.5,142300,0,0.0,05,2010,3
2010-03-08,12.55,12.7,12.05,12.45,128200,0,0.0,08,2010,3
2010-03-09,12.25,12.75,12.25,12.35,115100,0,0.0,09,2010,3
2010-03-10,12.4,13.35,12.1,12.9,395600,0,0.0,10,2010,3
2010-03-11,12.8,13.0,12.4,12.9,160400,0,0.0,11,2010,3
2010-03-12,13.0,13.2,12.85,12.95,118500,0,0.0,12,2010,3
2010-03-15,12.95,13.1,12.4,12.7,116500,0,0.0,15,2010,3
2010-03-16,12.65,12.9,12.4,12.65,109400,0,0.0,16,2010,3
2010-03-17,12.65,12.75,12.45,12.5,129500,0,0.0,17,2010,3
2010-03-18,12.4,12.5,12.0,12.1,114400,0,0.0,18,2010,3
2010-03-19,11.75,12.3,11.75,11.75,203800,0,0.0,19,2010,3
2010-03-22,12.4,12.4,11.7,11.85,116800,0,0.0,22,2010,3
2010-03-23,11.85,12.2,11.8,12.0,103800,0,0.0,23,2010,3
2010-03-24,11.95,12.3,11.9,12.0,85900,0,0.0,24,2010,3
