Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,26.64,27.33,26.64,26.93,1158600,0.0,0,04,2010,1
2010-01-05,27.12,27.29,26.44,26.64,1570800,0.0,0,05,2010,1
2010-01-06,26.62,26.82,26.4,26.53,2076600,0.0,0,06,2010,1
2010-01-07,26.44,26.64,25.44,25.96,2322200,0.0,0,07,2010,1
2010-01-08,26.01,26.14,25.5,26.09,1823200,0.0,0,08,2010,1
2010-01-11,26.27,26.42,25.65,25.85,1347200,0.0,0,11,2010,1
2010-01-12,25.5,25.71,25.11,25.28,1425400,0.0,0,12,2010,1
2010-01-13,25.4,25.47,24.72,25.2,1698300,0.0,0,13,2010,1
2010-01-14,25.33,25.41,25.09,25.2,1544100,0.0,0,14,2010,1
2010-01-15,25.22,25.37,24.52,24.74,1932100,0.0,0,15,2010,1
2010-01-19,24.75,25.02,24.66,24.98,1408900,0.0,0,19,2010,1
2010-01-20,24.73,24.73,24.1,24.32,1344600,0.0,0,20,2010,1
2010-01-21,24.29,24.36,23.54,23.62,1897500,0.0,0,21,2010,1
2010-01-22,23.56,23.57,22.85,22.98,2230700,0.0,0,22,2010,1
2010-01-25,23.09,23.55,22.98,23.19,1385700,0.0,0,25,2010,1
2010-01-26,22.77,23.36,22.5,23.03,1802700,0.0,0,26,2010,1
2010-01-27,22.92,23.4,22.5,22.77,2351600,0.0,0,27,2010,1
2010-01-28,22.93,23.07,22.29,22.69,1765100,0.0,0,28,2010,1
2010-01-29,22.89,23.43,21.77,21.93,2901500,0.0,0,29,2010,1
2010-02-01,22.19,22.64,22.12,22.59,1785000,0.0,0,01,2010,2
2010-02-02,23.04,23.04,22.53,22.85,1892800,0.0,0,02,2010,2
2010-02-03,22.81,22.93,22.15,22.17,2287900,0.0,0,03,2010,2
2010-02-04,21.92,21.92,20.99,21.05,3579800,0.0,0,04,2010,2
2010-02-05,20.96,21.4,20.5,21.35,3155800,0.0,0,05,2010,2
2010-02-08,21.46,21.46,20.82,20.87,2226600,0.0,0,08,2010,2
2010-02-09,21.31,21.99,21.17,21.88,3508300,0.0,0,09,2010,2
2010-02-10,21.91,22.18,21.7,21.87,2019600,0.0,0,10,2010,2
2010-02-11,21.97,22.69,21.83,22.63,2390300,0.0,0,11,2010,2
2010-02-12,22.4,22.56,22.03,22.33,2815100,0.0,0,12,2010,2
2010-02-16,22.73,22.89,22.49,22.78,2370500,0.0,0,16,2010,2
2010-02-17,22.92,23.09,22.59,22.95,1918700,0.0,0,17,2010,2
2010-02-18,22.85,23.39,22.85,23.29,1970200,0.0,0,18,2010,2
2010-02-19,23.34,24.02,23.26,23.64,2242500,0.0,0,19,2010,2
2010-02-22,23.95,24.02,23.62,23.7,2101900,0.0,0,22,2010,2
2010-02-23,23.65,23.91,22.64,22.81,2633600,0.0,0,23,2010,2
2010-02-24,22.87,23.21,22.66,22.87,2129400,0.0,0,24,2010,2
2010-02-25,22.21,22.6,21.43,22.5,3459200,0.0,0,25,2010,2
2010-02-26,22.53,22.53,22.0,22.26,2097200,0.0,0,26,2010,2
2010-03-01,22.28,22.6,22.1,22.54,1688600,0.0,0,01,2010,3
2010-03-02,22.63,22.67,22.4,22.47,1830800,0.0,0,02,2010,3
2010-03-03,22.36,22.45,21.7,22.04,4726800,0.0,0,03,2010,3
2010-03-04,22.04,22.23,21.83,22.0,2160900,0.0,0,04,2010,3
2010-03-05,22.17,22.36,22.15,22.23,2183500,0.0,0,05,2010,3
2010-03-08,22.3,22.45,22.15,22.28,1659700,0.0,0,08,2010,3
2010-03-09,22.18,22.53,22.04,22.3,1495100,0.0,0,09,2010,3
2010-03-10,22.3,22.67,22.3,22.63,3039300,0.0,0,10,2010,3
2010-03-11,22.59,22.77,22.44,22.77,2372400,0.0,0,11,2010,3
2010-03-12,22.96,23.01,22.68,22.85,2488100,0.0,0,12,2010,3
2010-03-15,22.87,22.87,22.2,22.52,1446600,0.0,0,15,2010,3
2010-03-16,22.63,22.76,22.47,22.72,1372800,0.0,0,16,2010,3
2010-03-17,22.89,23.41,22.89,23.19,1989500,0.0,0,17,2010,3
2010-03-18,23.29,23.35,22.62,22.73,1015600,0.0,0,18,2010,3
2010-03-19,22.37,22.91,22.19,22.37,1588300,0.0,0,19,2010,3
2010-03-22,22.07,22.36,21.87,22.34,982400,0.0,0,22,2010,3
2010-03-23,22.29,22.47,22.17,22.39,1604700,0.0,0,23,2010,3
2010-03-24,22.19,22.21,21.78,21.86,1571600,0.0,0,24,2010,3
2010-03-25,22.03,22.22,21.55,21.58,1130900,0.0,0,25,2010,3
2010-03-26,21.67,21.88,21.44,21.7,1258300,0.0,0,26,2010,3
2010-03-29,21.93,22.24,21.79,22.22,957500,0.07,0,29,2010,3
2010-03-30,22.33,22.46,22.1,22.3,1774300,0.0,0,30,2010,3
2010-03-31,22.26,22.48,22.12,22.26,1255100,0.0,0,31,2010,3
2010-04-01,22.45,22.48,21.6,21.69,3698100,0.0,0,01,2010,4
2010-04-05,21.53,22.02,21.39,21.99,2457300,0.0,0,05,2010,4
2010-04-06,21.89,22.2,21.81,21.96,1809700,0.0,0,06,2010,4
2010-04-07,21.74,22.03,21.7,21.9,2052200,0.0,0,07,2010,4
2010-04-08,21.7,21.99,21.5,21.96,1167400,0.0,0,08,2010,4
2010-04-09,22.0,22.39,21.91,22.34,1310200,0.0,0,09,2010,4
2010-04-12,22.3,22.31,22.04,22.2,1942800,0.0,0,12,2010,4
2010-04-13,22.11,22.11,21.79,22.09,1672300,0.0,0,13,2010,4
2010-04-14,22.1,22.11,21.82,21.92,1275200,0.0,0,14,2010,4
2010-04-15,21.92,21.96,21.58,21.62,1420600,0.0,0,15,2010,4
2010-04-16,21.57,21.6,20.9,21.18,2237200,0.0,0,16,2010,4
2010-04-19,20.96,21.1,20.65,21.1,1519500,0.0,0,19,2010,4
2010-04-20,21.37,21.38,21.13,21.2,1465600,0.0,0,20,2010,4
2010-04-21,21.09,21.32,20.89,21.12,1030700,0.0,0,21,2010,4
2010-04-22,20.96,20.96,20.66,20.88,1579200,0.0,0,22,2010,4
2010-04-23,20.83,20.88,20.63,20.71,2482700,0.0,0,23,2010,4
2010-04-26,20.69,20.87,20.53,20.69,2342800,0.0,0,26,2010,4
2010-04-27,20.58,20.9,20.32,20.43,2145600,0.0,0,27,2010,4
2010-04-28,20.57,20.57,19.9,20.24,2342100,0.0,0,28,2010,4
2010-04-29,20.19,20.28,19.7,20.05,2695400,0.0,0,29,2010,4
2010-04-30,19.98,20.5,19.89,19.99,3334700,0.0,0,30,2010,4
2010-05-03,20.22,20.29,19.9,19.99,4179900,0.0,0,03,2010,5
2010-05-04,19.79,19.9,19.43,19.83,2863600,0.0,0,04,2010,5
2010-05-05,19.63,20.14,19.22,19.82,3465100,0.0,0,05,2010,5
