Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,104.64,106.89,104.64,106.89,248100,0.0,0,04,2010,1
2010-01-05,109.85,110.49,109.33,110.32,271600,0.0,0,05,2010,1
2010-01-06,111.27,112.4,110.66,112.22,244500,0.0,0,06,2010,1
2010-01-07,110.95,111.72,110.36,111.54,170500,0.0,0,07,2010,1
2010-01-08,111.98,112.44,110.73,112.26,154800,0.0,0,08,2010,1
2010-01-11,113.67,113.7,112.15,112.46,147600,0.0,0,11,2010,1
2010-01-12,111.68,111.68,109.05,109.95,196800,0.0,0,12,2010,1
2010-01-13,107.07,107.89,106.38,107.63,223200,0.0,0,13,2010,1
2010-01-14,105.98,106.45,105.71,105.92,251600,0.0,0,14,2010,1
2010-01-15,104.75,104.75,103.17,103.85,221600,0.0,0,15,2010,1
2010-01-19,104.33,105.57,103.7,105.44,150500,0.0,0,19,2010,1
2010-01-20,102.85,102.99,101.63,101.9,362800,0.0,0,20,2010,1
2010-01-21,101.42,101.78,98.4,98.87,287800,0.0,0,21,2010,1
2010-01-22,97.95,97.95,95.3,95.35,358500,0.0,0,22,2010,1
2010-01-25,97.77,98.06,96.42,97.28,237600,0.0,0,25,2010,1
2010-01-26,94.12,95.63,92.11,94.19,296700,0.0,0,26,2010,1
2010-01-27,93.52,95.13,93.1,94.69,285800,0.0,0,27,2010,1
2010-01-28,97.4,97.5,95.39,96.06,275300,0.0,0,28,2010,1
2010-01-29,95.37,95.88,92.37,92.65,284400,0.0,0,29,2010,1
2010-02-01,95.2,96.32,94.33,96.28,220500,0.0,0,01,2010,2
2010-02-02,97.4,100.37,97.26,99.88,438700,0.0,0,02,2010,2
2010-02-03,105.44,106.92,103.69,104.64,510300,0.0,0,03,2010,2
2010-02-04,102.04,102.18,98.73,98.81,256800,0.0,0,04,2010,2
2010-02-05,98.11,99.16,96.38,98.93,314600,0.0,0,05,2010,2
2010-02-08,97.58,98.46,95.91,96.3,242000,0.0,0,08,2010,2
2010-02-09,100.31,102.35,99.56,101.37,331800,0.0,0,09,2010,2
2010-02-10,103.23,103.88,101.68,103.5,392300,0.0,0,10,2010,2
2010-02-11,103.41,106.31,102.57,106.22,431600,0.0,0,11,2010,2
2010-02-12,102.7,103.47,101.8,102.8,253300,0.0,0,12,2010,2
2010-02-16,103.98,105.08,103.78,104.78,280700,0.0,0,16,2010,2
2010-02-17,105.05,105.71,104.24,105.05,234700,0.0,0,17,2010,2
2010-02-18,103.73,105.41,103.64,105.23,155700,0.0,0,18,2010,2
2010-02-19,102.54,103.27,102.22,102.7,278200,0.0,0,19,2010,2
2010-02-22,104.37,104.62,103.58,104.03,205200,0.0,0,22,2010,2
2010-02-23,104.87,105.16,103.1,103.32,195700,0.0,0,23,2010,2
2010-02-24,104.17,105.16,103.49,104.88,246100,0.0,0,24,2010,2
2010-02-25,102.17,103.33,100.76,103.02,307000,0.0,0,25,2010,2
2010-02-26,103.86,104.66,102.64,104.22,312000,0.0,0,26,2010,2
2010-03-01,104.98,105.2,103.51,103.98,231400,0.0,0,01,2010,3
2010-03-02,104.79,105.34,103.92,104.47,266400,0.0,0,02,2010,3
2010-03-03,105.48,106.14,104.69,104.79,132900,0.0,0,03,2010,3
