Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,1.98,1.98,1.78,1.8,365900,0,0,04,2010,1
2010-01-05,1.86,1.86,1.76,1.78,218900,0,0,05,2010,1
2010-01-06,1.78,1.91,1.78,1.85,203800,0,0,06,2010,1
2010-01-07,1.9,1.9,1.82,1.9,122100,0,0,07,2010,1
2010-01-08,1.94,1.97,1.91,1.96,221700,0,0,08,2010,1
2010-01-11,1.98,2.18,1.97,2.15,600100,0,0,11,2010,1
2010-01-12,2.14,2.16,1.92,2.04,287900,0,0,12,2010,1
2010-01-13,2.05,2.06,1.92,1.97,296200,0,0,13,2010,1
2010-01-14,2.23,2.49,2.12,2.23,2668200,0,0,14,2010,1
2010-01-15,2.17,2.22,2.04,2.14,432800,0,0,15,2010,1
2010-01-19,2.14,2.17,2.05,2.12,143900,0,0,19,2010,1
2010-01-20,2.13,2.14,2.04,2.09,177400,0,0,20,2010,1
2010-01-21,2.1,2.1,2.01,2.08,168900,0,0,21,2010,1
2010-01-22,2.08,2.08,1.95,1.95,227400,0,0,22,2010,1
2010-01-25,1.95,2.04,1.95,1.96,154000,0,0,25,2010,1
2010-01-26,1.96,1.97,1.88,1.92,126700,0,0,26,2010,1
2010-01-27,1.95,1.95,1.9,1.9,113400,0,0,27,2010,1
2010-01-28,1.96,1.97,1.84,1.86,171300,0,0,28,2010,1
2010-01-29,1.86,1.91,1.8,1.84,195700,0,0,29,2010,1
2010-02-01,1.82,1.9,1.82,1.89,76500,0,0,01,2010,2
2010-02-02,1.87,1.91,1.83,1.91,108900,0,0,02,2010,2
2010-02-03,1.94,2.07,1.92,2.03,282100,0,0,03,2010,2
2010-02-04,2.03,2.06,1.85,1.89,225800,0,0,04,2010,2
2010-02-05,1.91,1.98,1.85,1.95,154200,0,0,05,2010,2
2010-02-08,1.95,2.08,1.87,2.02,125000,0,0,08,2010,2
2010-02-09,2.24,2.26,2.1,2.11,885800,0,0,09,2010,2
2010-02-10,2.11,2.23,2.01,2.09,309500,0,0,10,2010,2
