Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,4.65,4.67,4.6,4.63,227700,0.0,0,04,2010,1
2010-01-05,4.65,4.7,4.64,4.68,158600,0.0,0,05,2010,1
2010-01-06,4.7,4.71,4.68,4.69,267400,0.0,0,06,2010,1
2010-01-07,4.7,4.76,4.69,4.76,196700,0.0,0,07,2010,1
2010-01-08,4.75,4.84,4.75,4.84,237800,0.0,0,08,2010,1
2010-01-11,4.84,4.87,4.81,4.82,161900,0.0,0,11,2010,1
2010-01-12,4.78,4.82,4.78,4.81,126700,0.0,0,12,2010,1
2010-01-13,4.81,4.84,4.78,4.81,139800,0.0,0,13,2010,1
2010-01-14,4.81,4.85,4.8,4.83,144900,0.0,0,14,2010,1
2010-01-15,4.86,4.86,4.79,4.83,152800,0.0,0,15,2010,1
2010-01-19,4.84,4.86,4.8,4.86,130000,0.0,0,19,2010,1
2010-01-20,4.86,4.87,4.82,4.82,169200,0.0,0,20,2010,1
2010-01-21,4.81,4.84,4.74,4.74,173800,0.0,0,21,2010,1
2010-01-22,4.72,4.76,4.64,4.69,190100,0.0,0,22,2010,1
2010-01-25,4.68,4.69,4.64,4.66,155700,0.0,0,25,2010,1
2010-01-26,4.64,4.68,4.57,4.66,226600,0.0,0,26,2010,1
2010-01-27,4.68,4.7,4.62,4.69,152400,0.0,0,27,2010,1
2010-01-28,4.7,4.71,4.58,4.6,176200,0.0,0,28,2010,1
2010-01-29,4.62,4.62,4.54,4.6,331700,0.0,0,29,2010,1
2010-02-01,4.65,4.65,4.58,4.6,155900,0.0,0,01,2010,2
2010-02-02,4.6,4.69,4.6,4.68,184600,0.0,0,02,2010,2
2010-02-03,4.68,4.7,4.65,4.68,131700,0.0,0,03,2010,2
2010-02-04,4.66,4.66,4.6,4.61,293300,0.0,0,04,2010,2
2010-02-05,4.61,4.61,4.29,4.49,667400,0.085,0,05,2010,2
2010-02-08,4.49,4.51,4.45,4.48,162700,0.0,0,08,2010,2
2010-02-09,4.5,4.55,4.49,4.52,218900,0.0,0,09,2010,2
2010-02-10,4.54,4.56,4.49,4.5,143200,0.0,0,10,2010,2
2010-02-11,4.52,4.55,4.49,4.53,159600,0.0,0,11,2010,2
2010-02-12,4.53,4.56,4.49,4.53,117000,0.0,0,12,2010,2
2010-02-16,4.56,4.61,4.54,4.61,191300,0.0,0,16,2010,2
2010-02-17,4.61,4.67,4.59,4.62,244700,0.0,0,17,2010,2
2010-02-18,4.61,4.66,4.59,4.62,195000,0.0,0,18,2010,2
2010-02-19,4.63,4.68,4.61,4.65,139900,0.0,0,19,2010,2
2010-02-22,4.67,4.7,4.66,4.7,132600,0.0,0,22,2010,2
2010-02-23,4.72,4.72,4.66,4.68,220100,0.0,0,23,2010,2
2010-02-24,4.71,4.73,4.7,4.72,152000,0.0,0,24,2010,2
2010-02-25,4.7,4.73,4.68,4.73,129700,0.0,0,25,2010,2
2010-02-26,4.71,4.74,4.7,4.74,142200,0.0,0,26,2010,2
2010-03-01,4.77,4.81,4.75,4.8,239800,0.0,0,01,2010,3
2010-03-02,4.8,4.85,4.79,4.84,198100,0.0,0,02,2010,3
2010-03-03,4.86,4.86,4.83,4.83,178700,0.0,0,03,2010,3
2010-03-04,4.84,4.86,4.83,4.86,267500,0.0,0,04,2010,3
2010-03-05,4.86,4.9,4.84,4.9,210000,0.0,0,05,2010,3
2010-03-08,4.89,4.96,4.89,4.96,256900,0.0,0,08,2010,3
2010-03-09,4.95,4.95,4.91,4.95,179200,0.085,0,09,2010,3
2010-03-10,4.94,4.95,4.89,4.91,230500,0.0,0,10,2010,3
2010-03-11,4.9,4.93,4.88,4.93,213200,0.0,0,11,2010,3
