Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,3.95,3.95,3.92,3.95,2000,0.0,0,04,2010,1
2010-01-05,3.95,3.95,3.95,3.95,0,0.0,0,05,2010,1
2010-01-06,3.95,3.95,3.93,3.95,1500,0.0,0,06,2010,1
2010-01-07,3.95,3.95,3.95,3.95,0,0.0,0,07,2010,1
2010-01-08,3.74,3.95,3.74,3.95,1900,0.0,0,08,2010,1
2010-01-11,3.74,3.95,3.7,3.95,5700,0.0,0,11,2010,1
2010-01-12,3.73,3.95,3.7,3.92,9000,0.0,0,12,2010,1
2010-01-13,3.84,3.88,3.66,3.78,8000,0.0,0,13,2010,1
2010-01-14,3.83,3.92,3.83,3.9,1100,0.0,0,14,2010,1
2010-01-15,3.91,3.91,3.9,3.9,300,0.0,0,15,2010,1
2010-01-19,3.78,3.78,3.66,3.74,3800,0.0,0,19,2010,1
2010-01-20,3.83,3.83,3.83,3.83,1700,0.0,0,20,2010,1
2010-01-21,3.74,3.95,3.74,3.95,1600,0.0,0,21,2010,1
2010-01-22,3.67,3.83,3.67,3.83,3200,0.0,0,22,2010,1
2010-01-25,3.78,3.78,3.78,3.78,300,0.0,0,25,2010,1
2010-01-26,3.64,3.74,3.64,3.67,4400,0.0,0,26,2010,1
2010-01-27,3.66,3.68,3.66,3.66,1600,0.0,0,27,2010,1
2010-01-28,3.74,3.74,3.72,3.74,3300,0.0,0,28,2010,1
2010-01-29,3.71,3.83,3.71,3.8,5600,0.0,0,29,2010,1
2010-02-01,3.66,3.83,3.49,3.66,6400,0.0,0,01,2010,2
2010-02-02,3.61,3.61,3.49,3.61,3100,0.0,0,02,2010,2
2010-02-03,3.53,3.53,3.53,3.53,300,0.0,0,03,2010,2
2010-02-04,3.58,3.58,3.46,3.5,6700,0.0,0,04,2010,2
2010-02-05,3.59,3.59,3.53,3.57,3400,0.0,0,05,2010,2
2010-02-08,3.56,3.56,3.53,3.55,10300,0.0,0,08,2010,2
2010-02-09,3.66,3.66,3.53,3.53,3400,0.0,0,09,2010,2
2010-02-10,3.55,3.55,3.53,3.53,3400,0.0,0,10,2010,2
2010-02-11,3.49,3.64,3.49,3.64,2500,0.0,0,11,2010,2
2010-02-12,3.53,3.61,3.53,3.61,800,0.0,0,12,2010,2
2010-02-16,3.49,3.54,3.49,3.53,1800,0.0,0,16,2010,2
2010-02-17,3.56,3.57,3.55,3.57,2600,0.0,0,17,2010,2
2010-02-18,3.53,3.64,3.44,3.57,7700,0.0,0,18,2010,2
2010-02-19,3.5,3.53,3.5,3.53,200,0.0,0,19,2010,2
2010-02-22,3.5,3.57,3.49,3.56,5100,0.0,0,22,2010,2
2010-02-23,3.56,3.56,3.56,3.56,0,0.0,0,23,2010,2
2010-02-24,3.46,3.56,3.45,3.52,1100,0.0,0,24,2010,2
2010-02-25,3.52,3.57,3.52,3.57,4600,0.0,0,25,2010,2
2010-02-26,3.66,3.66,3.57,3.57,3100,0.0,0,26,2010,2
2010-03-01,3.66,3.66,3.61,3.61,700,0.0,0,01,2010,3
