Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2017-02-10,13.44,13.44,12.1,12.1,1125400,0.0,0,10,2017,2
2017-02-13,12.1,12.31,12.1,12.1,176600,0.0,0,13,2017,2
2017-02-14,12.11,12.18,11.89,12.1,209200,0.0,0,14,2017,2
2017-02-15,12.22,12.33,12.16,12.17,60000,0.0,0,15,2017,2
2017-02-16,12.14,12.14,12.1,12.1,105200,0.0,0,16,2017,2
2017-02-17,12.1,12.14,12.1,12.1,22400,0.0,0,17,2017,2
2017-02-21,12.03,12.17,11.98,12.13,23700,0.0,0,21,2017,2
2017-02-22,12.14,12.35,12.11,12.23,14900,0.0,0,22,2017,2
2017-02-23,12.39,12.53,12.18,12.5,51200,0.0,0,23,2017,2
2017-02-24,12.4,12.76,12.34,12.58,44600,0.0,0,24,2017,2
2017-02-27,12.59,12.62,12.41,12.56,55800,0.0,0,27,2017,2
2017-02-28,12.53,12.62,12.1,12.18,124700,0.0,0,28,2017,2
2017-03-01,12.21,12.32,12.1,12.29,256500,0.0,0,01,2017,3
2017-03-02,12.27,12.31,12.1,12.1,51800,0.0,0,02,2017,3
2017-03-03,12.17,12.18,12.1,12.1,28000,0.0,0,03,2017,3
2017-03-06,12.1,12.18,12.1,12.11,28500,0.0,0,06,2017,3
2017-03-07,12.1,12.24,12.1,12.1,70200,0.0,0,07,2017,3
2017-03-08,12.1,12.13,12.01,12.01,91000,0.0,0,08,2017,3
2017-03-09,12.05,12.05,11.92,11.92,86000,0.0,0,09,2017,3
2017-03-10,11.96,12.14,11.96,12.14,20100,0.0,0,10,2017,3
2017-03-13,12.1,12.18,12.09,12.16,56900,0.0,0,13,2017,3
2017-03-14,12.12,12.17,12.01,12.17,23000,0.0,0,14,2017,3
2017-03-15,12.14,12.15,12.01,12.11,28000,0.0,0,15,2017,3
2017-03-16,12.1,12.46,12.08,12.46,58100,0.0,0,16,2017,3
2017-03-17,12.35,12.47,11.87,11.87,219700,0.0,0,17,2017,3
2017-03-20,11.94,12.1,11.93,12.1,69900,0.0,0,20,2017,3
2017-03-21,12.05,12.1,11.96,12.01,59600,0.0,0,21,2017,3
2017-03-22,12.01,12.14,11.98,12.1,27500,0.0,0,22,2017,3
2017-03-23,12.14,12.14,12.03,12.1,31600,0.0,0,23,2017,3
2017-03-24,12.14,12.14,12.01,12.1,27400,0.0,0,24,2017,3
2017-03-27,11.92,12.14,11.92,12.1,40600,0.0,0,27,2017,3
2017-03-28,12.08,12.14,11.98,12.0,43100,0.0,0,28,2017,3
2017-03-29,12.05,12.09,11.96,12.01,42300,0.0,0,29,2017,3
2017-03-30,11.93,12.12,11.92,12.01,80400,0.0,0,30,2017,3
2017-03-31,12.01,12.01,11.42,11.49,515100,0.0,0,31,2017,3
2017-04-03,11.62,11.87,11.57,11.87,59900,0.0,0,03,2017,4
2017-04-04,11.87,11.98,11.84,11.98,44500,0.0,0,04,2017,4
2017-04-05,11.89,11.89,11.53,11.56,104600,0.0,0,05,2017,4
2017-04-06,11.45,11.66,11.45,11.54,37000,0.085,0,06,2017,4
2017-04-07,11.54,11.63,11.45,11.45,51800,0.0,0,07,2017,4
2017-04-10,11.37,11.5,11.05,11.08,89400,0.0,0,10,2017,4
2017-04-11,11.17,11.17,10.37,10.65,147800,0.0,0,11,2017,4
2017-04-12,10.6,10.64,10.07,10.2,167600,0.0,0,12,2017,4
2017-04-13,10.28,10.28,9.83,10.05,223700,0.0,0,13,2017,4
2017-04-17,10.07,10.21,10.01,10.19,87900,0.0,0,17,2017,4
2017-04-18,10.17,10.24,10.1,10.18,122300,0.0,0,18,2017,4
2017-04-19,9.99,10.1,9.77,9.88,245500,0.0,0,19,2017,4
2017-04-20,9.47,10.17,9.47,10.14,162700,0.0,0,20,2017,4
