Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-11-04,6.08,6.15,5.83,6.01,7605800,0.0,0,04,2010,11
2010-11-05,6.01,6.01,5.63,5.96,1046900,0.0,0,05,2010,11
2010-11-08,5.74,5.87,5.66,5.78,573000,0.0,0,08,2010,11
2010-11-09,5.71,5.83,5.38,5.58,1185700,0.0,0,09,2010,11
2010-11-10,5.5,5.54,5.39,5.48,653700,0.0,0,10,2010,11
2010-11-11,5.45,5.52,5.35,5.45,438900,0.0,0,11,2010,11
2010-11-12,5.45,5.59,5.42,5.58,116600,0.0,0,12,2010,11
2010-11-15,5.58,5.78,5.57,5.63,226900,0.0,0,15,2010,11
2010-11-16,5.61,5.75,5.47,5.55,323500,0.0,0,16,2010,11
2010-11-17,5.55,5.58,5.38,5.48,221400,0.0,0,17,2010,11
2010-11-18,5.5,5.92,5.35,5.68,587800,0.0,0,18,2010,11
2010-11-19,5.68,5.75,5.6,5.67,82600,0.0,0,19,2010,11
2010-11-22,5.61,5.67,5.54,5.55,131100,0.0,0,22,2010,11
2010-11-23,5.55,5.7,5.49,5.62,123900,0.0,0,23,2010,11
2010-11-24,5.66,5.71,5.61,5.68,97400,0.0,0,24,2010,11
2010-11-26,5.64,5.77,5.58,5.69,46000,0.0,0,26,2010,11
2010-11-29,5.65,5.78,5.62,5.76,160000,0.0,0,29,2010,11
2010-11-30,5.79,5.84,5.63,5.74,141800,0.0,0,30,2010,11
2010-12-01,5.74,5.92,5.74,5.91,564300,0.0,0,01,2010,12
2010-12-02,5.93,6.08,5.93,6.07,711300,0.0,0,02,2010,12
2010-12-03,6.02,6.07,6.01,6.06,373600,0.0,0,03,2010,12
2010-12-06,6.03,6.05,5.97,5.97,237900,0.0,0,06,2010,12
2010-12-07,5.8,6.02,5.74,5.96,290000,0.0,0,07,2010,12
2010-12-08,5.93,6.08,5.9,6.04,315700,0.0,0,08,2010,12
2010-12-09,5.93,6.19,5.93,6.1,323500,0.0,0,09,2010,12
2010-12-10,6.03,6.26,6.03,6.26,391900,0.0,0,10,2010,12
2010-12-13,6.31,6.39,6.19,6.22,423700,0.0,0,13,2010,12
2010-12-14,6.39,6.52,6.36,6.46,778000,0.0,0,14,2010,12
2010-12-15,6.49,6.59,6.39,6.47,451300,0.0,0,15,2010,12
2010-12-16,6.49,6.57,6.35,6.52,193300,0.0,0,16,2010,12
2010-12-17,6.58,6.59,6.48,6.48,285800,0.0,0,17,2010,12
2010-12-20,6.6,6.66,6.56,6.62,252200,0.0,0,20,2010,12
2010-12-21,6.66,6.81,6.64,6.78,306400,0.0,0,21,2010,12
2010-12-22,6.82,6.95,6.81,6.86,496800,0.0,0,22,2010,12
2010-12-23,6.94,6.98,6.72,6.76,423500,0.0,0,23,2010,12
2010-12-27,6.71,7.05,6.71,6.93,104100,0.0,0,27,2010,12
2010-12-28,6.97,7.02,6.95,7.02,106800,0.0,0,28,2010,12
2010-12-29,7.02,7.13,7.02,7.09,155100,0.0,0,29,2010,12
2010-12-30,7.15,7.29,7.13,7.24,144200,0.0,0,30,2010,12
2010-12-31,7.3,7.35,7.2,7.33,150800,0.0,0,31,2010,12
2011-01-03,7.4,7.45,7.26,7.3,188800,0.0,0,03,2011,1
2011-01-04,7.34,7.41,7.18,7.27,203600,0.0,0,04,2011,1
2011-01-05,7.28,7.41,7.28,7.35,365800,0.0,0,05,2011,1
2011-01-06,7.38,7.38,7.29,7.37,138500,0.0,0,06,2011,1
2011-01-07,7.38,7.47,7.35,7.47,131800,0.0,0,07,2011,1
2011-01-10,7.43,7.51,7.29,7.38,176100,0.0,0,10,2011,1
2011-01-11,7.38,7.61,7.35,7.53,259700,0.0,0,11,2011,1
2011-01-12,7.54,7.69,7.48,7.63,270300,0.0,0,12,2011,1
2011-01-13,7.62,7.74,7.53,7.69,149700,0.0,0,13,2011,1
2011-01-14,7.67,7.72,7.55,7.6,118700,0.0,0,14,2011,1
2011-01-18,7.61,7.7,7.6,7.61,79400,0.0,0,18,2011,1
2011-01-19,7.63,7.71,7.59,7.62,348900,0.0,0,19,2011,1
