Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,5.51,5.51,5.51,5.51,200,0.0,0.0,04,2010,1
2010-01-05,5.51,5.51,5.51,5.51,0,0.0,0.0,05,2010,1
2010-01-06,5.51,5.51,5.51,5.51,0,0.0,0.0,06,2010,1
2010-01-07,5.51,5.51,5.51,5.51,0,0.0,0.0,07,2010,1
2010-01-08,5.51,5.51,5.51,5.51,0,0.0,0.0,08,2010,1
2010-01-11,5.51,5.51,5.51,5.51,0,0.0,0.0,11,2010,1
2010-01-12,5.51,5.51,5.51,5.51,0,0.0,0.0,12,2010,1
2010-01-13,5.21,5.21,5.21,5.21,100,0.0,0.0,13,2010,1
2010-01-14,5.21,5.21,5.21,5.21,0,0.0,0.0,14,2010,1
2010-01-15,5.51,5.51,5.51,5.51,200,0.0,0.0,15,2010,1
2010-01-19,5.51,5.51,5.51,5.51,0,0.0,0.0,19,2010,1
2010-01-20,5.51,5.51,5.51,5.51,0,0.0,0.0,20,2010,1
2010-01-21,5.51,5.51,5.51,5.51,0,0.0,0.0,21,2010,1
2010-01-22,5.51,5.51,5.51,5.51,0,0.0,0.0,22,2010,1
2010-01-25,5.51,5.51,5.51,5.51,0,0.0,0.0,25,2010,1
2010-01-26,5.51,5.51,5.51,5.51,0,0.0,0.0,26,2010,1
2010-01-27,5.51,5.51,5.51,5.51,0,0.0,0.0,27,2010,1
2010-01-28,5.51,5.51,5.51,5.51,0,0.0,0.0,28,2010,1
2010-01-29,5.51,5.51,5.51,5.51,0,0.0,0.0,29,2010,1
2010-02-01,5.51,5.51,5.51,5.51,0,0.0,0.0,01,2010,2
2010-02-02,4.78,4.78,4.78,4.78,200,0.0,0.0,02,2010,2
2010-02-03,4.78,4.78,4.78,4.78,400,0.0,0.0,03,2010,2
2010-02-04,4.78,4.78,4.75,4.75,3300,0.0,0.0,04,2010,2
2010-02-05,4.75,4.75,4.75,4.75,0,0.0,0.0,05,2010,2
2010-02-08,4.75,4.75,4.75,4.75,0,0.0,0.0,08,2010,2
2010-02-09,4.75,4.75,4.75,4.75,800,0.0,0.0,09,2010,2
2010-02-10,4.75,4.75,4.75,4.75,0,0.0,0.0,10,2010,2
2010-02-11,4.75,4.75,4.75,4.75,0,0.0,0.0,11,2010,2
2010-02-12,4.75,4.75,4.75,4.75,0,0.0,0.0,12,2010,2
2010-02-16,5.14,5.14,5.14,5.14,900,0.0,0.0,16,2010,2
2010-02-17,5.14,5.14,5.14,5.14,1200,0.0,0.0,17,2010,2
2010-02-18,5.14,5.14,5.14,5.14,0,0.0,0.0,18,2010,2
2010-02-19,5.14,5.14,5.14,5.14,0,0.0,0.0,19,2010,2
2010-02-22,5.21,5.21,5.21,5.21,200,0.0,0.0,22,2010,2
2010-02-23,5.51,5.51,5.51,5.51,100,0.0,0.0,23,2010,2
2010-02-24,5.51,5.51,5.51,5.51,0,0.0,0.0,24,2010,2
2010-02-25,5.14,5.14,5.14,5.14,200,0.0,0.0,25,2010,2
2010-02-26,5.14,5.14,5.14,5.14,0,0.0,0.0,26,2010,2
2010-03-01,5.14,5.14,5.14,5.14,0,0.0,0.0,01,2010,3
2010-03-02,5.14,5.14,5.14,5.14,500,0.0,0.0,02,2010,3
2010-03-03,5.14,5.14,5.14,5.14,300,0.0,0.0,03,2010,3
2010-03-04,5.14,5.14,5.14,5.14,0,0.0,0.0,04,2010,3
2010-03-05,5.14,5.14,5.14,5.14,0,0.0,0.0,05,2010,3
2010-03-08,5.14,5.14,5.14,5.14,700,0.0,0.0,08,2010,3
2010-03-09,5.14,5.14,5.14,5.14,0,0.0,0.0,09,2010,3
2010-03-10,5.14,5.14,5.14,5.14,200,0.0,0.0,10,2010,3
2010-03-11,5.23,5.23,5.23,5.23,0,0.10884,0.0,11,2010,3
2010-03-12,5.23,5.23,5.23,5.23,0,0.0,0.0,12,2010,3
2010-03-15,5.23,5.23,5.23,5.23,0,0.0,0.0,15,2010,3
2010-03-16,5.23,5.23,5.23,5.23,0,0.0,0.0,16,2010,3
2010-03-17,5.23,5.23,5.23,5.23,0,0.0,0.0,17,2010,3
2010-03-18,5.23,5.23,5.23,5.23,0,0.0,0.0,18,2010,3
2010-03-19,5.23,5.23,5.23,5.23,0,0.0,0.0,19,2010,3
2010-03-22,5.23,5.23,5.23,5.23,0,0.0,0.0,22,2010,3
2010-03-23,5.23,5.23,5.23,5.23,0,0.0,0.0,23,2010,3
2010-03-24,5.23,5.23,5.23,5.23,0,0.0,0.0,24,2010,3
2010-03-25,5.23,5.23,5.23,5.23,0,0.0,0.0,25,2010,3
2010-03-26,5.23,5.23,5.23,5.23,0,0.0,0.0,26,2010,3
2010-03-29,5.23,5.23,5.23,5.23,0,0.0,0.0,29,2010,3
2010-03-30,5.23,5.23,5.23,5.23,0,0.0,0.0,30,2010,3
2010-03-31,5.6,5.6,5.6,5.6,300,0.0,0.0,31,2010,3
2010-04-01,5.6,5.6,5.6,5.6,0,0.0,0.0,01,2010,4
2010-04-05,5.6,5.6,5.6,5.6,0,0.0,0.0,05,2010,4
2010-04-06,5.6,5.6,5.23,5.23,10300,0.0,0.0,06,2010,4
2010-04-07,5.29,5.29,5.29,5.29,200,0.0,0.0,07,2010,4
2010-04-08,5.29,5.29,5.29,5.29,0,0.0,0.0,08,2010,4
2010-04-09,5.29,5.29,5.29,5.29,0,0.0,0.0,09,2010,4
2010-04-12,5.29,5.29,5.29,5.29,0,0.0,0.0,12,2010,4
2010-04-13,5.29,5.29,5.29,5.29,0,0.0,0.0,13,2010,4
2010-04-14,5.16,5.29,5.16,5.29,4000,0.0,0.0,14,2010,4
