Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,2.52,2.52,2.27,2.39,13800,0.0,0,04,2010,1
2010-01-05,2.38,2.41,2.33,2.35,1300,0.0,0,05,2010,1
2010-01-06,2.42,2.42,2.24,2.38,17400,0.0,0,06,2010,1
2010-01-07,2.43,2.43,2.35,2.35,4100,0.0,0,07,2010,1
2010-01-08,2.35,2.4,2.23,2.4,8700,0.0,0,08,2010,1
2010-01-11,2.39,2.39,2.21,2.34,38000,0.0,0,11,2010,1
2010-01-12,2.26,2.31,2.19,2.2,13300,0.0,0,12,2010,1
2010-01-13,2.24,2.26,2.18,2.19,6900,0.0,0,13,2010,1
2010-01-14,2.24,2.26,2.22,2.25,2100,0.0,0,14,2010,1
2010-01-15,2.21,2.24,2.12,2.12,14800,0.0,0,15,2010,1
2010-01-19,2.14,2.15,2.09,2.12,12000,0.0,0,19,2010,1
2010-01-20,2.15,2.15,2.05,2.09,12200,0.0,0,20,2010,1
2010-01-21,2.1,2.13,1.98,2.04,11100,0.0,0,21,2010,1
2010-01-22,2.01,2.1,2.01,2.06,22700,0.0,0,22,2010,1
2010-01-25,2.0,2.04,1.86,1.98,24300,0.0,0,25,2010,1
2010-01-26,2.01,2.01,1.79,1.88,50300,0.0,0,26,2010,1
2010-01-27,1.84,1.92,1.81,1.86,29700,0.0,0,27,2010,1
2010-01-28,1.91,2.04,1.89,1.95,15600,0.0,0,28,2010,1
2010-01-29,1.95,2.01,1.9,1.94,7100,0.0,0,29,2010,1
2010-02-01,1.94,1.97,1.88,1.97,4700,0.0,0,01,2010,2
2010-02-02,1.93,2.01,1.9,1.94,7300,0.0,0,02,2010,2
2010-02-03,2.01,2.04,1.92,1.95,12900,0.0,0,03,2010,2
2010-02-04,1.97,1.97,1.84,1.84,19300,0.0,0,04,2010,2
2010-02-05,1.87,1.87,1.78,1.83,12200,0.0,0,05,2010,2
2010-02-08,1.92,2.07,1.89,1.95,72000,0.0,0,08,2010,2
2010-02-09,1.93,1.97,1.89,1.96,17500,0.0,0,09,2010,2
2010-02-10,1.9,1.94,1.86,1.92,10200,0.0,0,10,2010,2
2010-02-11,1.89,2.01,1.86,1.93,34600,0.0,0,11,2010,2
2010-02-12,1.91,2.01,1.91,1.97,16600,0.0,0,12,2010,2
2010-02-16,1.97,2.08,1.97,2.07,3100,0.0,0,16,2010,2
2010-02-17,2.03,2.14,2.01,2.08,27400,0.0,0,17,2010,2
2010-02-18,2.06,2.12,2.06,2.12,11600,0.0,0,18,2010,2
2010-02-19,2.17,2.21,2.14,2.21,24600,0.0,0,19,2010,2
2010-02-22,2.26,2.26,2.21,2.21,14100,0.0,0,22,2010,2
2010-02-23,2.2,2.35,2.18,2.21,23000,0.0,0,23,2010,2
2010-02-24,2.2,2.21,2.18,2.18,3700,0.0,0,24,2010,2
2010-02-25,2.22,2.22,2.07,2.18,4300,0.0,0,25,2010,2
2010-02-26,2.2,2.29,2.18,2.29,10400,0.0,0,26,2010,2
2010-03-01,2.29,2.29,2.21,2.22,16100,0.0,0,01,2010,3
2010-03-02,2.2,2.23,2.13,2.13,12800,0.0,0,02,2010,3
2010-03-03,2.15,2.21,2.12,2.12,12100,0.0,0,03,2010,3
2010-03-04,2.07,2.21,2.07,2.17,17000,0.0,0,04,2010,3
2010-03-05,2.2,2.28,2.19,2.24,20400,0.0,0,05,2010,3
2010-03-08,2.21,2.3,2.16,2.3,13100,0.0,0,08,2010,3
2010-03-09,2.26,2.3,2.14,2.3,13700,0.0,0,09,2010,3
2010-03-10,2.29,2.38,2.26,2.33,25100,0.0,0,10,2010,3
2010-03-11,2.29,2.35,2.29,2.33,3700,0.0,0,11,2010,3
2010-03-12,2.38,2.44,2.29,2.38,44700,0.0,0,12,2010,3
2010-03-15,2.42,2.43,2.37,2.38,10500,0.0,0,15,2010,3
2010-03-16,2.43,2.45,2.31,2.33,28800,0.0,0,16,2010,3
2010-03-17,2.38,2.38,2.32,2.35,4500,0.0,0,17,2010,3
2010-03-18,2.39,2.39,2.33,2.33,2800,0.0,0,18,2010,3
2010-03-19,2.38,2.38,2.23,2.38,10500,0.0,0,19,2010,3
2010-03-22,2.41,2.41,2.3,2.38,17300,0.0,0,22,2010,3
2010-03-23,2.37,2.45,2.36,2.44,3900,0.0,0,23,2010,3
2010-03-24,2.5,2.51,2.41,2.48,7200,0.0,0,24,2010,3
2010-03-25,2.58,2.58,2.32,2.41,14200,0.0,0,25,2010,3
2010-03-26,2.39,2.43,2.31,2.33,20700,0.0,0,26,2010,3
2010-03-29,2.35,2.37,2.28,2.33,24900,0.0,0,29,2010,3
2010-03-30,2.3,2.35,2.2,2.3,13700,0.0,0,30,2010,3
2010-03-31,2.36,2.4,2.23,2.24,24300,0.0,0,31,2010,3
2010-04-01,2.23,2.25,2.14,2.21,19400,0.0,0,01,2010,4
2010-04-05,2.14,2.3,2.14,2.23,3200,0.0,0,05,2010,4
2010-04-06,2.19,2.23,2.18,2.22,7600,0.0,0,06,2010,4
2010-04-07,2.23,2.23,2.19,2.19,4000,0.0,0,07,2010,4
2010-04-08,2.24,2.26,2.15,2.23,13600,0.0,0,08,2010,4
2010-04-09,2.27,2.27,2.17,2.18,1400,0.0,0,09,2010,4
2010-04-12,2.12,2.22,2.12,2.22,1300,0.0,0,12,2010,4
2010-04-13,2.15,2.25,2.08,2.25,6500,0.0,0,13,2010,4
2010-04-14,2.26,2.38,2.21,2.38,40900,0.0,0,14,2010,4
2010-04-15,2.36,2.38,2.31,2.35,17200,0.0,0,15,2010,4
2010-04-16,2.39,2.41,2.28,2.32,27700,0.0,0,16,2010,4
2010-04-19,2.35,2.35,2.29,2.32,1200,0.0,0,19,2010,4
2010-04-20,2.33,2.47,2.31,2.45,21100,0.0,0,20,2010,4
2010-04-21,2.43,2.46,2.35,2.45,7700,0.0,0,21,2010,4
2010-04-22,2.42,2.47,2.34,2.4,6200,0.0,0,22,2010,4
2010-04-23,2.44,2.44,2.43,2.44,1000,0.0,0,23,2010,4
2010-04-26,2.47,2.47,2.33,2.39,20100,0.0,0,26,2010,4
2010-04-27,2.39,2.39,2.3,2.33,5400,0.0,0,27,2010,4
2010-04-28,2.37,2.39,2.28,2.33,25200,0.0,0,28,2010,4
2010-04-29,2.33,2.38,2.28,2.36,9900,0.0,0,29,2010,4
2010-04-30,2.39,2.39,2.3,2.31,4400,0.0,0,30,2010,4
2010-05-03,2.31,2.38,2.31,2.32,17300,0.0,0,03,2010,5
2010-05-04,2.34,2.34,2.2,2.24,22100,0.0,0,04,2010,5
2010-05-05,2.27,2.33,2.24,2.27,35600,0.0,0,05,2010,5
2010-05-06,2.32,2.32,2.15,2.15,5000,0.0,0,06,2010,5
2010-05-07,2.15,2.27,2.04,2.06,5600,0.0,0,07,2010,5
2010-05-10,2.12,2.24,1.92,2.11,52500,0.0,0,10,2010,5
2010-05-11,1.97,2.15,1.97,2.14,1700,0.0,0,11,2010,5
2010-05-12,2.12,2.25,2.09,2.18,22900,0.0,0,12,2010,5
2010-05-13,2.22,2.23,2.11,2.15,3500,0.0,0,13,2010,5
2010-05-14,2.26,2.26,2.04,2.12,9500,0.0,0,14,2010,5
2010-05-17,2.33,2.33,2.04,2.14,25900,0.0,0,17,2010,5
2010-05-18,2.1,2.21,2.09,2.12,1800,0.0,0,18,2010,5
2010-05-19,2.07,2.2,2.07,2.19,7000,0.0,0,19,2010,5
2010-05-20,2.09,2.15,2.06,2.1,9200,0.0,0,20,2010,5
2010-05-21,2.1,2.1,2.06,2.09,9500,0.0,0,21,2010,5
2010-05-24,2.23,2.23,2.05,2.09,7100,0.0,0,24,2010,5
2010-05-25,2.09,2.09,1.98,2.01,38400,0.0,0,25,2010,5
2010-05-26,2.01,2.04,1.95,1.95,49100,0.0,0,26,2010,5
2010-05-27,2.01,2.06,1.95,2.06,18500,0.0,0,27,2010,5
2010-05-28,2.08,2.08,1.96,2.03,2700,0.0,0,28,2010,5
2010-06-01,2.03,2.08,1.93,1.93,14000,0.0,0,01,2010,6
2010-06-02,1.99,2.01,1.9,1.93,11700,0.0,0,02,2010,6
2010-06-03,1.89,2.0,1.89,1.99,12700,0.0,0,03,2010,6
2010-06-04,1.99,2.01,1.95,1.99,3800,0.0,0,04,2010,6
2010-06-07,1.93,1.95,1.88,1.91,20200,0.0,0,07,2010,6
2010-06-08,1.89,2.11,1.86,1.86,4100,0.0,0,08,2010,6
2010-06-09,1.92,2.01,1.92,1.92,11200,0.0,0,09,2010,6
2010-06-10,1.99,2.02,1.95,1.96,900,0.0,0,10,2010,6
2010-06-11,2.0,2.0,1.92,1.92,1600,0.0,0,11,2010,6
2010-06-14,1.96,2.02,1.94,2.0,6300,0.0,0,14,2010,6
2010-06-15,1.98,2.07,1.98,2.01,181600,0.0,0,15,2010,6
2010-06-16,1.97,2.03,1.97,2.02,3600,0.0,0,16,2010,6
2010-06-17,1.98,2.01,1.98,1.98,8700,0.0,0,17,2010,6
2010-06-18,2.05,2.06,1.99,2.01,9300,0.0,0,18,2010,6
2010-06-21,2.04,2.04,2.0,2.04,14600,0.0,0,21,2010,6
2010-06-22,2.01,2.04,1.98,2.0,5700,0.0,0,22,2010,6
2010-06-23,2.03,2.07,1.98,1.98,34200,0.0,0,23,2010,6
2010-06-24,1.98,2.06,1.98,2.0,31500,0.0,0,24,2010,6
2010-06-25,2.07,2.07,1.88,2.0,14800,0.0,0,25,2010,6
2010-06-28,1.95,1.95,1.86,1.94,22600,0.0,0,28,2010,6
2010-06-29,1.89,1.89,1.79,1.81,20100,0.0,0,29,2010,6
2010-06-30,1.78,1.82,1.78,1.82,6300,0.0,0,30,2010,6
2010-07-01,1.78,1.89,1.78,1.89,4800,0.0,0,01,2010,7
2010-07-02,1.81,1.81,1.81,1.81,200,0.0,0,02,2010,7
2010-07-06,1.89,1.89,1.78,1.78,27300,0.0,0,06,2010,7
2010-07-07,1.78,1.81,1.75,1.75,13300,0.0,0,07,2010,7
2010-07-08,1.77,1.84,1.77,1.83,28700,0.0,0,08,2010,7
2010-07-09,1.86,1.86,1.77,1.78,10500,0.0,0,09,2010,7
2010-07-12,1.77,1.86,1.77,1.78,23200,0.0,0,12,2010,7
2010-07-13,1.77,1.89,1.77,1.78,38200,0.0,0,13,2010,7
2010-07-14,1.78,1.89,1.75,1.89,51200,0.0,0,14,2010,7
2010-07-15,1.86,1.86,1.78,1.78,4900,0.0,0,15,2010,7
2010-07-16,1.78,1.81,1.75,1.77,18400,0.0,0,16,2010,7
2010-07-19,1.75,1.82,1.75,1.78,2100,0.0,0,19,2010,7
2010-07-20,1.75,1.77,1.75,1.77,21700,0.0,0,20,2010,7
2010-07-21,1.75,1.81,1.75,1.75,23100,0.0,0,21,2010,7
2010-07-22,1.78,1.78,1.72,1.74,17500,0.0,0,22,2010,7
2010-07-23,1.73,1.75,1.72,1.74,15300,0.0,0,23,2010,7
2010-07-26,1.72,1.8,1.72,1.74,51600,0.0,0,26,2010,7
2010-07-27,1.84,1.93,1.81,1.88,9600,0.0,0,27,2010,7
