Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,3.03,3.14,3.03,3.1,2500,0.0,0.0,04,2010,1
2010-01-05,3.1,3.1,3.1,3.1,0,0.0,0.0,05,2010,1
2010-01-06,2.98,3.02,2.92,3.02,2900,0.0,0.0,06,2010,1
2010-01-07,3.01,3.05,2.98,3.0,4100,0.0,0.0,07,2010,1
2010-01-08,2.98,3.14,2.98,3.14,400,0.0,0.0,08,2010,1
2010-01-11,3.14,3.14,3.14,3.14,0,0.0,0.0,11,2010,1
2010-01-12,3.02,3.02,2.86,3.01,7700,0.0,0.0,12,2010,1
2010-01-13,3.29,3.29,3.25,3.25,200,0.0,0.0,13,2010,1
2010-01-14,3.29,3.29,3.18,3.18,2700,0.0,0.0,14,2010,1
2010-01-15,3.05,3.23,3.05,3.15,1200,0.0,0.0,15,2010,1
2010-01-19,3.13,3.15,2.99,3.11,1200,0.0,0.0,19,2010,1
2010-01-20,3.18,3.18,3.09,3.09,3900,0.0,0.0,20,2010,1
2010-01-21,3.09,3.09,3.09,3.09,0,0.0,0.0,21,2010,1
2010-01-22,3.14,3.14,3.1,3.1,200,0.0,0.0,22,2010,1
2010-01-25,3.14,3.15,3.06,3.15,1300,0.0,0.0,25,2010,1
2010-01-26,3.14,3.23,3.14,3.22,24500,0.0,0.0,26,2010,1
2010-01-27,3.15,3.26,3.15,3.26,3200,0.0,0.0,27,2010,1
2010-01-28,3.15,3.26,3.15,3.25,2500,0.0,0.0,28,2010,1
2010-01-29,3.27,3.27,3.23,3.27,1300,0.03,0.0,29,2010,1
2010-02-01,3.17,3.26,3.07,3.26,21300,0.0,0.0,01,2010,2
2010-02-02,3.12,3.26,3.12,3.25,13000,0.0,0.0,02,2010,2
2010-02-03,3.26,3.26,3.2,3.25,1300,0.0,0.0,03,2010,2
2010-02-04,3.17,3.17,3.17,3.17,300,0.0,0.0,04,2010,2
2010-02-05,3.16,3.16,3.16,3.16,100,0.0,0.0,05,2010,2
2010-02-08,3.2,3.21,3.19,3.2,26900,0.0,0.0,08,2010,2
2010-02-09,3.17,3.25,3.17,3.21,4400,0.0,0.0,09,2010,2
2010-02-10,3.25,3.26,3.14,3.19,14800,0.0,0.0,10,2010,2
2010-02-11,3.25,3.25,3.25,3.25,100,0.0,0.0,11,2010,2
2010-02-12,3.17,3.29,3.17,3.17,37600,0.0,0.0,12,2010,2
2010-02-16,3.31,3.31,3.18,3.2,1200,0.0,0.0,16,2010,2
2010-02-17,3.2,3.2,3.2,3.2,0,0.0,0.0,17,2010,2
2010-02-18,3.2,3.23,3.18,3.23,1500,0.0,0.0,18,2010,2
2010-02-19,3.4,3.4,3.23,3.4,13300,0.0,0.0,19,2010,2
2010-02-22,3.4,3.4,3.26,3.38,2000,0.0,0.0,22,2010,2
2010-02-23,3.38,3.38,3.38,3.38,100,0.0,0.0,23,2010,2
2010-02-24,3.11,3.4,3.11,3.34,700,0.0,0.0,24,2010,2
2010-02-25,3.26,3.4,3.26,3.26,4000,0.0,0.0,25,2010,2
2010-02-26,3.26,3.26,3.26,3.26,0,0.0,0.0,26,2010,2
2010-03-01,3.4,3.4,3.27,3.38,4400,0.0,0.0,01,2010,3
2010-03-02,3.45,3.46,3.45,3.45,1300,0.0,0.0,02,2010,3
2010-03-03,3.45,3.45,3.45,3.45,0,0.0,0.0,03,2010,3
2010-03-04,3.45,3.45,3.45,3.45,0,0.0,0.0,04,2010,3
2010-03-05,3.26,3.46,3.26,3.43,2500,0.0,0.0,05,2010,3
2010-03-08,3.43,3.43,3.43,3.43,0,0.0,0.0,08,2010,3
2010-03-09,3.27,3.3,3.27,3.3,300,0.0,0.0,09,2010,3
2010-03-10,3.29,3.3,3.29,3.3,500,0.0,0.0,10,2010,3
2010-03-11,3.46,3.46,3.34,3.34,700,0.0,0.0,11,2010,3
2010-03-12,3.32,3.43,3.32,3.43,2700,0.0,0.0,12,2010,3
