Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2018-05-31,16.273507692307692,16.461384615384617,16.072215384615383,16.258123076923077,266789.95384615386,0.309,0,31,2018,5
2018-08-31,16.273507692307692,16.461384615384617,16.072215384615383,16.258123076923077,266789.95384615386,0.32,0,31,2018,8
2018-09-17,19.31,19.31,18.41,18.52,425261.0,0.0,0,17,2018,9
2018-09-18,18.73,18.8,18.48,18.65,376676.0,0.0,0,18,2018,9
2018-09-19,18.62,18.82,18.38,18.46,255212.0,0.0,0,19,2018,9
2018-09-20,18.44,18.55,18.25,18.4,283935.0,0.0,0,20,2018,9
2018-09-21,18.39,18.71,18.34,18.71,800163.0,0.0,0,21,2018,9
2018-09-24,18.61,18.63,18.39,18.46,203829.0,0.0,0,24,2018,9
2018-09-25,18.21,18.29,17.78,17.91,433126.0,0.0,0,25,2018,9
2018-09-26,17.87,18.09,17.78,17.82,221958.0,0.0,0,26,2018,9
2018-09-27,17.89,18.09,17.72,17.73,270353.0,0.0,0,27,2018,9
2018-09-28,17.74,17.99,17.66,17.78,391634.0,0.0,0,28,2018,9
2018-10-01,17.79,17.87,17.75,17.77,212762.0,0.0,0,01,2018,10
2018-10-02,17.83,18.05,17.72,18.01,226223.0,0.0,0,02,2018,10
2018-10-03,18.08,18.27,18.05,18.15,193914.0,0.0,0,03,2018,10
2018-10-04,18.24,18.25,17.93,18.04,185171.0,0.0,0,04,2018,10
2018-10-05,18.01,18.24,17.98,18.16,359138.0,0.0,0,05,2018,10
2018-10-08,18.11,18.46,18.11,18.36,330188.0,0.0,0,08,2018,10
2018-10-09,18.59,18.63,18.35,18.45,339682.0,0.0,0,09,2018,10
2018-10-10,18.52,18.88,18.31,18.35,427451.0,0.0,0,10,2018,10
2018-10-11,18.39,18.52,18.06,18.08,292258.0,0.0,0,11,2018,10
2018-10-12,18.22,18.33,18.01,18.25,337506.0,0.0,0,12,2018,10
2018-10-15,18.5,18.61,18.24,18.28,380600.0,0.0,0,15,2018,10
2018-10-16,18.48,18.63,18.27,18.47,284764.0,0.0,0,16,2018,10
2018-10-17,18.57,18.57,18.28,18.3,235399.0,0.0,0,17,2018,10
2018-10-18,18.41,18.41,18.07,18.14,284546.0,0.0,0,18,2018,10
2018-10-19,18.14,18.52,18.14,18.42,249232.0,0.0,0,19,2018,10
2018-10-22,18.51,18.63,18.36,18.41,280237.0,0.0,0,22,2018,10
2018-10-23,18.42,18.46,18.07,18.14,277444.0,0.0,0,23,2018,10
2018-10-24,18.27,18.39,18.1,18.11,209267.0,0.0,0,24,2018,10
2018-10-25,18.24,18.28,17.96,18.14,361958.0,0.0,0,25,2018,10
2018-10-26,18.19,18.19,17.92,17.96,236812.0,0.0,0,26,2018,10
2018-10-29,17.96,18.12,17.79,17.89,429857.0,0.0,0,29,2018,10
2018-10-30,18.01,18.26,17.93,18.12,326730.0,0.0,0,30,2018,10
2018-10-31,18.3,18.3,18.01,18.13,262386.0,0.0,0,31,2018,10
2018-11-01,18.3,18.3,17.99,18.06,272386.0,0.0,0,01,2018,11
2018-11-02,18.01,18.12,17.85,17.96,150441.0,0.0,0,02,2018,11
2018-11-05,18.1,18.21,17.94,18.05,390278.0,0.0,0,05,2018,11
2018-11-06,18.01,18.24,17.77,18.02,467933.0,0.0,0,06,2018,11
2018-11-07,18.12,18.3,17.98,18.07,648238.0,0.0,0,07,2018,11
2018-11-08,18.1,18.37,17.89,18.29,468130.0,0.0,0,08,2018,11
2018-11-09,18.26,18.38,18.21,18.32,455638.0,0.0,0,09,2018,11
2018-11-12,18.35,18.44,17.96,18.0,496435.0,0.0,0,12,2018,11
2018-11-13,18.1,18.12,17.68,17.71,324207.0,0.0,0,13,2018,11
2018-11-14,17.74,17.82,15.61,15.69,938339.0,0.0,0,14,2018,11
2018-11-15,15.64,15.89,15.0,15.13,469116.0,0.0,0,15,2018,11
2018-11-16,15.42,16.57,15.28,16.57,984656.0,0.0,0,16,2018,11
2018-11-19,16.55,17.0,16.46,16.76,653242.0,0.0,0,19,2018,11
2018-11-20,16.85,16.97,16.31,16.65,217840.0,0.0,0,20,2018,11
2018-11-21,16.66,16.84,16.54,16.72,171653.0,0.0,0,21,2018,11
2018-11-23,16.74,16.9,16.55,16.7,103487.0,0.0,0,23,2018,11
2018-11-26,16.76,16.97,16.76,16.92,241009.0,0.0,0,26,2018,11
2018-11-27,16.87,17.06,16.87,16.94,299443.0,0.0,0,27,2018,11
2018-11-28,16.97,17.17,16.8,17.03,273575.0,0.0,0,28,2018,11
2018-11-29,17.05,17.17,16.89,17.02,132277.0,0.0,0,29,2018,11
2018-11-30,17.1,17.19,16.88,17.15,214673.0,0.331,0,30,2018,11
2018-12-03,17.31,17.34,17.13,17.19,124393.0,0.0,0,03,2018,12
2018-12-04,17.26,17.48,16.98,17.09,367904.0,0.0,0,04,2018,12
2018-12-06,17.08,17.08,16.49,17.07,329703.0,0.0,0,06,2018,12
2018-12-07,17.11,17.3,17.05,17.14,498795.0,0.0,0,07,2018,12
2018-12-10,16.97,17.12,16.81,16.98,516027.0,0.0,0,10,2018,12
2018-12-11,17.16,17.16,16.77,16.87,377620.0,0.0,0,11,2018,12
2018-12-12,17.04,17.09,16.82,16.89,222256.0,0.0,0,12,2018,12
2018-12-13,16.93,17.31,16.91,17.1,319124.0,0.0,0,13,2018,12
2018-12-14,17.2,17.3,16.97,17.09,319808.0,0.0,0,14,2018,12
2018-12-17,17.12,17.12,16.31,16.41,426220.0,0.0,0,17,2018,12
2018-12-18,16.41,16.92,16.27,16.28,290354.0,0.0,0,18,2018,12
2018-12-19,16.28,16.4,15.98,16.09,399161.0,0.0,0,19,2018,12
2018-12-20,16.11,16.21,15.65,15.95,271066.0,0.0,0,20,2018,12
2018-12-21,15.9,16.14,15.57,15.59,318062.0,0.0,0,21,2018,12
2018-12-24,15.63,15.68,15.04,15.08,125686.0,0.0,0,24,2018,12
2018-12-26,15.12,15.82,15.12,15.78,204395.0,0.0,0,26,2018,12
2018-12-27,15.68,15.78,15.32,15.66,183747.0,0.0,0,27,2018,12
2018-12-28,15.84,16.13,15.76,16.05,217693.0,0.0,0,28,2018,12
2018-12-31,16.22,16.28,16.01,16.09,154766.0,0.0,0,31,2018,12
2019-01-02,15.88,16.19,15.69,16.12,387355.0,0.0,0,02,2019,1
2019-01-03,16.06,16.22,15.81,15.92,365766.0,0.0,0,03,2019,1
2019-01-04,15.94,16.45,15.92,16.44,454084.0,0.0,0,04,2019,1
2019-01-07,16.23,16.23,15.26,15.72,1054196.0,0.0,0,07,2019,1
2019-01-08,15.82,15.87,14.9,14.9,411955.0,0.0,0,08,2019,1
2019-01-09,14.95,15.05,14.84,14.97,407574.0,0.0,0,09,2019,1
2019-01-10,14.93,15.58,14.93,15.22,484394.0,0.0,0,10,2019,1
2019-01-11,15.22,15.28,14.84,14.99,627976.0,0.0,0,11,2019,1
2019-01-14,13.99,14.25,13.23,13.29,476774.0,0.0,0,14,2019,1
2019-01-15,13.28,13.38,12.64,13.19,629130.0,0.0,0,15,2019,1
2019-01-16,13.23,13.56,13.16,13.41,330407.0,0.0,0,16,2019,1
2019-01-17,13.46,14.02,13.38,14.02,359897.0,0.0,0,17,2019,1
2019-01-18,13.89,14.32,13.87,14.26,513292.0,0.0,0,18,2019,1
2019-01-22,14.25,14.28,13.95,14.06,236060.0,0.0,0,22,2019,1
2019-01-23,14.07,14.47,14.07,14.41,267804.0,0.0,0,23,2019,1
2019-01-24,14.49,15.81,14.28,14.72,694962.0,0.0,0,24,2019,1
2019-01-25,14.71,14.77,13.98,14.06,402644.0,0.0,0,25,2019,1
2019-01-28,14.01,14.47,13.98,14.04,306176.0,0.0,0,28,2019,1
2019-01-29,14.18,14.21,13.87,14.06,428515.0,0.0,0,29,2019,1
2019-01-30,14.14,14.2,13.68,13.7,352405.0,0.0,0,30,2019,1
2019-01-31,13.74,14.08,13.71,13.98,364710.0,0.0,0,31,2019,1
2019-02-01,14.01,14.14,13.86,14.08,378889.0,0.0,0,01,2019,2
2019-02-04,14.19,14.26,13.94,14.02,221565.0,0.0,0,04,2019,2
2019-02-05,14.06,14.06,13.22,13.29,524279.0,0.0,0,05,2019,2
2019-02-06,13.35,13.45,13.25,13.39,294917.0,0.0,0,06,2019,2
2019-02-07,13.37,13.52,13.29,13.52,195029.0,0.0,0,07,2019,2
2019-02-08,13.54,13.77,13.48,13.48,199542.0,0.0,0,08,2019,2
2019-02-11,13.48,13.74,13.36,13.65,215865.0,0.0,0,11,2019,2
2019-02-12,13.69,13.85,13.64,13.72,228364.0,0.0,0,12,2019,2
2019-02-13,13.36,13.39,12.15,12.25,1163125.0,0.0,0,13,2019,2
2019-02-14,11.61,13.16,11.45,13.04,2196473.0,0.0,0,14,2019,2
2019-02-15,13.04,13.72,12.86,13.18,787993.0,0.0,0,15,2019,2
2019-02-19,13.09,13.17,12.75,13.17,1086577.0,0.0,0,19,2019,2
2019-02-20,13.1,13.42,13.05,13.19,621237.0,0.0,0,20,2019,2
2019-02-21,13.24,13.49,13.12,13.44,259871.0,0.0,0,21,2019,2
2019-02-22,13.46,13.68,13.41,13.68,284890.0,0.0,0,22,2019,2
2019-02-25,13.79,13.79,13.53,13.61,402301.0,0.0,0,25,2019,2
2019-02-26,13.61,13.72,13.53,13.58,186557.0,0.0,0,26,2019,2
2019-02-27,13.54,13.99,13.47,13.81,255444.0,0.0,0,27,2019,2
2019-02-28,13.74,14.24,13.34,14.23,455356.0,0.2,0,28,2019,2
2019-03-01,14.23,14.29,13.72,13.74,302300.0,0.0,0,01,2019,3
2019-03-04,13.72,13.87,13.58,13.84,278384.0,0.0,0,04,2019,3
2019-03-05,13.79,13.89,13.69,13.81,303005.0,0.0,0,05,2019,3
2019-03-06,13.84,14.34,13.84,14.13,288036.0,0.0,0,06,2019,3
2019-03-07,14.12,14.14,13.93,13.99,201892.0,0.0,0,07,2019,3
2019-03-08,13.99,13.99,13.82,13.89,132459.0,0.0,0,08,2019,3
2019-03-11,14.01,14.27,13.99,14.19,204510.0,0.0,0,11,2019,3
2019-03-12,14.16,14.28,14.03,14.17,175999.0,0.0,0,12,2019,3
2019-03-13,14.2,14.25,13.96,13.99,234826.0,0.0,0,13,2019,3
2019-03-14,14.02,14.02,13.7,13.77,142496.0,0.0,0,14,2019,3
2019-03-15,13.76,13.85,13.62,13.79,375513.0,0.0,0,15,2019,3
2019-03-18,13.77,13.94,13.73,13.76,194894.0,0.0,0,18,2019,3
2019-03-19,13.79,13.83,13.43,13.51,192208.0,0.0,0,19,2019,3
2019-03-20,13.49,13.64,13.22,13.49,272328.0,0.0,0,20,2019,3
2019-03-21,13.5,13.84,13.5,13.77,297255.0,0.0,0,21,2019,3
2019-03-22,13.81,13.87,13.61,13.61,189474.0,0.0,0,22,2019,3
2019-03-25,13.55,13.76,13.36,13.7,243592.0,0.0,0,25,2019,3
2019-03-26,13.69,13.92,13.69,13.89,124898.0,0.0,0,26,2019,3
2019-03-27,13.94,14.02,13.87,13.89,138317.0,0.0,0,27,2019,3
2019-03-28,13.88,13.98,13.85,13.9,238371.0,0.0,0,28,2019,3
2019-03-29,13.94,14.09,13.89,14.02,412553.0,0.0,0,29,2019,3
