Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,3.17,3.19,3.13,3.13,6200,0.0,0,04,2010,1
2010-01-05,3.19,3.19,3.19,3.19,3300,0.0,0,05,2010,1
2010-01-06,3.18,3.19,3.13,3.13,6700,0.0,0,06,2010,1
2010-01-07,3.15,3.15,3.1,3.15,18900,0.0,0,07,2010,1
2010-01-08,3.1,3.38,3.06,3.38,19500,0.0,0,08,2010,1
2010-01-11,3.11,3.11,3.1,3.1,1700,0.0,0,11,2010,1
2010-01-12,3.17,3.42,3.15,3.42,12600,0.0,0,12,2010,1
2010-01-13,3.51,3.51,3.4,3.4,800,0.0,0,13,2010,1
2010-01-14,3.62,3.69,3.55,3.59,14400,0.0,0,14,2010,1
2010-01-15,3.6,3.65,3.6,3.65,1300,0.0,0,15,2010,1
2010-01-19,3.65,3.75,3.56,3.74,12300,0.0,0,19,2010,1
2010-01-20,3.72,3.74,3.65,3.74,2000,0.0,0,20,2010,1
2010-01-21,3.74,3.94,3.74,3.88,7000,0.0,0,21,2010,1
2010-01-22,3.88,3.88,3.88,3.88,1000,0.0,0,22,2010,1
2010-01-25,4.37,4.37,3.9,3.9,11300,0.0,0,25,2010,1
2010-01-26,4.34,4.34,3.79,3.79,3100,0.0,0,26,2010,1
2010-01-27,3.75,3.77,3.74,3.74,1100,0.0,0,27,2010,1
2010-01-28,3.84,3.84,3.84,3.84,100,0.0,0,28,2010,1
2010-01-29,3.84,3.84,3.84,3.84,0,0.0,0,29,2010,1
2010-02-01,3.79,3.79,3.53,3.61,6700,0.0,0,01,2010,2
2010-02-02,3.58,3.65,3.57,3.58,6700,0.0,0,02,2010,2
2010-02-03,3.58,4.41,3.58,3.92,2000,0.0,0,03,2010,2
2010-02-04,3.76,3.76,3.65,3.65,3700,0.0,0,04,2010,2
2010-02-05,3.65,3.65,3.65,3.65,100,0.0,0,05,2010,2
2010-02-08,3.66,3.66,3.63,3.63,1800,0.0,0,08,2010,2
2010-02-09,3.63,3.63,3.63,3.63,0,0.0,0,09,2010,2
2010-02-10,3.49,3.69,3.49,3.69,500,0.0,0,10,2010,2
2010-02-11,3.48,3.62,3.17,3.62,6000,0.0,0,11,2010,2
2010-02-12,3.62,3.62,3.62,3.62,0,0.0,0,12,2010,2
2010-02-16,3.6,3.65,3.6,3.65,1700,0.0,0,16,2010,2
2010-02-17,3.65,3.65,3.65,3.65,0,0.0,0,17,2010,2
2010-02-18,3.59,3.6,3.59,3.6,1000,0.0,0,18,2010,2
2010-02-19,3.39,3.65,3.38,3.65,6200,0.0,0,19,2010,2
2010-02-22,3.58,3.6,3.56,3.6,900,0.0,0,22,2010,2
2010-02-23,3.6,3.6,3.6,3.6,0,0.0,0,23,2010,2
2010-02-24,3.56,3.74,3.2,3.65,7900,0.0,0,24,2010,2
2010-02-25,3.58,3.65,3.56,3.65,3300,0.0,0,25,2010,2
2010-02-26,3.65,3.65,3.65,3.65,0,0.0,0,26,2010,2
2010-03-01,3.47,3.53,3.47,3.47,2600,0.0,0,01,2010,3
2010-03-02,3.51,3.78,3.42,3.59,6600,0.0,0,02,2010,3
2010-03-03,3.59,3.59,3.59,3.59,0,0.0,0,03,2010,3
2010-03-04,3.59,3.59,3.43,3.55,1800,0.0,0,04,2010,3
2010-03-05,3.46,3.65,3.42,3.51,5400,0.0,0,05,2010,3
2010-03-08,3.4,3.53,3.4,3.53,3700,0.0,0,08,2010,3
2010-03-09,3.63,3.9,3.56,3.56,3800,0.0,0,09,2010,3
2010-03-10,3.51,3.51,3.45,3.51,3000,0.0,0,10,2010,3
2010-03-11,3.79,3.79,3.69,3.69,700,0.0,0,11,2010,3
2010-03-12,3.69,3.69,3.69,3.69,0,0.0,0,12,2010,3
2010-03-15,3.5,3.56,3.5,3.56,4600,0.0,0,15,2010,3
2010-03-16,3.56,3.56,3.56,3.56,0,0.0,0,16,2010,3
2010-03-17,3.52,3.65,3.52,3.65,1200,0.0,0,17,2010,3
2010-03-18,3.57,3.59,3.57,3.59,400,0.0,0,18,2010,3
2010-03-19,3.69,3.69,3.69,3.69,200,0.0,0,19,2010,3
2010-03-22,3.69,3.69,3.69,3.69,0,0.0,0,22,2010,3
2010-03-23,3.57,3.57,3.46,3.56,700,0.0,0,23,2010,3
2010-03-24,3.56,3.56,3.56,3.56,0,0.0,0,24,2010,3
2010-03-25,3.56,3.56,3.56,3.56,0,0.0,0,25,2010,3
2010-03-26,3.56,3.62,3.56,3.62,3300,0.0,0,26,2010,3
2010-03-29,3.54,3.54,3.54,3.54,500,0.0,0,29,2010,3
2010-03-30,3.52,3.54,3.52,3.54,2300,0.0,0,30,2010,3
2010-03-31,3.72,3.97,3.61,3.61,10500,0.0,0,31,2010,3
2010-04-01,3.51,3.79,3.51,3.77,6800,0.0,0,01,2010,4
2010-04-05,3.64,3.64,3.64,3.64,100,0.0,0,05,2010,4
2010-04-06,3.78,3.78,3.75,3.75,400,0.0,0,06,2010,4
2010-04-07,3.72,3.72,3.66,3.68,1900,0.0,0,07,2010,4
2010-04-08,3.68,3.82,3.68,3.8,900,0.0,0,08,2010,4
2010-04-09,3.78,3.92,3.74,3.82,1800,0.0,0,09,2010,4
2010-04-12,3.74,3.82,3.49,3.59,1700,0.0,0,12,2010,4
2010-04-13,3.6,3.6,3.51,3.56,6600,0.0,0,13,2010,4
2010-04-14,3.7,3.7,3.7,3.7,300,0.0,0,14,2010,4
2010-04-15,3.52,3.69,3.52,3.69,6800,0.0,0,15,2010,4
2010-04-16,3.74,3.88,3.72,3.72,19000,0.0,0,16,2010,4
2010-04-19,3.72,3.72,3.69,3.69,1500,0.0,0,19,2010,4
2010-04-20,3.73,3.73,3.53,3.64,30000,0.0,0,20,2010,4
2010-04-21,3.65,3.74,3.65,3.74,4100,0.0,0,21,2010,4
2010-04-22,3.74,3.74,3.52,3.52,2900,0.0,0,22,2010,4
2010-04-23,3.63,3.74,3.63,3.74,1500,0.0,0,23,2010,4
2010-04-26,3.75,3.88,3.64,3.72,12100,0.0,0,26,2010,4
2010-04-27,3.69,3.7,3.69,3.69,1000,0.0,0,27,2010,4
2010-04-28,3.8,3.8,3.8,3.8,400,0.0,0,28,2010,4
2010-04-29,3.68,3.79,3.65,3.74,4000,0.0,0,29,2010,4
2010-04-30,3.78,3.88,3.78,3.88,3600,0.0,0,30,2010,4
2010-05-03,3.85,3.88,3.73,3.88,5800,0.0,0,03,2010,5
2010-05-04,3.88,3.88,3.88,3.88,0,0.0,0,04,2010,5
2010-05-05,3.67,3.83,3.65,3.69,6700,0.0,0,05,2010,5
2010-05-06,3.71,3.88,3.69,3.88,800,0.0,0,06,2010,5
2010-05-07,3.69,3.85,3.69,3.83,8000,0.0,0,07,2010,5
2010-05-10,3.79,3.79,3.51,3.7,7300,0.0,0,10,2010,5
2010-05-11,3.7,3.7,3.7,3.7,0,0.0,0,11,2010,5
2010-05-12,3.7,3.7,3.69,3.69,3000,0.0,0,12,2010,5
2010-05-13,3.69,3.69,3.69,3.69,2900,0.0,0,13,2010,5
2010-05-14,3.69,3.69,3.69,3.69,0,0.0,0,14,2010,5
2010-05-17,3.86,3.86,3.69,3.69,300,0.0,0,17,2010,5
2010-05-18,3.69,3.82,3.69,3.74,2100,0.0,0,18,2010,5
2010-05-19,3.66,3.66,3.66,3.66,100,0.0,0,19,2010,5
