Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,10.84,10.84,10.65,10.81,9600,0.0,0,04,2010,1
2010-01-05,10.59,10.99,10.56,10.59,12500,0.0,0,05,2010,1
2010-01-06,10.58,10.58,10.23,10.26,22100,0.0,0,06,2010,1
2010-01-07,10.3,10.44,10.17,10.34,21800,0.0,0,07,2010,1
2010-01-08,10.28,10.44,10.14,10.3,6700,0.0,0,08,2010,1
2010-01-11,10.36,10.42,10.15,10.33,31300,0.0,0,11,2010,1
2010-01-12,10.24,10.38,10.13,10.15,21200,0.0,0,12,2010,1
2010-01-13,10.2,10.2,10.11,10.15,29400,0.0,0,13,2010,1
2010-01-14,10.15,10.22,10.06,10.14,29000,0.0,0,14,2010,1
2010-01-15,10.16,10.19,10.06,10.11,57800,0.0,0,15,2010,1
2010-01-19,10.16,10.35,10.06,10.29,21800,0.0,0,19,2010,1
2010-01-20,10.22,10.26,10.1,10.23,13200,0.0,0,20,2010,1
2010-01-21,10.23,10.23,10.01,10.07,30600,0.0,0,21,2010,1
2010-01-22,10.08,10.15,10.02,10.08,14400,0.0,0,22,2010,1
2010-01-25,10.13,10.19,9.97,10.1,9000,0.0,0,25,2010,1
2010-01-26,10.06,10.15,9.95,9.99,20800,0.0,0,26,2010,1
2010-01-27,9.92,10.26,9.92,10.23,8900,0.0,0,27,2010,1
2010-01-28,10.29,10.29,10.06,10.14,29300,0.113,0,28,2010,1
2010-01-29,10.13,10.24,10.13,10.24,18400,0.0,0,29,2010,1
2010-02-01,10.23,10.23,9.94,10.01,15000,0.0,0,01,2010,2
2010-02-02,9.99,10.05,9.99,10.03,24300,0.0,0,02,2010,2
2010-02-03,9.96,10.04,9.75,9.99,12200,0.0,0,03,2010,2
2010-02-04,9.93,9.97,9.68,9.76,22600,0.0,0,04,2010,2
2010-02-05,9.82,10.19,9.82,10.06,21100,0.0,0,05,2010,2
2010-02-08,10.09,10.09,9.86,9.92,19600,0.0,0,08,2010,2
2010-02-09,10.0,10.15,9.77,10.08,9500,0.0,0,09,2010,2
2010-02-10,10.01,10.18,9.87,10.18,13400,0.0,0,10,2010,2
2010-02-11,10.12,10.41,9.81,10.41,16500,0.0,0,11,2010,2
2010-02-12,10.34,10.47,10.17,10.47,17000,0.0,0,12,2010,2
2010-02-16,10.52,10.54,10.32,10.54,12000,0.0,0,16,2010,2
2010-02-17,10.55,10.55,10.25,10.29,22700,0.0,0,17,2010,2
2010-02-18,10.31,10.38,10.24,10.37,10200,0.0,0,18,2010,2
2010-02-19,10.38,10.71,10.16,10.65,28900,0.0,0,19,2010,2
2010-02-22,10.61,10.65,10.52,10.63,12700,0.0,0,22,2010,2
2010-02-23,10.64,10.65,10.32,10.38,12900,0.0,0,23,2010,2
2010-02-24,10.47,10.47,10.27,10.3,19400,0.0,0,24,2010,2
2010-02-25,10.18,10.55,10.18,10.54,12700,0.0,0,25,2010,2
2010-02-26,10.38,10.51,10.21,10.21,107400,0.0,0,26,2010,2
2010-03-01,10.1,10.39,10.1,10.32,30800,0.0,0,01,2010,3
2010-03-02,10.31,10.43,10.16,10.42,29700,0.0,0,02,2010,3
2010-03-03,10.43,10.5,10.18,10.22,13800,0.0,0,03,2010,3
2010-03-04,10.38,10.39,10.21,10.37,15300,0.0,0,04,2010,3
2010-03-05,10.34,10.41,10.2,10.24,195000,0.0,0,05,2010,3
2010-03-08,10.27,10.47,10.17,10.33,25700,0.0,0,08,2010,3
2010-03-09,10.32,10.47,10.24,10.47,14000,0.0,0,09,2010,3
2010-03-10,10.44,10.51,10.33,10.45,11600,0.0,0,10,2010,3
2010-03-11,10.38,10.58,10.32,10.56,14100,0.0,0,11,2010,3
2010-03-12,10.55,10.56,10.28,10.29,12900,0.0,0,12,2010,3
2010-03-15,10.31,10.34,10.18,10.27,12100,0.0,0,15,2010,3
2010-03-16,10.28,10.32,10.11,10.31,9300,0.0,0,16,2010,3
2010-03-17,10.2,10.37,10.2,10.25,23400,0.0,0,17,2010,3
2010-03-18,10.27,10.58,10.2,10.25,20200,0.0,0,18,2010,3
2010-03-19,10.8,10.97,10.17,10.8,137800,0.0,0,19,2010,3
2010-03-22,10.7,10.82,10.65,10.73,30100,0.0,0,22,2010,3
2010-03-23,10.7,10.76,10.56,10.62,15100,0.0,0,23,2010,3
2010-03-24,10.61,10.67,10.5,10.52,18200,0.0,0,24,2010,3
2010-03-25,10.53,10.59,10.34,10.38,19700,0.0,0,25,2010,3
2010-03-26,10.38,10.4,10.28,10.28,13100,0.0,0,26,2010,3
2010-03-29,10.28,10.33,10.23,10.23,18300,0.0,0,29,2010,3
2010-03-30,10.27,10.29,10.18,10.24,31600,0.0,0,30,2010,3
2010-03-31,10.18,10.29,10.04,10.07,34700,0.0,0,31,2010,3
2010-04-01,10.09,10.18,10.03,10.11,30200,0.0,0,01,2010,4
2010-04-05,10.2,10.24,10.05,10.24,47700,0.0,0,05,2010,4
2010-04-06,10.17,10.27,10.14,10.18,31500,0.0,0,06,2010,4
2010-04-07,10.13,10.36,10.12,10.33,91500,0.0,0,07,2010,4
2010-04-08,10.19,10.25,10.14,10.23,49200,0.0,0,08,2010,4
2010-04-09,10.2,10.29,10.13,10.13,22800,0.0,0,09,2010,4
2010-04-12,10.15,10.23,10.03,10.06,38000,0.0,0,12,2010,4
2010-04-13,10.13,10.22,10.1,10.14,19300,0.0,0,13,2010,4
2010-04-14,10.21,10.35,10.05,10.35,417800,0.0,0,14,2010,4
2010-04-15,10.24,10.41,10.24,10.34,24400,0.0,0,15,2010,4
2010-04-16,10.34,10.34,10.19,10.31,28100,0.0,0,16,2010,4
2010-04-19,10.24,10.24,10.16,10.19,17600,0.0,0,19,2010,4
2010-04-20,10.24,10.29,10.17,10.29,23100,0.0,0,20,2010,4
2010-04-21,10.24,10.24,10.09,10.22,25200,0.0,0,21,2010,4
2010-04-22,10.14,10.25,10.05,10.25,14900,0.0,0,22,2010,4
2010-04-23,10.24,10.34,10.06,10.31,31500,0.0,0,23,2010,4
2010-04-26,10.27,10.35,10.12,10.3,45500,0.0,0,26,2010,4
2010-04-27,10.23,10.23,10.06,10.11,19800,0.0,0,27,2010,4
2010-04-28,10.11,10.2,10.09,10.15,43300,0.0,0,28,2010,4
2010-04-29,10.24,10.33,10.12,10.31,50600,0.115,0,29,2010,4
2010-04-30,10.29,10.29,10.08,10.1,38300,0.0,0,30,2010,4
2010-05-03,10.1,10.35,10.1,10.32,22500,0.0,0,03,2010,5
2010-05-04,10.23,10.39,10.04,10.14,29000,0.0,0,04,2010,5
2010-05-05,10.14,10.28,10.05,10.09,16500,0.0,0,05,2010,5
2010-05-06,10.06,10.49,9.6,9.89,37700,0.0,0,06,2010,5
2010-05-07,9.85,9.85,9.69,9.71,35400,0.0,0,07,2010,5
2010-05-10,9.93,10.28,9.79,10.28,45100,0.0,0,10,2010,5
2010-05-11,10.21,10.27,9.97,10.08,29700,0.0,0,11,2010,5
2010-05-12,10.01,10.24,10.0,10.14,32500,0.0,0,12,2010,5
2010-05-13,10.08,10.12,10.0,10.08,17900,0.0,0,13,2010,5
2010-05-14,9.94,9.99,9.88,9.93,35700,0.0,0,14,2010,5
2010-05-17,10.0,10.01,9.82,9.95,28800,0.0,0,17,2010,5
2010-05-18,10.06,10.07,9.82,9.91,22800,0.0,0,18,2010,5
2010-05-19,9.81,9.89,9.7,9.79,37400,0.0,0,19,2010,5
2010-05-20,9.65,9.71,9.47,9.48,31500,0.0,0,20,2010,5
2010-05-21,9.48,9.48,9.3,9.35,52500,0.0,0,21,2010,5
2010-05-24,9.32,9.43,9.01,9.07,39000,0.0,0,24,2010,5
2010-05-25,8.88,9.01,8.88,8.96,24300,0.0,0,25,2010,5
2010-05-26,8.99,9.07,8.82,8.92,90000,0.0,0,26,2010,5
2010-05-27,9.07,9.21,8.93,9.21,22200,0.0,0,27,2010,5
2010-05-28,9.16,9.16,8.98,9.07,23600,0.0,0,28,2010,5
2010-06-01,9.03,9.14,8.84,8.84,23000,0.0,0,01,2010,6
2010-06-02,8.83,9.12,8.82,9.11,25000,0.0,0,02,2010,6
2010-06-03,9.09,9.13,8.96,9.1,28500,0.0,0,03,2010,6
2010-06-04,8.95,9.01,8.84,8.86,44800,0.0,0,04,2010,6
2010-06-07,8.93,8.98,8.66,8.68,17800,0.0,0,07,2010,6
2010-06-08,8.73,8.77,8.59,8.71,31900,0.0,0,08,2010,6
2010-06-09,8.8,8.92,8.48,8.75,20600,0.0,0,09,2010,6
2010-06-10,8.84,8.84,8.77,8.83,14900,0.0,0,10,2010,6
2010-06-11,8.82,8.96,8.79,8.95,28300,0.0,0,11,2010,6
2010-06-14,9.03,9.05,8.84,8.91,29200,0.0,0,14,2010,6
2010-06-15,8.96,9.18,8.9,9.13,26500,0.0,0,15,2010,6
