Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-08,1.62,1.67,1.62,1.67,5000,0.0,0,08,2010,1
2010-01-21,1.77,1.77,1.72,1.77,1100,0.0,0,21,2010,1
2010-01-27,1.52,1.57,1.42,1.57,13400,0.0,0,27,2010,1
2010-02-12,1.67,1.67,1.67,1.67,200,0.0,0,12,2010,2
2010-02-22,8507.93,8507.93,8507.93,8507.93,81355,0.0,0,22,2010,2
2010-02-23,8561.77,8561.77,8130.99,8130.99,2535,0.0,0,23,2010,2
2010-02-24,8130.99,8184.83,8130.99,8184.83,1003,0.0,0,24,2010,2
2010-02-25,8023.29,8292.53,8023.29,8292.53,2371,0.0,0,25,2010,2
2010-02-26,8292.53,8346.39,8292.53,8346.39,4650,0.0,0,26,2010,2
2010-03-01,8346.39,8346.39,8346.39,8346.39,10942,0.0,0,01,2010,3
2010-03-02,8454.07,8454.07,8077.15,8292.53,2115,0.0,0,02,2010,3
2010-03-03,8184.83,8346.39,8077.15,8346.39,25203,0.0,0,03,2010,3
2010-03-04,8346.39,8615.62,8346.39,8346.39,37057,0.0,0,04,2010,3
2010-03-05,8292.53,8400.23,8130.99,8400.23,26662,0.0,0,05,2010,3
2010-03-08,8561.77,8561.77,8238.69,8238.69,10869,0.0,0,08,2010,3
2010-03-09,8346.39,8615.62,8346.39,8615.62,49440,0.0,0,09,2010,3
2010-03-10,8831.01,8831.01,8346.39,8723.31,36893,0.0,0,10,2010,3
2010-03-11,8669.47,8938.71,8561.77,8561.77,14298,0.0,0,11,2010,3
2010-03-12,8615.62,8615.62,8346.39,8400.23,47854,0.0,0,12,2010,3
2010-03-15,8723.31,8723.31,8346.39,8723.31,17617,0.0,0,15,2010,3
2010-03-16,8400.23,8454.07,8346.39,8400.23,77653,0.0,0,16,2010,3
2010-03-17,8507.93,8507.93,8238.69,8238.69,26954,0.0,0,17,2010,3
2010-03-18,8077.15,8292.53,8077.15,8292.53,15137,0.0,0,18,2010,3
2010-03-19,8184.83,8292.53,8184.83,8292.53,1204,0.0,0,19,2010,3
2010-03-22,8130.99,8184.84,8130.99,8130.99,26881,0.0,0,22,2010,3
2010-03-23,8130.99,8184.83,8130.99,8184.83,3046,0.0,0,23,2010,3
2010-03-24,8400.23,8400.23,7969.45,7969.45,1678,0.0,0,24,2010,3
2010-03-25,8077.15,8077.15,7754.05,8077.15,2207,0.0,0,25,2010,3
2010-03-26,8400.23,8454.07,8184.83,8400.23,175111,0.0,0,26,2010,3
2010-03-29,8615.62,8777.17,8615.62,8669.47,178667,0.0,0,29,2010,3
2010-03-30,8669.47,8669.47,8454.07,8615.62,40468,0.0,0,30,2010,3
2010-03-31,8561.77,8615.63,8454.07,8454.07,24693,0.0,0,31,2010,3
2010-04-01,8454.07,8507.93,8292.53,8292.53,13988,0.0,0,01,2010,4
2010-04-05,8454.07,8723.31,8454.07,8723.31,9301,0.0,0,05,2010,4
2010-04-06,8615.63,8777.17,8454.07,8454.07,57592,0.0,0,06,2010,4
2010-04-07,8615.62,8615.62,8561.77,8615.62,58686,0.0,0,07,2010,4
2010-04-08,8507.93,8561.77,8507.93,8561.77,6930,0.0,0,08,2010,4
2010-04-09,8615.62,8723.31,8615.62,8669.47,36583,0.0,0,09,2010,4
2010-04-12,8400.23,8723.31,8400.23,8723.31,39337,0.0,0,12,2010,4
2010-04-13,8723.31,8884.85,8723.31,8884.85,23544,0.0,0,13,2010,4
2010-04-14,8777.17,8831.01,8777.17,8831.01,65598,0.0,0,14,2010,4
2010-04-15,9154.09,9261.79,9154.09,9261.79,420963,0.0,0,15,2010,4
2010-04-16,9692.57,9692.57,9638.73,9692.57,267353,0.0,0,16,2010,4
2010-04-19,9423.33,9961.85,9423.33,9907.94,97403,0.0,0,19,2010,4
2010-04-20,10015.66,10015.66,9854.12,10015.66,151002,0.0,0,20,2010,4
2010-04-21,10123.39,10123.39,10015.66,10015.66,172011,0.0,0,21,2010,4
2010-04-22,10177.2,10500.29,10177.2,10500.29,600213,0.0,0,22,2010,4
2010-04-26,10984.91,10984.91,10715.64,10984.91,713319,0.0,0,26,2010,4
2010-04-27,11523.35,11523.35,10984.91,11523.35,551448,0.0,0,27,2010,4
2010-04-28,12007.97,12061.89,11846.43,12061.89,1333428,0.0,0,28,2010,4
2010-04-29,12654.24,12654.24,12654.24,12654.24,444288,0.0,0,29,2010,4
2010-05-03,1.18,1.18,1.18,1.18,7000,0.0,0,03,2010,5
2010-05-04,13246.49,13246.49,13246.49,13246.49,139731,0.0,0,04,2010,5
2010-05-05,13892.66,13892.66,13892.66,13892.66,1233490,0.0,0,05,2010,5
2010-05-06,14000.38,14538.82,13246.49,14538.82,1587031,0.0,0,06,2010,5
2010-05-07,14054.2,14269.65,13838.84,13838.84,619344,0.0,0,07,2010,5
2010-05-10,13192.68,13192.68,13192.68,13192.68,155524,0.0,0,10,2010,5
2010-05-11,13192.68,13300.4,12546.51,12546.51,1103953,0.0,0,11,2010,5
2010-05-12,12061.89,12061.89,11954.16,12061.89,773592,0.0,0,12,2010,5
2010-05-13,11954.16,12546.51,11577.26,11684.89,701465,0.0,0,13,2010,5
2010-05-14,11846.43,12223.43,11577.26,12223.43,665027,0.0,0,14,2010,5
2010-05-17,12600.32,12600.32,11631.08,11631.08,420379,0.0,0,17,2010,5
2010-05-18,11361.81,12061.89,11254.18,11631.08,379127,0.0,0,18,2010,5
2010-05-19,11254.18,11577.26,11092.64,11092.64,682389,0.0,0,19,2010,5
2010-05-20,10554.1,11631.08,10554.1,11631.08,721325,0.0,0,20,2010,5
2010-05-21,11092.64,11092.64,11092.64,11092.64,25586,0.0,0,21,2010,5
2010-05-24,10608.01,10769.56,10554.1,10554.1,592517,0.0,0,24,2010,5
2010-05-25,0.88,0.93,0.88,0.93,3000,0.0,0,25,2010,5
2010-05-26,10284.93,10608.01,10231.02,10608.01,422878,0.0,0,26,2010,5
2010-05-27,10608.01,10608.01,10231.02,10392.56,148886,0.0,0,27,2010,5
2010-05-28,10877.18,10877.18,10877.18,10877.18,42565,0.0,0,28,2010,5
2010-06-01,11415.72,11954.16,11307.99,11954.16,878454,0.0,0,01,2010,6
2010-06-02,12384.97,12546.51,11954.16,12546.51,1181734,0.0,0,02,2010,6
2010-06-03,13084.95,13084.95,12169.52,13084.95,455631,0.0,0,03,2010,6
2010-06-04,11792.62,12277.24,11684.89,11792.62,667015,0.0,0,04,2010,6
2010-06-07,11254.18,11415.72,11254.18,11254.18,550262,0.0,0,07,2010,6
2010-06-08,11038.73,11307.99,10715.64,11200.27,721635,0.0,0,08,2010,6
2010-06-09,11307.99,11523.35,10769.56,10769.56,202266,0.0,0,09,2010,6
