Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2019-02-27,981.94,990.13,970.13,984.59,1182144,0.0,0,27,2019,2
2019-02-28,981.46,987.92,979.53,986.96,350299,0.0,0,28,2019,2
2019-03-01,990.31,990.31,984.29,987.63,37986,0.0,0,01,2019,3
2019-03-04,978.57,988.21,976.44,979.25,170415,0.0,0,04,2019,3
2019-03-05,980.11,983.39,977.22,979.33,47872,0.0,0,05,2019,3
2019-03-06,975.44,989.17,972.16,989.17,35529,0.0,0,06,2019,3
2019-03-07,976.15,976.15,971.82,971.82,9817,0.0,0,07,2019,3
2019-03-08,971.82,975.84,971.33,975.67,28056,0.0,0,08,2019,3
2019-03-11,981.45,984.06,978.08,982.42,9493,0.0,0,11,2019,3
2019-03-12,987.79,990.13,985.61,985.61,42334,0.0,0,12,2019,3
2019-03-13,993.03,993.03,993.03,993.03,6881,0.0,0,13,2019,3
2019-03-14,1002.22,1002.23,990.16,990.16,25396,0.0,0,14,2019,3
2019-03-15,993.25,1000.5,993.25,997.94,4357,0.0,0,15,2019,3
2019-03-18,997.19,997.85,990.86,994.23,3926,0.0,0,18,2019,3
2019-03-19,996.17,998.27,996.17,998.27,20114,0.0,0,19,2019,3
2019-03-20,997.42,1005.12,996.4,1005.12,13592,0.0,0,20,2019,3
2019-03-21,992.64,1013.03,992.64,1012.69,17455,0.0,0,21,2019,3
2019-03-22,1008.65,1008.65,998.92,998.92,10123,0.0,0,22,2019,3
2019-03-25,999.32,1000.98,997.61,999.92,16350,0.0,0,25,2019,3
2019-03-26,1004.67,1008.69,1004.67,1008.69,4640,0.0,0,26,2019,3
2019-03-27,1005.56,1007.39,997.15,1002.66,28507,0.0,0,27,2019,3
2019-03-28,999.78,1001.93,997.65,998.23,15630,0.0,0,28,2019,3
2019-03-29,1003.77,1015.19,1002.67,1015.19,76311,0.0,0,29,2019,3
2019-04-01,1022.99,1022.99,1011.09,1013.27,20396,0.0,0,01,2019,4
2019-04-02,1013.75,1013.75,1011.34,1013.33,84261,0.0,0,02,2019,4
2019-04-03,1011.77,1012.65,1008.93,1008.93,61425,0.0,0,03,2019,4
2019-04-04,1011.25,1011.25,1004.76,1004.76,94323,0.0,0,04,2019,4
2019-04-05,1012.21,1012.21,1008.64,1008.64,36030,0.0,0,05,2019,4
2019-04-08,1008.22,1016.39,1005.64,1016.39,3237,0.0,0,08,2019,4
2019-04-09,1010.28,1014.91,1010.28,1014.91,14428,0.0,0,09,2019,4
2019-04-10,1015.05,1015.44,1013.13,1013.13,3933,0.0,0,10,2019,4
2019-04-11,1012.27,1012.31,1012.27,1012.31,1312,0.0,0,11,2019,4
2019-04-12,1014.09,1015.39,1014.09,1015.09,6705,0.0,0,12,2019,4
2019-04-15,1010.24,1010.24,1003.58,1007.82,2073,0.0,0,15,2019,4
2019-04-16,1008.46,1008.46,995.71,995.71,27276,0.0,0,16,2019,4
2019-04-17,985.33,988.59,973.6,975.29,142674,0.0,0,17,2019,4
2019-04-18,989.94,995.9,984.02,987.19,78946,0.0,0,18,2019,4
2019-04-22,986.82,987.87,983.19,987.87,11496,0.0,0,22,2019,4
2019-04-23,977.98,993.73,977.98,992.53,23613,0.0,0,23,2019,4
2019-04-24,991.17,1001.21,990.23,999.97,20662,0.0,0,24,2019,4
2019-04-25,995.49,1005.71,995.49,1005.66,20763,0.0,0,25,2019,4
2019-04-26,1010.88,1010.88,1001.22,1002.47,17861,0.0,0,26,2019,4
2019-04-29,1008.05,1010.87,1005.03,1010.87,25271,0.0,0,29,2019,4
2019-04-30,1011.75,1016.98,1009.42,1015.68,26854,0.0,0,30,2019,4
2019-05-01,989.36,1015.3,989.36,1010.53,4719,0.0,0,01,2019,5
2019-05-02,1013.44,1020.02,1012.56,1020.02,2542,0.0,0,02,2019,5
2019-05-03,1022.26,1031.59,1022.26,1031.59,4120,0.0,0,03,2019,5
2019-05-06,1020.68,1021.71,1017.58,1018.14,3157,0.0,0,06,2019,5
2019-05-07,1018.14,1018.14,1018.14,1018.14,0,0.0,0,07,2019,5
2019-05-08,1018.14,1018.14,1018.14,1018.14,0,0.0,0,08,2019,5
2019-05-09,1004.19,1010.87,1003.62,1010.87,23157,0.0,0,09,2019,5
2019-05-10,1007.23,1007.23,1007.23,1007.23,416,0.0,0,10,2019,5
2019-05-13,1001.86,1001.86,994.95,999.75,33157,0.0,0,13,2019,5
2019-05-14,1010.56,1012.57,1007.26,1007.26,26367,0.0,0,14,2019,5
2019-05-15,1000.46,1005.94,1000.46,1001.58,4039,0.0,0,15,2019,5
2019-05-16,1013.27,1013.27,1013.27,1013.27,1645,0.0,0,16,2019,5
2019-05-17,1015.43,1015.43,1015.43,1015.43,10631,0.0,0,17,2019,5
2019-05-20,1004.31,1006.7,1004.31,1004.55,4037,0.0,0,20,2019,5
2019-05-21,1008.26,1008.26,1005.78,1005.78,9341,0.0,0,21,2019,5
2019-05-22,1006.91,1012.5,1006.91,1012.45,12908,0.0,0,22,2019,5
2019-05-23,1005.56,1010.76,1005.37,1008.62,5158,0.0,0,23,2019,5
2019-05-24,1017.51,1017.64,1013.24,1013.24,36150,0.0,0,24,2019,5
2019-05-28,1022.4,1022.4,1003.82,1003.82,9953,0.0,0,28,2019,5
2019-05-29,1004.35,1004.94,1002.19,1004.6,8960,0.0,0,29,2019,5
