Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,18.2,18.2,17.72,18.09,152400,0.0,0,04,2010,1
2010-01-05,18.1,18.1,17.37,17.72,277600,0.0,0,05,2010,1
2010-01-06,17.58,17.72,16.95,17.04,259800,0.0,0,06,2010,1
2010-01-07,17.07,17.16,16.65,17.01,272200,0.0,0,07,2010,1
2010-01-08,16.95,16.99,16.61,16.67,103900,0.0,0,08,2010,1
2010-01-11,16.75,17.07,16.68,16.82,229800,0.0,0,11,2010,1
2010-01-12,16.69,17.08,16.49,16.54,110900,0.0,0,12,2010,1
2010-01-13,16.61,16.61,16.26,16.44,138900,0.0,0,13,2010,1
2010-01-14,16.5,17.6,16.32,17.41,388900,0.0,0,14,2010,1
2010-01-15,17.5,17.5,16.9,16.98,163800,0.0,0,15,2010,1
2010-01-19,17.04,17.56,16.98,17.46,196300,0.0,0,19,2010,1
2010-01-20,17.2,18.04,17.2,17.94,347700,0.0,0,20,2010,1
2010-01-21,17.89,18.26,17.85,18.01,279400,0.0,0,21,2010,1
2010-01-22,17.81,18.18,17.79,17.87,242300,0.0,0,22,2010,1
2010-01-25,17.98,18.05,17.51,17.79,205100,0.0,0,25,2010,1
2010-01-26,17.62,17.64,17.07,17.09,110800,0.0,0,26,2010,1
2010-01-27,16.97,17.17,16.76,16.99,155800,0.0,0,27,2010,1
2010-01-28,17.08,17.14,16.48,16.56,117200,0.0,0,28,2010,1
2010-01-29,16.61,17.07,16.61,16.71,141100,0.0,0,29,2010,1
2010-02-01,16.79,17.63,16.77,17.56,176400,0.0,0,01,2010,2
2010-02-02,17.56,17.9,17.44,17.64,130400,0.0,0,02,2010,2
2010-02-03,17.56,18.01,17.56,17.92,112100,0.0,0,03,2010,2
2010-02-04,17.65,17.94,17.48,17.56,179400,0.0,0,04,2010,2
2010-02-05,17.56,17.65,17.35,17.56,268000,0.0,0,05,2010,2
2010-02-08,17.54,18.35,17.54,17.65,331700,0.0,0,08,2010,2
2010-02-09,17.9,18.68,17.87,18.62,271300,0.0,0,09,2010,2
2010-02-10,18.56,19.89,18.24,19.83,419000,0.0,0,10,2010,2
2010-02-11,19.56,21.14,19.56,21.01,473400,0.0,0,11,2010,2
2010-02-12,20.75,21.04,20.33,20.42,314800,0.0,0,12,2010,2
2010-02-16,20.81,21.43,20.74,21.22,216600,0.0,0,16,2010,2
2010-02-17,21.4,21.88,20.66,20.74,237400,0.0,0,17,2010,2
2010-02-18,20.61,20.83,20.47,20.66,174300,0.0,0,18,2010,2
2010-02-19,20.63,20.73,20.31,20.63,160200,0.0,0,19,2010,2
2010-02-22,20.79,20.91,20.5,20.72,175900,0.0,0,22,2010,2
2010-02-23,20.6,21.11,20.6,20.91,171400,0.0,0,23,2010,2
2010-02-24,20.97,20.97,20.49,20.94,284700,0.0,0,24,2010,2
2010-02-25,20.65,21.54,20.54,21.49,297600,0.0,0,25,2010,2
2010-02-26,21.57,21.67,21.44,21.55,308400,0.0,0,26,2010,2
2010-03-01,21.51,21.85,21.36,21.54,291700,0.0,0,01,2010,3
2010-03-02,21.55,21.9,21.42,21.76,230300,0.0,0,02,2010,3
2010-03-03,22.62,25.22,22.62,24.46,1573400,0.0,0,03,2010,3
2010-03-04,23.94,25.64,23.36,25.34,895700,0.0,0,04,2010,3
2010-03-05,25.57,26.39,25.57,25.81,477200,0.0,0,05,2010,3
2010-03-08,25.65,25.73,25.2,25.45,686700,0.0,0,08,2010,3
2010-03-09,25.13,25.53,24.88,25.12,386100,0.0,0,09,2010,3
2010-03-10,25.07,25.56,25.04,25.31,224500,0.0,0,10,2010,3
2010-03-11,25.19,25.79,25.09,25.53,206900,0.0,0,11,2010,3
2010-03-12,25.67,26.25,25.58,25.98,390600,0.0,0,12,2010,3
2010-03-15,25.87,26.16,25.87,26.06,209500,0.0,0,15,2010,3
2010-03-16,26.12,26.42,25.86,26.18,126300,0.0,0,16,2010,3
2010-03-17,26.37,27.58,26.26,27.39,457600,0.0,0,17,2010,3
2010-03-18,28.38,29.3,28.0,29.11,611300,0.0,0,18,2010,3
2010-03-19,28.59,29.33,28.55,28.59,312800,0.0,0,19,2010,3
2010-03-22,28.34,29.88,28.34,29.46,243400,0.0,0,22,2010,3
2010-03-23,29.47,29.76,28.95,29.65,211200,0.0,0,23,2010,3
2010-03-24,29.46,30.23,29.36,29.45,200900,0.0,0,24,2010,3
2010-03-25,29.91,30.21,29.2,29.25,204100,0.0,0,25,2010,3
2010-03-26,29.43,29.93,29.29,29.53,133200,0.0,0,26,2010,3
