Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,29.39,29.6,29.08,29.15,1421600.0,0.0,0,04,2010,1
2010-01-05,29.06,29.31,28.61,28.82,2127200.0,0.0,0,05,2010,1
2010-01-06,28.82,29.19,28.8,28.94,1531800.0,0.0,0,06,2010,1
2010-01-07,28.93,28.99,28.52,28.67,1210200.0,0.0,0,07,2010,1
2010-01-08,28.58,28.94,28.42,28.89,948800.0,0.0,0,08,2010,1
2010-01-11,29.07,29.31,28.81,29.3,1229800.0,0.0,0,11,2010,1
2010-01-12,29.18,29.48,28.99,29.27,2342800.0,0.0,0,12,2010,1
2010-01-13,29.43,29.57,29.31,29.53,1119600.0,0.0,0,13,2010,1
2010-01-14,29.55,29.69,29.34,29.65,1011000.0,0.0,0,14,2010,1
2010-01-15,29.57,29.57,29.07,29.41,1350600.0,0.0,0,15,2010,1
2010-01-19,29.48,29.73,29.41,29.67,1124200.0,0.0,0,19,2010,1
2010-01-20,29.35,29.49,29.01,29.37,1508000.0,0.0,0,20,2010,1
2010-01-21,29.31,29.57,28.57,28.68,2047300.0,0.0,0,21,2010,1
2010-01-22,28.66,28.7,28.12,28.15,2046900.0,0.0,0,22,2010,1
2010-01-25,28.43,28.74,28.05,28.56,1676700.0,0.0,0,25,2010,1
2010-01-26,28.39,29.02,28.39,28.81,1629600.0,0.0,0,26,2010,1
2010-01-27,28.74,28.74,28.28,28.62,1079600.0,0.0,0,27,2010,1
2010-01-28,28.66,28.67,28.28,28.38,1075200.0,0.0,0,28,2010,1
2010-01-29,28.52,28.63,28.13,28.14,1304900.0,0.0,0,29,2010,1
2010-02-01,28.27,28.52,27.99,28.52,1048400.0,0.0,0,01,2010,2
2010-02-02,28.49,28.82,28.17,28.8,812000.0,0.0,0,02,2010,2
2010-02-03,28.74,28.81,28.46,28.57,533100.0,0.0,0,03,2010,2
2010-02-04,28.38,28.5,27.95,27.95,1295800.0,0.0,0,04,2010,2
2010-02-05,27.9,28.02,27.61,27.97,2091000.0,0.0,0,05,2010,2
2010-02-08,28.01,28.12,27.73,27.78,1257300.0,0.0,0,08,2010,2
2010-02-09,28.09,28.5,27.84,28.11,1315700.0,0.0,0,09,2010,2
2010-02-10,28.13,28.3,27.87,28.08,1080700.0,0.0,0,10,2010,2
2010-02-11,27.99,28.34,27.65,28.34,886300.0,0.0,0,11,2010,2
2010-02-12,28.1,28.19,27.85,28.08,1109400.0,0.0,0,12,2010,2
2010-02-16,28.32,28.83,28.27,28.83,824200.0,0.0,0,16,2010,2
2010-02-17,28.98,28.98,28.62,28.7,934500.0,0.0,0,17,2010,2
2010-02-18,28.6,29.19,28.6,29.18,1161100.0,0.0,0,18,2010,2
2010-02-19,29.07,30.06,29.07,29.85,2801300.0,0.0,0,19,2010,2
2010-02-22,29.91,30.12,29.77,29.87,1267000.0,0.0,0,22,2010,2
2010-02-23,29.75,29.87,29.37,29.45,1860500.0,0.0,0,23,2010,2
2010-02-24,29.54,29.67,29.17,29.63,1238400.0,0.0,0,24,2010,2
2010-02-25,29.36,29.45,28.91,29.42,1286900.0,0.0,0,25,2010,2
2010-02-26,29.42,29.52,29.02,29.07,1240000.0,0.0,0,26,2010,2
2010-03-01,29.26,29.7,29.23,29.66,1320900.0,0.0,0,01,2010,3
2010-03-02,29.81,29.98,29.76,29.89,964800.0,0.0,0,02,2010,3
2010-03-03,30.0,30.28,29.82,29.85,1410900.0,0.0,0,03,2010,3
2010-03-04,29.96,30.0,29.67,29.92,999500.0,0.0,0,04,2010,3
2010-03-05,30.05,30.22,29.91,30.15,1073100.0,0.0,0,05,2010,3
2010-03-08,30.11,30.19,29.98,30.02,1158100.0,0.0,0,08,2010,3
2010-03-09,29.86,30.12,29.79,30.08,1566800.0,0.0,0,09,2010,3
2010-03-10,30.06,30.09,29.71,30.0,1342700.0,0.0,0,10,2010,3
2010-03-11,29.94,30.06,29.83,30.06,654600.0,0.0,0,11,2010,3
2010-03-12,30.18,30.22,29.8,30.04,742700.0,0.0,0,12,2010,3
2010-03-15,29.96,30.18,29.94,30.16,994700.0,0.0,0,15,2010,3
2010-03-16,30.17,30.54,30.1,30.53,926900.0,0.0,0,16,2010,3
2010-03-17,30.62,30.75,30.41,30.67,1270000.0,0.0,0,17,2010,3
2010-03-18,30.62,30.68,30.5,30.57,1164300.0,0.53,0,18,2010,3
2010-03-19,30.54,30.72,30.31,30.54,1348600.0,0.0,0,19,2010,3
2010-03-22,30.42,30.53,30.3,30.45,789200.0,0.0,0,22,2010,3
2010-03-23,30.43,30.69,30.32,30.66,1044300.0,0.0,0,23,2010,3
2010-03-24,30.6,30.69,30.45,30.5,1798000.0,0.0,0,24,2010,3
2010-03-25,30.63,30.69,30.22,30.27,1176600.0,0.0,0,25,2010,3
2010-03-26,30.27,30.5,30.08,30.27,1124300.0,0.0,0,26,2010,3
2010-03-29,30.39,30.73,30.34,30.73,732100.0,0.0,0,29,2010,3
2010-03-30,30.71,30.84,30.56,30.61,1110900.0,0.0,0,30,2010,3
2010-03-31,30.52,30.54,30.08,30.2,1536800.0,0.0,0,31,2010,3
2010-04-01,30.27,30.83,30.27,30.73,786800.0,0.0,0,01,2010,4
2010-04-05,30.79,30.98,30.66,30.98,677600.0,0.0,0,05,2010,4
2010-04-06,30.83,31.48,30.48,31.48,936100.0,0.0,0,06,2010,4
2010-04-07,31.48,31.53,31.06,31.23,622500.0,0.0,0,07,2010,4
2010-04-08,31.2,31.21,30.95,31.07,782900.0,0.0,0,08,2010,4
2010-04-09,31.15,31.24,30.82,31.23,688900.0,0.0,0,09,2010,4
2010-04-12,31.36,31.47,31.25,31.32,638400.0,0.0,0,12,2010,4
2010-04-13,31.31,31.32,30.95,31.17,539300.0,0.0,0,13,2010,4
2010-04-14,31.18,31.18,30.87,31.15,1010700.0,0.0,0,14,2010,4
2010-04-15,31.15,31.39,30.9,31.23,1135400.0,0.0,0,15,2010,4
2010-04-16,31.19,31.29,30.61,30.91,1515000.0,0.0,0,16,2010,4
2010-04-19,30.81,31.21,30.81,31.08,1250800.0,0.0,0,19,2010,4
2010-04-20,31.27,31.36,31.13,31.29,880600.0,0.0,0,20,2010,4
2010-04-21,31.29,31.77,31.28,31.71,1357600.0,0.0,0,21,2010,4
2010-04-22,31.59,32.05,31.45,32.01,1227800.0,0.0,0,22,2010,4
2010-04-23,32.03,32.49,31.84,32.46,1147700.0,0.0,0,23,2010,4
2010-04-26,32.38,32.49,32.17,32.2,874400.0,0.0,0,26,2010,4
2010-04-27,32.05,32.29,31.64,31.74,1159700.0,0.0,0,27,2010,4
2010-04-28,31.97,32.84,31.84,32.7,1908200.0,0.0,0,28,2010,4
2010-04-29,32.81,33.04,32.51,32.55,1534400.0,0.0,0,29,2010,4
2010-04-30,32.64,33.04,32.51,32.62,1530400.0,0.0,0,30,2010,4
2010-05-03,32.72,33.22,32.6,33.12,1292400.0,0.0,0,03,2010,5
2010-05-04,32.74,32.93,32.46,32.6,1735300.0,0.0,0,04,2010,5
2010-05-05,32.47,32.67,32.11,32.26,1375100.0,0.0,0,05,2010,5
2010-05-06,32.15,32.28,29.12,31.52,2440700.0,0.0,0,06,2010,5
2010-05-07,31.5,31.75,30.81,30.94,2631500.0,0.0,0,07,2010,5
2010-05-10,32.01,32.23,31.59,32.1,1399700.0,0.0,0,10,2010,5
