Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,7.08,7.08,6.99,7.04,151800,0.0,0,04,2010,1
2010-01-05,7.01,7.05,6.92,6.97,141700,0.0,0,05,2010,1
2010-01-06,6.86,6.96,6.69,6.87,373000,0.0,0,06,2010,1
2010-01-07,6.87,6.92,6.68,6.72,153900,0.0,0,07,2010,1
2010-01-08,6.69,6.82,6.66,6.72,220000,0.0,0,08,2010,1
2010-01-11,6.71,6.76,6.64,6.69,148000,0.0,0,11,2010,1
2010-01-12,6.67,6.81,6.62,6.65,258600,0.0,0,12,2010,1
2010-01-13,6.71,6.72,6.63,6.65,223900,0.0,0,13,2010,1
2010-01-14,6.65,6.69,6.58,6.64,92800,0.0,0,14,2010,1
2010-01-15,6.69,6.7,6.53,6.68,343100,0.0,0,15,2010,1
2010-01-19,6.67,6.84,6.66,6.83,199800,0.0,0,19,2010,1
2010-01-20,6.82,6.83,6.73,6.82,211600,0.0,0,20,2010,1
2010-01-21,6.82,6.82,6.6,6.61,1209100,0.0,0,21,2010,1
2010-01-22,6.61,6.7,6.46,6.52,175500,0.0,0,22,2010,1
2010-01-25,6.58,6.63,6.37,6.5,112800,0.0,0,25,2010,1
2010-01-26,6.5,6.54,6.42,6.42,225300,0.0,0,26,2010,1
2010-01-27,6.4,6.63,6.36,6.62,203900,0.0,0,27,2010,1
2010-01-28,6.61,6.61,6.38,6.46,170400,0.0,0,28,2010,1
2010-01-29,6.46,6.58,6.36,6.49,302300,0.0,0,29,2010,1
2010-02-01,6.5,6.56,6.34,6.38,75400,0.0,0,01,2010,2
2010-02-02,6.37,6.42,6.32,6.33,334400,0.0,0,02,2010,2
2010-02-03,6.32,6.51,6.08,6.5,189800,0.0,0,03,2010,2
2010-02-04,6.56,6.59,6.28,6.3,242200,0.0,0,04,2010,2
2010-02-05,5.68,5.8,4.51,5.65,4801900,0.0,0,05,2010,2
2010-02-08,5.55,5.55,5.38,5.45,678300,0.0,0,08,2010,2
2010-02-09,5.54,5.77,5.49,5.67,418100,0.0,0,09,2010,2
2010-02-10,5.63,5.66,5.45,5.56,469400,0.0,0,10,2010,2
2010-02-11,5.5,5.82,5.36,5.8,273400,0.3,0,11,2010,2
2010-02-12,5.72,5.88,5.63,5.86,301800,0.0,0,12,2010,2
2010-02-16,5.86,5.93,5.75,5.83,165100,0.0,0,16,2010,2
2010-02-17,5.87,5.9,5.68,5.77,255100,0.0,0,17,2010,2
2010-02-18,5.75,5.97,5.71,5.96,241300,0.0,0,18,2010,2
2010-02-19,5.96,5.98,5.79,5.91,162700,0.0,0,19,2010,2
2010-02-22,5.91,5.98,5.75,5.91,166200,0.0,0,22,2010,2
2010-02-23,5.89,6.09,5.77,6.09,345900,0.0,0,23,2010,2
2010-02-24,6.09,6.18,6.02,6.1,180500,0.0,0,24,2010,2
2010-02-25,6.04,6.06,5.91,5.92,113300,0.0,0,25,2010,2
2010-02-26,5.95,6.05,5.87,5.98,578100,0.0,0,26,2010,2
2010-03-01,5.99,6.1,5.99,6.06,170300,0.0,0,01,2010,3
2010-03-02,6.06,6.06,5.95,5.98,162800,0.0,0,02,2010,3
2010-03-03,6.01,6.02,5.79,5.8,212300,0.0,0,03,2010,3
2010-03-04,5.83,5.89,5.79,5.79,133700,0.0,0,04,2010,3
2010-03-05,5.83,6.01,5.78,6.01,145800,0.0,0,05,2010,3
2010-03-08,6.01,6.22,5.98,6.21,195500,0.0,0,08,2010,3
2010-03-09,6.2,6.33,5.75,6.3,237700,0.0,0,09,2010,3
2010-03-10,6.29,6.36,6.18,6.36,185500,0.0,0,10,2010,3
2010-03-11,6.31,6.5,6.31,6.45,87900,0.0,0,11,2010,3
2010-03-12,6.45,6.47,6.33,6.35,75400,0.0,0,12,2010,3
2010-03-15,6.36,6.39,6.22,6.38,102600,0.0,0,15,2010,3
2010-03-16,6.37,6.42,6.26,6.38,92400,0.0,0,16,2010,3
2010-03-17,6.38,6.49,6.33,6.35,101000,0.0,0,17,2010,3
2010-03-18,6.35,6.5,6.3,6.47,86400,0.0,0,18,2010,3
2010-03-19,6.51,6.58,6.43,6.46,171600,0.0,0,19,2010,3
2010-03-22,6.43,6.62,6.34,6.57,122500,0.0,0,22,2010,3
2010-03-23,6.56,6.6,6.5,6.53,106700,0.0,0,23,2010,3
2010-03-24,6.5,6.54,6.38,6.41,207800,0.0,0,24,2010,3
2010-03-25,6.42,6.57,6.26,6.38,170000,0.0,0,25,2010,3
2010-03-26,6.42,6.46,6.3,6.33,108600,0.0,0,26,2010,3
2010-03-29,6.32,6.42,6.27,6.31,119300,0.0,0,29,2010,3
2010-03-30,6.34,6.4,6.26,6.27,79800,0.0,0,30,2010,3
2010-03-31,6.24,6.42,6.23,6.28,174800,0.0,0,31,2010,3
2010-04-01,6.3,6.34,5.81,5.9,405500,0.0,0,01,2010,4
2010-04-05,5.91,5.91,5.78,5.8,455400,0.0,0,05,2010,4
2010-04-06,5.83,5.87,5.78,5.81,175000,0.0,0,06,2010,4
2010-04-07,5.79,5.87,5.73,5.85,379400,0.0,0,07,2010,4
2010-04-08,5.82,5.88,5.77,5.88,222500,0.0,0,08,2010,4
2010-04-09,5.87,5.87,5.79,5.83,245200,0.0,0,09,2010,4
