Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2013-04-12,19.7,19.84,18.18,18.43,20216100,0.0,0,12,2013,4
2013-04-15,18.35,18.44,18.03,18.06,2038900,0.0,0,15,2013,4
2013-04-16,18.25,18.62,18.08,18.52,497400,0.0,0,16,2013,4
2013-04-17,18.58,18.8,17.23,17.84,1037900,0.0,0,17,2013,4
2013-04-18,17.85,18.17,17.48,17.62,967500,0.0,0,18,2013,4
2013-04-19,17.72,18.79,17.59,18.79,1550000,0.0,0,19,2013,4
2013-04-22,18.84,18.84,18.03,18.07,607000,0.0,0,22,2013,4
2013-04-23,18.23,18.35,17.89,18.0,613200,0.0,0,23,2013,4
2013-04-24,18.03,18.15,17.7,18.01,144400,0.0,0,24,2013,4
2013-04-25,18.1,18.1,17.84,17.92,216500,0.0,0,25,2013,4
2013-04-26,17.63,17.76,17.36,17.67,384000,0.0,0,26,2013,4
2013-04-29,17.49,18.05,17.47,17.98,567400,0.0,0,29,2013,4
2013-04-30,17.98,18.08,17.82,18.08,429500,0.0,0,30,2013,4
2013-05-01,17.94,18.38,17.89,18.16,261100,0.0,0,01,2013,5
2013-05-02,18.35,18.54,17.95,18.13,355000,0.0,0,02,2013,5
2013-05-03,18.17,18.57,17.9,18.53,420600,0.0,0,03,2013,5
2013-05-06,18.4,18.53,18.08,18.26,338300,0.0,0,06,2013,5
2013-05-07,18.93,18.94,18.06,18.25,1104600,0.0,0,07,2013,5
2013-05-08,18.3,18.47,17.91,18.26,1048500,0.0,0,08,2013,5
2013-05-09,18.3,18.3,18.12,18.18,787400,0.0,0,09,2013,5
2013-05-10,18.28,18.49,17.98,18.04,830300,0.0,0,10,2013,5
2013-05-13,18.03,18.03,17.57,17.84,937700,0.0,0,13,2013,5
2013-05-14,17.99,18.01,17.77,17.92,528300,0.0,0,14,2013,5
2013-05-15,17.85,17.99,17.8,17.89,232900,0.0,0,15,2013,5
2013-05-16,17.89,17.94,17.69,17.74,50800,0.0,0,16,2013,5
2013-05-17,17.72,17.85,17.53,17.85,272700,0.0,0,17,2013,5
2013-05-20,17.85,17.98,17.67,17.97,670700,0.0,0,20,2013,5
2013-05-21,17.99,18.29,17.91,18.22,816500,0.0,0,21,2013,5
2013-05-22,18.22,18.4,18.0,18.06,327600,0.0,0,22,2013,5
2013-05-23,17.92,18.14,17.7,18.03,596500,0.0,0,23,2013,5
2013-05-24,18.03,18.07,17.88,18.03,632300,0.0,0,24,2013,5
2013-05-28,18.16,18.16,17.91,17.94,220700,0.0,0,28,2013,5
