Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,2.2345,2.2756,2.2195,2.2756,31700,0.0,0,04,2010,1
2010-01-05,2.2905,2.3242,2.2756,2.3167,18200,0.0,0,05,2010,1
2010-01-06,2.2905,2.3503,2.2905,2.3354,32300,0.0,0,06,2010,1
2010-01-07,2.3279,2.4736,2.3279,2.4587,75000,0.0,0,07,2010,1
2010-01-08,2.4699,2.4699,2.3914,2.3914,34700,0.0,0,08,2010,1
2010-01-11,2.4064,2.4213,2.3167,2.3765,51000,0.0,0,11,2010,1
2010-01-12,2.3765,2.3765,2.3204,2.3279,32600,0.0,0,12,2010,1
2010-01-13,2.3204,2.3727,2.3204,2.3578,27700,0.0,0,13,2010,1
2010-01-14,2.3391,2.3802,2.3279,2.3765,17900,0.0,0,14,2010,1
2010-01-15,2.3914,2.3952,2.3578,2.3653,14700,0.0,0,15,2010,1
2010-01-19,2.3877,2.4026,2.3541,2.369,42900,0.0,0,19,2010,1
2010-01-20,2.3316,2.4064,2.3316,2.3989,31800,0.0,0,20,2010,1
2010-01-21,2.4064,2.4288,2.3204,2.3242,64300,0.0,0,21,2010,1
2010-01-22,2.3092,2.3167,2.2868,2.2868,28100,0.0,0,22,2010,1
2010-01-25,2.3279,2.3428,2.2831,2.3279,26700,0.0,0,25,2010,1
2010-01-26,2.3242,2.3541,2.313,2.3503,12100,0.0,0,26,2010,1
2010-01-27,2.313,2.313,2.2457,2.2606,39600,0.0,0,27,2010,1
2010-01-28,2.2681,2.3092,2.2308,2.2494,30500,0.0,0,28,2010,1
2010-01-29,2.2793,2.2831,2.1635,2.1896,33900,0.0,0,29,2010,1
2010-02-01,2.1672,2.2233,2.1672,2.2121,35900,0.0,0,01,2010,2
2010-02-02,2.2121,2.2532,2.2046,2.242,32200,0.0,0,02,2010,2
2010-02-03,2.242,2.2719,2.2158,2.2457,27500,0.0,0,03,2010,2
2010-02-04,2.2158,2.242,2.1411,2.1411,37300,0.0,0,04,2010,2
2010-02-05,2.0925,2.1373,1.9841,2.1037,97800,0.0,0,05,2010,2
2010-02-08,2.085,2.1411,2.0663,2.0663,44100,0.0,0,08,2010,2
2010-02-09,2.0776,2.1224,2.0776,2.1187,35600,0.0,0,09,2010,2
2010-02-10,2.0888,2.1411,2.0888,2.1187,26000,0.0,0,10,2010,2
2010-02-11,2.1224,2.1523,2.1187,2.1523,53400,0.0,0,11,2010,2
2010-02-12,2.1373,2.1971,2.1149,2.1336,23700,0.0,0,12,2010,2
2010-02-16,2.1336,2.2083,2.1336,2.2083,46500,0.0,0,16,2010,2
2010-02-17,2.1896,2.242,2.1896,2.242,52300,0.0,0,17,2010,2
2010-02-18,2.2783,2.2783,2.2439,2.2745,49500,0.145,0,18,2010,2
2010-02-19,2.2707,2.2975,2.2324,2.2592,37400,0.0,0,19,2010,2
2010-02-22,2.2515,2.2937,2.2515,2.2822,29900,0.0,0,22,2010,2
2010-02-23,2.2745,2.2822,2.1788,2.2324,40300,0.0,0,23,2010,2
2010-02-24,2.2477,2.2975,2.2477,2.2707,33600,0.0,0,24,2010,2
2010-02-25,2.2592,2.2975,2.2094,2.2975,37600,0.0,0,25,2010,2
2010-02-26,2.3051,2.3281,2.2898,2.3281,49400,0.0,0,26,2010,2
2010-03-01,2.3396,2.3741,2.3281,2.3741,65200,0.0,0,01,2010,3
2010-03-02,2.3932,2.4813,2.3894,2.4736,82300,0.0,0,02,2010,3
2010-03-03,2.4545,2.4889,2.4353,2.4851,43400,0.0,0,03,2010,3
2010-03-04,2.4813,2.5119,2.4353,2.5081,41500,0.0,0,04,2010,3
2010-03-05,2.5196,2.577,2.5196,2.577,32900,0.0,0,05,2010,3
2010-03-08,2.4315,2.6191,2.4315,2.5923,35400,0.0,0,08,2010,3
2010-03-09,2.5502,2.6536,2.5502,2.6076,40000,0.0,0,09,2010,3
2010-03-10,2.6536,2.6689,2.6115,2.6498,45000,0.0,0,10,2010,3
2010-03-11,2.6421,2.6536,2.6115,2.6383,23400,0.0,0,11,2010,3
2010-03-12,2.6613,2.6804,2.6153,2.6383,27800,0.0,0,12,2010,3
2010-03-15,2.6536,2.6919,2.6191,2.6498,37500,0.0,0,15,2010,3
2010-03-16,2.6383,2.7263,2.6383,2.6919,55900,0.0,0,16,2010,3
2010-03-17,2.7034,2.734,2.6995,2.7034,24600,0.0,0,17,2010,3
2010-03-18,2.6919,2.734,2.6498,2.6574,48000,0.0,0,18,2010,3
2010-03-19,2.5655,2.6727,2.5655,2.5655,27300,0.0,0,19,2010,3
2010-03-22,2.5502,2.6115,2.4698,2.5885,57900,0.0,0,22,2010,3
2010-03-23,2.5732,2.6459,2.5732,2.6306,34600,0.0,0,23,2010,3
2010-03-24,2.6459,2.6995,2.6459,2.6842,35400,0.0,0,24,2010,3
