Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,39.12,39.6,38.89,39.59,3553300,0.0,0,04,2010,1
2010-01-05,39.6,39.93,39.24,39.56,2981200,0.0,0,05,2010,1
2010-01-06,39.58,40.72,39.46,40.6,3951000,0.0,0,06,2010,1
2010-01-07,41.06,42.23,40.75,42.14,5254900,0.0,0,07,2010,1
2010-01-08,42.05,42.91,41.99,42.82,3991200,0.0,0,08,2010,1
2010-01-11,43.06,43.29,42.69,43.0,3342500,0.0,0,11,2010,1
2010-01-12,42.31,42.53,41.73,42.26,2950500,0.0,0,12,2010,1
2010-01-13,42.45,42.66,41.67,42.54,3236500,0.0,0,13,2010,1
2010-01-14,42.45,43.45,42.45,43.19,3406600,0.0,0,14,2010,1
2010-01-15,43.06,43.13,42.16,42.24,3147300,0.0,0,15,2010,1
2010-01-19,42.25,42.69,42.09,42.59,2056200,0.0,0,19,2010,1
2010-01-20,42.28,42.38,40.99,41.75,3380800,0.0,0,20,2010,1
2010-01-21,41.89,41.89,40.04,40.04,4269100,0.0,0,21,2010,1
2010-01-22,40.01,41.03,39.92,39.93,3446300,0.0,0,22,2010,1
2010-01-25,40.23,40.86,40.23,40.28,2015800,0.0,0,25,2010,1
2010-01-26,40.1,40.77,39.95,40.23,1926100,0.0,0,26,2010,1
2010-01-27,40.22,40.61,39.59,40.55,2524300,0.0,0,27,2010,1
2010-01-28,40.91,41.21,39.0,39.62,2386400,0.0,0,28,2010,1
2010-01-29,39.89,40.56,38.9,39.01,2522800,0.0,0,29,2010,1
2010-02-01,39.27,39.86,38.89,39.55,1651400,0.0,0,01,2010,2
2010-02-02,39.92,41.0,39.59,40.96,3247900,0.0,0,02,2010,2
2010-02-03,40.73,41.41,40.17,40.27,2742500,0.0,0,03,2010,2
2010-02-04,39.92,39.92,37.86,38.13,5884900,0.0,0,04,2010,2
2010-02-05,38.07,38.28,35.89,37.05,5709400,0.0,0,05,2010,2
2010-02-08,37.21,37.7,36.51,36.52,4415600,0.0,0,08,2010,2
2010-02-09,37.08,37.65,36.55,37.24,3971200,0.0,0,09,2010,2
2010-02-10,37.28,37.69,36.52,37.45,2786700,0.0,0,10,2010,2
2010-02-11,37.33,38.32,37.04,38.22,2889600,0.0,0,11,2010,2
2010-02-12,37.7,38.05,37.27,37.95,2112400,0.0,0,12,2010,2
2010-02-16,38.49,39.22,38.43,39.14,2644900,0.0,0,16,2010,2
2010-02-17,39.52,39.55,38.83,39.22,2600900,0.0,0,17,2010,2
2010-02-18,39.01,40.46,38.98,40.28,2600200,0.0,0,18,2010,2
2010-02-19,40.18,40.27,39.41,39.53,3273700,0.0,0,19,2010,2
2010-02-22,40.23,40.72,39.7,39.92,3145900,0.0,0,22,2010,2
2010-02-23,39.93,40.0,38.3,38.73,3541700,0.0,0,23,2010,2
2010-02-24,38.92,39.06,38.52,38.96,1842200,0.0,0,24,2010,2
2010-02-25,38.29,38.87,37.55,38.76,2761000,0.0,0,25,2010,2
2010-02-26,36.79,37.17,36.01,36.83,10599100,0.0,0,26,2010,2
2010-03-01,37.06,37.25,36.32,36.89,4447100,0.0,0,01,2010,3
2010-03-02,37.21,37.3,36.48,36.78,3050700,0.0,0,02,2010,3
2010-03-03,37.06,37.54,36.69,37.39,3676300,0.125,0,03,2010,3
2010-03-04,37.54,37.74,37.33,37.68,2329600,0.0,0,04,2010,3
2010-03-05,38.11,38.72,38.0,38.53,2776300,0.0,0,05,2010,3
2010-03-08,38.75,38.78,38.21,38.74,2069200,0.0,0,08,2010,3
2010-03-09,38.54,39.22,38.54,38.95,1987700,0.0,0,09,2010,3
2010-03-10,39.16,39.33,38.89,39.07,1910500,0.0,0,10,2010,3
2010-03-11,39.04,39.6,38.79,39.58,1961900,0.0,0,11,2010,3
2010-03-12,39.8,39.97,39.51,39.69,1747400,0.0,0,12,2010,3
2010-03-15,39.57,39.59,38.79,39.42,1973900,0.0,0,15,2010,3
2010-03-16,39.47,39.64,39.13,39.57,1362700,0.0,0,16,2010,3
2010-03-17,39.64,40.19,39.64,39.87,1803000,0.0,0,17,2010,3
2010-03-18,39.95,40.13,39.38,39.64,1472100,0.0,0,18,2010,3
2010-03-19,39.05,39.87,38.85,39.05,2590500,0.0,0,19,2010,3
2010-03-22,38.69,39.2,38.51,39.14,2204500,0.0,0,22,2010,3
2010-03-23,39.14,39.65,38.89,39.57,1503000,0.0,0,23,2010,3
2010-03-24,39.6,40.59,39.31,40.36,3881500,0.0,0,24,2010,3
2010-03-25,40.9,40.9,39.8,39.89,2344800,0.0,0,25,2010,3
2010-03-26,39.98,40.26,39.5,39.92,1429200,0.0,0,26,2010,3
2010-03-29,40.08,40.63,40.06,40.54,2280200,0.0,0,29,2010,3
2010-03-30,40.67,41.19,40.42,40.63,2216900,0.0,0,30,2010,3
2010-03-31,40.46,40.47,39.93,40.14,1606800,0.0,0,31,2010,3
2010-04-01,40.46,41.43,40.42,41.08,2581300,0.0,0,01,2010,4
2010-04-05,41.58,42.73,41.21,42.72,2946700,0.0,0,05,2010,4
2010-04-06,42.68,43.57,42.38,43.12,3405800,0.0,0,06,2010,4
2010-04-07,43.15,43.32,42.29,42.58,2996900,0.0,0,07,2010,4
2010-04-08,42.36,42.94,41.85,42.92,3029900,0.0,0,08,2010,4
2010-04-09,43.04,44.25,42.98,43.81,2735100,0.0,0,09,2010,4
2010-04-12,44.17,44.33,43.54,44.18,2515700,0.0,0,12,2010,4
2010-04-13,44.14,44.18,43.69,44.08,1996100,0.0,0,13,2010,4
2010-04-14,44.41,44.67,44.13,44.61,2382500,0.0,0,14,2010,4
2010-04-15,44.05,44.6,44.01,44.3,2905000,0.0,0,15,2010,4
2010-04-16,43.99,44.47,42.85,43.72,3757000,0.0,0,16,2010,4
2010-04-19,43.37,44.08,43.15,43.84,2471900,0.0,0,19,2010,4
2010-04-20,44.2,45.3,44.2,45.18,2293600,0.0,0,20,2010,4
2010-04-21,45.13,45.49,44.68,45.4,2166300,0.0,0,21,2010,4
2010-04-22,44.99,45.91,44.49,45.83,1808400,0.0,0,22,2010,4
2010-04-23,45.83,46.08,45.12,46.07,2370100,0.0,0,23,2010,4
2010-04-26,45.82,46.51,45.49,45.75,1709100,0.0,0,26,2010,4
2010-04-27,45.28,46.41,44.94,45.09,3698600,0.0,0,27,2010,4
2010-04-28,45.62,46.38,45.4,45.91,2775500,0.0,0,28,2010,4
2010-04-29,46.25,47.87,46.25,47.58,3914100,0.0,0,29,2010,4
2010-04-30,47.64,47.78,45.49,45.6,3022900,0.0,0,30,2010,4
2010-05-03,45.96,46.38,45.16,46.26,2827600,0.0,0,03,2010,5
2010-05-04,45.43,45.43,43.72,44.35,3115700,0.0,0,04,2010,5
2010-05-05,43.35,44.14,42.64,43.85,3392900,0.0,0,05,2010,5
2010-05-06,43.5,44.46,39.59,42.5,3777400,0.0,0,06,2010,5
2010-05-07,42.21,42.23,39.35,39.65,7912900,0.0,0,07,2010,5
2010-05-10,42.1,42.35,41.33,42.25,4382000,0.0,0,10,2010,5
2010-05-11,41.18,44.3,40.78,43.55,7300400,0.0,0,11,2010,5
2010-05-12,43.76,46.73,43.76,46.07,6465700,0.0,0,12,2010,5
2010-05-13,46.0,46.45,45.66,45.82,4715800,0.0,0,13,2010,5
2010-05-14,45.25,45.74,43.72,44.25,3548000,0.0,0,14,2010,5
2010-05-17,44.24,44.55,41.95,43.42,5333700,0.0,0,17,2010,5
2010-05-18,43.95,45.16,43.04,43.23,4416300,0.0,0,18,2010,5
2010-05-19,42.67,42.99,40.68,41.66,4673000,0.0,0,19,2010,5
2010-05-20,39.28,40.34,39.03,39.09,4880100,0.0,0,20,2010,5
2010-05-21,37.98,40.28,37.98,39.52,4527800,0.0,0,21,2010,5
2010-05-24,39.32,40.08,38.83,38.84,2742600,0.0,0,24,2010,5
2010-05-25,37.81,38.96,37.56,38.96,3532700,0.0,0,25,2010,5
2010-05-26,39.51,39.69,38.07,38.21,3430400,0.0,0,26,2010,5
2010-05-27,39.88,41.28,39.72,41.26,3891900,0.0,0,27,2010,5
2010-05-28,41.2,41.2,40.29,40.49,2536400,0.0,0,28,2010,5
