Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,6.5308,6.5452,6.4911,6.5164,77800,0.0,0,04,2010,1
2010-01-05,6.5164,6.6209,6.5128,6.6029,83900,0.0,0,05,2010,1
2010-01-06,6.6389,6.9633,6.6245,6.7398,176900,0.0,0,06,2010,1
2010-01-07,6.8119,6.8624,6.7146,6.7759,169200,0.0,0,07,2010,1
2010-01-08,6.7975,6.8155,6.7506,6.7831,65700,0.0,0,08,2010,1
2010-01-11,6.8515,6.8515,6.7831,6.8335,70000,0.0,0,11,2010,1
2010-01-12,6.8299,6.8660000000000005,6.7578,6.7723,87600,0.0,0,12,2010,1
2010-01-13,6.8034,6.8034,6.5172,6.5649,116100,0.335,0,13,2010,1
2010-01-14,6.5686,6.675,6.5392,6.6126,51700,0.0,0,14,2010,1
2010-01-15,6.5979,6.6934,6.5723,6.6677,56000,0.0,0,15,2010,1
2010-01-19,6.6053,6.7227,6.5979,6.6713,80800,0.0,0,19,2010,1
2010-01-20,6.6163,6.7961,6.609,6.7961,108900,0.0,0,20,2010,1
2010-01-21,6.8145,6.9172,6.7447,6.8695,106500,0.0,0,21,2010,1
2010-01-22,6.7924,6.8108,6.609,6.7227,100000,0.0,0,22,2010,1
2010-01-25,6.718999999999999,6.9025,6.718999999999999,6.8218,82700,0.0,0,25,2010,1
2010-01-26,6.8255,6.8878,6.7998,6.8328,64400,0.0,0,26,2010,1
2010-01-27,6.8438,6.8622,6.7667,6.8218,56900,0.0,0,27,2010,1
2010-01-28,6.8365,6.8548,6.664,6.6677,52900,0.0,0,28,2010,1
2010-01-29,6.707999999999999,6.8181,6.6163,6.6677,65300,0.0,0,29,2010,1
2010-02-01,6.6457,6.7337,6.5759,6.6603,89900,0.0,0,01,2010,2
2010-02-02,6.664,6.7337,6.62,6.6934,56600,0.0,0,02,2010,2
2010-02-03,6.6457,6.6897,6.6273,6.6677,39400,0.0,0,03,2010,2
2010-02-04,6.6567,6.6677,6.4585,6.5576,88900,0.0,0,04,2010,2
2010-02-05,6.4658,6.5135,6.1282,6.4402,127800,0.0,0,05,2010,2
2010-02-08,6.4805,6.5209,6.4071,6.4622,42900,0.0,0,08,2010,2
2010-02-09,6.4695,6.5723,6.4548,6.4879,55100,0.0,0,09,2010,2
2010-02-10,6.4842,6.6677,6.4695,6.5833,114900,0.0,0,10,2010,2
2010-02-11,6.6016,6.642,6.5833,6.6383,45000,0.0,0,11,2010,2
2010-02-12,6.609,6.6787,6.5246,6.6677,59000,0.0,0,12,2010,2
2010-02-16,6.7484,6.7557,6.6493,6.7484,58600,0.0,0,16,2010,2
2010-02-17,6.8181,6.8952,6.7704,6.8585,71800,0.0,0,17,2010,2
2010-02-18,6.7778,6.8768,6.7704,6.8401,47200,0.0,0,18,2010,2
2010-02-19,6.8622,6.9135,6.8181,6.8548,48900,0.0,0,19,2010,2
2010-02-22,6.9062,6.9979,6.8622,6.9025,90500,0.0,0,22,2010,2
2010-02-23,6.8365,6.9062,6.7888,6.8145,83700,0.0,0,23,2010,2
2010-02-24,6.7924,6.8658,6.7521,6.8585,59700,0.0,0,24,2010,2
2010-02-25,6.7814,6.9906,6.7667,6.9869,142600,0.0,0,25,2010,2
2010-02-26,6.9906,7.0016,6.9429,7.0016,78100,0.0,0,26,2010,2
2010-03-01,7.0713,7.0823,6.8291,6.8915,77500,0.0,0,01,2010,3
2010-03-02,6.9979,7.0126,6.9282,6.9906,56700,0.0,0,02,2010,3
2010-03-03,7.0493,7.064,6.9759,6.9759,73300,0.0,0,03,2010,3
2010-03-04,7.0346,7.0713,6.9172,7.0346,102100,0.0,0,04,2010,3
2010-03-05,7.0933,7.1117,7.0493,7.0933,73600,0.0,0,05,2010,3
2010-03-08,7.097,7.1447,7.0677,7.108,52900,0.0,0,08,2010,3
2010-03-09,7.064,7.1557,7.0566,7.119,55000,0.0,0,09,2010,3
2010-03-10,7.0787,7.1374,7.064,7.1007,38800,0.0,0,10,2010,3
2010-03-11,7.1447,7.1777,7.0677,7.1557,40200,0.0,0,11,2010,3
2010-03-12,7.1374,7.2475,7.1154,7.2144,64000,0.0,0,12,2010,3
2010-03-15,7.2401,7.2585,7.1814,7.1814,47000,0.0,0,15,2010,3
2010-03-16,7.1924,7.2695,7.086,7.1924,68600,0.0,0,16,2010,3
2010-03-17,7.1961,7.2401,7.1631,7.1631,75200,0.0,0,17,2010,3
2010-03-18,7.119,7.1667,7.0787,7.119,54300,0.0,0,18,2010,3
2010-03-19,6.9722,7.1667,6.9722,6.9722,70200,0.0,0,19,2010,3
2010-03-22,6.7227,6.9686,6.707999999999999,6.9209,56000,0.0,0,22,2010,3
2010-03-23,6.8842,7.053,6.8842,6.9576,53200,0.0,0,23,2010,3
2010-03-24,6.9539,7.0713,6.9172,6.9245,57600,0.0,0,24,2010,3
2010-03-25,6.9979,7.0603,6.9319,6.9392,51800,0.0,0,25,2010,3
2010-03-26,6.9172,6.9722,6.8768,6.9355,56200,0.0,0,26,2010,3
2010-03-29,6.9099,7.0089,6.8695,7.0016,69600,0.0,0,29,2010,3
2010-03-30,6.9906,7.0273,6.9833,7.0163,66200,0.0,0,30,2010,3
2010-03-31,7.0053,7.1521,6.9833,7.0677,56400,0.0,0,31,2010,3
2010-04-01,7.1154,7.3245,7.1007,7.2732,37200,0.0,0,01,2010,4
2010-04-05,7.2988,7.3796,7.2658,7.3686,56200,0.0,0,05,2010,4
2010-04-06,7.4053,7.475,7.3135,7.4603,61800,0.0,0,06,2010,4
2010-04-07,7.486000000000001,7.5117,7.3098,7.3282,98400,0.0,0,07,2010,4
2010-04-08,7.3502,7.4897,7.2585,7.4897,89100,0.0,0,08,2010,4
2010-04-09,7.5594,7.5741,7.5043,7.5484,132500,0.0,0,09,2010,4
2010-04-12,7.5777,7.6328,7.486000000000001,7.486000000000001,87200,0.0,0,12,2010,4
2010-04-13,7.457999999999999,7.4879,7.2752,7.4319,90400,0.335,0,13,2010,4
