Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,4.37,4.55,4.3,4.55,40500,0.0,0.0,04,2010,1
2010-01-05,4.55,4.63,4.36,4.43,133000,0.0,0.0,05,2010,1
2010-01-06,4.43,4.58,4.34,4.39,53300,0.0,0.0,06,2010,1
2010-01-07,4.39,4.55,4.3,4.48,48500,0.0,0.0,07,2010,1
2010-01-08,4.46,4.53,4.3,4.41,11700,0.0,0.0,08,2010,1
2010-01-11,4.41,4.6,4.25,4.41,34200,0.0,0.0,11,2010,1
2010-01-12,4.29,4.39,4.29,4.32,25800,0.0,0.0,12,2010,1
2010-01-13,4.34,4.58,4.27,4.55,25100,0.0,0.0,13,2010,1
2010-01-14,4.63,4.67,4.5,4.67,12700,0.0,0.0,14,2010,1
2010-01-15,4.67,4.76,4.25,4.43,28800,0.0,0.0,15,2010,1
2010-01-19,4.43,4.6,4.3,4.37,30600,0.0,0.0,19,2010,1
2010-01-20,4.32,4.44,4.32,4.34,14900,0.0,0.0,20,2010,1
2010-01-21,4.34,4.34,4.06,4.15,42600,0.0,0.0,21,2010,1
2010-01-22,4.15,4.29,4.08,4.11,15600,0.0,0.0,22,2010,1
2010-01-25,4.15,4.32,4.06,4.11,12200,0.0,0.0,25,2010,1
2010-01-26,4.08,4.18,4.06,4.08,15100,0.0,0.0,26,2010,1
2010-01-27,4.06,4.27,4.06,4.16,11700,0.0,0.0,27,2010,1
2010-01-28,4.18,4.25,3.92,3.92,22300,0.0,0.0,28,2010,1
2010-01-29,3.94,4.37,3.94,4.34,50900,0.0,0.0,29,2010,1
2010-02-01,4.36,4.67,4.23,4.63,39900,0.0,0.0,01,2010,2
2010-02-02,4.62,5.05,4.58,4.79,95500,0.0,0.0,02,2010,2
2010-02-03,5.33,5.33,4.72,4.74,32500,0.0,0.0,03,2010,2
2010-02-04,4.7,4.86,4.09,4.09,70200,0.0,0.0,04,2010,2
2010-02-05,4.13,4.36,4.04,4.16,21700,0.0,0.0,05,2010,2
2010-02-08,4.18,5.21,3.99,3.99,40000,0.0,0.0,08,2010,2
2010-02-09,4.04,4.27,4.04,4.06,13700,0.0,0.0,09,2010,2
2010-02-10,4.04,4.04,3.92,3.99,12200,0.0,0.0,10,2010,2
2010-02-11,3.99,4.08,3.92,4.06,11900,0.0,0.0,11,2010,2
2010-02-12,4.03,4.04,3.85,3.92,32800,0.0,0.0,12,2010,2
2010-02-16,4.08,4.18,3.94,3.99,14600,0.0,0.0,16,2010,2
2010-02-17,4.03,4.22,4.03,4.08,30700,0.0,0.0,17,2010,2
2010-02-18,4.06,4.11,3.92,4.01,50700,0.0,0.0,18,2010,2
2010-02-19,4.01,4.11,3.96,4.04,57400,0.0,0.0,19,2010,2
2010-02-22,4.06,4.08,3.92,3.96,14500,0.0,0.0,22,2010,2
2010-02-23,3.96,4.08,3.82,3.89,25300,0.0,0.0,23,2010,2
2010-02-24,3.9,3.9,3.8,3.85,14600,0.0,0.0,24,2010,2
2010-02-25,3.8,3.94,3.8,3.89,18300,0.0,0.0,25,2010,2
2010-02-26,3.89,3.89,3.76,3.83,69700,0.0,0.0,26,2010,2
2010-03-01,3.87,3.99,3.82,3.96,48200,0.0,0.0,01,2010,3
2010-03-02,3.97,4.34,3.92,4.2,32000,0.0,0.0,02,2010,3
2010-03-03,4.22,4.29,4.03,4.04,23400,0.0,0.0,03,2010,3
