Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,10.6,10.89,10.55,10.76,69763000,0.0,0.0,04,2010,1
2010-01-05,10.77,10.91,10.76,10.82,67132600,0.0,0.0,05,2010,1
2010-01-06,10.82,10.88,10.75,10.76,57683400,0.0,0.0,06,2010,1
2010-01-07,10.78,11.48,10.75,11.32,192891100,0.0,0.0,07,2010,1
2010-01-08,11.36,11.62,11.33,11.56,119717100,0.0,0.0,08,2010,1
2010-01-11,11.72,11.76,11.52,11.67,79742400,0.0,0.0,11,2010,1
2010-01-12,11.55,11.73,11.54,11.68,67207700,0.0,0.0,12,2010,1
2010-01-13,11.67,11.78,11.54,11.72,67956000,0.0,0.0,13,2010,1
2010-01-14,11.69,11.75,11.62,11.63,59655900,0.0,0.0,14,2010,1
2010-01-15,11.62,11.67,11.39,11.45,77072400,0.0,0.0,15,2010,1
2010-01-19,11.39,11.67,11.38,11.52,63125200,0.0,0.0,19,2010,1
2010-01-20,11.49,11.62,11.37,11.49,67075400,0.0,0.0,20,2010,1
2010-01-21,11.47,11.48,11.11,11.16,103117200,0.0,0.0,21,2010,1
2010-01-22,11.53,11.67,11.21,11.22,169184800,0.0,0.0,22,2010,1
2010-01-25,11.46,11.51,11.3,11.4,78166800,0.0,0.0,25,2010,1
2010-01-26,11.37,11.63,11.32,11.39,81137600,0.0,0.0,26,2010,1
2010-01-27,11.34,11.41,11.16,11.35,79924600,0.0,0.0,27,2010,1
2010-01-28,11.44,11.46,11.15,11.25,82301400,0.0,0.0,28,2010,1
2010-01-29,11.3,11.49,11.19,11.2,84404900,0.0,0.0,29,2010,1
2010-02-01,11.28,11.38,11.21,11.32,59218100,0.0,0.0,01,2010,2
2010-02-02,11.33,11.8,11.31,11.73,120379300,0.0,0.0,02,2010,2
2010-02-03,11.69,11.86,11.57,11.62,73609300,0.0,0.0,03,2010,2
2010-02-04,11.48,11.49,11.15,11.17,114503100,0.0,0.0,04,2010,2
2010-02-05,11.17,11.28,10.62,11.0,149243300,0.0,0.0,05,2010,2
