Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,5.65,5.76,5.65,5.74,28200,0.0,0,04,2010,1
2010-01-05,5.77,5.79,5.77,5.78,38600,0.0,0,05,2010,1
2010-01-06,5.82,5.87,5.82,5.86,20000,0.0,0,06,2010,1
2010-01-07,5.82,5.89,5.82,5.87,21400,0.0,0,07,2010,1
2010-01-08,5.87,5.89,5.87,5.88,21000,0.0,0,08,2010,1
2010-01-11,5.91,5.94,5.89,5.94,20200,0.0,0,11,2010,1
2010-01-12,5.88,5.88,5.85,5.87,18000,0.0,0,12,2010,1
2010-01-13,5.89,5.92,5.89,5.92,18800,0.0,0,13,2010,1
2010-01-14,5.93,5.97,5.93,5.97,22100,0.0,0,14,2010,1
2010-01-15,5.9,6.01,5.84,6.01,72800,0.0,0,15,2010,1
2010-01-19,5.85,5.96,5.82,5.96,38000,0.0,0,19,2010,1
2010-01-20,5.87,5.87,5.74,5.81,37100,0.0,0,20,2010,1
2010-01-21,5.79,5.79,5.63,5.68,22200,0.0,0,21,2010,1
2010-01-22,5.64,5.64,5.55,5.55,25600,0.0,0,22,2010,1
2010-01-25,5.57,5.63,5.57,5.63,29900,0.0,0,25,2010,1
2010-01-26,5.59,5.61,5.54,5.54,34300,0.0,0,26,2010,1
2010-01-27,5.49,5.51,5.44,5.51,34400,0.0,0,27,2010,1
2010-01-28,5.54,5.54,5.43,5.45,19000,0.0,0,28,2010,1
2010-01-29,5.49,5.52,5.39,5.42,41800,0.0,0,29,2010,1
2010-02-01,5.48,5.53,5.47,5.53,11700,0.0,0,01,2010,2
2010-02-02,5.54,5.64,5.53,5.6,29000,0.0,0,02,2010,2
2010-02-03,5.6,5.61,5.55,5.58,31300,0.0,0,03,2010,2
2010-02-04,5.42,5.48,5.35,5.36,61400,0.0,0,04,2010,2
2010-02-05,5.31,5.31,5.08,5.22,90100,0.0,0,05,2010,2
2010-02-08,5.17,5.2,5.15,5.15,63800,0.0,0,08,2010,2
2010-02-09,5.25,5.32,5.22,5.29,22300,0.0,0,09,2010,2
2010-02-10,5.25,5.3,5.24,5.28,24700,0.0,0,10,2010,2
2010-02-11,5.25,5.34,5.21,5.31,46800,0.0,0,11,2010,2
2010-02-12,5.21,5.27,5.19,5.25,45900,0.0,0,12,2010,2
2010-02-16,5.24,5.36,5.24,5.34,66800,0.0,0,16,2010,2
2010-02-17,5.37,5.39,5.35,5.37,43700,0.0,0,17,2010,2
2010-02-18,5.4,5.45,5.4,5.44,12000,0.0,0,18,2010,2
2010-02-19,5.39,5.48,5.39,5.47,12900,0.0,0,19,2010,2
2010-02-22,5.45,5.45,5.4,5.43,27500,0.0,0,22,2010,2
2010-02-23,5.4,5.41,5.33,5.35,35100,0.0,0,23,2010,2
2010-02-24,5.34,5.42,5.33,5.4,23700,0.0,0,24,2010,2
2010-02-25,5.24,5.31,5.21,5.24,85000,0.0,0,25,2010,2
2010-02-26,5.26,5.28,5.23,5.28,47400,0.0,0,26,2010,2
2010-03-01,5.31,5.39,5.31,5.38,40100,0.0,0,01,2010,3
2010-03-02,5.44,5.49,5.44,5.46,35000,0.0,0,02,2010,3
2010-03-03,5.52,5.58,5.52,5.55,27000,0.0,0,03,2010,3
2010-03-04,5.55,5.56,5.53,5.55,37900,0.0,0,04,2010,3
2010-03-05,5.6,5.68,5.6,5.68,40800,0.0,0,05,2010,3
2010-03-08,5.68,5.7,5.67,5.68,24400,0.0,0,08,2010,3
2010-03-09,5.63,5.68,5.61,5.68,21200,0.0,0,09,2010,3
2010-03-10,5.7,5.73,5.69,5.72,23500,0.0,0,10,2010,3
2010-03-11,5.72,5.77,5.72,5.77,27100,0.0,0,11,2010,3
2010-03-12,5.82,5.82,5.77,5.79,16600,0.0,0,12,2010,3
2010-03-15,5.75,5.76,5.73,5.76,15800,0.0,0,15,2010,3
2010-03-16,5.77,5.82,5.77,5.82,25400,0.0,0,16,2010,3
2010-03-17,5.82,5.88,5.8,5.84,45800,0.0,0,17,2010,3
2010-03-18,5.84,5.89,5.77,5.8,22800,0.0,0,18,2010,3
2010-03-19,5.71,5.78,5.66,5.71,35900,0.0,0,19,2010,3
2010-03-22,5.64,5.77,5.61,5.72,20700,0.0,0,22,2010,3
2010-03-23,5.73,5.76,5.72,5.76,16000,0.0,0,23,2010,3
2010-03-24,5.69,5.73,5.68,5.72,25900,0.0,0,24,2010,3
2010-03-25,5.79,5.81,5.76,5.77,52200,0.0,0,25,2010,3
2010-03-26,5.81,5.86,5.75,5.85,49800,0.0,0,26,2010,3
2010-03-29,5.87,5.91,5.87,5.91,19800,0.0,0,29,2010,3
2010-03-30,5.89,5.9,5.84,5.88,16400,0.0,0,30,2010,3
