Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,54.89,54.89,52.74,52.83,405300,0.0,0,04,2010,1
2010-01-05,53.05,54.51,52.95,54.25,311000,0.0,0,05,2010,1
2010-01-06,53.94,53.97,53.17,53.39,246300,0.0,0,06,2010,1
2010-01-07,53.59,54.1,53.25,53.63,292800,0.0,0,07,2010,1
2010-01-08,53.78,54.2,53.39,53.98,265500,0.0,0,08,2010,1
2010-01-11,53.89,54.06,53.01,53.76,270400,0.0,0,11,2010,1
2010-01-12,53.43,53.49,52.01,52.19,207800,0.0,0,12,2010,1
2010-01-13,52.19,52.75,51.72,52.56,247600,0.0,0,13,2010,1
2010-01-14,52.27,52.48,51.94,52.4,267600,0.0,0,14,2010,1
2010-01-15,52.66,52.66,51.53,52.28,155100,0.0,0,15,2010,1
2010-01-19,52.54,52.55,51.85,51.93,161000,0.0,0,19,2010,1
2010-01-20,51.9,52.04,51.23,51.4,207900,0.0,0,20,2010,1
2010-01-21,51.39,51.63,51.0,51.15,170800,0.0,0,21,2010,1
2010-01-22,50.87,52.48,50.87,52.0,501700,0.0,0,22,2010,1
2010-01-25,52.12,53.53,51.94,52.48,217200,0.0,0,25,2010,1
2010-01-26,52.16,53.09,52.16,52.6,250400,0.0,0,26,2010,1
2010-01-27,52.36,53.4,52.36,53.02,230200,0.0,0,27,2010,1
2010-01-28,53.85,55.43,53.65,54.4,331200,0.0,0,28,2010,1
2010-01-29,54.32,54.32,51.97,52.03,209400,0.0,0,29,2010,1
2010-02-01,52.03,53.18,52.03,52.48,152900,0.0,0,01,2010,2
2010-02-02,52.3,53.21,52.16,52.77,218400,0.0,0,02,2010,2
2010-02-03,52.7,52.87,51.9,51.98,186200,0.0,0,03,2010,2
2010-02-04,51.67,51.67,50.75,50.96,243600,0.0,0,04,2010,2
2010-02-05,50.83,51.31,49.92,51.21,161400,0.0,0,05,2010,2
2010-02-08,50.83,51.39,50.54,50.97,116600,0.0,0,08,2010,2
2010-02-09,51.2,51.41,50.18,50.48,65200,0.0,0,09,2010,2
2010-02-10,50.21,50.76,49.68,49.82,221100,0.0,0,10,2010,2
2010-02-11,49.76,50.19,49.14,50.08,150700,0.0,0,11,2010,2
2010-02-12,49.91,50.57,49.61,50.48,153100,0.0,0,12,2010,2
2010-02-16,50.63,50.68,50.22,50.57,78300,0.0,0,16,2010,2
2010-02-17,50.83,50.88,50.23,50.49,108900,0.0,0,17,2010,2
2010-02-18,50.55,50.65,50.04,50.31,133300,0.0,0,18,2010,2
2010-02-19,50.16,50.73,49.98,50.52,222000,0.0,0,19,2010,2
2010-02-22,50.46,50.71,49.64,49.74,242100,0.0,0,22,2010,2
2010-02-23,49.8,50.29,48.34,48.37,394800,0.0,0,23,2010,2
2010-02-24,48.41,48.99,48.06,48.53,351000,0.0,0,24,2010,2
2010-02-25,48.32,48.63,47.58,48.06,275500,0.0,0,25,2010,2
2010-02-26,48.24,48.24,46.84,47.78,445000,0.0,0,26,2010,2
2010-03-01,49.28,50.26,48.64,49.67,605500,0.45,0,01,2010,3
2010-03-02,49.84,50.52,49.84,50.41,207600,0.0,0,02,2010,3
2010-03-03,50.58,52.0,50.39,50.51,288000,0.0,0,03,2010,3
2010-03-04,51.01,51.84,50.61,51.17,307000,0.0,0,04,2010,3
2010-03-05,51.58,51.97,51.2,51.86,272000,0.0,0,05,2010,3
2010-03-08,51.86,52.18,51.65,51.73,107300,0.0,0,08,2010,3
2010-03-09,51.73,52.14,51.36,51.81,95200,0.0,0,09,2010,3
2010-03-10,51.89,52.29,51.81,52.17,191200,0.0,0,10,2010,3
2010-03-11,51.89,54.45,51.89,54.33,496500,0.0,0,11,2010,3
2010-03-12,54.52,54.86,53.44,54.49,3614100,0.0,0,12,2010,3
2010-03-15,55.17,56.32,55.02,56.22,632200,0.0,0,15,2010,3
2010-03-16,56.06,56.18,55.04,55.47,241200,0.0,0,16,2010,3
2010-03-17,57.2,59.45,57.2,58.37,800600,0.0,0,17,2010,3
2010-03-18,58.0,58.52,57.41,57.88,225200,0.0,0,18,2010,3
2010-03-19,57.12,58.17,57.03,57.12,243000,0.0,0,19,2010,3
2010-03-22,56.53,57.26,56.2,57.08,192600,0.0,0,22,2010,3
2010-03-23,56.91,57.27,56.5,57.14,194800,0.0,0,23,2010,3
2010-03-24,56.94,57.08,56.31,56.53,105100,0.0,0,24,2010,3
2010-03-25,57.0,57.86,56.49,56.74,208900,0.0,0,25,2010,3
2010-03-26,57.02,57.42,56.64,57.25,274000,0.0,0,26,2010,3
