Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2016-10-28,15.86,16.79,15.76,16.74,6904800,0.0,0,28,2016,10
2016-10-31,16.87,16.87,16.24,16.24,465400,0.0,0,31,2016,10
2016-11-01,16.22,16.56,16.0,16.29,586000,0.0,0,01,2016,11
2016-11-02,16.05,16.43,16.0,16.29,299100,0.0,0,02,2016,11
2016-11-03,16.07,16.27,16.04,16.14,184900,0.0,0,03,2016,11
2016-11-04,16.34,16.79,16.25,16.61,640300,0.0,0,04,2016,11
2016-11-07,16.96,17.16,16.42,17.04,665700,0.0,0,07,2016,11
2016-11-08,16.98,17.06,16.53,17.01,322200,0.0,0,08,2016,11
2016-11-09,16.68,17.16,16.49,17.13,276400,0.0,0,09,2016,11
2016-11-10,17.08,17.16,16.79,17.1,268200,0.0,0,10,2016,11
2016-11-11,16.95,17.42,16.94,17.22,238300,0.0,0,11,2016,11
2016-11-14,17.37,17.49,17.21,17.29,268900,0.0,0,14,2016,11
2016-11-15,17.19,17.48,17.12,17.31,122300,0.0,0,15,2016,11
2016-11-16,17.31,17.48,17.28,17.37,126700,0.0,0,16,2016,11
2016-11-17,17.11,17.64,17.09,17.34,272300,0.0,0,17,2016,11
2016-11-18,17.61,17.84,17.44,17.68,377000,0.0,0,18,2016,11
2016-11-21,17.72,17.89,17.71,17.74,255500,0.0,0,21,2016,11
2016-11-22,17.78,18.92,17.44,18.67,471500,0.0,0,22,2016,11
2016-11-23,18.74,19.12,18.67,18.89,309500,0.0,0,23,2016,11
2016-11-25,18.8,19.08,18.53,18.88,89700,0.0,0,25,2016,11
2016-11-28,19.11,19.11,18.51,18.81,325300,0.0,0,28,2016,11
2016-11-29,18.75,18.88,18.47,18.62,392600,0.0,0,29,2016,11
2016-11-30,18.76,18.87,18.5,18.62,775800,0.0,0,30,2016,11
2016-12-01,18.51,18.76,18.19,18.58,343300,0.0,0,01,2016,12
2016-12-02,18.62,18.62,17.24,18.1,414800,0.0,0,02,2016,12
2016-12-05,18.12,18.55,17.83,17.95,262200,0.0,0,05,2016,12
2016-12-06,18.05,18.32,17.4,17.72,302600,0.0,0,06,2016,12
2016-12-07,17.52,18.31,17.47,17.78,650400,0.0,0,07,2016,12
2016-12-08,18.18,18.74,17.86,18.08,494700,0.0,0,08,2016,12
2016-12-09,18.27,20.81,18.12,20.0,740800,0.0,0,09,2016,12
2016-12-12,19.92,20.25,19.59,20.06,287900,0.0,0,12,2016,12
2016-12-13,20.15,20.15,19.6,19.95,277500,0.0,0,13,2016,12
2016-12-14,19.85,20.11,18.84,18.89,449300,0.0,0,14,2016,12
2016-12-15,18.98,19.68,18.8,18.86,542300,0.0,0,15,2016,12
2016-12-16,18.77,18.83,17.68,17.84,4537400,0.0,0,16,2016,12
2016-12-19,17.84,18.39,17.84,18.26,386400,0.0,0,19,2016,12
2016-12-20,18.26,18.66,18.19,18.33,286100,0.0,0,20,2016,12
2016-12-21,18.28,18.46,17.97,18.12,402800,0.0,0,21,2016,12
2016-12-22,18.08,18.39,17.82,18.16,196400,0.0,0,22,2016,12
2016-12-23,18.24,18.59,18.09,18.29,206500,0.0,0,23,2016,12
2016-12-27,18.17,18.38,18.03,18.12,180100,0.0,0,27,2016,12
2016-12-28,18.06,18.27,17.63,17.72,132700,0.0,0,28,2016,12
2016-12-29,17.73,18.03,17.62,18.02,115000,0.0,0,29,2016,12
2016-12-30,17.98,18.43,17.82,18.39,336900,0.0,0,30,2016,12
2017-01-03,18.51,18.53,17.89,18.19,287000,0.0,0,03,2017,1
2017-01-04,18.33,18.36,17.75,17.87,258700,0.0,0,04,2017,1
2017-01-05,17.91,17.95,17.47,17.65,909900,0.0,0,05,2017,1
2017-01-06,17.63,17.83,17.55,17.77,272200,0.0,0,06,2017,1
2017-01-09,17.77,18.42,17.64,18.37,241000,0.0,0,09,2017,1
2017-01-10,18.36,18.36,17.6,17.76,292700,0.0,0,10,2017,1
2017-01-11,17.84,18.32,17.65,18.27,181000,0.0,0,11,2017,1
2017-01-12,18.15,18.16,17.68,17.81,166200,0.0,0,12,2017,1
2017-01-13,17.84,18.01,17.51,17.6,1242400,0.0,0,13,2017,1
2017-01-17,17.62,17.96,17.52,17.56,344100,0.0,0,17,2017,1
2017-01-18,17.59,18.03,17.59,18.02,157400,0.0,0,18,2017,1
2017-01-19,18.13,18.26,17.99,18.04,352000,0.0,0,19,2017,1
2017-01-20,18.06,18.14,17.84,18.02,253500,0.0,0,20,2017,1
2017-01-23,17.94,18.16,17.92,17.96,338100,0.0,0,23,2017,1
2017-01-24,18.03,18.15,17.89,18.06,104900,0.0,0,24,2017,1
2017-01-25,18.16,18.17,17.89,17.91,318000,0.0,0,25,2017,1
2017-01-26,18.02,18.02,17.38,17.61,278100,0.0,0,26,2017,1
2017-01-27,17.53,17.7,17.44,17.46,75100,0.0,0,27,2017,1
2017-01-30,17.36,17.44,16.96,17.15,175800,0.0,0,30,2017,1
2017-01-31,17.02,17.52,16.65,17.3,252900,0.0,0,31,2017,1
2017-02-01,17.47,17.51,17.15,17.27,197400,0.0,0,01,2017,2
2017-02-02,17.33,17.33,16.79,16.93,122500,0.0,0,02,2017,2
2017-02-03,16.93,16.93,16.06,16.66,216900,0.0,0,03,2017,2
2017-02-06,16.54,16.73,16.49,16.53,102800,0.0,0,06,2017,2
2017-02-07,16.56,16.83,16.45,16.49,137400,0.0,0,07,2017,2
2017-02-08,16.42,16.67,16.17,16.31,308100,0.0,0,08,2017,2
