Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,3.32,3.33,3.32,3.32,800,0.0,0,04,2010,1
2010-01-05,3.29,3.29,3.25,3.25,800,0.0,0,05,2010,1
2010-01-06,3.17,3.17,3.17,3.17,300,0.0,0,06,2010,1
2010-01-07,3.17,3.17,3.17,3.17,0,0.0,0,07,2010,1
2010-01-08,3.17,3.19,3.1,3.19,1700,0.0,0,08,2010,1
2010-01-11,3.25,3.25,3.25,3.25,600,0.0,0,11,2010,1
2010-01-12,3.25,3.25,3.25,3.25,0,0.0,0,12,2010,1
2010-01-13,3.25,3.25,3.25,3.25,0,0.0,0,13,2010,1
2010-01-14,3.27,3.27,3.19,3.19,600,0.0,0,14,2010,1
2010-01-15,3.19,3.19,3.19,3.19,0,0.0,0,15,2010,1
2010-01-19,3.25,3.46,3.25,3.31,2600,0.0,0,19,2010,1
2010-01-20,2.79,3.3,2.79,3.2,20500,0.0,0,20,2010,1
2010-01-21,3.22,3.22,3.21,3.21,300,0.0,0,21,2010,1
2010-01-22,3.2,3.24,3.2,3.21,1400,0.0,0,22,2010,1
2010-01-25,3.23,3.24,3.15,3.15,700,0.0,0,25,2010,1
2010-01-26,3.15,3.16,3.15,3.16,500,0.0,0,26,2010,1
2010-01-27,3.16,3.17,3.16,3.17,300,0.0,0,27,2010,1
2010-01-28,3.12,3.24,3.12,3.17,5800,0.0,0,28,2010,1
2010-01-29,3.17,3.2,3.0,3.2,3900,0.0,0,29,2010,1
2010-02-01,3.2,3.2,3.19,3.2,500,0.0,0,01,2010,2
2010-02-02,3.19,3.19,2.99,3.18,2100,0.0,0,02,2010,2
2010-02-03,3.18,3.18,2.83,3.14,4000,0.0,0,03,2010,2
2010-02-04,3.14,3.15,3.14,3.15,500,0.0,0,04,2010,2
2010-02-05,3.14,3.14,3.14,3.14,1300,0.0,0,05,2010,2
2010-02-08,3.14,3.14,3.14,3.14,0,0.0,0,08,2010,2
2010-02-09,3.17,3.17,3.17,3.17,100,0.0,0,09,2010,2
2010-02-10,3.07,3.07,2.9,3.07,10400,0.0,0,10,2010,2
2010-02-11,3.08,3.15,3.07,3.15,900,0.0,0,11,2010,2
2010-02-12,3.15,3.15,3.15,3.15,100,0.0,0,12,2010,2
2010-02-16,3.15,3.15,3.15,3.15,0,0.0,0,16,2010,2
2010-02-17,3.15,3.15,3.15,3.15,0,0.0,0,17,2010,2
2010-02-18,3.2,3.2,2.91,3.17,9900,0.0,0,18,2010,2
2010-02-19,3.18,3.18,3.12,3.12,600,0.0,0,19,2010,2
2010-02-22,3.14,3.14,3.07,3.1,9500,0.0,0,22,2010,2
2010-02-23,3.13,3.14,3.13,3.14,300,0.0,0,23,2010,2
2010-02-24,3.14,3.14,3.14,3.14,0,0.0,0,24,2010,2
2010-02-25,3.07,3.09,3.05,3.09,900,0.0,0,25,2010,2
2010-02-26,3.06,3.11,3.05,3.09,600,0.0,0,26,2010,2
2010-03-01,3.12,3.16,3.12,3.16,700,0.0,0,01,2010,3
2010-03-02,3.16,3.23,3.16,3.18,1500,0.0,0,02,2010,3
2010-03-03,3.16,3.16,3.16,3.16,1000,0.0,0,03,2010,3
2010-03-04,3.16,3.16,3.16,3.16,0,0.0,0,04,2010,3
2010-03-05,3.2,3.22,3.17,3.22,1500,0.0,0,05,2010,3
2010-03-08,3.17,3.23,3.17,3.18,2500,0.0,0,08,2010,3
2010-03-09,3.09,3.18,3.05,3.17,4800,0.0,0,09,2010,3
2010-03-10,3.17,3.27,3.09,3.23,2400,0.0,0,10,2010,3
2010-03-11,3.23,3.23,3.23,3.23,0,0.0,0,11,2010,3
2010-03-12,3.21,3.23,3.21,3.23,2200,0.0,0,12,2010,3
2010-03-15,3.21,3.27,3.21,3.23,700,0.0,0,15,2010,3
2010-03-16,3.23,3.23,3.23,3.23,1200,0.0,0,16,2010,3
2010-03-17,3.23,3.23,3.23,3.23,0,0.0,0,17,2010,3
2010-03-18,3.23,3.23,3.23,3.23,0,0.0,0,18,2010,3
2010-03-19,3.19,3.2,3.07,3.19,1400,0.0,0,19,2010,3
2010-03-22,3.19,3.19,3.19,3.19,0,0.0,0,22,2010,3
2010-03-23,3.22,3.22,3.22,3.22,200,0.0,0,23,2010,3
2010-03-24,3.22,3.22,3.22,3.22,0,0.0,0,24,2010,3
2010-03-25,3.27,3.52,3.27,3.37,4000,0.0,0,25,2010,3
2010-03-26,3.4,3.51,3.35,3.35,2000,0.0,0,26,2010,3
