Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2017-10-26,9.16,9.16,9.16,9.16,0,0.0,0,26,2017,10
2017-11-06,13.3,13.47,13.21,13.3,504200,0.0,0,06,2017,11
2017-11-07,13.33,13.48,13.28,13.42,232100,0.0,0,07,2017,11
2017-11-08,13.34,13.43,13.18,13.21,105500,0.0,0,08,2017,11
2017-11-09,13.02,13.43,13.02,13.3,89400,0.0,0,09,2017,11
2017-11-10,13.17,13.23,13.04,13.14,600100,0.0,0,10,2017,11
2017-11-13,13.0,13.09,12.87,12.99,319500,0.0,0,13,2017,11
2017-11-14,12.96,12.99,12.87,12.98,489100,0.0,0,14,2017,11
2017-11-15,13.15,13.15,12.89,12.91,690800,0.0,0,15,2017,11
2017-11-16,12.87,12.96,12.87,12.89,393300,0.0,0,16,2017,11
2017-11-17,12.89,13.13,12.88,13.13,151600,0.0,0,17,2017,11
2017-11-20,13.09,13.11,13.01,13.04,135600,0.0,0,20,2017,11
2017-11-21,13.04,13.21,12.97,13.21,172600,0.0,0,21,2017,11
2017-11-22,13.21,13.25,13.15,13.17,90100,0.0,0,22,2017,11
2017-11-24,13.13,13.22,13.04,13.11,51400,0.0,0,24,2017,11
2017-11-27,12.94,13.18,12.94,13.13,598300,0.077,0,27,2017,11
2017-11-28,13.15,13.22,13.13,13.18,246800,0.0,0,28,2017,11
2017-11-29,13.15,13.28,13.15,13.22,511100,0.0,0,29,2017,11
2017-11-30,13.22,13.26,13.2,13.26,294000,0.0,0,30,2017,11
2017-12-01,13.25,13.28,13.13,13.24,328900,0.0,0,01,2017,12
2017-12-04,13.28,13.32,13.2,13.32,223100,0.0,0,04,2017,12
2017-12-05,13.39,13.39,13.15,13.19,180400,0.0,0,05,2017,12
2017-12-06,13.2,13.24,13.16,13.19,116800,0.0,0,06,2017,12
2017-12-07,13.19,13.28,13.16,13.24,152700,0.0,0,07,2017,12
2017-12-08,13.19,13.31,13.15,13.19,215100,0.0,0,08,2017,12
2017-12-11,13.16,13.2,13.14,13.16,191000,0.0,0,11,2017,12
2017-12-12,13.13,13.21,13.11,13.13,176800,0.0,0,12,2017,12
2017-12-13,13.11,13.29,13.11,13.25,177400,0.0,0,13,2017,12
2017-12-14,13.19,13.37,13.19,13.26,124700,0.0,0,14,2017,12
2017-12-15,13.25,13.31,13.22,13.24,98600,0.0,0,15,2017,12
2017-12-18,13.26,13.31,13.19,13.26,203600,0.0,0,18,2017,12
2017-12-19,13.24,13.31,13.22,13.3,136100,0.0,0,19,2017,12
2017-12-20,13.26,13.34,13.24,13.32,94100,0.0,0,20,2017,12
2017-12-21,13.35,13.48,13.35,13.42,112700,0.077,0,21,2017,12
2017-12-22,13.43,13.55,13.43,13.48,81100,0.0,0,22,2017,12
2017-12-26,13.37,13.48,13.36,13.47,81100,0.0,0,26,2017,12
2017-12-27,13.51,13.53,13.43,13.45,129600,0.0,0,27,2017,12
2017-12-28,13.44,13.52,13.25,13.45,288000,0.0,0,28,2017,12
2017-12-29,13.48,13.52,13.17,13.43,342800,0.0,0,29,2017,12
2018-01-02,13.25,13.49,13.25,13.48,89100,0.0,0,02,2018,1
2018-01-03,13.33,13.54,13.32,13.35,150100,0.0,0,03,2018,1
2018-01-04,13.41,13.51,13.37,13.51,200500,0.0,0,04,2018,1
2018-01-05,13.43,13.51,13.3,13.45,154600,0.0,0,05,2018,1
2018-01-08,13.51,13.56,13.42,13.42,369200,0.0,0,08,2018,1
2018-01-09,13.43,13.61,13.43,13.61,158400,0.0,0,09,2018,1
2018-01-10,13.61,13.61,13.48,13.55,65300,0.0,0,10,2018,1
2018-01-11,13.52,13.62,13.48,13.59,80300,0.0,0,11,2018,1
2018-01-12,13.62,13.65,13.48,13.49,148800,0.0,0,12,2018,1
2018-01-16,13.4,13.56,13.4,13.55,110300,0.0,0,16,2018,1
2018-01-17,13.56,13.56,13.47,13.48,246300,0.0,0,17,2018,1
2018-01-18,13.56,13.61,13.43,13.61,172600,0.0,0,18,2018,1
2018-01-19,13.61,13.61,13.44,13.5,265700,0.0,0,19,2018,1
2018-01-22,13.5,13.72,13.5,13.62,170400,0.077,0,22,2018,1
2018-01-23,13.59,13.63,13.55,13.6,120800,0.0,0,23,2018,1
2018-01-24,13.57,13.65,13.46,13.55,269600,0.0,0,24,2018,1
2018-01-25,13.52,13.61,13.5,13.61,138200,0.0,0,25,2018,1
2018-01-26,13.53,13.61,13.5,13.61,184600,0.0,0,26,2018,1
2018-01-29,13.59,13.72,13.59,13.66,108100,0.0,0,29,2018,1
2018-01-30,13.7,13.7,13.58,13.63,244700,0.0,0,30,2018,1
2018-01-31,13.68,13.73,13.55,13.73,151200,0.0,0,31,2018,1
2018-02-01,13.71,13.73,13.65,13.73,90700,0.0,0,01,2018,2
2018-02-02,13.72,13.72,13.52,13.59,68200,0.0,0,02,2018,2
2018-02-05,13.54,13.57,13.37,13.52,162100,0.0,0,05,2018,2
2018-02-06,13.5,13.59,13.34,13.59,158100,0.0,0,06,2018,2
2018-02-07,13.59,13.59,13.47,13.54,248700,0.0,0,07,2018,2
2018-02-08,13.58,13.58,13.37,13.46,165400,0.0,0,08,2018,2
2018-02-09,13.41,13.53,13.33,13.37,200900,0.0,0,09,2018,2
2018-02-12,13.34,13.46,13.28,13.38,125600,0.0,0,12,2018,2
2018-02-13,13.29,13.53,13.29,13.33,126700,0.0,0,13,2018,2
2018-02-14,13.35,13.59,13.33,13.48,103900,0.0,0,14,2018,2
2018-02-15,13.46,13.52,13.39,13.41,127300,0.0,0,15,2018,2
2018-02-16,13.41,13.5,13.41,13.46,110500,0.0,0,16,2018,2
2018-02-20,13.55,13.62,13.46,13.58,165600,0.077,0,20,2018,2
2018-02-21,13.66,14.53,13.65,14.21,1894400,0.0,0,21,2018,2
2018-02-22,14.3,14.37,14.09,14.16,725000,0.0,0,22,2018,2
2018-02-23,14.13,14.27,14.01,14.22,304500,0.0,0,23,2018,2
2018-02-26,14.23,14.23,14.09,14.19,353900,0.0,0,26,2018,2
2018-02-27,14.18,14.2,14.01,14.1,253500,0.0,0,27,2018,2
2018-02-28,14.14,14.14,13.86,14.03,447200,0.0,0,28,2018,2
2018-03-01,14.01,14.13,13.96,14.04,234700,0.0,0,01,2018,3
2018-03-02,14.01,14.06,13.86,13.87,359100,0.0,0,02,2018,3
2018-03-05,13.94,14.18,13.87,13.96,216400,0.0,0,05,2018,3
2018-03-06,13.92,14.06,13.9,13.92,352800,0.0,0,06,2018,3
2018-03-07,13.93,14.13,13.87,13.89,130600,0.0,0,07,2018,3
2018-03-08,13.94,14.15,13.93,14.09,126900,0.0,0,08,2018,3
2018-03-09,14.07,14.09,13.94,14.06,136000,0.0,0,09,2018,3
2018-03-12,14.01,14.04,13.93,13.97,76700,0.0,0,12,2018,3
2018-03-13,14.01,14.05,13.96,14.03,87300,0.0,0,13,2018,3
2018-03-14,14.1,14.1,13.94,13.97,108500,0.0,0,14,2018,3
2018-03-15,13.96,14.07,13.94,14.03,189000,0.0,0,15,2018,3
2018-03-16,14.09,14.11,13.99,14.09,221700,0.0,0,16,2018,3
2018-03-19,14.09,14.12,14.02,14.08,176300,0.0,0,19,2018,3
2018-03-20,14.08,14.14,14.01,14.09,236800,0.0,0,20,2018,3
2018-03-21,14.07,14.14,14.07,14.13,131000,0.077,0,21,2018,3
2018-03-22,14.07,14.14,14.07,14.13,125000,0.0,0,22,2018,3
2018-03-23,14.07,14.13,14.06,14.09,143400,0.0,0,23,2018,3
2018-03-26,14.07,14.12,14.03,14.08,175000,0.0,0,26,2018,3
2018-03-27,14.09,14.14,14.07,14.14,130700,0.0,0,27,2018,3
2018-03-28,14.21,14.21,14.0,14.07,254300,0.0,0,28,2018,3
2018-03-29,14.07,14.16,13.98,14.06,251300,0.0,0,29,2018,3
2018-04-02,14.21,14.21,14.01,14.07,205400,0.0,0,02,2018,4
2018-04-03,14.12,14.18,14.07,14.18,166600,0.0,0,03,2018,4
2018-04-04,14.12,14.21,14.1,14.15,95200,0.0,0,04,2018,4
2018-04-05,14.19,14.19,14.02,14.07,248500,0.0,0,05,2018,4
2018-04-06,14.13,14.14,14.05,14.09,94600,0.0,0,06,2018,4
2018-04-09,14.19,14.38,14.07,14.1,159000,0.0,0,09,2018,4
2018-04-10,14.1,14.16,14.1,14.14,50100,0.0,0,10,2018,4
2018-04-11,14.12,14.12,14.05,14.1,133100,0.0,0,11,2018,4
2018-04-12,14.08,14.14,14.05,14.09,114300,0.0,0,12,2018,4
2018-04-13,14.11,14.12,14.06,14.12,87800,0.0,0,13,2018,4
2018-04-16,14.12,14.28,14.02,14.18,244100,0.0,0,16,2018,4
2018-04-17,14.16,14.19,14.05,14.07,149100,0.0,0,17,2018,4
2018-04-18,14.06,14.13,14.06,14.11,128700,0.0,0,18,2018,4
2018-04-19,14.07,14.12,14.06,14.08,94800,0.0,0,19,2018,4
2018-04-20,14.1,14.13,14.05,14.11,133700,0.077,0,20,2018,4
2018-04-23,14.09,14.16,14.09,14.16,138400,0.0,0,23,2018,4
2018-04-24,14.16,14.2,14.12,14.19,308800,0.0,0,24,2018,4
2018-04-25,14.14,14.19,13.97,14.12,232800,0.0,0,25,2018,4
2018-04-26,14.07,14.19,14.04,14.16,126400,0.0,0,26,2018,4
2018-04-27,14.15,14.16,14.03,14.12,296500,0.0,0,27,2018,4
2018-04-30,14.14,14.21,14.02,14.09,218900,0.0,0,30,2018,4
2018-05-01,14.1,14.18,14.02,14.14,118800,0.0,0,01,2018,5
2018-05-02,14.18,14.18,14.07,14.13,157100,0.0,0,02,2018,5
2018-05-03,14.16,14.16,14.11,14.16,131000,0.0,0,03,2018,5
2018-05-04,14.14,14.14,14.07,14.12,251100,0.0,0,04,2018,5
2018-05-07,14.1,14.14,14.09,14.11,107200,0.0,0,07,2018,5
2018-05-08,14.14,14.15,14.1,14.12,198400,0.0,0,08,2018,5
2018-05-09,14.11,14.16,14.11,14.15,178900,0.0,0,09,2018,5
2018-05-10,14.17,14.17,14.1,14.14,156700,0.0,0,10,2018,5
2018-05-11,14.13,14.14,14.12,14.14,101500,0.0,0,11,2018,5
2018-05-14,14.16,14.17,14.12,14.14,113700,0.0,0,14,2018,5
2018-05-15,14.09,14.14,14.09,14.13,86400,0.0,0,15,2018,5
2018-05-16,14.14,14.16,14.1,14.14,141300,0.0,0,16,2018,5
2018-05-17,14.21,14.21,14.07,14.13,82300,0.0,0,17,2018,5
2018-05-18,14.12,14.14,14.08,14.1,89500,0.0,0,18,2018,5
2018-05-21,14.1,14.12,14.05,14.1,79600,0.0,0,21,2018,5
2018-05-22,14.12,14.17,14.1,14.12,112400,0.077,0,22,2018,5
2018-05-23,14.05,14.17,14.03,14.12,115000,0.0,0,23,2018,5
2018-05-24,14.1,14.13,14.08,14.1,73700,0.0,0,24,2018,5
2018-05-25,14.15,14.15,14.09,14.12,95600,0.0,0,25,2018,5
2018-05-29,14.17,14.18,14.09,14.15,82600,0.0,0,29,2018,5
2018-05-30,14.19,14.19,14.08,14.09,192600,0.0,0,30,2018,5
2018-05-31,14.21,14.21,14.07,14.1,83800,0.0,0,31,2018,5
2018-06-01,14.11,14.11,14.05,14.07,70800,0.0,0,01,2018,6
2018-06-04,14.08,14.09,14.03,14.07,91000,0.0,0,04,2018,6
2018-06-05,14.08,14.09,13.98,14.05,87300,0.0,0,05,2018,6
2018-06-06,14.11,14.11,13.95,14.07,184100,0.0,0,06,2018,6
2018-06-07,14.08,14.08,13.96,14.01,147600,0.0,0,07,2018,6
2018-06-08,14.03,14.03,13.93,13.97,193200,0.0,0,08,2018,6
2018-06-11,13.96,13.99,13.94,13.99,57000,0.0,0,11,2018,6
2018-06-12,14.01,14.05,13.96,13.98,88200,0.0,0,12,2018,6
2018-06-13,13.95,13.99,13.94,13.98,75500,0.0,0,13,2018,6
2018-06-14,13.95,14.01,13.87,13.89,223500,0.0,0,14,2018,6
2018-06-15,13.89,13.96,13.87,13.96,88400,0.0,0,15,2018,6
2018-06-18,13.96,13.96,13.9,13.95,133800,0.0,0,18,2018,6
2018-06-19,13.88,13.95,13.88,13.93,116400,0.0,0,19,2018,6
2018-06-20,13.94,13.99,13.93,13.97,67800,0.0,0,20,2018,6
2018-06-21,13.96,14.04,13.96,14.04,89500,0.077,0,21,2018,6
2018-06-22,14.02,14.06,13.99,13.99,87600,0.0,0,22,2018,6
2018-06-25,13.94,14.0,13.94,13.99,116600,0.0,0,25,2018,6
2018-06-26,14.0,14.0,13.98,13.98,82800,0.0,0,26,2018,6
2018-06-27,14.04,14.04,13.91,13.92,151800,0.0,0,27,2018,6
2018-06-28,13.94,13.94,13.83,13.91,82200,0.0,0,28,2018,6
2018-06-29,13.94,13.95,13.86,13.94,179800,0.0,0,29,2018,6
2018-07-02,13.94,13.94,13.88,13.91,113600,0.0,0,02,2018,7
2018-07-03,13.91,13.96,13.79,13.84,97600,0.0,0,03,2018,7
2018-07-05,13.78,13.82,13.74,13.81,130100,0.0,0,05,2018,7
2018-07-06,13.78,13.89,13.78,13.89,41000,0.0,0,06,2018,7
2018-07-09,13.87,14.06,13.87,14.05,91300,0.0,0,09,2018,7
2018-07-10,14.06,14.24,14.05,14.21,166100,0.0,0,10,2018,7
2018-07-11,14.15,14.24,14.15,14.23,120600,0.0,0,11,2018,7
2018-07-12,14.19,14.28,14.19,14.25,122300,0.0,0,12,2018,7
2018-07-13,14.24,14.28,14.2,14.24,137200,0.0,0,13,2018,7
2018-07-16,14.27,14.34,14.22,14.27,267700,0.0,0,16,2018,7
2018-07-17,14.28,14.31,14.14,14.17,84200,0.0,0,17,2018,7
2018-07-18,14.19,14.19,14.12,14.18,142400,0.0,0,18,2018,7
2018-07-19,14.15,14.28,14.07,14.14,196000,0.0,0,19,2018,7
2018-07-20,14.0,14.24,14.0,14.22,161300,0.077,0,20,2018,7
2018-07-23,14.15,14.35,14.13,14.27,73600,0.0,0,23,2018,7
2018-07-24,14.3,14.35,14.27,14.35,76500,0.0,0,24,2018,7
2018-07-25,14.3,14.33,14.17,14.27,147000,0.0,0,25,2018,7
2018-07-26,14.27,14.27,14.06,14.14,118000,0.0,0,26,2018,7
2018-07-27,14.09,14.26,14.08,14.26,91700,0.0,0,27,2018,7
2018-07-30,14.18,14.22,14.1,14.21,74200,0.0,0,30,2018,7
2018-07-31,14.14,14.3,14.14,14.3,99500,0.0,0,31,2018,7
2018-08-01,14.19,14.26,14.19,14.25,79400,0.0,0,01,2018,8
2018-08-02,14.22,14.28,14.1,14.22,83900,0.0,0,02,2018,8
2018-08-03,14.17,14.21,14.01,14.11,52300,0.0,0,03,2018,8
2018-08-06,14.18,14.35,14.04,14.23,155400,0.0,0,06,2018,8
2018-08-07,14.2,14.25,14.15,14.18,84600,0.0,0,07,2018,8
2018-08-08,14.17,14.21,14.13,14.21,51400,0.0,0,08,2018,8
2018-08-09,14.25,14.25,14.13,14.15,45900,0.0,0,09,2018,8
2018-08-10,14.05,14.13,14.04,14.08,64900,0.0,0,10,2018,8
2018-08-13,14.14,14.16,14.05,14.12,47900,0.0,0,13,2018,8
2018-08-14,14.06,14.13,14.04,14.13,77100,0.0,0,14,2018,8
2018-08-15,14.08,14.11,14.04,14.11,76800,0.0,0,15,2018,8
2018-08-16,14.11,14.34,13.87,14.34,101700,0.0,0,16,2018,8
2018-08-17,14.33,14.33,14.0,14.13,74200,0.0,0,17,2018,8
2018-08-20,14.1,14.14,13.97,14.07,85100,0.0,0,20,2018,8
2018-08-21,14.03,14.08,13.88,14.02,231000,0.0,0,21,2018,8
2018-08-22,14.01,14.18,14.01,14.18,73100,0.077,0,22,2018,8
