Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2014-11-26,11.26,11.31,11.26,11.29,23800,0.0,0,26,2014,11
2014-11-28,11.29,11.31,11.29,11.31,6400,0.0,0,28,2014,11
2014-12-01,11.31,11.46,11.26,11.26,50700,0.0,0,01,2014,12
2014-12-02,11.26,11.31,11.26,11.26,31900,0.0,0,02,2014,12
2014-12-03,11.31,11.36,11.26,11.31,38500,0.0,0,03,2014,12
2014-12-04,11.34,11.48,11.31,11.31,29300,0.0,0,04,2014,12
2014-12-05,11.45,11.68,11.4,11.68,39600,0.0,0,05,2014,12
2014-12-08,12.1,12.67,11.53,11.6,49100,0.0,0,08,2014,12
2014-12-09,12.67,12.67,11.57,11.76,48300,0.0,0,09,2014,12
2014-12-10,11.71,12.27,11.45,12.16,35200,0.0,0,10,2014,12
2014-12-11,12.1,12.24,11.75,11.85,36200,0.0,0,11,2014,12
2014-12-12,11.43,11.78,11.43,11.74,21500,0.0,0,12,2014,12
2014-12-15,11.82,11.82,11.64,11.7,28400,0.0,0,15,2014,12
2014-12-16,11.82,12.21,11.28,12.08,46500,0.0,0,16,2014,12
2014-12-17,11.94,11.94,11.26,11.26,125200,0.0,0,17,2014,12
2014-12-18,11.36,11.42,11.29,11.4,39200,0.0,0,18,2014,12
2014-12-19,11.45,11.53,11.38,11.43,15900,0.0,0,19,2014,12
2014-12-22,11.38,11.43,11.26,11.26,90700,0.0,0,22,2014,12
2014-12-23,11.27,11.34,11.26,11.26,40300,0.0,0,23,2014,12
2014-12-24,11.26,11.31,11.26,11.26,24700,0.0,0,24,2014,12
2014-12-26,11.26,11.31,11.26,11.28,33000,0.0,0,26,2014,12
2014-12-29,11.23,11.48,11.19,11.31,384400,0.0,0,29,2014,12
2014-12-30,11.28,11.48,11.26,11.26,72800,0.0,0,30,2014,12
2014-12-31,11.34,11.37,11.26,11.26,89800,0.0,0,31,2014,12
2015-01-02,11.2,11.38,11.2,11.2,104300,0.0,0,02,2015,1
2015-01-05,11.2,11.2,11.12,11.12,99600,0.0,0,05,2015,1
2015-01-06,11.03,11.08,10.98,10.98,88100,0.0,0,06,2015,1
2015-01-07,10.92,10.94,10.89,10.92,112800,0.0,0,07,2015,1
2015-01-08,10.86,10.98,10.84,10.96,72600,0.0,0,08,2015,1
2015-01-09,10.88,11.09,10.79,11.03,53600,0.0,0,09,2015,1
2015-01-12,10.99,11.45,10.99,11.21,22600,0.0,0,12,2015,1
2015-01-13,11.21,11.23,10.86,10.93,106600,0.0,0,13,2015,1
