Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,3.04,3.11,3.04,3.08,587300,0.0,0,04,2010,1
2010-01-05,3.07,3.12,3.05,3.12,433500,0.0,0,05,2010,1
2010-01-06,3.09,3.15,3.09,3.15,588900,0.0,0,06,2010,1
2010-01-07,3.14,3.24,3.13,3.24,580500,0.0,0,07,2010,1
2010-01-08,3.23,3.28,3.21,3.28,530900,0.0,0,08,2010,1
2010-01-11,3.26,3.28,3.26,3.28,449700,0.0,0,11,2010,1
2010-01-12,3.26,3.28,3.25,3.26,532000,0.0,0,12,2010,1
2010-01-13,3.26,3.37,3.26,3.37,623600,0.0,0,13,2010,1
2010-01-14,3.33,3.36,3.28,3.34,550600,0.0,0,14,2010,1
2010-01-15,3.34,3.35,3.28,3.35,353800,0.0,0,15,2010,1
2010-01-19,3.34,3.38,3.33,3.37,502000,0.0,0,19,2010,1
2010-01-20,3.35,3.35,3.3,3.32,351200,0.045,0,20,2010,1
2010-01-21,3.34,3.35,3.26,3.27,425600,0.0,0,21,2010,1
2010-01-22,3.27,3.29,3.19,3.2,512700,0.0,0,22,2010,1
2010-01-25,3.28,3.28,3.19,3.25,347200,0.0,0,25,2010,1
2010-01-26,3.23,3.28,3.21,3.26,347800,0.0,0,26,2010,1
2010-01-27,3.26,3.26,3.14,3.17,368500,0.0,0,27,2010,1
2010-01-28,3.17,3.23,3.14,3.19,388000,0.0,0,28,2010,1
2010-01-29,3.26,3.28,3.18,3.19,428400,0.0,0,29,2010,1
2010-02-01,3.26,3.28,3.19,3.25,477400,0.0,0,01,2010,2
2010-02-02,3.27,3.38,3.25,3.36,511100,0.0,0,02,2010,2
2010-02-03,3.31,3.36,3.3,3.36,363500,0.0,0,03,2010,2
2010-02-04,3.33,3.33,3.18,3.18,406200,0.0,0,04,2010,2
2010-02-05,3.14,3.24,2.95,3.06,872200,0.0,0,05,2010,2
2010-02-08,3.06,3.13,3.02,3.08,313500,0.0,0,08,2010,2
2010-02-09,3.11,3.13,3.06,3.11,268200,0.0,0,09,2010,2
2010-02-10,3.13,3.13,3.05,3.12,203300,0.0,0,10,2010,2
2010-02-11,3.13,3.16,3.07,3.1,321600,0.0,0,11,2010,2
2010-02-12,3.08,3.17,3.07,3.17,264600,0.0,0,12,2010,2
2010-02-16,3.18,3.21,3.16,3.2,369900,0.0,0,16,2010,2
2010-02-17,3.26,3.28,3.24,3.27,348900,0.0,0,17,2010,2
2010-02-18,3.28,3.3,3.26,3.28,257900,0.045,0,18,2010,2
2010-02-19,3.28,3.31,3.26,3.3,266800,0.0,0,19,2010,2
2010-02-22,3.3,3.31,3.24,3.24,311500,0.0,0,22,2010,2
2010-02-23,3.24,3.26,3.12,3.16,672900,0.0,0,23,2010,2
2010-02-24,3.16,3.21,3.16,3.17,421200,0.0,0,24,2010,2
2010-02-25,3.15,3.16,3.1,3.15,530900,0.0,0,25,2010,2
2010-02-26,3.18,3.26,3.17,3.25,318100,0.0,0,26,2010,2
2010-03-01,3.4,3.4,3.27,3.34,379300,0.0,0,01,2010,3
2010-03-02,3.32,3.36,3.32,3.35,436200,0.0,0,02,2010,3
2010-03-03,3.39,3.39,3.32,3.36,366300,0.0,0,03,2010,3
2010-03-04,3.35,3.37,3.34,3.37,259000,0.0,0,04,2010,3
2010-03-05,3.38,3.41,3.35,3.41,249400,0.0,0,05,2010,3
2010-03-08,3.41,3.42,3.38,3.39,295300,0.0,0,08,2010,3
2010-03-09,3.37,3.45,3.37,3.45,458500,0.0,0,09,2010,3
2010-03-10,3.46,3.46,3.41,3.42,441100,0.0,0,10,2010,3
2010-03-11,3.44,3.45,3.42,3.42,349100,0.0,0,11,2010,3
2010-03-12,3.44,3.48,3.44,3.48,354900,0.0,0,12,2010,3
2010-03-15,3.5,3.5,3.43,3.45,266900,0.0,0,15,2010,3
2010-03-16,3.44,3.48,3.44,3.45,434000,0.0,0,16,2010,3
2010-03-17,3.47,3.59,3.47,3.58,624900,0.0,0,17,2010,3
2010-03-18,3.57,3.63,3.57,3.62,418900,0.045,0,18,2010,3
2010-03-19,3.58,3.61,3.55,3.58,386000,0.0,0,19,2010,3
2010-03-22,3.57,3.57,3.54,3.55,305600,0.0,0,22,2010,3
2010-03-23,3.57,3.58,3.53,3.58,453100,0.0,0,23,2010,3
2010-03-24,3.58,3.58,3.54,3.57,415900,0.0,0,24,2010,3
2010-03-25,3.58,3.66,3.57,3.62,439000,0.0,0,25,2010,3
2010-03-26,3.62,3.67,3.61,3.67,409200,0.0,0,26,2010,3
2010-03-29,3.71,3.8,3.68,3.8,637200,0.0,0,29,2010,3
2010-03-30,3.79,3.8,3.71,3.72,350700,0.0,0,30,2010,3
2010-03-31,3.73,3.73,3.66,3.69,488900,0.0,0,31,2010,3
2010-04-01,3.74,3.8,3.72,3.78,429400,0.0,0,01,2010,4
2010-04-05,3.76,3.79,3.68,3.7,604400,0.0,0,05,2010,4
2010-04-06,3.71,3.73,3.68,3.73,541500,0.0,0,06,2010,4
2010-04-07,3.74,3.75,3.64,3.65,472800,0.0,0,07,2010,4
2010-04-08,3.64,3.66,3.57,3.66,331200,0.0,0,08,2010,4
2010-04-09,3.67,3.71,3.64,3.71,425800,0.0,0,09,2010,4
2010-04-12,3.73,3.74,3.71,3.71,497900,0.0,0,12,2010,4
2010-04-13,3.74,3.74,3.67,3.7,460800,0.0,0,13,2010,4
2010-04-14,3.72,3.75,3.68,3.72,348100,0.0,0,14,2010,4
