Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,8.2,8.31,8.15,8.25,3953200,0.0,0,04,2010,1
2010-01-05,8.5,8.6,8.38,8.46,3482200,0.0,0,05,2010,1
2010-01-06,8.4,8.5,8.38,8.41,3737000,0.0,0,06,2010,1
2010-01-07,8.55,8.67,8.46,8.65,3355100,0.0,0,07,2010,1
2010-01-08,8.69,8.88,8.66,8.87,3144300,0.0,0,08,2010,1
2010-01-11,8.87,8.9,8.65,8.74,2082100,0.0,0,11,2010,1
2010-01-12,8.49,8.63,8.45,8.49,2619300,0.0,0,12,2010,1
2010-01-13,8.65,8.71,8.53,8.66,2145000,0.0,0,13,2010,1
2010-01-14,8.7,8.74,8.65,8.69,2350300,0.0,0,14,2010,1
2010-01-15,8.49,8.5,8.34,8.4,2298300,0.0,0,15,2010,1
2010-01-19,8.24,8.48,8.23,8.47,2256800,0.0,0,19,2010,1
2010-01-20,8.16,8.17,7.82,7.95,4530600,0.0,0,20,2010,1
2010-01-21,7.95,8.03,7.55,7.57,5325400,0.0,0,21,2010,1
2010-01-22,7.48,7.72,7.41,7.41,4347700,0.0,0,22,2010,1
2010-01-25,7.72,7.76,7.6,7.69,2614000,0.0,0,25,2010,1
2010-01-26,7.45,7.64,7.41,7.48,2121200,0.0,0,26,2010,1
2010-01-27,7.48,7.59,7.35,7.58,3085500,0.0,0,27,2010,1
2010-01-28,7.58,7.58,7.32,7.39,3046300,0.0,0,28,2010,1
2010-01-29,7.54,7.6,7.38,7.42,2804100,0.0,0,29,2010,1
2010-02-01,7.7,7.79,7.66,7.74,2504000,0.0,0,01,2010,2
2010-02-02,7.97,8.07,7.9,8.04,2376600,0.0,0,02,2010,2
2010-02-03,8.04,8.09,7.93,7.99,2557700,0.0,0,03,2010,2
2010-02-04,7.64,7.65,7.18,7.19,5591300,0.0,0,04,2010,2
2010-02-05,7.04,7.09,6.62,6.88,5851900,0.0,0,05,2010,2
2010-02-08,6.65,6.73,6.47,6.51,7636800,0.0,0,08,2010,2
2010-02-09,6.97,7.07,6.77,6.95,9219000,0.0,0,09,2010,2
2010-02-10,7.07,7.13,6.92,7.11,3590500,0.0,0,10,2010,2
2010-02-11,6.89,7.0,6.7,6.98,3620700,0.0,0,11,2010,2
2010-02-12,6.7,6.9,6.66,6.9,3139200,0.0,0,12,2010,2
2010-02-16,6.94,7.13,6.85,7.07,2748300,0.0,0,16,2010,2
2010-02-17,7.36,7.41,7.28,7.34,3280000,0.0,0,17,2010,2
2010-02-18,7.35,7.47,7.33,7.45,1831900,0.0,0,18,2010,2
2010-02-19,7.26,7.37,7.19,7.37,2258000,0.0,0,19,2010,2
2010-02-22,7.52,7.53,7.4,7.41,2292400,0.0,0,22,2010,2
2010-02-23,7.3,7.31,6.99,7.04,3254000,0.0,0,23,2010,2
2010-02-24,7.16,7.3,7.1,7.23,1926700,0.0,0,24,2010,2
2010-02-25,6.88,6.96,6.79,6.96,4350700,0.0,0,25,2010,2
2010-02-26,6.98,7.11,6.85,7.05,2595400,0.0,0,26,2010,2
2010-03-01,7.29,7.43,7.24,7.39,5348100,0.0,0,01,2010,3
2010-03-02,7.41,7.45,7.34,7.4,2396300,0.0,0,02,2010,3
2010-03-03,7.56,7.69,7.52,7.59,2781400,0.0,0,03,2010,3
2010-03-04,7.71,7.75,7.6,7.66,2045000,0.0,0,04,2010,3
2010-03-05,7.8,8.01,7.78,7.99,2935500,0.0,0,05,2010,3
2010-03-08,7.87,7.91,7.82,7.88,1871800,0.0,0,08,2010,3
2010-03-09,7.75,7.92,7.73,7.86,1943000,0.0,0,09,2010,3
2010-03-10,7.84,7.93,7.82,7.87,2600300,0.0,0,10,2010,3
2010-03-11,7.93,7.98,7.86,7.97,1909700,0.0,0,11,2010,3
2010-03-12,8.04,8.05,7.88,7.9,1532100,0.0,0,12,2010,3
2010-03-15,7.83,7.86,7.67,7.78,1799900,0.0,0,15,2010,3
2010-03-16,7.85,7.95,7.79,7.92,2110500,0.0,0,16,2010,3
2010-03-17,8.01,8.14,8.01,8.09,2356300,0.0,0,17,2010,3
2010-03-18,7.97,7.99,7.83,7.95,1595900,0.0,0,18,2010,3
2010-03-19,7.75,7.91,7.7,7.75,2576300,0.0,0,19,2010,3
2010-03-22,7.49,7.69,7.47,7.66,2146500,0.0,0,22,2010,3
2010-03-23,7.72,7.85,7.68,7.84,2562400,0.0,0,23,2010,3
2010-03-24,7.63,7.67,7.56,7.62,2439700,0.0,0,24,2010,3
2010-03-25,7.78,7.85,7.69,7.71,2395900,0.0,0,25,2010,3
2010-03-26,7.83,7.9,7.76,7.79,1616400,0.0,0,26,2010,3
2010-03-29,7.9,7.93,7.84,7.9,1410400,0.0,0,29,2010,3
2010-03-30,7.92,7.94,7.79,7.81,1409600,0.0,0,30,2010,3
2010-03-31,7.84,7.93,7.77,7.86,1611500,0.0,0,31,2010,3
2010-04-01,8.19,8.29,8.16,8.29,3013700,0.0,0,01,2010,4
2010-04-05,8.34,8.38,8.21,8.31,1984400,0.0,0,05,2010,4
2010-04-06,8.23,8.39,8.22,8.38,1435100,0.0,0,06,2010,4
2010-04-07,8.12,8.19,8.05,8.05,2597700,0.0,0,07,2010,4
2010-04-08,7.92,7.97,7.85,7.97,6696900,0.0,0,08,2010,4
2010-04-09,7.97,8.1,7.97,8.09,7144300,0.0,0,09,2010,4
2010-04-12,8.19,8.22,8.09,8.1,4788800,0.0,0,12,2010,4
2010-04-13,8.17,8.23,8.05,8.2,5437100,0.0,0,13,2010,4
2010-04-14,8.27,8.42,8.24,8.42,2870900,0.0,0,14,2010,4
2010-04-15,8.29,8.39,8.27,8.37,1993700,0.0,0,15,2010,4
2010-04-16,8.27,8.31,7.94,7.97,3516700,0.0,0,16,2010,4
2010-04-19,7.79,7.93,7.78,7.92,2835700,0.0,0,19,2010,4
2010-04-20,8.11,8.13,8.03,8.11,2212800,0.0,0,20,2010,4
2010-04-21,7.92,7.96,7.79,7.86,2804900,0.0,0,21,2010,4
2010-04-22,7.64,7.81,7.54,7.8,3325900,0.0,0,22,2010,4
2010-04-23,7.59,7.7,7.54,7.7,3857200,0.0,0,23,2010,4
2010-04-26,7.78,7.82,7.71,7.72,1775500,0.0,0,26,2010,4
2010-04-27,7.58,7.66,7.18,7.18,7779700,0.0,0,27,2010,4
2010-04-28,7.19,7.22,6.9,7.0,8298300,0.0,0,28,2010,4
2010-04-29,7.11,7.18,7.03,7.11,4646700,0.0,0,29,2010,4
2010-04-30,7.24,7.29,7.0,7.0,7437300,0.0,0,30,2010,4
2010-05-03,7.15,7.26,7.14,7.22,3083200,0.0,0,03,2010,5
2010-05-04,6.74,6.75,6.51,6.62,9465600,0.0,0,04,2010,5
2010-05-05,6.41,6.63,6.36,6.44,8206400,0.0,0,05,2010,5
2010-05-06,6.24,6.32,5.35,5.77,12396600,0.0,0,06,2010,5
2010-05-07,5.72,5.82,5.36,5.57,12450800,0.0,0,07,2010,5
2010-05-10,6.77,7.11,6.74,6.98,15519900,0.0,0,10,2010,5
2010-05-11,6.54,6.95,6.51,6.73,7236600,0.0,0,11,2010,5
2010-05-12,7.09,7.15,6.96,7.03,5009700,0.0,0,12,2010,5
2010-05-13,7.07,7.08,6.89,6.94,3925500,0.0,0,13,2010,5
2010-05-14,6.86,6.87,6.52,6.65,6786100,0.0,0,14,2010,5
2010-05-17,6.75,6.81,6.39,6.64,4199100,0.0,0,17,2010,5
2010-05-18,6.9,6.92,6.37,6.41,4924600,0.0,0,18,2010,5
2010-05-19,6.4,6.56,6.3,6.54,5915500,0.0,0,19,2010,5
2010-05-20,6.14,6.32,5.96,6.12,7064700,0.0,0,20,2010,5
2010-05-21,6.05,6.48,6.02,6.48,9508600,0.0,0,21,2010,5
2010-05-24,6.26,6.3,6.1,6.11,4478100,0.0,0,24,2010,5
2010-05-25,5.68,6.02,5.64,6.02,6492600,0.0,0,25,2010,5
2010-05-26,6.02,6.12,5.86,5.86,5542000,0.0,0,26,2010,5
2010-05-27,6.25,6.45,6.17,6.43,6734500,0.0,0,27,2010,5
2010-05-28,6.38,6.4,6.2,6.25,4736900,0.0,0,28,2010,5
2010-06-01,6.03,6.35,6.02,6.06,4169100,0.0,0,01,2010,6
2010-06-02,6.09,6.32,6.04,6.29,4369900,0.0,0,02,2010,6
2010-06-03,6.38,6.4,6.21,6.31,2915500,0.0,0,03,2010,6
2010-06-04,5.91,5.98,5.8,5.86,8627100,0.0,0,04,2010,6
2010-06-07,5.86,5.88,5.63,5.66,7194600,0.0,0,07,2010,6
2010-06-08,5.62,5.76,5.54,5.72,5931100,0.0,0,08,2010,6
2010-06-09,5.83,5.88,5.64,5.67,4564200,0.0,0,09,2010,6
2010-06-10,5.97,6.17,5.95,6.13,5139800,0.0,0,10,2010,6
2010-06-11,6.02,6.23,6.02,6.17,2486700,0.0,0,11,2010,6
2010-06-14,6.38,6.43,6.28,6.29,3489900,0.0,0,14,2010,6
2010-06-15,6.46,6.67,6.42,6.66,2917000,0.0,0,15,2010,6
2010-06-16,6.58,6.71,6.53,6.68,3572800,0.0,0,16,2010,6
2010-06-17,6.72,6.77,6.66,6.77,2942800,0.0,0,17,2010,6
2010-06-18,6.74,6.77,6.69,6.71,1332000,0.0,0,18,2010,6
2010-06-21,6.86,6.88,6.64,6.7,2063400,0.0,0,21,2010,6
2010-06-22,6.67,6.73,6.51,6.53,2819100,0.0,0,22,2010,6
2010-06-23,6.6,6.66,6.47,6.62,2327900,0.0,0,23,2010,6
2010-06-24,6.56,6.58,6.36,6.41,2493200,0.0,0,24,2010,6
2010-06-25,6.34,6.43,6.23,6.36,2962800,0.0,0,25,2010,6
2010-06-28,6.4,6.49,6.32,6.36,1372700,0.0,0,28,2010,6
2010-06-29,6.08,6.08,5.91,5.93,4029900,0.0,0,29,2010,6
2010-06-30,5.97,6.04,5.82,5.85,2579800,0.0,0,30,2010,6
2010-07-01,6.0,6.03,5.82,6.03,3657800,0.0,0,01,2010,7
2010-07-02,6.17,6.21,5.93,6.02,3077100,0.0,0,02,2010,7
2010-07-06,6.34,6.39,6.16,6.25,4386300,0.0,0,06,2010,7
2010-07-07,6.34,6.67,6.31,6.65,4333000,0.0,0,07,2010,7
2010-07-08,6.81,6.91,6.77,6.89,3796500,0.0,0,08,2010,7
2010-07-09,6.78,6.94,6.75,6.94,2381800,0.0,0,09,2010,7
2010-07-12,6.85,6.94,6.77,6.87,1303500,0.0,0,12,2010,7
2010-07-13,7.0,7.11,7.0,7.07,2100500,0.0,0,13,2010,7
2010-07-14,6.98,7.1,6.95,7.06,1858900,0.0,0,14,2010,7
2010-07-15,7.09,7.1,6.85,7.04,2280600,0.0,0,15,2010,7
2010-07-16,6.84,6.84,6.59,6.6,2649100,0.0,0,16,2010,7
2010-07-19,6.82,6.85,6.65,6.76,2789400,0.0,0,19,2010,7
2010-07-20,6.51,6.72,6.49,6.71,2687600,0.0,0,20,2010,7
2010-07-21,6.84,6.86,6.59,6.62,2588100,0.0,0,21,2010,7
2010-07-22,6.99,7.11,6.99,7.1,2979800,0.0,0,22,2010,7
2010-07-23,6.98,7.16,6.93,7.15,3621700,0.0,0,23,2010,7
2010-07-26,7.29,7.47,7.22,7.46,5841900,0.0,0,26,2010,7
2010-07-27,7.82,7.85,7.67,7.74,5567100,0.0,0,27,2010,7
2010-07-28,7.79,7.81,7.63,7.68,3158300,0.0,0,28,2010,7
2010-07-29,7.97,8.03,7.82,7.91,8469300,0.0,0,29,2010,7
2010-07-30,7.59,7.74,7.55,7.6,4609900,0.0,0,30,2010,7
2010-08-02,8.0,8.17,7.97,8.16,4748400,0.0,0,02,2010,8
2010-08-03,8.06,8.12,7.95,8.05,2596600,0.0,0,03,2010,8
2010-08-04,8.03,8.12,7.95,8.01,1945000,0.0,0,04,2010,8
2010-08-05,8.05,8.1,7.97,8.1,2007300,0.0,0,05,2010,8
2010-08-06,7.95,8.11,7.9,8.05,2051900,0.0,0,06,2010,8
2010-08-09,8.1,8.15,8.05,8.11,1032700,0.0,0,09,2010,8
