Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,6.02,6.31,5.99,6.3,194100,0,0,04,2010,1
2010-01-05,6.27,6.37,6.23,6.31,83800,0,0,05,2010,1
2010-01-06,6.34,6.52,6.31,6.49,163200,0,0,06,2010,1
2010-01-07,6.5,7.17,6.35,7.15,225400,0,0,07,2010,1
2010-01-08,7.09,7.22,6.85,7.12,164100,0,0,08,2010,1
2010-01-11,7.18,7.18,6.91,6.98,347500,0,0,11,2010,1
2010-01-12,6.92,7.26,6.83,7.23,509000,0,0,12,2010,1
2010-01-13,7.28,7.45,7.14,7.31,248100,0,0,13,2010,1
2010-01-14,7.26,7.38,7.18,7.22,57900,0,0,14,2010,1
2010-01-15,7.26,7.35,6.95,6.98,156400,0,0,15,2010,1
2010-01-19,7.02,7.16,6.98,7.15,165400,0,0,19,2010,1
2010-01-20,7.05,7.21,6.91,7.05,129900,0,0,20,2010,1
2010-01-21,7.09,7.18,6.87,6.88,112700,0,0,21,2010,1
2010-01-22,6.92,7.09,6.68,6.75,197900,0,0,22,2010,1
2010-01-25,6.85,6.86,6.38,6.38,182700,0,0,25,2010,1
2010-01-26,6.33,6.44,6.06,6.09,340800,0,0,26,2010,1
2010-01-27,6.05,6.22,5.9,5.98,416800,0,0,27,2010,1
2010-01-28,6.01,6.08,5.65,5.85,151400,0,0,28,2010,1
2010-01-29,5.87,6.0,5.73,5.73,118900,0,0,29,2010,1
2010-02-01,5.76,5.82,5.53,5.7,172500,0,0,01,2010,2
2010-02-02,5.7,5.87,5.7,5.84,258700,0,0,02,2010,2
2010-02-03,5.8,5.88,5.66,5.71,160300,0,0,03,2010,2
2010-02-04,5.63,5.76,5.44,5.47,148500,0,0,04,2010,2
2010-02-05,5.5,5.58,5.3,5.52,80700,0,0,05,2010,2
2010-02-08,5.51,5.87,5.35,5.79,197100,0,0,08,2010,2
2010-02-09,5.88,5.88,5.55,5.57,114400,0,0,09,2010,2
2010-02-10,5.54,5.54,5.35,5.4,179400,0,0,10,2010,2
2010-02-11,5.36,5.55,5.31,5.51,122000,0,0,11,2010,2
2010-02-12,5.45,5.7,5.43,5.69,103200,0,0,12,2010,2
2010-02-16,5.77,6.15,5.69,6.07,222000,0,0,16,2010,2
2010-02-17,5.9,5.93,5.1,5.79,373900,0,0,17,2010,2
2010-02-18,5.68,5.83,5.51,5.81,124000,0,0,18,2010,2
2010-02-19,5.8,5.96,5.64,5.96,176700,0,0,19,2010,2
2010-02-22,5.97,6.0,5.65,5.67,153800,0,0,22,2010,2
2010-02-23,5.64,5.64,5.29,5.36,279100,0,0,23,2010,2
2010-02-24,5.37,5.44,5.05,5.18,307600,0,0,24,2010,2
2010-02-25,5.09,5.28,5.01,5.28,139200,0,0,25,2010,2
2010-02-26,5.69,5.75,5.51,5.67,293500,0,0,26,2010,2
2010-03-01,5.73,5.83,5.58,5.66,170900,0,0,01,2010,3
2010-03-02,5.69,5.72,5.55,5.61,130900,0,0,02,2010,3
2010-03-03,5.64,5.64,5.37,5.39,163400,0,0,03,2010,3
2010-03-04,5.42,5.46,5.35,5.4,301400,0,0,04,2010,3
2010-03-05,5.43,5.56,5.39,5.53,437300,0,0,05,2010,3
2010-03-08,5.53,5.57,5.38,5.39,92700,0,0,08,2010,3
2010-03-09,5.38,5.45,5.34,5.41,171200,0,0,09,2010,3
2010-03-10,5.41,5.46,5.36,5.4,140500,0,0,10,2010,3
2010-03-11,5.39,5.4,5.3,5.34,285800,0,0,11,2010,3
2010-03-12,5.4,5.4,5.21,5.3,162900,0,0,12,2010,3
2010-03-15,5.3,5.32,5.06,5.2,85100,0,0,15,2010,3
2010-03-16,5.21,5.27,5.04,5.15,332500,0,0,16,2010,3
2010-03-17,5.15,5.25,5.11,5.18,164400,0,0,17,2010,3
2010-03-18,5.16,5.19,4.95,5.14,330400,0,0,18,2010,3
2010-03-19,5.2,5.24,5.1,5.2,224200,0,0,19,2010,3
2010-03-22,5.13,5.5,5.13,5.47,415900,0,0,22,2010,3
2010-03-23,5.49,5.5,5.35,5.42,165900,0,0,23,2010,3
