Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2013-03-18,17.5,17.5,17.45,17.45,512700,0.0,0,18,2013,3
2013-03-19,17.47,17.5,17.41,17.48,497600,0.0,0,19,2013,3
2013-03-20,17.46,17.56,17.43,17.53,249000,0.0,0,20,2013,3
2013-03-21,17.52,17.54,17.46,17.5,134300,0.0,0,21,2013,3
2013-03-22,17.55,17.67,17.53,17.57,109800,0.0,0,22,2013,3
2013-03-25,17.63,17.63,17.51,17.55,62400,0.0,0,25,2013,3
2013-03-26,17.55,17.61,17.5,17.56,81000,0.0,0,26,2013,3
2013-03-27,17.59,17.59,17.53,17.58,39400,0.0,0,27,2013,3
2013-03-28,17.63,17.69,17.59,17.66,65200,0.0,0,28,2013,3
2013-04-01,17.72,17.73,17.66,17.71,32000,0.0,0,01,2013,4
2013-04-02,17.68,17.81,17.64,17.72,90500,0.0,0,02,2013,4
2013-04-03,17.75,17.75,17.69,17.71,65300,0.0,0,03,2013,4
2013-04-04,17.7,17.77,17.68,17.73,89100,0.0,0,04,2013,4
2013-04-05,17.72,17.77,17.71,17.76,76300,0.0,0,05,2013,4
2013-04-08,17.81,17.88,17.79,17.88,83800,0.0,0,08,2013,4
2013-04-09,17.91,17.91,17.78,17.89,17100,0.0,0,09,2013,4
2013-04-10,17.88,17.91,17.85,17.91,81600,0.0,0,10,2013,4
2013-04-11,17.91,17.91,17.85,17.87,32700,0.0,0,11,2013,4
2013-04-12,17.9,18.0,17.85,17.99,56600,0.0,0,12,2013,4
2013-04-15,17.98,18.1,17.92,17.95,99300,0.0,0,15,2013,4
2013-04-16,18.05,18.07,17.99,18.01,94900,0.0,0,16,2013,4
2013-04-17,18.06,18.1,17.98,18.06,277000,0.0,0,17,2013,4
2013-04-18,18.08,18.11,18.01,18.01,134000,0.0,0,18,2013,4
2013-04-19,18.08,18.1,17.86,17.86,739900,0.0,0,19,2013,4
2013-04-22,17.94,17.99,17.87,17.89,29200,0.0,0,22,2013,4
2013-04-23,18.01,18.01,17.75,17.78,44000,0.0,0,23,2013,4
2013-04-24,17.83,17.85,17.78,17.83,24400,0.0,0,24,2013,4
2013-04-25,17.83,17.89,17.78,17.89,24500,0.0,0,25,2013,4
2013-04-26,17.89,17.94,17.85,17.93,20600,0.0,0,26,2013,4
2013-04-29,17.92,17.92,17.85,17.89,9400,0.0,0,29,2013,4
2013-04-30,17.92,17.92,17.85,17.87,33300,0.0,0,30,2013,4
2013-05-01,17.88,17.94,17.87,17.91,6700,0.0,0,01,2013,5
2013-05-02,17.94,17.95,17.9,17.93,18400,0.0,0,02,2013,5
2013-05-03,17.98,18.0,17.92,17.92,14800,0.0,0,03,2013,5
2013-05-06,17.92,17.95,17.92,17.95,18400,0.0,0,06,2013,5
2013-05-07,17.98,18.18,17.97,18.18,21600,0.0,0,07,2013,5
2013-05-08,18.15,18.28,18.08,18.27,94600,0.0,0,08,2013,5
2013-05-09,18.17,18.22,18.17,18.2,7700,0.0,0,09,2013,5
2013-05-10,18.2,18.36,18.06,18.19,16400,0.0,0,10,2013,5
2013-05-13,18.28,18.29,18.18,18.2,24200,0.0,0,13,2013,5
2013-05-14,18.24,18.24,18.05,18.13,18900,0.0,0,14,2013,5
2013-05-15,18.08,18.08,17.96,18.02,16900,0.0,0,15,2013,5
2013-05-16,17.99,18.17,17.99,18.17,10000,0.0,0,16,2013,5
2013-05-17,18.09,18.2,18.09,18.2,3800,0.0,0,17,2013,5
2013-05-20,18.19,18.22,18.16,18.16,5300,0.0,0,20,2013,5
2013-05-21,18.22,18.22,18.09,18.1,15900,0.0,0,21,2013,5
2013-05-22,18.17,18.23,18.04,18.04,18900,0.0,0,22,2013,5
2013-05-23,18.09,18.13,18.03,18.13,10100,0.0,0,23,2013,5
2013-05-24,18.13,18.17,18.08,18.17,8900,0.0,0,24,2013,5
2013-05-28,18.2,18.33,18.17,18.17,9600,0.0,0,28,2013,5
2013-05-29,18.31,18.31,18.06,18.06,39200,0.305,0,29,2013,5
2013-05-30,18.11,18.11,17.92,18.04,8200,0.0,0,30,2013,5
2013-05-31,18.06,18.06,17.81,17.81,4800,0.0,0,31,2013,5
2013-06-03,17.88,17.88,17.5,17.68,78300,0.0,0,03,2013,6
2013-06-04,17.7,17.75,17.64,17.7,43100,0.0,0,04,2013,6
2013-06-05,17.71,17.71,17.38,17.48,14100,0.0,0,05,2013,6
2013-06-06,17.48,17.58,17.48,17.53,53700,0.0,0,06,2013,6
2013-06-07,17.59,17.81,17.59,17.64,45700,0.0,0,07,2013,6
2013-06-10,17.7,17.7,17.62,17.64,30700,0.0,0,10,2013,6
2013-06-11,17.64,17.64,17.14,17.14,252200,0.0,0,11,2013,6
2013-06-12,17.28,17.29,16.82,16.9,88900,0.0,0,12,2013,6
2013-06-13,16.84,17.17,16.37,16.92,83100,0.0,0,13,2013,6
2013-06-14,17.07,17.27,17.07,17.12,23400,0.0,0,14,2013,6
2013-06-17,17.21,17.45,17.21,17.27,24100,0.0,0,17,2013,6
2013-06-18,17.29,17.29,17.18,17.21,15800,0.0,0,18,2013,6
2013-06-19,17.21,17.26,16.98,17.0,13600,0.0,0,19,2013,6
2013-06-20,16.95,16.95,16.51,16.53,23100,0.0,0,20,2013,6
2013-06-21,17.0,17.0,16.32,16.34,28900,0.0,0,21,2013,6
2013-06-24,16.29,16.53,15.41,16.26,45100,0.0,0,24,2013,6
2013-06-25,16.64,16.64,16.18,16.29,24100,0.0,0,25,2013,6
2013-06-26,16.29,16.93,16.29,16.51,40800,0.0,0,26,2013,6
2013-06-27,16.83,16.83,16.66,16.66,8800,0.0,0,27,2013,6
2013-06-28,16.76,16.87,16.64,16.68,6400,0.0,0,28,2013,6
2013-07-01,16.72,16.81,16.63,16.64,12500,0.0,0,01,2013,7
2013-07-02,16.7,16.89,16.63,16.73,8600,0.0,0,02,2013,7
2013-07-03,16.74,16.75,16.63,16.63,5900,0.0,0,03,2013,7
2013-07-05,16.72,16.72,16.23,16.24,5400,0.0,0,05,2013,7
2013-07-08,16.22,16.31,16.16,16.2,9800,0.0,0,08,2013,7
2013-07-09,16.2,16.31,16.2,16.24,14400,0.0,0,09,2013,7
2013-07-10,16.31,16.49,16.28,16.41,25300,0.0,0,10,2013,7
2013-07-11,16.71,16.85,16.5,16.52,11400,0.0,0,11,2013,7
2013-07-12,16.77,16.83,16.53,16.57,13200,0.0,0,12,2013,7
2013-07-15,16.58,16.63,16.3,16.43,35200,0.0,0,15,2013,7
2013-07-16,16.45,16.57,16.39,16.46,54000,0.0,0,16,2013,7
2013-07-17,16.53,16.77,16.47,16.68,174300,0.0,0,17,2013,7
2013-07-18,16.62,16.76,16.53,16.54,20300,0.0,0,18,2013,7
2013-07-19,16.65,16.73,16.59,16.73,1200,0.0,0,19,2013,7
2013-07-22,16.75,16.89,16.71,16.83,10600,0.0,0,22,2013,7
2013-07-23,16.87,16.9,16.73,16.9,10300,0.0,0,23,2013,7
2013-07-24,16.9,16.9,16.68,16.8,10400,0.0,0,24,2013,7
2013-07-25,16.78,16.8,16.51,16.61,14000,0.0,0,25,2013,7
2013-07-26,16.64,16.64,16.53,16.61,22700,0.0,0,26,2013,7
2013-07-29,16.68,16.68,16.3,16.37,11800,0.0,0,29,2013,7
2013-07-30,16.39,16.48,16.31,16.37,38900,0.0,0,30,2013,7
2013-07-31,16.41,16.43,16.29,16.39,7200,0.0,0,31,2013,7
2013-08-01,16.58,16.58,16.18,16.18,13200,0.0,0,01,2013,8
