Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,10.82,10.9,10.72,10.82,995500.0,0.0,0.0,04,2010,1
2010-01-05,10.79,10.89,10.73,10.85,1120100.0,0.0,0.0,05,2010,1
2010-01-06,10.87,11.24,10.85,11.2,1974900.0,0.0,0.0,06,2010,1
2010-01-07,11.18,11.38,11.16,11.38,1518900.0,0.0,0.0,07,2010,1
2010-01-08,11.35,11.45,11.27,11.42,1048500.0,0.0,0.0,08,2010,1
2010-01-11,11.44,11.54,11.34,11.5,1014100.0,0.0,0.0,11,2010,1
2010-01-12,11.41,11.55,11.32,11.37,1605500.0,0.0,0.0,12,2010,1
2010-01-13,11.39,11.67,11.39,11.66,1002300.0,0.0,0.0,13,2010,1
2010-01-14,11.65,11.75,11.52,11.74,1214000.0,0.0,0.0,14,2010,1
2010-01-15,11.7,11.79,11.46,11.53,1261200.0,0.0,0.0,15,2010,1
2010-01-19,11.51,11.73,11.47,11.69,958900.0,0.0,0.0,19,2010,1
2010-01-20,11.6,11.61,11.42,11.49,681200.0,0.0,0.0,20,2010,1
2010-01-21,11.47,11.55,11.36,11.38,1418900.0,0.0,0.0,21,2010,1
2010-01-22,11.38,11.4,11.21,11.22,1560100.0,0.0,0.0,22,2010,1
2010-01-25,11.31,11.33,11.06,11.14,905800.0,0.0,0.0,25,2010,1
2010-01-26,11.13,11.18,10.96,10.97,834600.0,0.0,0.0,26,2010,1
2010-01-27,10.96,11.04,10.83,10.97,1289600.0,0.0,0.0,27,2010,1
2010-01-28,11.0,11.0,10.78,10.83,784500.0,0.0,0.0,28,2010,1
2010-01-29,10.92,10.97,10.79,10.81,1605100.0,0.0,0.0,29,2010,1
2010-02-01,10.86,10.94,10.81,10.86,1015100.0,0.0,0.0,01,2010,2
2010-02-02,10.86,11.01,10.83,10.98,1066500.0,0.0,0.0,02,2010,2
2010-02-03,10.94,11.08,10.9,10.93,874100.0,0.0,0.0,03,2010,2
2010-02-04,10.82,10.9,10.67,10.68,1499300.0,0.0,0.0,04,2010,2
2010-02-05,10.64,10.76,10.38,10.45,2948200.0,0.0,0.0,05,2010,2
2010-02-08,10.44,10.46,10.31,10.31,1330500.0,0.0,0.0,08,2010,2
2010-02-09,10.42,10.49,10.3,10.37,1251600.0,0.0,0.0,09,2010,2
2010-02-10,10.37,10.42,10.16,10.22,1705500.0,0.0,0.0,10,2010,2
2010-02-11,10.2,10.36,10.08,10.27,1853500.0,0.0,0.0,11,2010,2
2010-02-12,10.21,10.3,10.11,10.26,1668100.0,0.0,0.0,12,2010,2
2010-02-16,10.33,10.59,10.25,10.59,1283900.0,0.0,0.0,16,2010,2
2010-02-17,10.93,11.19,10.81,11.13,3238900.0,0.0,0.0,17,2010,2
2010-02-18,11.15,11.29,11.11,11.27,1318900.0,0.0,0.0,18,2010,2
2010-02-19,11.23,11.54,11.23,11.42,1933600.0,0.0,0.0,19,2010,2
2010-02-22,11.48,11.55,11.2,11.28,1786200.0,0.0,0.0,22,2010,2
2010-02-23,11.27,11.39,11.24,11.28,2021500.0,0.0,0.0,23,2010,2
2010-02-24,11.34,11.56,11.32,11.49,2511400.0,0.0,0.0,24,2010,2
2010-02-25,12.06,12.52,12.06,12.3,4288900.0,0.0,0.0,25,2010,2
2010-02-26,12.35,12.41,12.2,12.23,2187500.0,0.0,0.0,26,2010,2
2010-03-01,12.33,12.34,12.14,12.29,2250000.0,0.0,0.0,01,2010,3
2010-03-02,12.35,12.36,12.15,12.21,1368500.0,0.0,0.0,02,2010,3
2010-03-03,12.26,12.31,12.06,12.11,1506500.0,0.0,0.0,03,2010,3
2010-03-04,12.15,12.15,11.99,12.12,1005000.0,0.0,0.0,04,2010,3
2010-03-05,12.15,12.29,12.12,12.21,1192100.0,0.0,0.0,05,2010,3
2010-03-08,12.26,12.3,12.18,12.22,751200.0,0.0,0.0,08,2010,3
2010-03-09,12.19,12.21,12.05,12.13,1267200.0,0.0,0.0,09,2010,3
2010-03-10,12.13,12.23,12.11,12.12,1158800.0,0.0,0.0,10,2010,3
2010-03-11,12.07,12.2,12.02,12.18,726300.0,0.0,0.0,11,2010,3
2010-03-12,12.21,12.27,12.14,12.25,635700.0,0.0,0.0,12,2010,3
2010-03-15,12.29,12.35,12.21,12.32,890100.0,0.0,0.0,15,2010,3
2010-03-16,12.35,12.37,12.25,12.34,999900.0,0.0,0.0,16,2010,3
2010-03-17,12.43,12.49,12.32,12.48,957100.0,0.0,0.0,17,2010,3
2010-03-18,12.48,12.49,12.4,12.46,667300.0,0.0,0.0,18,2010,3
2010-03-19,12.29,12.55,12.24,12.29,1279500.0,0.0,0.0,19,2010,3
2010-03-22,12.22,12.5,12.22,12.44,909500.0,0.0,0.0,22,2010,3
2010-03-23,12.58,12.93,12.53,12.93,1850400.0,0.0625,0.0,23,2010,3
2010-03-24,12.85,12.99,12.77,12.81,1425300.0,0.0,0.0,24,2010,3
2010-03-25,12.93,13.04,12.83,12.84,1434000.0,0.0,0.0,25,2010,3
2010-03-26,12.92,13.02,12.71,12.81,997800.0,0.0,0.0,26,2010,3
2010-03-29,12.83,13.15,12.83,13.15,1433400.0,0.0,0.0,29,2010,3
2010-03-30,13.13,13.16,12.95,13.0,1184700.0,0.0,0.0,30,2010,3
2010-03-31,12.91,13.01,12.84,12.99,1272500.0,0.0,0.0,31,2010,3
2010-04-01,13.09,13.27,12.91,13.01,1366900.0,0.0,0.0,01,2010,4
2010-04-05,13.05,13.06,12.9,12.94,1201100.0,0.0,0.0,05,2010,4
2010-04-06,12.85,12.88,12.74,12.8,1435000.0,0.0,0.0,06,2010,4
2010-04-07,12.75,12.79,12.62,12.66,1110100.0,0.0,0.0,07,2010,4
2010-04-08,12.59,12.61,12.45,12.57,1078400.0,0.0,0.0,08,2010,4
2010-04-09,12.6,12.66,12.54,12.57,1030900.0,0.0,0.0,09,2010,4
2010-04-12,12.57,12.63,12.52,12.56,1467700.0,0.0,0.0,12,2010,4
2010-04-13,12.52,12.61,12.42,12.56,1196400.0,0.0,0.0,13,2010,4
2010-04-14,12.58,12.76,12.48,12.74,2270600.0,0.0,0.0,14,2010,4
2010-04-15,12.74,13.05,12.67,13.0,1277000.0,0.0,0.0,15,2010,4
2010-04-16,13.0,13.11,12.82,12.9,1621100.0,0.0,0.0,16,2010,4
2010-04-19,12.9,13.0,12.81,12.97,944000.0,0.0,0.0,19,2010,4
2010-04-20,13.02,13.19,12.95,13.15,1154300.0,0.0,0.0,20,2010,4
2010-04-21,13.12,13.23,13.07,13.21,1072500.0,0.0,0.0,21,2010,4
2010-04-22,13.11,13.44,13.04,13.42,1243200.0,0.0,0.0,22,2010,4
2010-04-23,13.46,13.47,13.32,13.46,1153100.0,0.0,0.0,23,2010,4
2010-04-26,13.42,13.5,13.34,13.39,1023200.0,0.0,0.0,26,2010,4
2010-04-27,13.36,13.37,12.92,12.95,1441000.0,0.0,0.0,27,2010,4
2010-04-28,13.11,13.27,13.04,13.27,1088200.0,0.0,0.0,28,2010,4
2010-04-29,13.25,13.25,12.04,12.23,3770200.0,0.0,0.0,29,2010,4
2010-04-30,12.26,12.27,11.84,11.92,2182600.0,0.0,0.0,30,2010,4
2010-05-03,11.99,12.07,11.94,11.98,1531200.0,0.0,0.0,03,2010,5
2010-05-04,11.83,11.91,11.66,11.88,2119200.0,0.0,0.0,04,2010,5
2010-05-05,11.82,11.88,11.75,11.84,1554100.0,0.0,0.0,05,2010,5
2010-05-06,11.74,11.85,10.72,11.32,1982600.0,0.0,0.0,06,2010,5
2010-05-07,11.33,11.51,11.11,11.32,2193800.0,0.0,0.0,07,2010,5
2010-05-10,11.8,12.0,11.74,11.9,1877500.0,0.0,0.0,10,2010,5
2010-05-11,11.71,12.02,11.71,11.86,1184800.0,0.0,0.0,11,2010,5
2010-05-12,11.89,12.09,11.89,12.09,912900.0,0.0,0.0,12,2010,5
2010-05-13,12.02,12.03,11.83,11.84,1078800.0,0.0,0.0,13,2010,5
2010-05-14,11.8,11.82,11.51,11.6,1054400.0,0.0,0.0,14,2010,5
2010-05-17,11.78,12.22,11.78,12.02,2386500.0,0.0,0.0,17,2010,5
2010-05-18,12.33,12.44,12.06,12.17,2556100.0,0.0,0.0,18,2010,5
2010-05-19,12.14,12.19,11.77,11.93,1671700.0,0.0,0.0,19,2010,5
2010-05-20,11.73,11.73,11.32,11.35,1935000.0,0.0,0.0,20,2010,5
2010-05-21,11.28,11.66,11.24,11.66,2608900.0,0.0,0.0,21,2010,5
2010-05-24,11.59,11.69,11.46,11.48,1675100.0,0.0,0.0,24,2010,5
2010-05-25,11.12,11.5,11.06,11.48,2202600.0,0.0,0.0,25,2010,5
2010-05-26,11.61,11.8,11.46,11.49,1520600.0,0.0,0.0,26,2010,5
