Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,13.44,13.44,13.24,13.26,6107900.0,0.0,0.0,04,2010,1
2010-01-05,13.21,13.25,13.0,13.07,10093100.0,0.0,0.0,05,2010,1
2010-01-06,13.02,13.14,12.86,12.99,9884800.0,0.0,0.0,06,2010,1
2010-01-07,12.99,13.22,12.9,13.06,16592200.0,0.0,0.0,07,2010,1
2010-01-08,13.04,13.6,13.04,13.56,12836500.0,0.0,0.0,08,2010,1
2010-01-11,13.56,13.65,13.26,13.6,6432100.0,0.0,0.0,11,2010,1
2010-01-12,13.5,13.52,13.27,13.31,9359700.0,0.0,0.0,12,2010,1
2010-01-13,13.29,13.71,13.28,13.63,7270800.0,0.0,0.0,13,2010,1
2010-01-14,13.57,13.77,13.46,13.75,4821700.0,0.0,0.0,14,2010,1
2010-01-15,13.76,13.84,13.56,13.76,7218900.0,0.0,0.0,15,2010,1
2010-01-19,13.74,13.86,13.65,13.75,4672700.0,0.0,0.0,19,2010,1
2010-01-20,13.65,13.65,13.4,13.56,5144100.0,0.0,0.0,20,2010,1
2010-01-21,13.54,13.56,13.16,13.23,6373600.0,0.0,0.0,21,2010,1
2010-01-22,13.21,13.35,13.11,13.12,5310000.0,0.0,0.0,22,2010,1
2010-01-25,13.19,13.26,13.1,13.16,4722800.0,0.0,0.0,25,2010,1
2010-01-26,13.15,13.18,13.05,13.11,4340400.0,0.0,0.0,26,2010,1
2010-01-27,13.06,13.2,12.91,13.2,4405000.0,0.0,0.0,27,2010,1
2010-01-28,13.27,13.31,12.94,13.1,5057900.0,0.0,0.0,28,2010,1
2010-01-29,13.18,13.18,12.88,12.93,4247500.0,0.0,0.0,29,2010,1
2010-02-01,13.0,13.06,12.77,13.05,4387200.0,0.0,0.0,01,2010,2
2010-02-02,13.1,13.51,13.04,13.5,11487600.0,0.0,0.0,02,2010,2
2010-02-03,13.06,13.73,13.06,13.31,7775600.0,0.0,0.0,03,2010,2
2010-02-04,13.26,13.5,13.0,13.08,11753000.0,0.0,0.0,04,2010,2
2010-02-05,13.1,13.14,12.72,12.98,6450800.0,0.0,0.0,05,2010,2
2010-02-08,12.99,12.99,12.69,12.72,5979400.0,0.0,0.0,08,2010,2
2010-02-09,12.86,13.11,12.81,13.02,4544300.0,0.0,0.0,09,2010,2
2010-02-10,13.0,13.05,12.85,12.93,2800600.0,0.0,0.0,10,2010,2
2010-02-11,12.87,13.14,12.81,13.13,3894400.0,0.0,0.0,11,2010,2
2010-02-12,12.99,13.22,12.88,13.19,6732500.0,0.0,0.0,12,2010,2
2010-02-16,13.35,13.37,13.11,13.24,5296700.0,0.0,0.0,16,2010,2
2010-02-17,13.36,13.39,13.19,13.26,5272600.0,0.0,0.0,17,2010,2
2010-02-18,13.24,13.65,13.22,13.61,4966200.0,0.0,0.0,18,2010,2
2010-02-19,13.6,13.8,13.6,13.74,5581100.0,0.0,0.0,19,2010,2
2010-02-22,13.8,13.83,13.65,13.77,3627500.0,0.0,0.0,22,2010,2
2010-02-23,13.82,13.86,13.6,13.66,5306900.0,0.0,0.0,23,2010,2
2010-02-24,13.73,13.78,13.58,13.71,2813300.0,0.0,0.0,24,2010,2
2010-02-25,13.61,13.67,13.38,13.65,3975800.0,0.0,0.0,25,2010,2
2010-02-26,13.68,13.75,13.58,13.71,2408600.0,0.0,0.0,26,2010,2
2010-03-01,13.93,14.11,13.92,14.09,4376300.0,0.25,0.0,01,2010,3
2010-03-02,14.16,14.21,14.04,14.18,4029200.0,0.0,0.0,02,2010,3
2010-03-03,14.18,14.31,14.08,14.16,4887800.0,0.0,0.0,03,2010,3
2010-03-04,13.96,14.29,13.96,14.27,3798500.0,0.0,0.0,04,2010,3
2010-03-05,14.3,14.56,14.28,14.53,3560000.0,0.0,0.0,05,2010,3
2010-03-08,14.49,14.55,14.33,14.4,3813000.0,0.0,0.0,08,2010,3
2010-03-09,14.37,14.54,14.35,14.49,4486100.0,0.0,0.0,09,2010,3
2010-03-10,14.45,15.11,14.32,14.4,8655300.0,0.0,0.0,10,2010,3
2010-03-11,14.37,14.39,14.27,14.39,2830200.0,0.0,0.0,11,2010,3
2010-03-12,14.4,14.44,14.22,14.4,2620600.0,0.0,0.0,12,2010,3
2010-03-15,14.36,14.38,14.24,14.35,2827200.0,0.0,0.0,15,2010,3
2010-03-16,14.39,14.48,14.36,14.45,3807500.0,0.0,0.0,16,2010,3
2010-03-17,14.5,14.62,14.5,14.57,3209800.0,0.0,0.0,17,2010,3
2010-03-18,14.57,14.58,14.44,14.5,3308800.0,0.0,0.0,18,2010,3
2010-03-19,14.28,14.49,14.13,14.28,9408900.0,0.0,0.0,19,2010,3
2010-03-22,14.23,14.37,14.11,14.36,4776800.0,0.0,0.0,22,2010,3
2010-03-23,14.4,14.49,14.25,14.48,4174600.0,0.0,0.0,23,2010,3
2010-03-24,14.45,14.46,14.29,14.31,3909500.0,0.0,0.0,24,2010,3
2010-03-25,14.42,14.49,14.25,14.28,3296700.0,0.0,0.0,25,2010,3
2010-03-26,14.31,14.41,14.25,14.33,2611800.0,0.0,0.0,26,2010,3
2010-03-29,14.64,14.73,14.52,14.65,6331400.0,0.0,0.0,29,2010,3
2010-03-30,14.7,14.74,14.55,14.59,4683900.0,0.0,0.0,30,2010,3
2010-03-31,14.55,14.68,14.52,14.56,3620000.0,0.0,0.0,31,2010,3
2010-04-01,14.65,14.78,14.52,14.65,3605500.0,0.0,0.0,01,2010,4
2010-04-05,14.74,14.84,14.68,14.79,2618500.0,0.0,0.0,05,2010,4
2010-04-06,14.74,14.74,14.64,14.65,4128400.0,0.0,0.0,06,2010,4
2010-04-07,14.58,14.72,14.53,14.63,3883500.0,0.0,0.0,07,2010,4
