Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2019-05-10,11.0,17.25,11.0,16.15,1523200,0,0,10,2019,5
2019-05-13,15.0,16.8,14.38,15.16,114400,0,0,13,2019,5
2019-05-14,15.07,16.1,14.62,15.26,70300,0,0,14,2019,5
2019-05-15,15.05,15.54,13.02,13.9,277200,0,0,15,2019,5
2019-05-16,13.85,22.5,13.51,21.7,112700,0,0,16,2019,5
2019-05-17,19.5,19.74,13.51,13.51,1633800,0,0,17,2019,5
2019-05-20,13.8,13.8,11.39,12.51,91400,0,0,20,2019,5
2019-05-21,11.73,11.88,10.252,10.53,57400,0,0,21,2019,5
2019-05-22,10.36,10.787,10.01,10.55,842900,0,0,22,2019,5
2019-05-23,10.4,11.512,10.2,11.03,660900,0,0,23,2019,5
2019-05-24,11.47,11.55,11.0,11.0,21200,0,0,24,2019,5
2019-05-28,11.06,11.07,10.35,10.58,27700,0,0,28,2019,5
2019-05-29,10.52,10.58,10.31,10.49,25800,0,0,29,2019,5
2019-05-30,10.41,10.93,10.41,10.52,7800,0,0,30,2019,5
2019-05-31,10.41,12.46,10.41,12.04,59200,0,0,31,2019,5
2019-06-03,12.0,12.0,10.94,11.07,15600,0,0,03,2019,6
2019-06-04,11.01,11.21,10.66,10.9,13200,0,0,04,2019,6
2019-06-05,11.0,11.172,10.4,10.51,32900,0,0,05,2019,6
2019-06-06,10.47,10.94,10.47,10.94,14700,0,0,06,2019,6
2019-06-07,10.51,10.8,10.42,10.5,20900,0,0,07,2019,6
2019-06-10,10.53,10.65,10.350999999999999,10.52,31500,0,0,10,2019,6
2019-06-11,10.52,12.0,10.37,11.2,194700,0,0,11,2019,6
2019-06-12,10.93,11.67,10.77,11.51,177700,0,0,12,2019,6
2019-06-13,11.26,11.74,11.15,11.36,40800,0,0,13,2019,6
2019-06-14,11.63,13.72,11.34,13.0,137900,0,0,14,2019,6
2019-06-17,12.71,12.71,12.0,12.3,18800,0,0,17,2019,6
2019-06-18,11.75,12.67,11.707,12.14,29100,0,0,18,2019,6
2019-06-19,12.44,12.96,11.88,12.5,38100,0,0,19,2019,6
2019-06-20,12.828,14.255999999999998,12.499,13.94,122000,0,0,20,2019,6
2019-06-21,14.55,14.6,13.74,14.39,36900,0,0,21,2019,6
2019-06-24,14.56,14.56,13.5,13.99,8900,0,0,24,2019,6
2019-06-25,14.0,14.0,12.742,12.76,10900,0,0,25,2019,6
2019-06-26,12.831,13.5,12.83,12.947000000000001,2200,0,0,26,2019,6
2019-06-27,12.564,15.0,12.564,14.0,110000,0,0,27,2019,6
2019-06-28,14.38,16.12,14.38,15.99,103900,0,0,28,2019,6
2019-07-01,16.15,16.15,14.91,15.19,40400,0,0,01,2019,7
2019-07-02,15.02,16.86,15.02,16.21,35300,0,0,02,2019,7
2019-07-03,16.49,16.49,15.57,16.0,1152400,0,0,03,2019,7
2019-07-05,15.8,16.114,14.01,14.93,1275400,0,0,05,2019,7
2019-07-08,14.7,14.7,12.51,13.1,64000,0,0,08,2019,7
2019-07-09,12.81,13.931,11.1,11.5,55400,0,0,09,2019,7
2019-07-10,11.65,11.88,10.71,10.946,88100,0,0,10,2019,7
2019-07-11,10.93,11.06,9.27,9.45,197400,0,0,11,2019,7
2019-07-12,9.51,10.0,9.3,9.32,30300,0,0,12,2019,7
2019-07-15,9.43,9.722999999999999,9.201,9.35,15400,0,0,15,2019,7
2019-07-16,9.37,9.625,9.01,9.22,182700,0,0,16,2019,7
2019-07-17,9.54,9.954,9.11,9.41,440800,0,0,17,2019,7
2019-07-18,9.31,9.54,9.31,9.5,561300,0,0,18,2019,7
2019-07-19,9.75,10.312999999999999,9.31,9.55,443800,0,0,19,2019,7
2019-07-22,9.8,10.3,9.78,10.15,643200,0,0,22,2019,7
2019-07-23,10.37,12.21,9.995,12.1,126900,0,0,23,2019,7
2019-07-24,12.25,15.48,12.25,15.36,288400,0,0,24,2019,7
2019-07-25,15.07,15.99,14.4,15.69,120000,0,0,25,2019,7
2019-07-26,15.2,15.42,14.635,14.95,26900,0,0,26,2019,7
2019-07-29,15.4,17.45,15.3,17.0,174500,0,0,29,2019,7
2019-07-30,17.39,18.05,16.66,16.68,1431900,0,0,30,2019,7
2019-07-31,16.56,17.68,12.994000000000002,14.89,796000,0,0,31,2019,7
2019-08-01,14.53,16.25,13.2,14.37,355100,0,0,01,2019,8
2019-08-02,14.03,15.783,12.07,12.77,226200,0,0,02,2019,8
2019-08-05,12.16,12.93,11.2,12.38,51000,0,0,05,2019,8
2019-08-06,12.35,13.19,12.35,12.49,22000,0,0,06,2019,8
2019-08-07,12.37,13.07,12.01,12.87,25400,0,0,07,2019,8
2019-08-08,12.72,13.1,12.5,12.5,25100,0,0,08,2019,8
2019-08-09,11.91,12.747,11.91,12.52,13200,0,0,09,2019,8
2019-08-12,12.2,12.2,11.0,11.26,38300,0,0,12,2019,8
2019-08-13,11.01,11.24,10.31,10.65,24300,0,0,13,2019,8
2019-08-14,10.6,10.98,10.0,10.6,60100,0,0,14,2019,8
2019-08-15,10.62,11.3,10.27,10.56,31300,0,0,15,2019,8
2019-08-16,10.56,11.64,10.5,10.61,12000,0,0,16,2019,8
2019-08-19,11.14,11.575999999999999,11.14,11.41,12800,0,0,19,2019,8
2019-08-20,11.6,12.937999999999999,11.6,12.5,15200,0,0,20,2019,8
2019-08-21,12.84,13.933,12.01,13.0,29000,0,0,21,2019,8
2019-08-22,12.466,12.7,12.171,12.47,4700,0,0,22,2019,8
2019-08-23,12.15,13.192,11.41,12.5,39600,0,0,23,2019,8
2019-08-26,12.51,12.762,11.9,11.92,9500,0,0,26,2019,8
2019-08-27,12.35,12.35,11.3,11.44,9700,0,0,27,2019,8
2019-08-28,11.65,12.0,11.59,11.59,1300,0,0,28,2019,8
2019-08-29,11.6,12.85,11.1,12.3,10600,0,0,29,2019,8
2019-08-30,12.37,12.402999999999999,11.51,11.98,11100,0,0,30,2019,8
2019-09-03,11.931,11.96,11.2,11.9,34800,0,0,03,2019,9
2019-09-04,11.09,12.46,11.09,11.93,34500,0,0,04,2019,9
2019-09-05,12.44,14.35,11.594000000000001,14.3,140400,0,0,05,2019,9
2019-09-06,13.94,16.0,12.5,13.53,333300,0,0,06,2019,9
2019-09-09,14.91,15.8,13.52,14.06,267400,0,0,09,2019,9
2019-09-10,14.2,15.5,14.06,14.4,65800,0,0,10,2019,9
2019-09-11,14.79,14.95,14.135,14.6,78400,0,0,11,2019,9
2019-09-12,14.597000000000001,14.6,14.0,14.39,62600,0,0,12,2019,9
2019-09-13,14.4,17.165,14.2,16.57,76200,0,0,13,2019,9
2019-09-16,16.0,19.488,15.952,18.97,389600,0,0,16,2019,9
2019-09-17,18.09,18.49,13.0,14.1,842800,0,0,17,2019,9
2019-09-18,14.37,14.775,13.52,13.91,62800,0,0,18,2019,9
2019-09-19,13.52,14.289000000000001,13.48,13.8,68100,0,0,19,2019,9
2019-09-20,13.27,14.1,13.27,13.6,22900,0,0,20,2019,9
2019-09-23,13.6,13.96,13.1,13.25,117900,0,0,23,2019,9
2019-09-24,13.15,13.65,13.0,13.07,71800,0,0,24,2019,9
