Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,11.31,11.44,11.2,11.24,4363700,0,0.0,04,2010,1
2010-01-05,11.24,11.25,11.15,11.23,4396200,0,0.0,05,2010,1
2010-01-06,11.24,12.02,11.15,11.89,10925500,0,0.0,06,2010,1
2010-01-07,11.9,12.05,11.82,11.89,7642400,0,0.0,07,2010,1
2010-01-08,11.87,12.3,11.7,12.23,3704200,0,0.0,08,2010,1
2010-01-11,12.19,12.33,12.04,12.11,4849800,0,0.0,11,2010,1
2010-01-12,11.99,12.02,11.77,11.83,2609200,0,0.0,12,2010,1
2010-01-13,11.83,12.01,11.72,11.86,3840400,0,0.0,13,2010,1
2010-01-14,11.78,11.91,11.66,11.77,3980100,0,0.0,14,2010,1
2010-01-15,11.78,11.82,11.56,11.62,2309200,0,0.0,15,2010,1
2010-01-19,11.6,12.1,11.6,12.09,4751900,0,0.0,19,2010,1
2010-01-20,12.04,12.54,12.01,12.45,5920300,0,0.0,20,2010,1
2010-01-21,12.5,12.53,12.2,12.26,6037700,0,0.0,21,2010,1
2010-01-22,12.26,12.28,11.97,12.03,3788500,0,0.0,22,2010,1
2010-01-25,12.44,13.2,12.42,13.0,19085200,0,0.0,25,2010,1
2010-01-26,12.82,13.23,12.72,12.98,7055500,0,0.0,26,2010,1
2010-01-27,13.06,13.13,12.8,12.99,4696200,0,0.0,27,2010,1
2010-01-28,13.07,13.16,12.76,12.9,3173600,0,0.0,28,2010,1
2010-01-29,13.37,13.37,12.95,12.97,5151000,0,0.0,29,2010,1
2010-02-01,13.16,13.3,13.03,13.29,4095600,0,0.0,01,2010,2
2010-02-02,13.31,13.43,13.21,13.34,5152500,0,0.0,02,2010,2
2010-02-03,13.31,13.45,13.19,13.28,5471300,0,0.0,03,2010,2
2010-02-04,13.14,13.18,12.69,12.73,5831800,0,0.0,04,2010,2
2010-02-05,12.69,12.86,12.13,12.42,8641300,0,0.0,05,2010,2
2010-02-08,12.46,12.49,12.32,12.34,3035100,0,0.0,08,2010,2
2010-02-09,12.54,12.72,12.39,12.61,3668900,0,0.0,09,2010,2
2010-02-10,12.58,12.71,12.26,12.42,3456000,0,0.0,10,2010,2
2010-02-11,12.36,12.49,12.24,12.38,3646600,0,0.0,11,2010,2
2010-02-12,12.31,12.43,12.17,12.42,2803900,0,0.0,12,2010,2
2010-02-16,12.48,12.67,12.44,12.64,2320000,0,0.0,16,2010,2
2010-02-17,12.68,12.84,12.68,12.8,2842900,0,0.0,17,2010,2
2010-02-18,12.73,12.94,12.71,12.82,2449300,0,0.0,18,2010,2
2010-02-19,12.77,13.22,12.77,13.01,4656200,0,0.0,19,2010,2
2010-02-22,13.13,13.67,13.03,13.57,6317900,0,0.0,22,2010,2
2010-02-23,13.5,13.55,13.25,13.34,6670600,0,0.0,23,2010,2
