Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2019-12-11,10.01,10.03,10.0,10.01,1983800,0,0,11,2019,12
2019-12-12,10.01,10.02,10.01,10.01,202500,0,0,12,2019,12
2019-12-13,10.01,10.03,10.01,10.03,84200,0,0,13,2019,12
2019-12-16,10.02,10.04,10.02,10.04,22900,0,0,16,2019,12
2019-12-17,10.04,10.04,10.03,10.03,6900,0,0,17,2019,12
2019-12-18,10.04,10.04,10.03,10.03,10400,0,0,18,2019,12
2019-12-19,10.03,10.05,10.03,10.05,33300,0,0,19,2019,12
2019-12-20,10.09,10.09,10.05,10.06,29700,0,0,20,2019,12
2019-12-23,10.1,10.1,10.05,10.05,14000,0,0,23,2019,12
2019-12-24,10.05,10.05,10.05,10.05,0,0,0,24,2019,12
2019-12-26,10.05,10.05,10.05,10.05,0,0,0,26,2019,12
2019-12-27,10.06,10.06,10.05,10.06,21100,0,0,27,2019,12
2019-12-30,10.04,10.06,10.04,10.06,102300,0,0,30,2019,12
2019-12-31,10.04,10.07,10.04,10.06,18100,0,0,31,2019,12
