Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2015-01-02,35.41,35.41,35.41,35.41,400,0.0,0,02,2015,1
2015-01-05,35.53,35.54,34.75,35.48,2162,0.0,0,05,2015,1
2015-01-06,34.89,34.89,34.89,34.89,475,0.0,0,06,2015,1
2015-01-07,35.45,35.47,35.43,35.43,600,0.0,0,07,2015,1
2015-01-08,35.54,35.54,35.38,35.38,790,0.0,0,08,2015,1
2015-01-09,35.4,35.53,35.4,35.52,1100,0.0,0,09,2015,1
2015-01-12,35.54,36.03,35.54,35.9,1787,0.0,0,12,2015,1
2015-01-13,35.93,35.93,35.93,35.93,1064,0.0,0,13,2015,1
2015-01-14,35.47,35.59,35.47,35.59,425,0.0,0,14,2015,1
2015-01-15,35.48,36.06,35.47,35.83,1650,0.0,0,15,2015,1
2015-01-20,35.72,35.72,35.72,35.72,300,0.0,0,20,2015,1
2015-01-21,35.82,35.82,35.51,35.8,3491,0.0,0,21,2015,1
2015-01-22,35.61,36.15,35.61,36.15,2025,0.0,0,22,2015,1
2015-01-26,35.65,35.65,35.65,35.65,1500,0.0,0,26,2015,1
2015-01-27,35.65,35.72,35.65,35.72,450,0.0,0,27,2015,1
2015-01-28,35.92,36.17,35.92,36.1,2580,0.8125,0,28,2015,1
2015-01-29,36.02,36.02,35.92,35.92,1300,0.0,0,29,2015,1
2015-01-30,35.7,35.95,35.7,35.95,405,0.0,0,30,2015,1
2015-02-02,35.94,35.94,35.93,35.94,1681,0.0,0,02,2015,2
2015-02-03,35.94,35.94,35.88,35.94,1580,0.0,0,03,2015,2
2015-02-04,35.88,35.94,35.63,35.94,1135,0.0,0,04,2015,2
2015-02-05,35.95,35.95,35.95,35.95,1852,0.0,0,05,2015,2
2015-02-06,36.25,36.25,36.25,36.25,401,0.0,0,06,2015,2
2015-02-09,36.26,36.26,35.92,35.99,686,0.0,0,09,2015,2
2015-02-10,36.5,36.52,36.08,36.21,1336,0.0,0,10,2015,2
2015-02-11,36.13,36.67,36.13,36.35,1785,0.0,0,11,2015,2
2015-02-12,36.65,36.65,36.37,36.46,900,0.0,0,12,2015,2
2015-02-13,36.4,36.4,36.39,36.4,1613,0.0,0,13,2015,2
2015-02-17,36.06,36.06,35.89,36.06,1581,0.0,0,17,2015,2
2015-02-18,36.12,36.25,36.02,36.25,594,0.0,0,18,2015,2
2015-02-19,36.45,36.56,36.12,36.56,2100,0.0,0,19,2015,2
2015-02-20,36.48,36.58,36.48,36.58,2300,0.0,0,20,2015,2
2015-02-23,36.73,36.8,36.73,36.73,4574,0.0,0,23,2015,2
2015-02-24,36.73,36.8,36.73,36.73,1300,0.0,0,24,2015,2
2015-02-26,36.65,36.79,36.51,36.51,6230,0.0,0,26,2015,2
2015-02-27,36.62,36.62,36.62,36.62,1068,0.0,0,27,2015,2
2015-03-03,36.8,36.93,36.78,36.78,882,0.0,0,03,2015,3
2015-03-04,36.8,36.84,36.69,36.69,4219,0.0,0,04,2015,3
