Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,8.89,9.05,8.74,8.93,317900,0.0,0,04,2010,1
2010-01-05,9.01,9.01,8.78,8.94,349700,0.0,0,05,2010,1
2010-01-06,8.86,9.14,8.81,9.01,485800,0.0,0,06,2010,1
2010-01-07,9.04,9.25,8.76,8.89,320800,0.0,0,07,2010,1
2010-01-08,8.82,9.15,8.82,9.0,390900,0.0,0,08,2010,1
2010-01-11,9.11,9.11,8.35,8.39,688400,0.0,0,11,2010,1
2010-01-12,8.42,8.59,8.32,8.44,393600,0.0,0,12,2010,1
2010-01-13,8.52,9.03,8.51,8.97,670900,0.0,0,13,2010,1
2010-01-14,9.0,9.72,9.0,9.62,846700,0.0,0,14,2010,1
2010-01-15,9.63,9.76,9.23,9.65,840100,0.0,0,15,2010,1
2010-01-19,9.59,10.29,9.59,10.19,839800,0.0,0,19,2010,1
2010-01-20,9.98,10.39,9.9,10.35,673400,0.0,0,20,2010,1
2010-01-21,10.41,10.47,9.99,10.26,819000,0.0,0,21,2010,1
2010-01-22,10.21,10.54,10.05,10.28,658300,0.0,0,22,2010,1
2010-01-25,10.45,10.45,9.96,10.16,545400,0.0,0,25,2010,1
2010-01-26,10.14,10.22,9.96,10.01,432900,0.0,0,26,2010,1
2010-01-27,10.06,10.09,9.69,9.97,429100,0.0,0,27,2010,1
2010-01-28,9.96,10.06,9.53,9.64,381400,0.0,0,28,2010,1
2010-01-29,9.73,9.75,9.07,9.2,464600,0.0,0,29,2010,1
2010-02-01,9.28,9.33,9.07,9.29,312100,0.0,0,01,2010,2
2010-02-02,9.29,9.6,9.2,9.48,761600,0.0,0,02,2010,2
2010-02-03,9.48,9.55,9.2,9.35,282800,0.0,0,03,2010,2
2010-02-04,9.27,9.29,8.65,8.68,550600,0.0,0,04,2010,2
2010-02-05,8.69,8.77,8.19,8.43,547800,0.0,0,05,2010,2
2010-02-08,8.42,8.88,8.23,8.48,478300,0.0,0,08,2010,2
2010-02-09,8.63,8.87,8.38,8.75,466200,0.0,0,09,2010,2
2010-02-10,8.72,8.87,8.57,8.81,602200,0.0,0,10,2010,2
2010-02-11,8.86,9.31,8.71,9.3,375300,0.0,0,11,2010,2
2010-02-12,9.19,9.93,9.13,9.88,760400,0.0,0,12,2010,2
2010-02-16,9.99,10.61,9.98,10.55,1493000,0.0,0,16,2010,2
2010-02-17,11.13,11.78,11.02,11.74,3563400,0.0,0,17,2010,2
2010-02-18,11.51,12.28,11.44,12.25,1767700,0.0,0,18,2010,2
2010-02-19,12.09,12.43,11.41,11.51,1321200,0.0,0,19,2010,2
2010-02-22,11.69,11.69,11.33,11.61,483600,0.0,0,22,2010,2
2010-02-23,11.55,11.63,11.1,11.22,580800,0.0,0,23,2010,2
2010-02-24,11.25,11.43,11.14,11.19,349200,0.0,0,24,2010,2
2010-02-25,11.09,11.09,10.77,10.84,766200,0.0,0,25,2010,2
2010-02-26,10.89,11.53,10.84,11.42,669200,0.0,0,26,2010,2
2010-03-01,11.56,12.28,11.45,12.25,817500,0.0,0,01,2010,3
2010-03-02,12.37,12.87,12.29,12.66,1009100,0.0,0,02,2010,3
2010-03-03,12.79,13.3,12.74,12.9,1299700,0.0,0,03,2010,3
2010-03-04,12.95,13.05,12.43,12.7,833900,0.0,0,04,2010,3
2010-03-05,13.09,13.13,12.66,12.73,1244300,0.0,0,05,2010,3
2010-03-08,12.82,13.09,12.77,12.92,483300,0.0,0,08,2010,3
2010-03-09,12.9,13.58,12.73,13.21,972800,0.0,0,09,2010,3
2010-03-10,13.36,14.01,13.33,13.74,1485300,0.0,0,10,2010,3
2010-03-11,13.72,13.74,13.24,13.53,1058600,0.0,0,11,2010,3
2010-03-12,13.67,13.67,13.05,13.29,684600,0.0,0,12,2010,3
2010-03-15,13.46,13.52,12.94,12.97,610100,0.0,0,15,2010,3
2010-03-16,12.88,13.15,12.64,13.07,656900,0.0,0,16,2010,3
2010-03-17,13.29,13.42,12.67,12.75,658700,0.0,0,17,2010,3
2010-03-18,12.69,12.91,12.51,12.69,497300,0.0,0,18,2010,3
2010-03-19,11.44,12.87,11.39,11.44,2066000,0.0,0,19,2010,3
2010-03-22,11.41,12.37,11.11,12.28,1207200,0.0,0,22,2010,3
