Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,1.87,1.87,1.83,1.83,35600,0.0,0,04,2010,1
2010-01-05,1.83,1.83,1.72,1.72,108600,0.0,0,05,2010,1
2010-01-06,1.72,1.72,1.63,1.63,59200,0.0,0,06,2010,1
2010-01-07,1.65,1.78,1.65,1.76,37300,0.0,0,07,2010,1
2010-01-08,1.76,1.78,1.63,1.7,49600,0.0,0,08,2010,1
2010-01-11,1.7,1.73,1.63,1.69,27700,0.0,0,11,2010,1
2010-01-12,1.69,1.73,1.67,1.69,9800,0.0,0,12,2010,1
2010-01-13,1.74,1.74,1.66,1.67,43100,0.0,0,13,2010,1
2010-01-14,1.72,1.75,1.63,1.7,17200,0.0,0,14,2010,1
2010-01-15,1.68,1.79,1.68,1.77,54200,0.0,0,15,2010,1
2010-01-19,1.76,1.76,1.67,1.75,21500,0.0,0,19,2010,1
2010-01-20,1.76,1.8,1.68,1.69,19500,0.0,0,20,2010,1
2010-01-21,1.7,1.83,1.69,1.74,54600,0.0,0,21,2010,1
2010-01-22,1.74,1.76,1.65,1.7,62400,0.0,0,22,2010,1
2010-01-25,1.76,1.81,1.65,1.8,30400,0.0,0,25,2010,1
2010-01-26,1.79,1.79,1.73,1.73,25300,0.0,0,26,2010,1
2010-01-27,1.75,1.76,1.73,1.76,19800,0.0,0,27,2010,1
2010-01-28,1.8,1.8,1.69,1.7,56000,0.0,0,28,2010,1
2010-01-29,1.69,1.71,1.63,1.63,179700,0.0,0,29,2010,1
2010-02-01,1.66,1.67,1.6,1.6,74000,0.0,0,01,2010,2
2010-02-02,1.62,1.74,1.57,1.61,61400,0.0,0,02,2010,2
2010-02-03,1.61,1.63,1.59,1.61,14400,0.0,0,03,2010,2
2010-02-04,1.58,1.62,1.56,1.57,54400,0.0,0,04,2010,2
2010-02-05,1.57,1.61,1.54,1.56,68600,0.0,0,05,2010,2
2010-02-08,1.56,1.63,1.56,1.56,21000,0.0,0,08,2010,2
2010-02-09,1.56,1.57,1.56,1.56,15400,0.0,0,09,2010,2
2010-02-10,1.58,1.6,1.58,1.58,2500,0.0,0,10,2010,2
2010-02-11,1.58,1.6,1.56,1.56,17400,0.0,0,11,2010,2
2010-02-12,1.57,1.63,1.56,1.58,95800,0.0,0,12,2010,2
2010-02-16,1.56,1.59,1.55,1.55,29500,0.0,0,16,2010,2
2010-02-17,1.57,1.62,1.56,1.62,8500,0.0,0,17,2010,2
2010-02-18,1.59,1.59,1.56,1.56,19000,0.0,0,18,2010,2
2010-02-19,1.56,1.6,1.55,1.56,24200,0.0,0,19,2010,2
2010-02-22,1.56,1.56,1.54,1.54,21700,0.0,0,22,2010,2
2010-02-23,1.59,1.62,1.51,1.52,16400,0.0,0,23,2010,2
2010-02-24,1.56,1.57,1.52,1.54,14900,0.0,0,24,2010,2
2010-02-25,1.54,1.54,1.4,1.42,63700,0.0,0,25,2010,2
2010-02-26,1.42,1.45,1.32,1.32,85100,0.0,0,26,2010,2
2010-03-01,1.36,1.45,1.36,1.42,19300,0.0,0,01,2010,3
2010-03-02,1.42,1.5,1.42,1.47,25400,0.0,0,02,2010,3
2010-03-03,1.47,1.54,1.41,1.41,16100,0.0,0,03,2010,3
2010-03-04,1.45,1.54,1.41,1.5,27200,0.0,0,04,2010,3
2010-03-05,1.5,1.54,1.42,1.44,41700,0.0,0,05,2010,3
2010-03-08,1.45,1.53,1.43,1.44,7400,0.0,0,08,2010,3
2010-03-09,1.43,1.51,1.43,1.45,20200,0.0,0,09,2010,3
2010-03-10,1.49,1.49,1.47,1.49,29300,0.0,0,10,2010,3
2010-03-11,1.48,1.6,1.48,1.59,23500,0.0,0,11,2010,3
2010-03-12,1.6,1.6,1.49,1.52,20700,0.0,0,12,2010,3
2010-03-15,1.54,1.56,1.52,1.56,8000,0.0,0,15,2010,3
2010-03-16,1.58,1.58,1.52,1.56,3000,0.0,0,16,2010,3
2010-03-17,1.54,1.54,1.45,1.51,28300,0.0,0,17,2010,3
2010-03-18,1.52,1.52,1.45,1.47,9100,0.0,0,18,2010,3
2010-03-19,1.47,1.52,1.42,1.42,101400,0.0,0,19,2010,3
2010-03-22,1.43,1.46,1.41,1.43,32600,0.0,0,22,2010,3
2010-03-23,1.41,1.43,1.41,1.43,3400,0.0,0,23,2010,3
2010-03-24,1.43,1.47,1.42,1.47,32700,0.0,0,24,2010,3
2010-03-25,1.47,1.49,1.44,1.44,38300,0.0,0,25,2010,3
2010-03-26,1.44,1.48,1.44,1.44,20300,0.0,0,26,2010,3
2010-03-29,1.5,1.58,1.46,1.54,14400,0.0,0,29,2010,3
2010-03-30,1.67,1.67,1.44,1.47,37400,0.0,0,30,2010,3
2010-03-31,1.49,1.56,1.49,1.54,35600,0.0,0,31,2010,3
2010-04-01,1.8,1.85,1.59,1.67,112900,0.0,0,01,2010,4
2010-04-05,1.67,1.76,1.67,1.75,31400,0.0,0,05,2010,4
2010-04-06,1.78,1.98,1.75,1.97,111800,0.0,0,06,2010,4
2010-04-07,1.97,2.09,1.83,1.96,96500,0.0,0,07,2010,4
2010-04-08,1.98,2.09,1.97,1.98,93700,0.0,0,08,2010,4
2010-04-09,1.99,2.11,1.99,2.08,102800,0.0,0,09,2010,4
2010-04-12,2.07,2.07,1.82,1.89,91400,0.0,0,12,2010,4
2010-04-13,1.89,1.89,1.7,1.7,105800,0.0,0,13,2010,4
2010-04-14,1.7,1.83,1.7,1.72,42600,0.0,0,14,2010,4
2010-04-15,1.75,1.78,1.74,1.75,24800,0.0,0,15,2010,4
2010-04-16,1.75,1.78,1.71,1.76,15800,0.0,0,16,2010,4
2010-04-19,1.76,1.76,1.71,1.74,11900,0.0,0,19,2010,4
2010-04-20,1.73,1.74,1.72,1.73,9500,0.0,0,20,2010,4
2010-04-21,1.74,1.85,1.72,1.74,90900,0.0,0,21,2010,4
2010-04-22,1.74,1.89,1.68,1.76,84700,0.0,0,22,2010,4
2010-04-23,1.76,2.12,1.76,2.07,321700,0.0,0,23,2010,4
2010-04-26,2.07,2.64,2.07,2.36,330600,0.0,0,26,2010,4
2010-04-27,2.37,2.84,2.21,2.35,273500,0.0,0,27,2010,4
2010-04-28,2.44,2.69,2.44,2.44,124400,0.0,0,28,2010,4
2010-04-29,2.44,2.44,2.16,2.28,221700,0.0,0,29,2010,4
2010-04-30,1.76,1.84,1.68,1.71,248600,0.0,0,30,2010,4
2010-05-03,1.76,1.85,1.68,1.72,89600,0.0,0,03,2010,5
2010-05-04,1.83,1.83,1.67,1.68,45200,0.0,0,04,2010,5
2010-05-05,1.72,1.75,1.57,1.71,96600,0.0,0,05,2010,5
2010-05-06,1.75,1.75,1.52,1.58,84800,0.0,0,06,2010,5
