Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,20.88,20.9,20.6,20.88,260700,0.0,0,04,2010,1
2010-01-05,20.9,21.12,20.9,21.02,182000,0.0,0,05,2010,1
2010-01-06,21.12,22.37,21.08,21.94,948300,0.0,0,06,2010,1
2010-01-07,21.97,22.73,21.9,22.69,495800,0.0,0,07,2010,1
2010-01-08,22.36,22.55,21.79,22.53,377700,0.0,0,08,2010,1
2010-01-11,22.54,22.97,22.43,22.63,472000,0.0,0,11,2010,1
2010-01-12,22.43,22.43,21.76,22.26,366100,0.0,0,12,2010,1
2010-01-13,22.32,22.43,21.97,22.29,324700,0.0,0,13,2010,1
2010-01-14,22.2,22.61,22.16,22.5,297700,0.0,0,14,2010,1
2010-01-15,22.47,22.58,21.9,22.12,262800,0.0,0,15,2010,1
2010-01-19,22.12,22.47,21.99,22.21,320000,0.0,0,19,2010,1
2010-01-20,22.09,22.37,21.69,22.15,373900,0.0,0,20,2010,1
2010-01-21,22.11,22.6,21.15,21.22,388900,0.0,0,21,2010,1
2010-01-22,21.29,21.83,20.92,21.04,515600,0.0,0,22,2010,1
2010-01-25,21.31,21.32,20.44,20.97,894900,0.0,0,25,2010,1
2010-01-26,20.84,21.15,20.74,20.89,276800,0.0,0,26,2010,1
2010-01-27,20.91,21.19,20.54,20.8,286300,0.0,0,27,2010,1
2010-01-28,20.8,21.06,20.34,20.62,178200,0.0,0,28,2010,1
2010-01-29,20.68,21.39,20.67,20.69,561300,0.0,0,29,2010,1
2010-02-01,20.83,21.48,20.78,21.02,308700,0.0,0,01,2010,2
2010-02-02,21.03,21.4,20.64,21.25,171200,0.0,0,02,2010,2
2010-02-03,21.17,21.23,20.78,20.98,235800,0.0,0,03,2010,2
2010-02-04,20.79,20.79,20.1,20.13,178300,0.0,0,04,2010,2
2010-02-05,20.08,20.1,19.37,19.82,281100,0.0,0,05,2010,2
2010-02-08,19.82,20.03,19.5,19.72,191700,0.0,0,08,2010,2
2010-02-09,19.96,20.17,19.72,20.05,178300,0.0,0,09,2010,2
2010-02-10,20.04,20.15,19.74,19.94,159500,0.0,0,10,2010,2
2010-02-11,19.96,20.24,19.67,20.16,98500,0.0,0,11,2010,2
2010-02-12,19.94,20.07,19.74,20.04,213000,0.0,0,12,2010,2
2010-02-16,20.23,20.57,19.81,20.54,241500,0.0,0,16,2010,2
2010-02-17,20.66,20.88,20.62,20.83,163900,0.0,0,17,2010,2
2010-02-18,20.8,21.31,20.7,21.31,165500,0.0,0,18,2010,2
2010-02-19,21.31,21.87,21.21,21.59,382200,0.0,0,19,2010,2
2010-02-22,21.68,21.75,21.2,21.27,157600,0.0,0,22,2010,2
2010-02-23,21.23,21.36,20.74,20.81,154300,0.0,0,23,2010,2
2010-02-24,20.95,21.09,20.79,20.93,172700,0.23,0,24,2010,2
2010-02-25,20.66,20.69,20.31,20.58,278000,0.0,0,25,2010,2
2010-02-26,20.6,20.71,20.31,20.67,194100,0.0,0,26,2010,2
2010-03-01,20.18,21.23,19.98,21.14,513200,0.0,0,01,2010,3
2010-03-02,21.36,21.46,21.15,21.27,333800,0.0,0,02,2010,3
2010-03-03,21.44,21.44,21.11,21.28,133300,0.0,0,03,2010,3
2010-03-04,21.77,22.36,21.77,21.92,492100,0.0,0,04,2010,3
2010-03-05,22.09,22.43,22.03,22.37,300400,0.0,0,05,2010,3
2010-03-08,22.46,22.65,22.35,22.45,266400,0.0,0,08,2010,3
2010-03-09,22.43,22.59,22.14,22.42,233600,0.0,0,09,2010,3
2010-03-10,22.33,22.49,22.14,22.43,163000,0.0,0,10,2010,3
2010-03-11,22.32,22.57,22.17,22.53,118800,0.0,0,11,2010,3
2010-03-12,22.68,22.76,22.31,22.46,117000,0.0,0,12,2010,3
2010-03-15,22.45,22.64,22.25,22.43,173400,0.0,0,15,2010,3
2010-03-16,22.53,22.65,22.31,22.41,419200,0.0,0,16,2010,3
2010-03-17,22.53,22.62,22.14,22.61,245200,0.0,0,17,2010,3
2010-03-18,22.51,22.9,22.39,22.82,234400,0.0,0,18,2010,3
2010-03-19,23.08,23.34,22.88,23.08,572900,0.0,0,19,2010,3
2010-03-22,22.93,23.3,22.77,23.24,152300,0.0,0,22,2010,3
2010-03-23,23.25,23.6,23.17,23.51,190800,0.0,0,23,2010,3
2010-03-24,23.42,23.47,22.86,23.14,278700,0.0,0,24,2010,3
2010-03-25,23.37,23.47,23.17,23.23,173100,0.0,0,25,2010,3
2010-03-26,23.31,23.56,23.01,23.17,150300,0.0,0,26,2010,3
2010-03-29,23.18,23.34,23.02,23.11,93500,0.0,0,29,2010,3
2010-03-30,23.09,23.37,23.04,23.25,169200,0.0,0,30,2010,3
2010-03-31,23.2,23.56,23.13,23.15,252300,0.0,0,31,2010,3
2010-04-01,23.39,23.64,23.09,23.39,285400,0.0,0,01,2010,4
2010-04-05,23.46,23.82,23.46,23.63,126500,0.0,0,05,2010,4
2010-04-06,23.52,23.67,23.38,23.5,156900,0.0,0,06,2010,4
2010-04-07,23.37,23.39,23.11,23.37,168100,0.0,0,07,2010,4
2010-04-08,23.3,23.35,23.02,23.3,121200,0.0,0,08,2010,4
2010-04-09,23.33,23.7,23.11,23.5,588600,0.0,0,09,2010,4
2010-04-12,23.55,23.57,23.33,23.45,147800,0.0,0,12,2010,4
2010-04-13,23.46,23.79,23.41,23.7,119500,0.0,0,13,2010,4
2010-04-14,23.82,24.2,23.71,24.18,189700,0.0,0,14,2010,4
2010-04-15,24.21,24.53,24.12,24.48,191900,0.0,0,15,2010,4
2010-04-16,24.41,24.89,24.13,24.23,372500,0.0,0,16,2010,4
2010-04-19,24.2,24.29,23.74,24.07,261100,0.0,0,19,2010,4
2010-04-20,24.18,24.8,24.18,24.65,382700,0.0,0,20,2010,4
2010-04-21,24.65,24.88,24.59,24.84,250100,0.0,0,21,2010,4
2010-04-22,24.71,25.03,24.44,24.9,215500,0.0,0,22,2010,4
2010-04-23,24.94,25.02,24.61,24.96,190400,0.0,0,23,2010,4
2010-04-26,25.02,25.62,25.02,25.44,220900,0.0,0,26,2010,4
2010-04-27,25.39,25.57,24.85,25.04,392900,0.0,0,27,2010,4
2010-04-28,25.28,25.47,23.56,24.4,810600,0.0,0,28,2010,4
2010-04-29,24.59,25.17,24.52,24.93,299800,0.0,0,29,2010,4
2010-04-30,25.06,25.33,24.17,24.18,346000,0.0,0,30,2010,4
2010-05-03,24.34,24.8,24.16,24.67,320600,0.0,0,03,2010,5
2010-05-04,24.28,24.28,23.63,23.77,284100,0.0,0,04,2010,5
2010-05-05,23.44,23.76,23.38,23.63,293700,0.0,0,05,2010,5
2010-05-06,23.5,23.74,21.68,22.96,417300,0.0,0,06,2010,5
2010-05-07,22.86,22.86,21.89,22.28,415900,0.0,0,07,2010,5
2010-05-10,23.43,23.96,23.07,23.65,322500,0.0,0,10,2010,5
2010-05-11,23.26,23.98,23.26,23.53,231900,0.0,0,11,2010,5
2010-05-12,23.57,23.99,23.33,23.96,233300,0.0,0,12,2010,5
2010-05-13,24.02,24.15,23.35,23.42,154200,0.0,0,13,2010,5
2010-05-14,23.29,23.29,22.72,23.02,211900,0.0,0,14,2010,5
2010-05-17,23.14,23.37,22.83,23.27,340300,0.0,0,17,2010,5
2010-05-18,23.87,24.15,22.96,23.07,364800,0.0,0,18,2010,5
2010-05-19,22.98,23.28,22.7,23.08,305800,0.0,0,19,2010,5
2010-05-20,22.53,22.69,21.85,22.19,353100,0.0,0,20,2010,5
2010-05-21,21.74,22.78,21.65,22.71,575300,0.0,0,21,2010,5
2010-05-24,22.56,22.86,22.28,22.55,293300,0.0,0,24,2010,5
2010-05-25,21.97,22.57,21.8,22.57,318100,0.0,0,25,2010,5
2010-05-26,22.89,23.02,22.2,22.33,407200,0.23,0,26,2010,5
2010-05-27,22.76,23.19,22.65,23.16,349000,0.0,0,27,2010,5
2010-05-28,23.16,23.32,22.54,22.76,414100,0.0,0,28,2010,5
2010-06-01,22.59,23.11,22.24,22.25,389300,0.0,0,01,2010,6
2010-06-02,22.34,23.03,22.05,22.97,537300,0.0,0,02,2010,6
2010-06-03,23.05,23.54,23.01,23.44,285200,0.0,0,03,2010,6
2010-06-04,22.86,23.01,22.64,22.76,800200,0.0,0,04,2010,6
2010-06-07,23.05,23.05,22.16,22.23,549900,0.0,0,07,2010,6
2010-06-08,22.32,22.49,21.86,22.23,373700,0.0,0,08,2010,6
2010-06-09,22.25,23.05,22.19,22.28,326300,0.0,0,09,2010,6
2010-06-10,22.62,23.14,22.59,23.14,272100,0.0,0,10,2010,6
2010-06-11,22.81,23.23,22.73,23.21,224300,0.0,0,11,2010,6
2010-06-14,23.45,23.94,23.33,23.39,286000,0.0,0,14,2010,6
2010-06-15,23.59,24.12,23.41,24.08,217300,0.0,0,15,2010,6
2010-06-16,23.86,24.06,23.65,23.98,202200,0.0,0,16,2010,6
2010-06-17,24.04,24.2,23.75,24.03,214600,0.0,0,17,2010,6
2010-06-18,24.04,24.12,23.73,23.95,271400,0.0,0,18,2010,6
2010-06-21,24.07,24.29,23.54,23.66,237100,0.0,0,21,2010,6
2010-06-22,23.67,23.81,23.01,23.08,603300,0.0,0,22,2010,6
2010-06-23,23.08,23.25,22.59,22.98,351100,0.0,0,23,2010,6
2010-06-24,22.9,22.92,22.09,22.24,529300,0.0,0,24,2010,6
2010-06-25,22.34,22.41,22.0,22.36,539300,0.0,0,25,2010,6
2010-06-28,22.45,22.71,22.34,22.36,304000,0.0,0,28,2010,6
2010-06-29,22.01,22.03,21.48,21.71,537400,0.0,0,29,2010,6
2010-06-30,21.57,21.91,21.02,21.09,539900,0.0,0,30,2010,6
2010-07-01,21.15,21.39,20.73,21.33,901900,0.0,0,01,2010,7
2010-07-02,21.39,21.4,20.83,20.92,503700,0.0,0,02,2010,7
2010-07-06,21.23,21.27,20.36,20.55,673300,0.0,0,06,2010,7
2010-07-07,20.56,20.81,20.35,20.73,680400,0.0,0,07,2010,7
2010-07-08,20.94,21.41,20.94,21.34,452400,0.0,0,08,2010,7
2010-07-09,21.31,21.55,21.25,21.48,276400,0.0,0,09,2010,7
2010-07-12,21.35,21.45,21.12,21.22,242500,0.0,0,12,2010,7
2010-07-13,21.43,21.79,21.39,21.69,367200,0.0,0,13,2010,7
2010-07-14,21.65,21.81,21.47,21.68,252800,0.0,0,14,2010,7
2010-07-15,21.68,22.0,21.49,21.86,462000,0.0,0,15,2010,7
2010-07-16,21.65,21.74,20.66,20.71,494800,0.0,0,16,2010,7
2010-07-19,20.81,21.06,20.53,20.72,503000,0.0,0,19,2010,7
2010-07-20,20.45,20.86,20.26,20.85,727400,0.0,0,20,2010,7
2010-07-21,20.98,21.03,20.35,20.41,289100,0.0,0,21,2010,7
2010-07-22,20.6,21.09,20.6,20.86,466200,0.0,0,22,2010,7
2010-07-23,20.81,21.21,20.78,21.12,644200,0.0,0,23,2010,7
2010-07-26,21.18,21.9,21.18,21.87,549200,0.0,0,26,2010,7
2010-07-27,21.92,22.06,21.58,21.77,459000,0.0,0,27,2010,7
2010-07-28,21.69,22.0,21.25,21.37,325800,0.0,0,28,2010,7
2010-07-29,21.48,22.49,21.36,21.46,1139200,0.0,0,29,2010,7
2010-07-30,21.2,21.59,20.95,21.51,475100,0.0,0,30,2010,7
2010-08-02,21.78,23.21,21.63,22.79,1519800,0.0,0,02,2010,8
2010-08-03,22.76,22.76,22.26,22.36,536200,0.0,0,03,2010,8
2010-08-04,22.44,22.64,22.31,22.46,342300,0.0,0,04,2010,8
2010-08-05,22.26,22.47,22.15,22.31,276200,0.0,0,05,2010,8
2010-08-06,22.1,22.21,21.55,21.92,472000,0.0,0,06,2010,8
2010-08-09,22.07,22.26,21.94,22.19,271100,0.0,0,09,2010,8
2010-08-10,22.05,22.49,22.04,22.26,601000,0.0,0,10,2010,8
2010-08-11,21.95,21.95,21.39,21.61,752100,0.0,0,11,2010,8
2010-08-12,21.27,21.54,21.16,21.44,495200,0.0,0,12,2010,8
2010-08-13,21.34,21.44,21.03,21.23,595700,0.0,0,13,2010,8
2010-08-16,21.09,21.39,21.02,21.2,310200,0.0,0,16,2010,8
2010-08-17,21.46,21.6,21.27,21.33,348800,0.0,0,17,2010,8
2010-08-18,21.28,21.68,21.1,21.4,238000,0.0,0,18,2010,8
2010-08-19,21.23,21.23,20.62,20.77,292300,0.0,0,19,2010,8
2010-08-20,20.66,20.71,20.23,20.44,323100,0.0,0,20,2010,8
2010-08-23,20.66,20.72,20.18,20.21,253400,0.0,0,23,2010,8
2010-08-24,19.88,20.15,19.59,19.99,406300,0.0,0,24,2010,8
2010-08-25,19.88,20.33,19.64,20.26,356700,0.0,0,25,2010,8
2010-08-26,20.28,20.39,20.09,20.18,495400,0.0,0,26,2010,8
2010-08-27,20.41,20.69,19.98,20.61,380200,0.23,0,27,2010,8
2010-08-30,20.55,20.76,20.19,20.19,281800,0.0,0,30,2010,8
2010-08-31,20.05,20.34,19.94,19.98,492100,0.0,0,31,2010,8
2010-09-01,20.26,20.81,20.25,20.76,784100,0.0,0,01,2010,9
2010-09-02,20.8,21.31,20.8,21.28,375200,0.0,0,02,2010,9
2010-09-03,21.48,22.09,21.48,21.98,720500,0.0,0,03,2010,9
2010-09-07,21.82,21.96,21.6,21.68,463800,0.0,0,07,2010,9
