Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,5.03,5.03,5.03,5.03,0,0.0,0,04,2010,1
2010-01-05,5.03,5.03,5.03,5.03,0,0.0,0,05,2010,1
2010-01-06,4.85,4.85,4.85,4.85,0,0.0,0,06,2010,1
2010-01-07,5.02,5.02,5.02,5.02,0,0.0,0,07,2010,1
2010-01-11,4.77,4.77,4.77,4.77,0,0.0,0,11,2010,1
2010-01-15,4.61,4.61,4.61,4.61,0,0.0,0,15,2010,1
2010-01-20,4.55,4.55,4.55,4.55,0,0.0,0,20,2010,1
2010-01-21,4.54,4.54,4.54,4.54,0,0.0,0,21,2010,1
2010-01-27,4.4,4.4,4.4,4.4,0,0.0,0,27,2010,1
2010-01-28,4.49,4.49,4.49,4.49,0,0.0,0,28,2010,1
2010-01-29,4.39,4.39,4.39,4.39,0,0.0,0,29,2010,1
2010-02-02,4.44,4.44,4.44,4.44,0,0.0,0,02,2010,2
2010-02-03,4.53,4.53,4.53,4.53,0,0.0,0,03,2010,2
2010-02-04,4.58,4.58,4.58,4.58,0,0.0,0,04,2010,2
2010-02-05,4.58,4.58,4.58,4.58,0,0.0,0,05,2010,2
2010-02-10,4.6,4.6,4.6,4.6,0,0.0,0,10,2010,2
2010-02-11,4.57,4.57,4.57,4.57,0,0.0,0,11,2010,2
2010-02-12,4.56,4.56,4.56,4.56,0,0.0,0,12,2010,2
2010-02-16,4.58,4.58,4.58,4.58,0,0.0,0,16,2010,2
2010-02-17,5.01,5.01,5.01,5.01,0,0.0,0,17,2010,2
2010-02-22,5.29,5.29,5.29,5.29,0,0.0,0,22,2010,2
2010-02-24,4.92,4.92,4.92,4.92,0,0.0,0,24,2010,2
2010-02-25,4.89,4.89,4.89,4.89,0,0.0,0,25,2010,2
2010-02-26,5.18,5.18,5.18,5.18,0,0.0,0,26,2010,2
2010-03-03,4.8,4.8,4.8,4.8,0,0.0,0,03,2010,3
2010-03-04,5.03,5.03,5.03,5.03,0,0.0,0,04,2010,3
2010-03-05,5.01,5.01,5.01,5.01,0,0.0,0,05,2010,3
2010-03-09,5.08,5.08,5.08,5.08,0,0.0,0,09,2010,3
2010-03-10,4.64,4.64,4.64,4.64,0,0.0,0,10,2010,3
2010-03-16,4.72,4.72,4.72,4.72,0,0.0,0,16,2010,3
2010-03-18,4.69,4.69,4.69,4.69,0,0.0,0,18,2010,3
2010-03-22,4.83,4.83,4.83,4.83,0,0.0,0,22,2010,3
2010-03-23,4.66,4.66,4.66,4.66,101,0.0,0,23,2010,3
2010-03-24,4.66,4.66,4.66,4.66,101,0.0,0,24,2010,3
2010-03-25,4.66,4.66,4.66,4.66,0,0.0,0,25,2010,3
2010-03-26,4.89,4.89,4.89,4.89,0,0.0,0,26,2010,3
2010-03-31,4.8,4.8,4.8,4.8,0,0.0,0,31,2010,3
2010-04-07,4.78,4.78,4.78,4.78,0,0.0,0,07,2010,4
2010-04-08,4.98,4.98,4.98,4.98,0,0.0,0,08,2010,4
2010-04-09,4.6,4.6,4.6,4.6,47,0.0,0,09,2010,4
2010-04-12,4.83,4.83,4.83,4.83,69,0.0,0,12,2010,4
2010-04-13,4.83,4.83,4.83,4.83,69,0.0,0,13,2010,4
2010-04-15,5.44,5.44,5.44,5.44,0,0.0,0,15,2010,4
2010-04-16,5.34,5.34,5.34,5.34,0,0.0,0,16,2010,4
2010-04-19,5.51,5.51,5.51,5.51,0,0.0,0,19,2010,4
2010-04-20,5.46,5.46,5.46,5.46,0,0.0,0,20,2010,4
2010-04-22,5.5,5.5,5.5,5.5,126,0.0,0,22,2010,4
2010-04-23,5.5,5.5,5.5,5.5,126,0.0,0,23,2010,4
2010-04-27,5.62,5.62,5.62,5.62,0,0.0,0,27,2010,4
2010-04-29,5.51,5.51,5.51,5.51,0,0.0,0,29,2010,4
2010-05-04,5.74,5.74,5.74,5.74,0,0.0,0,04,2010,5
2010-05-05,5.36,5.36,5.36,5.36,1,0.0,0,05,2010,5
2010-05-07,5.36,5.36,5.36,5.36,30,0.0,0,07,2010,5
