Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,16.16,16.16,15.81,16.04,5100.0,0.0,0.0,04,2010,1
2010-01-05,15.89,16.1,15.8,15.81,10200.0,0.0,0.0,05,2010,1
2010-01-06,15.8,15.91,15.8,15.82,4000.0,0.0,0.0,06,2010,1
2010-01-07,15.86,16.49,15.86,16.11,6200.0,0.0,0.0,07,2010,1
2010-01-08,15.99,16.15,15.89,15.93,3600.0,0.0,0.0,08,2010,1
2010-01-11,16.2,16.4,16.05,16.4,8700.0,0.0,0.0,11,2010,1
2010-01-12,16.45,16.54,16.28,16.45,4200.0,0.0,0.0,12,2010,1
2010-01-13,16.47,16.54,16.21,16.54,5400.0,0.0,0.0,13,2010,1
2010-01-14,16.45,16.97,16.38,16.9,6300.0,0.0,0.0,14,2010,1
2010-01-15,16.73,17.41,16.45,17.35,10300.0,0.0,0.0,15,2010,1
2010-01-19,17.13,17.68,17.06,17.44,10200.0,0.0,0.0,19,2010,1
2010-01-20,17.57,17.62,17.33,17.62,1600.0,0.0,0.0,20,2010,1
2010-01-21,17.41,17.68,17.08,17.61,5300.0,0.0,0.0,21,2010,1
2010-01-22,17.56,17.56,16.43,16.85,6600.0,0.0,0.0,22,2010,1
2010-01-25,16.86,16.87,16.72,16.72,4200.0,0.0,0.0,25,2010,1
2010-01-26,16.73,17.06,16.73,16.98,6300.0,0.0,0.0,26,2010,1
2010-01-27,16.93,17.37,16.83,16.83,3300.0,0.286016,0.0,27,2010,1
2010-01-28,16.81,17.14,16.75,16.75,2100.0,0.0,0.0,28,2010,1
2010-01-29,17.0,17.0,16.77,16.93,1400.0,0.0,0.0,29,2010,1
2010-02-01,17.17,17.26,16.72,17.12,5700.0,0.0,0.0,01,2010,2
2010-02-02,17.09,17.26,16.89,17.08,4600.0,0.0,0.0,02,2010,2
2010-02-03,17.05,17.78,17.05,17.54,5800.0,0.0,0.0,03,2010,2
2010-02-04,17.4,17.54,17.11,17.53,28600.0,0.0,0.0,04,2010,2
2010-02-05,17.36,17.36,17.03,17.03,4800.0,0.0,0.0,05,2010,2
2010-02-08,16.95,17.05,16.61,16.81,4000.0,0.0,0.0,08,2010,2
2010-02-09,16.88,17.45,16.88,16.98,3000.0,0.0,0.0,09,2010,2
2010-02-10,16.98,17.36,16.88,17.01,6900.0,0.0,0.0,10,2010,2
2010-02-11,16.9,17.32,16.7,17.31,2400.0,0.0,0.0,11,2010,2
2010-02-12,17.39,17.84,17.21,17.78,5800.0,0.0,0.0,12,2010,2
2010-02-16,18.07,18.41,18.05,18.11,6800.0,0.0,0.0,16,2010,2
2010-02-17,17.97,18.41,17.92,18.39,3800.0,0.0,0.0,17,2010,2
2010-02-18,18.48,18.48,18.06,18.22,5900.0,0.0,0.0,18,2010,2
2010-02-19,18.4,18.4,18.13,18.25,1200.0,0.0,0.0,19,2010,2
2010-02-22,18.59,18.59,18.23,18.5,4400.0,0.0,0.0,22,2010,2
2010-02-23,18.31,18.76,18.2,18.2,3200.0,0.0,0.0,23,2010,2
2010-02-24,18.81,18.89,18.54,18.89,1600.0,0.28676399999999996,0.0,24,2010,2
2010-02-25,18.89,18.89,18.47,18.66,2200.0,0.0,0.0,25,2010,2
2010-02-26,18.53,18.76,18.36,18.7,2700.0,0.0,0.0,26,2010,2
2010-03-01,18.76,18.76,18.54,18.72,4200.0,0.0,0.0,01,2010,3
2010-03-02,18.76,18.76,18.46,18.73,1600.0,0.0,0.0,02,2010,3
2010-03-03,18.47,18.75,18.47,18.62,3300.0,0.0,0.0,03,2010,3
2010-03-04,18.52,18.76,18.46,18.46,10700.0,0.0,0.0,04,2010,3
2010-03-05,18.64,18.64,18.38,18.41,3900.0,0.0,0.0,05,2010,3
2010-03-08,18.32,18.74,18.32,18.61,4500.0,0.0,0.0,08,2010,3
2010-03-09,18.72,18.75,18.54,18.75,5700.0,0.0,0.0,09,2010,3
2010-03-10,18.75,18.86,18.57,18.86,4700.0,0.0,0.0,10,2010,3
2010-03-11,18.69,18.86,18.65,18.83,6000.0,0.0,0.0,11,2010,3
2010-03-12,18.83,18.85,18.61,18.71,3600.0,0.0,0.0,12,2010,3
2010-03-15,18.67,18.85,18.56,18.75,21800.0,0.0,0.0,15,2010,3
2010-03-16,18.76,18.76,18.58,18.72,2300.0,0.0,0.0,16,2010,3
2010-03-17,18.69,18.69,17.86,17.9,28100.0,0.0,0.0,17,2010,3
2010-03-18,17.99,18.09,17.32,17.42,11100.0,0.0,0.0,18,2010,3
2010-03-19,16.69,17.84,16.12,16.69,29000.0,0.0,0.0,19,2010,3
2010-03-22,16.25,17.23,16.25,17.22,15700.0,0.0,0.0,22,2010,3
2010-03-23,17.22,18.1,17.18,18.1,9500.0,0.0,0.0,23,2010,3
2010-03-24,18.2,18.54,18.2,18.54,3500.0,0.0,0.0,24,2010,3
2010-03-25,18.56,18.72,18.5,18.51,13800.0,0.0,0.0,25,2010,3
2010-03-26,18.76,18.76,18.55,18.75,4800.0,0.0,0.0,26,2010,3
2010-03-29,18.7,18.92,18.26,18.68,28600.0,0.355664,0.0,29,2010,3
2010-03-30,18.82,18.86,18.37,18.37,2200.0,0.0,0.0,30,2010,3
2010-03-31,18.86,19.2,18.49,18.49,5400.0,0.0,0.0,31,2010,3
2010-04-01,18.23,18.92,18.21,18.75,8200.0,0.0,0.0,01,2010,4
2010-04-05,18.83,19.14,18.61,19.07,10700.0,0.0,0.0,05,2010,4
2010-04-06,19.14,19.16,18.81,19.14,3000.0,0.0,0.0,06,2010,4
