Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,6.95,6.96,6.94,6.95,31200,0.0,0,04,2010,1
2010-01-05,6.94,6.97,6.9,6.97,28300,0.0,0,05,2010,1
2010-01-06,6.95,6.97,6.91,6.96,51000,0.0,0,06,2010,1
2010-01-07,6.94,6.96,6.94,6.96,21000,0.0,0,07,2010,1
2010-01-08,6.96,6.99,6.95,6.99,18200,0.0,0,08,2010,1
2010-01-11,6.95,7.0,6.95,6.98,27900,0.0,0,11,2010,1
2010-01-12,6.97,7.0,6.97,6.97,39400,0.0,0,12,2010,1
2010-01-13,6.98,7.01,6.97,6.99,14900,0.068,0,13,2010,1
2010-01-14,6.98,6.98,6.95,6.96,14900,0.0,0,14,2010,1
2010-01-15,7.07,7.07,6.94,6.98,52400,0.0,0,15,2010,1
2010-01-19,6.95,7.02,6.94,6.97,54700,0.0,0,19,2010,1
2010-01-20,6.95,6.98,6.94,6.95,27400,0.0,0,20,2010,1
2010-01-21,6.94,6.97,6.9,6.92,120900,0.0,0,21,2010,1
2010-01-22,6.93,6.96,6.9,6.95,35400,0.0,0,22,2010,1
2010-01-25,6.97,6.99,6.96,6.98,12500,0.0,0,25,2010,1
2010-01-26,6.97,7.01,6.97,6.99,19400,0.0,0,26,2010,1
2010-01-27,6.96,6.99,6.86,6.93,65300,0.0,0,27,2010,1
2010-01-28,6.93,6.93,6.91,6.91,21800,0.0,0,28,2010,1
2010-01-29,6.92,6.92,6.86,6.89,31700,0.0,0,29,2010,1
2010-02-01,6.91,6.96,6.91,6.93,42900,0.0,0,01,2010,2
2010-02-02,6.9,7.0,6.9,6.99,40400,0.0,0,02,2010,2
2010-02-03,6.99,7.03,6.96,7.02,58200,0.0,0,03,2010,2
2010-02-04,7.01,7.03,6.98,7.01,37500,0.0,0,04,2010,2
2010-02-05,6.98,7.03,6.98,7.01,13700,0.0,0,05,2010,2
2010-02-08,6.98,7.03,6.98,7.03,20000,0.0,0,08,2010,2
2010-02-09,7.03,7.04,6.98,6.99,35100,0.0,0,09,2010,2
2010-02-10,6.99,7.02,6.94,6.97,46300,0.068,0,10,2010,2
2010-02-11,6.98,7.01,6.98,6.99,17300,0.0,0,11,2010,2
2010-02-12,6.99,7.03,6.99,7.02,16100,0.0,0,12,2010,2
2010-02-16,7.01,7.03,6.97,6.98,32600,0.0,0,16,2010,2
2010-02-17,6.98,7.03,6.98,7.02,15900,0.0,0,17,2010,2
2010-02-18,7.15,7.15,7.0,7.02,38100,0.0,0,18,2010,2
2010-02-19,7.04,7.04,6.96,6.97,60600,0.0,0,19,2010,2
2010-02-22,6.95,6.96,6.85,6.91,66000,0.0,0,22,2010,2
2010-02-23,6.93,6.96,6.9,6.96,42300,0.0,0,23,2010,2
2010-02-24,6.93,7.0,6.93,6.97,35000,0.0,0,24,2010,2
2010-02-25,7.0,7.02,6.95,6.95,57500,0.0,0,25,2010,2
2010-02-26,6.97,7.01,6.97,7.01,27200,0.0,0,26,2010,2
2010-03-01,7.02,7.05,7.02,7.04,18000,0.0,0,01,2010,3
2010-03-02,7.05,7.08,7.04,7.04,20800,0.0,0,02,2010,3
2010-03-03,7.03,7.06,7.03,7.03,15000,0.0,0,03,2010,3
2010-03-04,7.02,7.08,7.02,7.08,24000,0.0,0,04,2010,3
2010-03-05,7.08,7.09,7.04,7.05,40800,0.0,0,05,2010,3
2010-03-08,7.05,7.11,7.04,7.09,52000,0.0,0,08,2010,3
2010-03-09,7.08,7.12,7.08,7.1,39700,0.0,0,09,2010,3
2010-03-10,7.12,7.19,7.09,7.11,112400,0.0,0,10,2010,3
2010-03-11,7.11,7.15,7.11,7.11,18800,0.07,0,11,2010,3
2010-03-12,7.09,7.1,7.06,7.09,30300,0.0,0,12,2010,3
2010-03-15,7.1,7.12,7.1,7.11,53000,0.0,0,15,2010,3
2010-03-16,7.12,7.15,7.08,7.1,41500,0.0,0,16,2010,3
2010-03-17,7.07,7.1,6.97,7.05,118500,0.0,0,17,2010,3
2010-03-18,7.05,7.07,7.04,7.06,19800,0.0,0,18,2010,3
2010-03-19,7.04,7.05,7.02,7.04,44200,0.0,0,19,2010,3
2010-03-22,7.02,7.09,7.02,7.07,67300,0.0,0,22,2010,3
2010-03-23,7.1,7.12,7.06,7.12,33600,0.0,0,23,2010,3
2010-03-24,7.13,7.16,7.11,7.13,42100,0.0,0,24,2010,3
2010-03-25,7.12,7.18,7.12,7.13,33000,0.0,0,25,2010,3
2010-03-26,7.12,7.16,7.12,7.15,32500,0.0,0,26,2010,3
2010-03-29,7.18,7.22,7.17,7.2,42400,0.0,0,29,2010,3
2010-03-30,7.17,7.23,7.17,7.2,25700,0.0,0,30,2010,3
2010-03-31,7.18,7.23,7.18,7.23,30300,0.0,0,31,2010,3
2010-04-01,7.22,7.25,7.22,7.25,11300,0.0,0,01,2010,4
2010-04-05,7.26,7.26,7.21,7.23,35800,0.0,0,05,2010,4
2010-04-06,7.22,7.26,7.21,7.23,33300,0.0,0,06,2010,4
2010-04-07,7.21,7.25,7.2,7.22,19600,0.0,0,07,2010,4
2010-04-08,7.2,7.27,7.2,7.27,27900,0.0,0,08,2010,4
2010-04-09,7.24,7.27,7.22,7.26,42000,0.0,0,09,2010,4
2010-04-12,7.25,7.28,7.22,7.28,50000,0.0,0,12,2010,4
2010-04-13,7.31,7.31,7.24,7.26,17200,0.07,0,13,2010,4
2010-04-14,7.29,7.3,7.26,7.29,38800,0.0,0,14,2010,4
2010-04-15,7.26,7.27,7.23,7.25,34100,0.0,0,15,2010,4
2010-04-16,7.23,7.27,7.22,7.27,17000,0.0,0,16,2010,4
2010-04-19,7.23,7.28,7.23,7.28,40100,0.0,0,19,2010,4
2010-04-20,7.28,7.29,7.26,7.26,23700,0.0,0,20,2010,4
2010-04-21,7.27,7.28,7.25,7.28,17800,0.0,0,21,2010,4
2010-04-22,7.28,7.31,7.28,7.31,36800,0.0,0,22,2010,4
2010-04-23,7.28,7.33,7.28,7.32,24800,0.0,0,23,2010,4
2010-04-26,7.29,7.33,7.17,7.33,34300,0.0,0,26,2010,4
2010-04-27,7.33,7.34,7.32,7.34,25600,0.0,0,27,2010,4
2010-04-28,7.31,7.36,7.31,7.36,50000,0.0,0,28,2010,4
2010-04-29,7.37,7.39,7.36,7.39,46600,0.0,0,29,2010,4
2010-04-30,7.4,7.41,7.34,7.39,50200,0.0,0,30,2010,4
2010-05-03,7.38,7.41,7.38,7.4,20400,0.0,0,03,2010,5
2010-05-04,7.38,7.41,7.37,7.39,46600,0.0,0,04,2010,5
2010-05-05,7.4,7.43,7.39,7.42,30600,0.0,0,05,2010,5
2010-05-06,7.43,7.43,7.32,7.38,50200,0.0,0,06,2010,5
2010-05-07,7.39,7.4,7.31,7.32,34200,0.0,0,07,2010,5
2010-05-10,7.36,7.44,7.36,7.42,40600,0.0,0,10,2010,5
2010-05-11,7.42,7.42,7.4,7.4,42300,0.0,0,11,2010,5
2010-05-12,7.42,7.46,7.42,7.46,52200,0.07,0,12,2010,5
2010-05-13,7.45,7.5,7.09,7.48,32100,0.0,0,13,2010,5
2010-05-14,7.5,7.5,7.3,7.45,31300,0.0,0,14,2010,5
2010-05-17,7.42,7.46,7.32,7.4,93000,0.0,0,17,2010,5
2010-05-18,7.4,7.42,7.32,7.4,76100,0.0,0,18,2010,5
2010-05-19,7.34,7.39,7.34,7.38,39900,0.0,0,19,2010,5
2010-05-20,7.35,7.39,7.29,7.36,40700,0.0,0,20,2010,5
2010-05-21,7.33,7.38,7.25,7.38,32800,0.0,0,21,2010,5
2010-05-24,7.38,7.39,7.32,7.35,70100,0.0,0,24,2010,5
2010-05-25,7.29,7.33,7.28,7.29,65000,0.0,0,25,2010,5
2010-05-26,7.29,7.35,7.29,7.32,60500,0.0,0,26,2010,5
2010-05-27,7.32,7.37,7.32,7.37,33300,0.0,0,27,2010,5
2010-05-28,7.37,7.37,7.32,7.34,29800,0.0,0,28,2010,5
2010-06-01,7.38,7.38,7.34,7.35,47200,0.0,0,01,2010,6
2010-06-02,7.35,7.4,7.35,7.4,40000,0.0,0,02,2010,6
2010-06-03,7.37,7.41,7.37,7.41,41800,0.0,0,03,2010,6
2010-06-04,7.42,7.44,7.39,7.42,44000,0.0,0,04,2010,6
2010-06-07,7.43,7.47,7.43,7.45,31300,0.0,0,07,2010,6
2010-06-08,7.43,7.48,7.43,7.47,36800,0.0,0,08,2010,6
2010-06-09,7.47,7.5,7.46,7.5,34300,0.0,0,09,2010,6
2010-06-10,7.5,7.54,7.5,7.53,44800,0.0,0,10,2010,6
2010-06-11,7.52,7.54,7.5,7.51,21100,0.07200000000000001,0,11,2010,6
2010-06-14,7.51,7.52,7.44,7.44,41100,0.0,0,14,2010,6
2010-06-15,7.43,7.45,7.41,7.44,57200,0.0,0,15,2010,6
2010-06-16,7.45,7.47,7.44,7.46,15000,0.0,0,16,2010,6
2010-06-17,7.47,7.52,7.45,7.52,38500,0.0,0,17,2010,6
2010-06-18,7.49,7.54,7.49,7.54,29400,0.0,0,18,2010,6
2010-06-21,7.52,7.56,7.52,7.56,31200,0.0,0,21,2010,6
2010-06-22,7.53,7.56,7.53,7.53,32900,0.0,0,22,2010,6
2010-06-23,7.53,7.57,7.53,7.57,25300,0.0,0,23,2010,6
2010-06-24,7.57,7.59,7.56,7.59,53000,0.0,0,24,2010,6
2010-06-25,7.59,7.66,7.59,7.66,42800,0.0,0,25,2010,6
2010-06-28,7.64,7.67,7.61,7.65,69600,0.0,0,28,2010,6
2010-06-29,7.64,7.64,7.57,7.61,48500,0.0,0,29,2010,6
2010-06-30,7.6,7.61,7.56,7.58,35300,0.0,0,30,2010,6
2010-07-01,7.55,7.59,7.55,7.59,44100,0.0,0,01,2010,7
2010-07-02,7.59,7.61,7.57,7.61,38800,0.0,0,02,2010,7
2010-07-06,7.59,7.65,7.59,7.64,29300,0.0,0,06,2010,7
2010-07-07,7.66,7.69,7.64,7.68,36400,0.0,0,07,2010,7
2010-07-08,7.68,7.73,7.68,7.73,32700,0.0,0,08,2010,7
2010-07-09,7.71,7.78,7.71,7.75,70100,0.0,0,09,2010,7
2010-07-12,7.77,7.78,7.75,7.78,38000,0.0,0,12,2010,7
2010-07-13,7.8,7.8,7.76,7.76,58600,0.07200000000000001,0,13,2010,7
2010-07-14,7.79,7.82,7.76,7.81,42900,0.0,0,14,2010,7
2010-07-15,7.82,7.87,7.82,7.87,59800,0.0,0,15,2010,7
2010-07-16,7.88,7.88,7.86,7.87,38900,0.0,0,16,2010,7
2010-07-19,7.85,7.88,7.85,7.87,17200,0.0,0,19,2010,7
2010-07-20,7.87,7.96,7.87,7.93,57300,0.0,0,20,2010,7
2010-07-21,7.91,7.95,7.91,7.95,50100,0.0,0,21,2010,7
2010-07-22,7.95,8.03,7.95,8.03,40300,0.0,0,22,2010,7
2010-07-23,8.01,8.02,7.95,7.99,49300,0.0,0,23,2010,7
2010-07-26,7.99,8.02,7.99,7.99,46600,0.0,0,26,2010,7
2010-07-27,7.98,8.02,7.98,8.0,35600,0.0,0,27,2010,7
2010-07-28,8.01,8.03,8.0,8.03,30400,0.0,0,28,2010,7
2010-07-29,8.01,8.07,8.0,8.06,40700,0.0,0,29,2010,7
