Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,8.85,8.85,8.85,8.85,0,0.0,0,04,2010,1
2010-01-05,9.01,9.82,8.38,8.91,4400,0.0,0,05,2010,1
2010-01-06,8.61,9.33,8.61,8.99,1900,0.0,0,06,2010,1
2010-01-07,9.17,9.65,9.17,9.25,6500,0.0,0,07,2010,1
2010-01-08,9.48,10.98,9.48,10.75,1500,0.0,0,08,2010,1
2010-01-11,10.37,10.76,9.63,10.49,3000,0.0,0,11,2010,1
2010-01-12,10.35,10.47,10.01,10.14,1300,0.0,0,12,2010,1
2010-01-13,10.46,12.06,10.29,10.83,12500,0.0,0,13,2010,1
2010-01-14,10.59,11.68,10.59,10.86,2300,0.0,0,14,2010,1
2010-01-15,10.48,11.26,10.48,10.83,1600,0.0,0,15,2010,1
2010-01-19,11.2,11.2,10.81,10.81,400,0.0,0,19,2010,1
2010-01-20,11.16,11.37,9.62,11.17,4600,0.0,0,20,2010,1
2010-01-21,11.13,11.13,10.44,10.92,2900,0.0,0,21,2010,1
2010-01-22,11.13,11.13,10.56,10.56,1200,0.0,0,22,2010,1
2010-01-25,10.95,10.95,9.88,10.31,2800,0.0,0,25,2010,1
2010-01-26,10.45,10.76,10.45,10.69,800,0.0,0,26,2010,1
2010-01-27,11.05,11.05,10.68,10.68,1000,0.0,0,27,2010,1
2010-01-28,11.02,11.02,10.48,10.51,1600,0.0,0,28,2010,1
2010-01-29,11.09,11.09,10.67,11.01,1000,0.0,0,29,2010,1
2010-02-01,10.78,10.78,10.78,10.78,200,0.0,0,01,2010,2
2010-02-02,10.85,10.85,10.84,10.84,500,0.0,0,02,2010,2
2010-02-03,10.77,10.77,10.67,10.67,800,0.0,0,03,2010,2
2010-02-04,10.79,10.79,10.79,10.79,0,0.15,0,04,2010,2
2010-02-05,10.95,10.97,10.0,10.29,4200,0.0,0,05,2010,2
2010-02-08,10.08,10.29,9.92,10.29,600,0.0,0,08,2010,2
2010-02-09,9.71,10.2,9.71,10.16,2700,0.0,0,09,2010,2
2010-02-10,10.04,10.76,10.04,10.48,2600,0.0,0,10,2010,2
2010-02-11,10.48,10.83,10.48,10.53,1200,0.0,0,11,2010,2
2010-02-12,10.53,10.92,10.36,10.5,2200,0.0,0,12,2010,2
2010-02-16,10.33,10.63,10.33,10.5,1200,0.0,0,16,2010,2
2010-02-17,10.27,10.63,10.27,10.42,1400,0.0,0,17,2010,2
